Idiom (Malaysian Malay),Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Malaysian Malay)",First Example Sentence,Second Example Sentence,Third Example Sentence
bagai aur dengan tebing,Simile; fixed clause,Cooperation and mutual support in a relationship,They support each other through thick and thin,B1,"Family, teamwork, workplace, education","Colloquial, poetic",Traditional Malay metaphor drawn from nature; aur (bamboo) and tebing (riverbank) coexist in harmony,/baɡai aʊ̯r dəŋan təbiŋ/,"Pasangan itu hidup bagai aur dengan tebing, saling membantu tanpa mengira susah atau senang.","Dalam pasukan ini, kita harus bekerja bagai aur dengan tebing.","Nilai persahabatan mereka jelas, ibarat aur dengan tebing dalam semua hal."
melepaskan batuk di tangga,Verb phrase; idiomatic clause,Doing something half-heartedly or without genuine effort,To do something superficially or carelessly,B2,"Workplace, critique, casual speech","Colloquial, critical",Refers to someone coughing on the staircase and not entering the house—symbolizing minimal effort,/məlepasan batuk di taŋɡa/,Jangan buat kerja macam melepaskan batuk di tangga sahaja.,Laporan yang disiapkan itu nampak seperti melepaskan batuk di tangga.,"Kalau sekadar melepaskan batuk di tangga, lebih baik jangan buat langsung."
bagai menatang minyak yang penuh,Simile; fixed clause with verb phrase,To care for something/someone very delicately and attentively,To treat someone with utmost care,C1,"Parenting, affection, education","Literary, formal",Refers to the delicate act of carrying oil without spilling; symbolizes extreme care,/baɡai məna̠taŋ minyak jaŋ pənoh/,Ibu bapa itu menjaga anaknya bagai menatang minyak yang penuh.,Gurunya memelihara setiap pelajar seperti menatang minyak yang penuh.,Dia membela reputasinya bagai menatang minyak yang penuh.
"bagai enau dalam belukar, melepaskan pucuk masing-masing",Complex clause; simile and embedded clause,"Each person acts selfishly, without considering the group",Everyone is only looking out for their own interests,C2,"Politics, society, teamwork","Literary, critical","Enau (a wild palm) grows in clusters, but each shoot reaches independently",/baɡai ɛnau dala̠m bəlu̯kaʁ məlepaskan putʃuʔ masing-masing/,"Mesyuarat itu tidak mencapai kata sepakat, bagai enau dalam belukar, melepaskan pucuk masing-masing.",Projek ini gagal kerana semua ahli bertindak bagai enau dalam belukar.,Sikap bagai enau dalam belukar tidak sesuai dalam kerja berkumpulan.
bagai telur di hujung tanduk,Simile; noun phrase,In a very precarious or dangerous situation,In a risky and fragile position,C1,"Politics, war, daily stress, economy","Formal, poetic",Describes an egg balanced on a horn—unstable and likely to fall,/baɡai təlur di hudʒuŋ tandoʔ/,Keadaan ekonomi negara kini bagai telur di hujung tanduk.,"Dia hidup dalam ketakutan, bagai telur di hujung tanduk.","Hubungan mereka rapuh, bagai telur di hujung tanduk."
sikit-sikit lama-lama jadi bukit,Proverb; reduplication; clause,Small efforts accumulate into something significant,Small contributions will add up over time,A2,"Finance, motivation, savings, teaching","Colloquial, encouraging",Traditional advice emphasizing frugality and patience,/sikit sikit la̠ma la̠ma dʒadi bukit/,"Simpanlah duit walaupun sedikit, sikit-sikit lama-lama jadi bukit.",Dia mengulang hafalan setiap hari—sikit-sikit lama-lama jadi bukit.,"Usaha kecil ini bukan sia-sia, sikit-sikit lama-lama jadi bukit."
bagai tikus membaiki labu,Simile; verb phrase,Trying to fix something and making it worse,Making things worse while trying to help,B2,"Criticism, family, DIY, education","Ironic, humorous",Refers to a mouse supposedly fixing a gourd—actually ruining it,/baɡai tikus məmbaiki laboʔ/,"Dia cuba membetulkan mesin itu, tapi jadi bagai tikus membaiki labu.",Jangan sentuh kod itu kalau tak faham—nanti bagai tikus membaiki labu.,"Bantuan yang diberinya lebih merosakkan, macam tikus membaiki labu."
"harapkan pegar, pegar makan padi",Clause; ironic inversion,Someone entrusted betrays the trust,The guardian becomes the threat,B2,"Politics, trust, education","Ironic, formal",Pegar is a bird once thought to protect rice fields—but instead eats the rice,"/harapkan peɡaʁ, peɡaʁ maka̠n padi/","Pengurus itu disiasat—harapkan pegar, pegar makan padi.","Dia ditugaskan menjaga anak, tapi harapkan pegar, pegar makan padi.","Harapkan pegawai jujur, rupanya pegar makan padi."
bagai melepaskan anjing tersepit,Clause; verb + noun + adjective,Helping someone ungrateful who later harms you,Helping someone who later turns against you,C1,"Cautionary tale, conflict, betrayal","Colloquial, bitter",A metaphor suggesting the risk of helping someone dangerous or resentful,/baɡai məlepaskan andʒiŋ təsəpit/,"Dia sanggup tolong, tapi akhirnya bagai melepaskan anjing tersepit.",Sudah dijangka—dia membalas budi dengan tuba.,"Bantuan itu tidak dihargai, malah memudaratkan—bagai melepaskan anjing tersepit."
bagai kerbau dicucuk hidung,Simile; passive clause,Someone blindly obeying orders,Someone who follows others without question,B1,"Obedience, politics, parenting, schooling","Colloquial, critical",Derived from how buffaloes are led by piercing their noses,/baɡai kərbau ditʃutʃok hidoŋ/,Jangan jadi bagai kerbau dicucuk hidung—fikir dulu sebelum ikut.,"Dia ikut arahan tanpa soal, macam kerbau dicucuk hidung.","Pemuda itu, bagai kerbau dicucuk hidung, percaya bulat-bulat."
