Idiom (Buryat),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Buryat)",First Example Sentence,Second Example Sentence,Third Example Sentence
"Эбтэй болбол, хүсэтэй.",Conditional clause structure (болбол) forming a proverb-style bipartite sentence.,Unity creates strength and collective power.,Хамтын ажиллагаа амжалта асарна.,B1,"Community meetings, political speeches, family advice, education.","Proverbial, formal, motivational.",Nomadic clan-based culture emphasizing collective survival in harsh steppe conditions.,[ˈeptʲe ˈbolbəl xuˈsətʲeː],"Манай һуурин эбтэй болбол, хүсэтэй гэжэ ахамад зон хэлэдэг.","Бид эбтэй болбол, хүсэтэй байжа, алишье бэрхэшээл дабанабди.","Тэр үгэеэ баталжа, эбтэй болбол, хүсэтэй гэжэ дахин һануулба."
Нэгэ модоной сэсэг хавар болгодоггүй.,Negative declarative proverb with genitive modifier.,One person alone cannot achieve a large outcome.,Нэгэ хүнөөр томо хэрэг бүтэшэгүй.,B2,"Workplace, academic collaboration, leadership discussions.","Proverbial, reflective.",Agrarian metaphor reflecting seasonal cycles in Buryat rural life.,[ˈneɡe ˈmodonoɪ ˈsɛsɛk xaˈwar bolɡodəɡˈɡuɪ],Нэгэ модоной сэсэг хавар болгодоггүй гэжэ багша тайлбарилба.,"Тэр гансаараа оролдоод, нэгэ модоной сэсэг хавар болгодоггүй гэдгийг ойлгобо.","Бид хамтадаа ажаллаха ёһотой, юундэб гэхэдэ нэгэ модоной сэсэг хавар болгодоггүй."
"Үнэн үгэ хатуубашье, хэрэгтэй.",Concessive construction with -башье.,The truth may be harsh but is necessary.,Үнэнийг хэлэхэ хэрэгтэй.,B2,"Family advice, journalism, moral discussions.","Serious, ethical.","Reflects traditional respect for прямой, honest speech among elders.",[ˈʊnɛn ˈʊɡə xatuːˈbaʃe xɛrɛkˈtɛː],"Эжы хэлэхэдээ үнэн үгэ хатуубашье, хэрэгтэй гэбэ.","Тэр шүүмжлэл хүлээжэ, үнэн үгэ хатуубашье, хэрэгтэй гэжэ ойлгобо.","Дарга үнэн үгэ хатуубашье, хэрэгтэй гэжэ сэхэ мэдүүлбэ."
Гартаа гал бариха.,Verbal phrase with infinitive construction.,To take a serious risk knowingly.,Ихэ эрсдэл хэхэ.,C1,"Politics, risky investments, personal decisions.","Metaphorical, dramatic.",Fire symbolism in nomadic hearth culture representing danger and responsibility.,[ɡarˈtaː ɡal barʲiˈxa],Тэр шэнэ бизнес эхилхэдээ гартаа гал бариһандал байба.,Иимэ шиидхэбэри гартаа гал бариха мэтэ аюултай.,Улс төрэй лидер гартаа гал бариха зоригтой байха ёһотой.
"Хоёр туулай хөөбэл, нэгэнииешье барихагүй.",Conditional clause with negative future result.,Trying to pursue two goals at once leads to failure.,Нэгэ хэрэгтэ анхарал хандуулха хэрэгтэй.,B2,"Education, productivity advice, family guidance.","Didactic, proverbial.",Hunting imagery common in steppe lifestyle.,[xoˈjor tuːˈlaɪ xoːˈbəl neɡəˈniːjəʃe bariˈxaɡuɪ],"Багша хоёр туулай хөөбэл, нэгэнииешье барихагүй гэжэ һануулба.","Тэр олон проект эхилээд, хоёр туулай хөөбэл гэһэн байдалда оробо.","Шалгалтын үедэ хоёр туулай хөөбэл, нэгэнииешье барихагүй."
Нюдэ анюулха.,Verb phrase with causative nuance.,To deceive or mislead someone subtly.,Мэхэлхэ.,C1,"Humor, politics, gossip.","Colloquial, slightly ironic.",Derived from physical gesture of closing eyes to hide truth.,[ɲʊˈdɛ aˈɲʊlxa],Тэр намайе нюдэ анюулха гэжэ оролдоно.,Улс төршэд нюдэ анюулха үгэнүүдые хэрэглэхэеэ һанадаг.,"Бидэндэ нюдэ анюулха аргагүй, баримта тодорхой."
Сэдьхэлдээ хадагалха.,Reflexive-style verb phrase with dative marker.,To treasure something deeply in one’s heart.,Мартахагүйгээр һанаха.,B2,"Literature, emotional speech, personal reflection.","Poetic, emotional.",Spiritual worldview linking heart (сэдьхэл) to memory and morality.,[sɛtʲˈxɛldəː xadaɡalˈxa],Тэр үдэрэй дурсамжые би сэдьхэлдээ хадагалнаб.,Эжын үгэ сэдьхэлдээ хадагалха хэрэгтэй.,Тэр захяа намайе наһан туршадаа сэдьхэлдээ хадагалха болгоо.
Толгой дээрэ һууха.,Locative construction forming figurative verb phrase.,To take advantage of someone’s kindness.,Хэтэрхий эрхэлхэ.,B2,"Family, workplace conflicts.","Colloquial, critical.",Symbolic imagery of disrespecting hierarchy.,[tɔlˈɡɔɪ dɛˈrɛ suːˈxa],Тэр хүбүүн эжынгээ толгой дээрэ һуужа байна.,"Хэтэрхий зөөлэн байбал, хүн толгой дээрэ һууха.",Даргадаа толгой дээрэ һууха гэһэн ааш гаргахагүй.
Амандаа уһатай ябаха.,Participial verb phrase indicating concealed speech.,To remain silent despite knowing something.,Дуугай байха.,B2,"Gossip, secrecy, politics.","Humorous, ironic.",Steppe metaphor referencing physical impossibility of speaking with water in mouth.,[aˈmandaː ʊˈsatʲaɪ jaˈbaxa],Тэр асуудал тухай амандаа уһатай ябана.,Бидэнэй дунда амандаа уһатай ябаха хэрэггүй.,"Тэр шухала мэдээсэл мэдээд, амандаа уһатай ябаба."
Хэлээ хазаарайда бариха.,Infinitive verb phrase with instrumental metaphor.,To restrain one’s speech carefully.,Үгээ хянаха.,C1,"Politics, formal debate, diplomacy.","Metaphorical, advisory.",Horse-riding imagery; bit (хазаарай) controlling movement parallels speech control.,[xɛˈlɛː xaˈzaːraɪda bariˈxa],Уулзалта дээрэ хэлээ хазаарайда бариха хэрэгтэй.,"Тэр уурлаад, хэлээ хазаарайда барижажа чадалгүйбэ.","Сэтгүүлшэд асуухада, улстөршэ хэлээ хазаарайда бариба."
