Idiom,Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Haitian Creole)",First Example Sentence,Second Example Sentence,Third Example Sentence
Piti piti zwazo fè nich li,Proverbial clause; simple present; subject-verb-object structure,"With patience and persistence, goals are eventually achieved",Slow and steady progress leads to success,B1,"Daily speech, education, motivation","Colloquial, didactic",Traditional Haitian proverb widely used in parenting and schooling,/piti piti zwazo fè niʃ li/,"Lè ou kontinye etidye chak jou, ou wè piti piti zwazo fè nich li.","Li poko rive kote li vle a, men piti piti zwazo fè nich li.","Pa prese, sonje piti piti zwazo fè nich li."
Lè chen gen dan li panse li ka mòde mèt li,Complex conditional clause with subject-verb agreement,People often grow overconfident and challenge authority,"When people get power, they sometimes forget their place",C1,"Politics, workplace, family","Ironic, critical",Common Creole metaphor reflecting hierarchical relationships in Haitian society,/lɛ ʃɛn ʒɛn dã li pãse li ka mɔdɛ mɛt li/,"Depi li gen ti pouvwa, li vin aji tankou lè chen gen dan li panse li ka mòde mèt li.",Ou sonje jan li te konn soumèt? Gade l kounye a—lè chen gen dan li panse li ka mòde mèt li.,"Nou mete l an tèt, epi kounye a li kwè li ka kontwole tout bagay. Lè chen gen dan li panse li ka mòde mèt li."
Tann kou gòl,"Verb-noun phrase, imperative structure",Prepare to receive the consequences of your actions,Face the music,B2,"Humor, daily speech, arguments","Colloquial, sarcastic","Derived from street language; references a sudden, hard blow (‘gòl’)",/tan ku gɔl/,"Ou te vle jwe fou? Kounye a, tann kou gòl.","Lè w mete dife nan pay, tann kou gòl ou.",Tann kou gòl ou paske pawòl ou di yo pa t dwa.
Manje kwit pa gen mèt,Declarative sentence; nominal subject and negation,"Once food is ready, anyone can enjoy it; it doesn’t belong to one person anymore",Prepared food is for everyone,A2,"Humor, family, informal meals","Colloquial, humorous",Creole saying often used jokingly during shared meals,/mãʒe kwit pa ʒɛn mɛt/,"Mwen pa envite w non, men manje kwit pa gen mèt.","Ou soti deyò, men ou tande sant diri a? Manje kwit pa gen mèt!","Se frè w ki kwit li, men manje kwit pa gen mèt, non?"
Mare sòs avan ou touye poul,Imperative clause with sequential logic,Prepare fully before starting an important action,Make preparations before acting,B2,"Planning, advice, politics, work","Didactic, proverbial",Rural Haitian proverb about cooking and readiness,/maɣe sɔs avan u tuje pul/,Ou vle kite travay ou? Mare sòs avan ou touye poul.,"Yo vle fè grèv, men yo pa pare. Mare sòs avan ou touye poul.",Nou dwe mete estrateji nou an sou pye. Mare sòs avan ou touye poul.
Soti pou kont ou tankou kabrit nan tan lapli,Simile; compound prepositional phrase with comparison,To go off alone into danger or hardship without preparation,To head into a risky situation alone,C1,"Warnings, family, rural life, storytelling","Poetic, rural, cautionary",Refers to rural imagery of goats braving storms without shelter,/sɔti pu kɔ̃t u tãku kabɣit nã tã lapli/,Ou vle kite fanmi w san plan? Soti pou kont ou tankou kabrit nan tan lapli.,"Li pa gen zanmi, li pa gen estrateji—li jis soti pou kont li tankou kabrit nan tan lapli.","Ou tande avètisman an, men w ap fè tèt di—soti pou kont ou tankou kabrit nan tan lapli."
"Bay kou bliye, pote mak sonje",Parallel structure with imperative verbs,"The person who causes harm forgets, but the victim always remembers","Offenders forget, but victims remember",B2,"Justice, relationships, emotional discussions","Philosophical, emotional",Widely used Haitian proverb tied to oral tradition and memory,"/baj ku blijɛ, pɔte mak sɔ̃ʒe/","Ou ka ri kounye a, men bay kou bliye, pote mak sonje.","Li mete m nan wont devan tout moun. Bay kou bliye, pote mak sonje.","Sa w fè a pa fasil pou mwen bliye—bay kou bliye, pote mak sonje."
"Chita sou ou, pa di ou pa wè",Negative imperative; double clause with subject omission,Don’t ignore what's right in front of you,The answer is right under your nose,B1,"Advice, problem-solving, family","Colloquial, humorous",Based on Haitian Creole expressions about seeing what's obvious,"/ʃita su u, pa di u pa wɛ/","Papye a sou tab la, chita sou ou, pa di ou pa wè.","Ou toujou ap chèche repons lan? Chita sou ou, pa di ou pa wè.","Bagay la klè—chita sou ou, pa di ou pa wè."
Pale franse pa vle di lespri,Negative declarative; simple clause with contrastive logic,Speaking French doesn't mean someone is intelligent,Fluency in a language doesn’t equal wisdom,C2,"Education, class commentary, satire","Ironic, sociopolitical",Creole resistance to colonial language prestige and elitism,/palɛ fɣãse pa vle di lespɣi/,"Li ap pale franse tout jounen, men pale franse pa vle di lespri.","Pale franse pa vle di lespri, paske ou ka aprann pawòl san konprann sans.","Yo panse li entelijan paske li pale byen, men pale franse pa vle di lespri."
"Si ou pa monte, ou pa ka wè lwen",Conditional clause; dependent + main clause,"If you don’t elevate yourself, you can’t see the bigger picture",You need perspective to understand fully,B2,"Motivational speech, education, politics","Didactic, aspirational",Draws on mountainous Haitian terrain and metaphor of rising,"/si u pa mõte, u pa ka wɛ lwɛ̃/","Si ou pa monte, ou pa ka wè lwen—se sak fè edikasyon enpòtan.","Nan vi a, si ou pa monte, ou pa ka wè lwen.","Pou konprann sa k ap pase, ou dwe pran distans. Si ou pa monte, ou pa ka wè lwen."
