Idiom (Kurdish),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Kurdish)",First Example Sentence,Second Example Sentence,Third Example Sentence
دەستت لە دەورەوە بەرکەوە,Imperative clause,Stay away from interfering in others’ matters.,Don’t interfere with others.,B2,"Daily speech, workplace, family",Colloquial,"Common in Erbil, reflects respect for personal boundaries in Kurdish culture.",/dæst.tæ læ dæw.ræ.wæ bær.kæ.wæ/,دەستت لە دەورەوە بەرکەوە، ئەمە کارێکی خۆیانە.,دەستت لە دەورەوە بەرکەوە، ئێمە دەزانین چۆن چارەی بکەین.,دەستت لە دەورەوە بەرکەوە، بەهۆی ئەوەی کارەکە تایبەتیە.
کەڵەکەی لە گەرمی خەوە,Fixed nominal phrase,Someone is still dreaming or unaware of reality.,He/she is unaware of the truth.,B1,"Humor, sarcasm, daily life","Humorous, ironic",Used across Kurdistan to poke fun at unrealistic people.,/kælæ.kæ.j læ ɡær.mi xæ.wæ/,ئەو کەڵەکەی لە گەرمی خەوە، باوەڕی بەوەی پارە دەکەوێت.,کەڵەکەی لە گەرمی خەوە، هێشتا بیر لە ڕووناکی ناكات.,ئەو کەڵەکەی لە گەرمی خەوە، هیچ شتێکی نییە لە دەستی.
چەوەک لە نێو دوو ئاگر,Nominal clause,Being caught between two difficult choices.,Stuck between two bad options.,C1,"Politics, literature, sarcasm","Poetic, formal",Derived from pastoral imagery of shepherding life in Kurdistan.,/ʧæ.wæk læ nɛw duː ʔæ.ɡir/,ئەو چەوەکەی لە نێو دوو ئاگرە، ناتوانێت هیچ هەڵبژاردنێک بکات.,کەسێک چەوەک لە نێو دوو ئاگر بێت، زۆرجار بەختی نییە.,ئەو لە نێو دوو ئاگر ماندوو بووە.
سەر بە دەریاوی بەرز دەکات,Subjunctive structure,He/she exaggerates things or makes them bigger than they are.,He/she is exaggerating.,B2,"Daily life, humor, workplace","Colloquial, sarcastic",Refers to old seafaring exaggerations in Kurdish storytelling.,/sær bæ dæ.rjaː.wi bærz dæ.kat/,ئەو سەر بە دەریاوی بەرز دەکات، هەموو شتێک گەورە دەکات.,سەر بە دەریاوی بەرز دەکات، بۆیە کەس نایەوێ پێی گوێ بگرێ.,ئەو هەرگیز هەقیقی نییە، سەر بە دەریاوی بەرز دەکات.
هەوای بە بادەوە دەبات,Passive structure,It becomes wasted or disappears without benefit.,It is wasted.,B1,"Family, economics, daily life","Colloquial, poetic","Linked to agrarian life, loss of crops due to harsh winds.",/hə.waj bæ baː.dæ.wæ dæ.bat/,ئەو پارەیە هەوای بە بادەوە دەبات.,هەوای بە بادەوە دەبات، ئەگەر بە شێوەیەکی باش بەکارهێنران.,هەموو هەوڵەکان هەوای بە بادەوە دەبات.
کاکێشی لەسەر دەستەکەی,Fixed metaphorical phrase,Someone very clumsy or careless.,He/she is careless.,A2,"Family, workplace, humor","Colloquial, humorous",Traditional metaphor about holding tools improperly.,/kaː.keː.ʃi læ.sær dæstæ.kæj/,ئەو کاکێشی لەسەر دەستەکەی، هەموو شتێک دەشکێنێ.,کاکێشی لەسەر دەستەکەی، هەرگیز کاری خۆی بە باشی ناکات.,ئەگەر کاکێشی لەسەر دەستەکەی بێت، پێویستە پێداویستی بگۆڕیت.
ڕەشەباوی بەر لە چاوەکەی,Reflexive phrase,To be deceived or disappointed suddenly.,He/she was deceived.,B2,"Sarcasm, politics, family","Colloquial, ironic",From the image of a sudden storm cloud blocking vision.,/ræ.ʃæ.baː.wi bær læ ʧaː.wæ.kæj/,ئەو ڕەشەباوی بەر لە چاوەکەی بوو، هیچ پێشبینی نەکرد.,ڕەشەباوی بەر لە چاوەکەی، هەموو خەونەکانی خراپ کرد.,ئەو ڕەشەباوی بەر لە چاوەکەی، لەگەڵ دەستەوە دەهێنرا.
بە ماسی دەخوێنێت,Verb phrase,To waste effort on something impossible.,He/she is wasting time on the impossible.,C1,"Humor, literature, workplace","Humorous, literary",Derived from folk tales mocking futile efforts.,/bæ maː.si dæ.xweː.net/,ئەو بە ماسی دەخوێنێت، بێسوودە.,بە ماسی دەخوێنێت، نەکۆڵەیەکە.,ئەو هەرگیز بەدەست نایەنێت، بە ماسی دەخوێنێت.
کەوتە ناو ئاگرەوە,Past tense verb phrase,Got into trouble or difficulty.,He/she got into trouble.,A2,"Daily life, family, workplace",Colloquial,Fire imagery is common in Kurdish idioms for danger.,/kæw.tæ naw ʔæ.ɡir.awæ/,ئەو کەوتە ناو ئاگرەوە، بەرەو نیوەشبەری دەچوو.,کەوتە ناو ئاگرەوە، بەهۆی خۆیەوە.,ئەگەر کەس کەوتە ناو ئاگرەوە، دەبێت یارمەتی بگرن.
چاوەڕێی لەسەر ئاسمانە,Nominal phrase,Hoping for something impossible or unrealistic.,Expecting the impossible.,B2,"Daily life, literature, sarcasm","Poetic, ironic",Reflects traditional fatalism and humor in Kurdish culture.,/ʧaː.wæ.reːj læ.sær ʔaːs.maː.næ/,ئەو چاوەڕێی لەسەر ئاسمانە، بەهیچ شێوەیەک ڕاست ناچێت.,چاوەڕێی لەسەر ئاسمانە، بە فەرمی نییە.,ئەو چاوەڕێی لەسەر ئاسمانە، خەونێکی وێناکارییە.
