Idiom (Dutch),Syntactic Structure & Grammatical Form,Figurative Meaning (Dutch),Non-Idiomatic Equivalent in Dutch,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Dutch)",First Example Sentence,Second Example Sentence,Third Example Sentence
De koe bij de horens vatten,"Fixed clause with a definite article, preposition, and direct object noun phrase",Een probleem direct aanpakken zonder uitstel.,Direct beginnen met het oplossen van een probleem.,B2,"workplace, daily speech, self-help, leadership","Neutral register, determined tone",From Dutch agricultural tradition—grabbing a bull by the horns requires courage and decisiveness.,/də ku bəi də ɦoːrəns ˈfɑtən/,"We moeten niet blijven praten, maar de koe bij de horens vatten.","Als je je schulden wilt oplossen, moet je de koe bij de horens vatten.",Hij heeft eindelijk de koe bij de horens gevat en een nieuwe baan gezocht.
Een slag om de arm houden,Reflexive verbal phrase with idiomatic prepositional object,Voorzichtig blijven en zich een uitweg openhouden.,Zich niet volledig vastleggen.,C1,"politics, legal discourse, business meetings","Formal register, cautious tone",Originates from 17th-century fencing; holding a hand back signified strategic hesitation.,/eːn slɑx ɔm də ɑrm ˈɦʌudən/,De minister houdt nog een slag om de arm wat betreft de nieuwe wet.,"Ik geef voorlopig een ‘ja’, maar ik houd een slag om de arm.","Ze wilden het project starten, maar hielden een slag om de arm voor onvoorziene kosten."
Met de deur in huis vallen,Prepositional phrase followed by verbal idiom,Zonder inleiding direct ter zake komen.,Zonder omhaal iets zeggen.,B1,"daily speech, negotiations, workplace","Informal to neutral register, abrupt tone","Dutch architectural history—small houses, sudden entrance; used metaphorically since 1600s.",/mɛt də døːr ɪn ɦœy̯s ˈvɑlən/,Laat me maar met de deur in huis vallen: we moeten bezuinigen.,Ze viel met de deur in huis en vroeg meteen om geld.,Ik zal met de deur in huis vallen: dit gaat niet werken.
Het hazenpad kiezen,Definite article + noun + verbal phrase,Ervandoor gaan of vluchten.,Weggaan of vluchten.,A2,"humor, storytelling, crime stories","Colloquial register, humorous or dramatic tone",Refers to the hare’s quick retreat; first recorded in 18th-century hunting tales.,/ɦɛt ˈɦaːzənpɑt ˈkiːzə(n)/,"Toen hij de politie zag, koos hij het hazenpad.",Ze kozen het hazenpad zodra het spannend werd.,"Niemand wilde blijven, dus iedereen koos het hazenpad."
Iets onder de knie hebben,Transitive verb with prepositional phrase,Iets goed beheersen of kunnen.,Iets goed kunnen of begrijpen.,B1,"education, workplace, coaching","Neutral register, confident tone",Derived from medieval sword training—control under the knee signified mastery.,/its ˈɔndər də kni ˈɦɛbən/,Na een maand oefenen heb ik deze software onder de knie.,Ze heeft wiskunde eindelijk onder de knie.,Hij kreeg de taal maar niet onder de knie.
"Als twee honden vechten om een been, loopt de derde ermee heen",Complex conditional-proverbial clause,Twee strijdende partijen verliezen vaak ten gunste van een derde.,"Twee mensen strijden, maar een ander profiteert.",C1,"literature, strategy, family feuds, moral lessons","Poetic register, reflective tone",Ancient Dutch proverb from 1500s emphasizing wisdom in conflict observation.,/ɑls tʋeː ˈɦɔndən ˈvɛxtən ɔm ən beːn loːpt də ˈdɛrdə ɛrmeː ˈɦeːn/,"Twee collega’s maakten ruzie over promotie, maar een ander kreeg de baan. Tja, als twee honden vechten om een been...",Dat is weer zo'n geval van ‘als twee honden vechten om een been’.,"Ze vergaten de buitenstaander—en ja hoor, die liep ermee heen."
"Oost west, thuis best",Fixed rhyming phrase,"Thuis is de fijnste plek, ongeacht waar je bent geweest.",Het is altijd prettig om thuis te zijn.,A2,"daily speech, travel, nostalgia","Informal register, warm and comforting tone",A centuries-old rhyme used in Dutch families to express homeliness.,/oːst ʋɛst tœy̯s bɛst/,"Vakantie is leuk, maar oost west, thuis best.","Na drie weken kamperen voelde ik het weer: oost west, thuis best.","Ze kwam terug van Bali en zei: oost west, thuis best."
Iemand met de nek aankijken,Transitive verb with prepositional object,Iemand minachten of negeren.,Iemand negeren of geringschatten.,B2,"social critique, sarcasm, interpersonal drama","Critical register, judgmental tone",Related to body language; avoiding direct eye contact implies disdain.,/ˈimɑnt mɛt də nɛk ˈɑnˌkɛikən/,Sinds haar promotie kijkt ze me met de nek aan.,Ze keken hem met de nek aan omdat hij geen diploma had.,Waarom word ik hier altijd met de nek aangekeken?
Een appeltje met iemand te schillen hebben,Verbal idiom with object and infinitive,Iets onaangenaams met iemand willen bespreken of afhandelen.,Een conflict of probleem hebben met iemand.,B2,"conflict, family drama, satire","Informal register, ironic or confrontational tone",From folk traditions—sharing or disputing food as a metaphor for settling issues.,/eːn ˈɑpəltʃə mɛt ˈimɑnt tə ˈsxɪlən ˈɦɛbən/,Ik heb nog een appeltje met je te schillen over gisteren.,De buurvrouw had duidelijk een appeltje met hem te schillen.,We moeten praten—ik heb een appeltje met je te schillen.
Dat is een brug te ver,Demonstrative phrase + idiomatic clause,Dat is te veel gevraagd of onacceptabel.,Dat is niet haalbaar of wenselijk.,B1,"negotiations, complaints, humor","Neutral to ironic register, disapproving tone","From Operation Market Garden (WWII), a failed attempt to capture a bridge in Arnhem.",/dɑt ɪs ən brʏx tə vɛr/,Je wil dat ik al het werk doe? Dat is een brug te ver.,"Dat ze ook mijn auto wilde lenen, was een brug te ver.","Nog een deadline deze week? Nee, dat is echt een brug te ver."
