Idiom (Old Frisian),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Old Frisian)",First Example Sentence,Second Example Sentence,Third Example Sentence
Dij flechtiga foet is dijo jechtiga hand.,Balanced copular proverb: definite adjective + noun phrase equals definite adjective + noun phrase; uses synecdoche and alliteration.,A person who flees from accusation is treated as if guilt has already been confessed.,Thi flechtande mon is scyldich.,B2,Law-court speech; accusations; moral warning; narrative judgement; forensic inference.,"Formal, legal, proverbial, pointed.",Medieval Frisian legal proverb associated with Jurisprudentia Frisica; scholarship treats it as a compact legal maxim using foot and hand as body-part metonyms.,/diː ˈflextiɣa foːt is diːjo ˈjextiɣa hand/,"Tha thi mon fon there stede flach, seide thi asega: Dij flechtiga foet is dijo jechtiga hand.","Ne scil thi skelta him swera leta, hwand dij flechtiga foet is dijo jechtiga hand.",Tha liude nemen his ferde for jechte: dij flechtiga foet is dijo jechtiga hand.
Morth mot ma mith morthe kela.,Impersonal modal proverb: object-like noun + modal mot + generic pronoun ma + prepositional complement.,Grave wrongdoing demands an equally grave settlement or legally recognized retaliation.,Morth skel stranglika botad wesa.,C1,Legal history; feud settlement; discussion of justice; literary severity; warning against escalation.,"Archaic, juridical, severe, aphoristic.",Old Frisian legal-proverb tradition; discussed under talion or retaliatory justice in medieval Frisian law scholarship.,/morθ moːt ma mit ˈmorθe ˈkela/,In alder riuchte stod: morth mot ma mith morthe kela.,"Thi frana seide thet morth ma mith morthe kela scolde, sa tha magas frethe sochten.",Tha boc lerde strangne dom: morth mot ma mith morthe kela.
Hwant nye syuckten byhowet nye ersedie.,Causal proverb introduced by hwant; plural noun subject + finite verb + plural object; parallel adjective repetition.,New problems require new remedies rather than old routines.,Nie neda agath nie reda.,B1,Policy change; dispute resolution; innovation; medicine metaphor; practical advice.,"Pragmatic, reformist, proverbial, learned.",Late medieval Old Frisian legal reasoning cites this formula to justify new treatment of unforeseen legal points.,/hwant nyːə ˈsjuxtən biˈhoːwət nyːə ˈersədiə/,"Tha thi tol nie twivel brochte, seide thi red: Hwant nye syuckten byhowet nye ersedie.","Ne halde ma alder sed al allena, hwand nye syuckten byhowet nye ersedie.","Hwersa nie ned up riseth, tha byhowet nye syuckten nye ersedie."
"Hwa tha punten naet bitallie mitta guede, dy schil bitallie mitta bloede.",Correlative conditional formula: hwa-clause followed by dy schil-clause; modal future with repeated verb and contrasting instruments.,Someone who refuses ordinary compensation will face harsher consequences.,"Hwa net jeldath, tholath strangne bote.",C1,Peace treaties; fines; contracts; public warnings; compensation law; negotiation.,"Formal, coercive, legal, admonitory.",Known from a fifteenth-century Westergo peace context; it compresses written settlement obligations into a memorable rhyming proverb.,/hwa θa ˈpuntən naːt biˈtalliə ˈmita ˈɣweːdə dy skil biˈtalliə ˈmita ˈbloːdə/,"Thi fredbref seide: hwa tha punten naet bitallie mitta guede, dy schil bitallie mitta bloede.","Beter is gued to jeldane than blod to spillane, hwand hwa tha punten naet bitallie mitta guede, dy schil bitallie mitta bloede.","Tha boden lezen tha kest: hwa tha punten naet bitallie mitta guede, dy schil bitallie mitta bloede."
Mith frethe to wasane.,Prepositional-infinitival idiom: mith + dative abstract noun + to-infinitive; state expression.,"To live or stand under lawful peace, reconciliation, and social protection.",In frethe and sone wesa.,A2,Reconciliation; family settlement; community order; court peace; everyday conflict resolution.,"Neutral, legal, peaceful, formulaic.",Attested Old Frisian legal phrase reflecting remnants of older case usage and the centrality of public peace in Frisian law.,/mit ˈfreθe to ˈwɑsɑne/,Tha twa sibben wolden mith frethe to wasane.,Thi asega bad tha burga mith frethe to wasane.,"Hwersa twa liude sone nimath, scelen hia mith frethe to wasane."
Bi asega wisdome.,Elliptical prepositional legal formula: bi + official title + abstract noun; functions adverbially.,According to authorized legal judgement rather than private anger or rumor.,Efter riuchtes dome dela.,B2,Court procedure; arbitration; inheritance; civic administration; conflict mediation.,"Formal, institutional, sober.",Asega means law-sayer; the phrase reflects Frisian oral-legal authority and the prestige of specialist judgement.,/bi ˈɑzəɣɑ ˈwisdome/,"Thet scil gan bi asega wisdome, na bi mannes grame.",Tha twa sibben deldon thiu erve bi asega wisdome.,"Thi red ne scil stande, hit ne ga bi asega wisdome."
Fresa ne thuruen nene herefert firer fara.,Negative necessity clause: ethnonym subject + ne thuruen + negative object + comparative adverb + infinitive.,A people or person should not be forced beyond the agreed limits of duty.,Tha Fresa nene firra herefert skelath.,C1,Political rights; military obligation; autonomy; civic debate; boundary-setting.,"Formal, constitutional, resistant.","Drawn from the Seventeen Statutes tradition, where Frisian military service is bounded geographically as part of Frisian freedom.",/ˈfreːzɑ ne ˈθurwən ˈneːne ˈheːrəfert ˈfirər ˈfɑrɑ/,Thi kest seide: Fresa ne thuruen nene herefert firer fara.,"Tha liude weron fri, hwand Fresa ne thuruen nene herefert firer fara.",Thi skelta ne mach hia firer lida: Fresa ne thuruen nene herefert firer fara.
Witha wilda heue and withene hethena here.,Coordinated alliterative prepositional phrases; two hostile nouns joined to intensify danger.,To face danger from both nature and human enemies at once.,Betha sidun bringath ned.,C2,Epic narration; border defense; sea culture; hardship; poetic description.,"Poetic, dramatic, heroic, archaic.",Formulaic language from Frisian freedom narrative material; combines North Sea landscape imagery with hostile-war imagery.,/ˈwiθɑ ˈwildɑ ˈheːvə and ˈwiθene ˈheθenɑ ˈheːrə/,Tha stodon tha Fresa witha wilda heue and withene hethena here.,"Hwersa ned fon betha sidum cymth, is hit witha wilda heue and withene hethena here.",Thi alde sang sprac fon there burg witha wilda heue and withene hethena here.
Wr hald ende wr haud di pannyng.,Spatial-metonymic legal formula: preposition wr + coordinated body-part nouns + definite monetary noun.,A payment or legal valuation touches the whole life of the person concerned.,Thi pannyng anlieth lif and bote.,C2,Fines; capital redemption; monetary law; ritualized legal memory; institutional origin stories.,"Dense, juridical, archaic, metonymic.",Associated with narratives about early Frisian legal and monetary privilege; neck and head stand for life and full personal liability.,/wr̩ hɑld ˈende wr̩ hɑud di ˈpɑnnyŋɡ/,"Tha thi mon grete bote achte, geng wr hald ende wr haud di pannyng.","Thi skelta bad thone nia pannyng, hwand wr hald ende wr haud di pannyng.",Bi des pawes hengnese stod wr hald ende wr haud di pannyng.
Emmer and emmermar ewelika stan.,Reduplicative eternity formula: paired temporal adverbs + intensifying adverb + infinitive.,To remain valid permanently and beyond ordinary time limits.,Thet scil awa stande.,B2,Oaths; charters; donations; promises; legal continuity; solemn remembrance.,"Solemn, poetic, formal, emphatic.",Formulaic phrasing in Old Frisian narrative and charter-like style; repetition strengthens memorability and permanence.,/ˈemər and ˈemərmɑr ˈeːwəlikɑ stɑn/,Tha Fresa wolden thet fridom emmer and emmermar ewelika stan.,"Thi bref segelde thiu iefte, thet hio emmer and emmermar ewelika stan.","Ne breke ma thone freth, ther emmer and emmermar ewelika stan scil."
