Idiom (Mohawk),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Mohawk)",First Example Sentence,Second Example Sentence,Third Example Sentence
Wa’kerihwahní:rate’,First-person perfective transitive verb with incorporated noun root -rihwa- ‘matter/idea’ and stative/verbal root ‘harden’; fixed idiomatic clause.,"I confirmed it, made the matter firm, or settled a decision after checking it.",Ia’kionhwentsyá:te’ ne rihwa; wa’kerihwahní:rate’.,B2,"meetings, community planning, administration, family decision-making","neutral, precise, formal-colloquial",Reflects a Kanien’kéha preference for action encoded in verbs; ‘matter/idea’ incorporation is widely discussed in idiomatic Mohawk verb formation.,/waʔ.ke.ɾih.wa.hníː.ɾa.teʔ/,Wa’kerihwahní:rate’ ne onkwawén:na akta’kén:’a.,"Ó:nen wa’kerihwahní:rate’, tho ní:ioht tsi nia’tetewá:ton.",Ronaterihwahní:rate’ ne ratiianerénhsera tsi iorihwí:io.
Aontahse’nikonhrahsa’áhse’,Optative/subjunctive-like verbal expression with incorporated -nikonhra- ‘mind/heart’; idiomatic predicate built on ‘burn up’ imagery.,To put one’s whole heart and mind into something; to commit with complete sincerity.,Aonsá:’a tetshitewenná:wis ne shakorihwa’shón:’a.,C1,"ceremony, speeches, encouragement, education, community service","poetic, ceremonial, encouraging",Associated with the unity of mind/heart in Haudenosaunee discourse; the metaphor of inner fire expresses total commitment.,/a.on.tah.seʔ.ni.kon.hɾah.sa.ʔáh.seʔ/,Aontahse’nikonhrahsa’áhse’ tsi ientsitewahthará:’a.,Ionterihwaienstáhkwa ne yakonkwehón:we tsi aontahse’nikonhrahsa’áhse’.,Tóhsa sewakwé:ni; aontahse’nikonhrahsa’áhse’ ne skátne.
Aesanikónhrohte’,Second-person future/optative intransitive verb with incorporated -nikonhr- ‘mind’; idiom built as a maturation predicate.,"May your thinking mature; grow wiser, become more responsible, or learn from experience.",Satenikonhrhá:ren ne tsi ní:ioht; sénha satshennón:ni.,B2,"advice, elders speaking to youth, teaching, family correction","gentle, admonishing, respectful",Rooted in older pedagogical speech where maturity is framed as the ripening or strengthening of the mind.,/ae.sa.ni.kón.hɾoh.teʔ/,"Aesanikónhrohte’, akhsótha kí:ken wa’thaterihwaién:ni.","Tsi niió:re iakenikonhrá:ksen, aesanikónhrohte’ ne í:se.",Aesanikónhrohte’ nok tsi ní:ioht ne ohén:ton karihwí:io.
Atenenyáhrhon,Nominal/adjectival idiomatic expression; fixed descriptive form using a concrete image of ‘rocks’ associated with the person.,Greedy or gluttonous; taking more than one needs without regard for others.,Ó:nen sénha tehontsiyá:te’ tsi ní:ioht shé:kon wahontstá:ko.,C1,"humor, teasing, moral correction, family meals, stories","colloquial, humorous, mildly critical",An older lexicalized expression recorded as figurative speech; the heavy ‘rocks’ image gives the insult a memorable material feel.,/a.te.ne.njáh.ɾhon/,Atenenyáhrhon tsi ní:se’ ne sha’té:kon ken’ niká:ien.,Tóhsa atenenyáhrhon; akwé:kon sewatenón:we’s.,Iake’nikonhraksén:’a tsi atenenyáhrhon rononhnhéhkwen.
Tewaterihwahstá:kon,Dualic/reflexive-style verb with incorporated -rihwa- ‘matter’; idiomatic predicate of a matter being tangled or crossed.,"The issue is complicated, tangled, or mixed up; the facts are not straightforward.",Tewaterihwá:ton tsi ní:ioht; ne rihwa ken’ tsi tho nikarihwí:io.,B2,"problem-solving, meetings, legal talk, conflict mediation","neutral, analytical","Draws on a common Haudenosaunee discourse pattern of treating ‘matters’ as entities that can be straightened, tangled, carried, or settled.",/te.wa.te.ɾih.wah.stáː.kon/,Tewaterihwahstá:kon ne rihwa tsi wahontá:ti.,"Tsi tewaterihwahstá:kon, tóhsa satshennón:ni wahsonterihwá:ien.",Ronterihwanón:ton tsi tewaterihwahstá:kon ne kahwá:tsire.
Yorihwí:io,Stative descriptive verb with incorporated -rihw- ‘matter’; compact idiomatic predicate used as evaluation.,"The matter is good, proper, fair, or morally right.",Iohserá:te ne rihwa; ó:nen skén:nen ní:ioht.,A2,"approval, meetings, family talk, community decisions","neutral, positive, widely usable","Central to Kanien’kehá:ka value-oriented speech, where ‘good mind’ and proper relations shape judgments of action.",/jo.ɾih.wíː.jo/,Yorihwí:io tsi tesewatká:thos ne kaná:ta.,Shé:kon ken yorihwí:io ne í:se tsi ní:ioht?,Yorihwí:io ne wahsaterihwarón:ni.
Iakorihwá:ke,Stative/locative idiomatic predicate with incorporated -rihwa- ‘matter’; ‘the matter is on/at someone’ construction.,"Someone is responsible for it; the burden, duty, or issue rests with that person.",Yakoiá’tawen ne rihwa; yakonhní:non ne tsi raónha aó:wen.,B1,"responsibility, workplace, school, governance, family duties","neutral, practical","Responsibility is often expressed through embodied or locative verb imagery, treating a ‘matter’ as placed upon a person.",/ja.ko.ɾih.wáː.ke/,Iakorihwá:ke ne ieiá:kon tsi yethiá:tons.,Tóhsa skén:nen; iakorihwá:ke nok wa’katerihwaienhstáhkhwa.,Iakorihwá:ke ne ratitsénhaien ne kahrhá:kon.
Tekanikonhrí:io,Negated/contrastive stative predicate with incorporated -nikonhr- ‘mind’; idiomatic evaluation of inner disposition.,"The mind is not right; someone is upset, troubled, unreasonable, or not thinking clearly.",Ia’teionikonhrí:io; tekenikonhrhá:ren.,B2,"conflict, emotional states, counseling, family discussion","serious, cautionary, empathetic",Related to the broad Haudenosaunee concept of good-mindedness; disturbance is framed as imbalance of the mind/heart.,/te.ka.ni.kon.hɾíː.jo/,"Tekanikonhrí:io tsi ní:ioht, nok tóhsa sénha tesataterihwá:ien.",Ne kaien’ké:ta’ tekanikonhrí:io tsi wahshakotí:io.,"Tsi tekanikonhrí:io, iothró:ri ne skén:nen."
Onkwanikonhra’shón:’a skátne,Nominal plural ‘our minds/hearts’ plus adverbial ‘together’; formulaic idiomatic phrase rather than a single finite verb.,We are of one mind; the group is united in purpose or agreement.,Skátne tewatenikonhrhá:ren; tewá:ton ne skátne.,B1,"ceremony, consensus, councils, classrooms, teamwork","respectful, communal, ceremonial-colloquial",Echoes the Great Law/Thanksgiving Address emphasis on bringing minds together before shared work or decision-making.,/on.kwa.ni.kon.hɾaʔ.shóː.ʔa skát.ne/,Onkwanikonhra’shón:’a skátne tsi ionterihwahní:rate’.,Ó:nen onkwanikonhra’shón:’a skátne ne tsi sewá:ton.,Tóhsa aonsahontatenikonhrá:ren; onkwanikonhra’shón:’a skátne.
Teionkwarihwanónhstha’,First-person plural negative/reflexive verbal idiom with incorporated -rihwa- ‘matter’ and a holding/carrying sense.,We are not holding the matter properly; we are mishandling the issue or failing to take it seriously.,Ia’tewa’nikonhrí:io ne tsi tekarihwí:io; tewatenón:weron.,C2,"politics, governance, dispute resolution, critical commentary","formal, critical, cautionary","Extends the cultural metaphor of carrying/holding responsibilities; public matters require care, balance, and collective attention.",/te.jon.kwa.ɾih.wa.nónh.sthaʔ/,Teionkwarihwanónhstha’ tsi tetewatká:thos ne onkwawén:na.,Ratiianerénhsera ronwatí:io tsi teionkwarihwanónhstha’.,"Ken’ niiohtónhake tsi teionkwarihwanónhstha’, tóhsa thó niió:re."
