Idiom (Japanese),Syntactic Structure & Grammatical Form,Figurative Meaning (Japanese),Non-Idiomatic Equivalent in Japanese,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Japanese)",First Example Sentence,Second Example Sentence,Third Example Sentence
猫の手も借りたい,Fixed clause with noun phrase and auxiliary verb,とても忙しくて、誰でもいいから手伝ってほしい状態。,非常に忙しくて人手が足りない。,B1,"Daily speech, workplace, casual conversations","Informal, slightly humorous","Refers to the traditionally negative view of cats as lazy or unhelpful, emphasizing desperation",neko no te mo karitai,引っ越しの準備で猫の手も借りたいくらい忙しいよ。,年度末で猫の手も借りたいほど、仕事が山積みだ。,文化祭の準備で猫の手も借りたいって先生が言ってたよ。
馬の耳に念仏,Noun phrase with genitive case particle and idiomatic comparison,いくら良いことを言っても、全く効果がない。,言っても無駄で、相手に伝わらない。,B2,"Literature, education, sarcasm, family",Neutral to sarcastic,Buddhist influence — chanting sutras to a horse would be pointless,uma no mimi ni nenbutsu,彼にいくら説明しても馬の耳に念仏だよ。,親の忠告なんて、今の若者には馬の耳に念仏かも。,上司の話を無視する社員に対して、まさに馬の耳に念仏だった。
猿も木から落ちる,Subject–object–verb clause with conditional nuance,どんなに上手な人でも、時には失敗する。,達人でも失敗することがある。,A2,"Daily life, humor, casual speech, workplace","Casual, humorous",Proverb rooted in Japan’s appreciation of nature and fallibility,saru mo ki kara ochiru,先生でも間違えることがあるよ、猿も木から落ちるって言うし。,一流選手がミス？まあ、猿も木から落ちるからね。,彼の計算ミスには驚いたけど、猿も木から落ちるか。
のどから手が出る,"Imagery-driven clause, metaphorical structure",非常に欲しがっている状態。,とても欲しいと思っている。,B1,"Daily speech, marketing, emotional expressions","Casual, expressive",Evokes visual metaphor of longing; likely from Edo period,nodo kara te ga deru,あの限定グッズ、のどから手が出るほど欲しい！,そのポジション、彼がのどから手が出るほど狙ってたよ。,誰もがのどから手が出るような条件だね。
一石二鳥,"Noun phrase, compound idiom",一つの行動で二つの利益を得ること。,一度に二つの成果を得る。,A2,"Business, education, daily speech","Neutral, practical","Originally Chinese in origin, used since Edo era Japan",isseki nichou,ジョギングしながら英語を聴くのは一石二鳥だね。,読書しながら電車に乗るのは一石二鳥。,このプロジェクトは、一石二鳥どころか三鳥かも！
釘を刺す,Verb phrase with transitive verb + object,事前に念を押して確認しておくこと。,確認して相手に注意する。,B2,"Workplace, family, relationships, politics",Neutral to formal,From carpentry; driving a nail to secure something permanently,kugi o sasu,出発前に念のため彼に釘を刺しておいた。,この件について、部長が私に釘を刺してきた。,ミスを避けるために、しっかり釘を刺しておこう。
雨降って地固まる,"Compound clause, metaphorical structure",一時的な混乱の後に物事が安定すること。,トラブルの後に、関係や状況が良くなる。,C1,"Family, personal relationships, self-reflection, literature","Poetic, reflective",Deeply rooted in Japanese appreciation of nature as metaphor,ame futte ji katamaru,喧嘩の後、前より仲良くなった。まさに雨降って地固まる。,トラブルの後でチームの団結が強まった。雨降って地固まるね。,離婚後の人生が良くなってきた。雨降って地固まるってことか。
十人十色,Numerical idiom with noun phrase,人それぞれ違う考えや好みを持っていること。,みんな個性がある。,B1,"Social discussions, education, self-expression","Neutral, philosophical",Japanese aesthetic emphasis on individuality and diversity,juunin toiro,この意見の違いも当然だよ。十人十色なんだから。,洋服の趣味も十人十色だね。,彼の考えも尊重しよう。十人十色っていうし。
口が滑る,Verb phrase with metaphorical usage,言ってはいけないことをうっかり話してしまう。,うっかり秘密を言う。,B2,"Humor, workplace, gossip, casual speech","Informal, ironic",From physical imagery; popularized in urban slang,kuchi ga suberu,ごめん、つい口が滑っちゃった。,彼、また口が滑って情報漏らしたんだって。,あの話はまだ秘密だよ。口が滑らないようにね。
腹が立つ,Reflexive verb phrase,怒りを感じる。,怒る。,A2,"Daily speech, emotional expression, conflict",Casual to neutral,"Common bodily metaphor in Japanese, linking emotion to the belly",hara ga tatsu,そんな言い方されると腹が立つよ。,遅刻しても謝らないなんて、本当に腹が立つ。,腹が立つけど、我慢するしかないね。
