Idiom (Kinshasa French),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Kinshasa French)",First Example Sentence,Second Example Sentence,Third Example Sentence
Il a mis la bière dans le dos,"Phrase verbale, passé composé, structure figurative","Il a arrêté de boire, souvent après un excès ou un incident",Il ne boit plus d’alcool,B2,"quotidien, humour, santé","familier, humoristique",Origine populaire liée aux excès fréquents dans les ngandas (bars) de Kinshasa,il‿a mi la bjɛʁ dɑ̃ lə do,"Depuis son malaise, il a mis la bière dans le dos.",Tonton Zola ? Il a mis la bière dans le dos depuis le mariage.,Tu sais que papa Moke a mis la bière dans le dos ? Incroyable !
Elle fait les yeux de poisson frit,Phrase nominale avec adjectif possessif,Elle regarde avec insistance pour séduire ou manipuler,Elle utilise ses regards pour séduire,C1,"famille, flirt, humour, sarcasme","familier, ironique",Expression visuelle empruntée aux plats populaires de poisson frit aux yeux visibles,ɛl fɛ lez‿jø də pwasɔ̃ fʁi,Arrête de faire les yeux de poisson frit à ton prof !,"Elle est arrivée, maquillée, avec ses yeux de poisson frit là.",Même maman a remarqué qu’elle faisait les yeux de poisson frit à son cousin.
Il a mangé seul comme un serpent,"Simile, structure comparative",Il a tout pris pour lui sans partager,Il a été égoïste,B1,"quotidien, famille, conflit","familier, critique",Basé sur l’image du serpent solitaire dans les proverbes congolais,il‿a mɑ̃ʒe sœl kɔm ɛ̃ sɛʁpɑ̃,Il a mangé seul comme un serpent et n’a rien laissé.,Pourquoi tu fais comme un serpent ? Tu pourrais partager !,"Même à Noël, il a mangé seul comme un serpent."
Tu chauffes l’air pour rien,Verbe transitif + préposition + nom,Tu parles inutilement ou sans effet,Tu gaspilles ta parole,B2,"débat, humour, frustration","colloquial, ironique",Utilisé dans les disputes politiques ou domestiques à Kinshasa,ty ʃof l‿ɛʁ puʁ ʁjɛ̃,"Arrête, tu chauffes l’air pour rien là.",Il a parlé une heure mais il chauffait juste l’air pour rien.,Les promesses du ministre ? Il chauffe l’air pour rien !
Avoir deux langues dans la bouche,Expression avec verbe + complément,Être hypocrite ou dire le contraire selon l’interlocuteur,Être hypocrite,C1,"politique, travail, quotidien","formel, critique",Inspiré de proverbes bantous congolais,avwaʁ dø lɑ̃ɡ dɑ̃ la buʃ,"Tu as deux langues dans la bouche, hein ?","Elle parle bien ici, mais là-bas elle a une autre langue.",On n’aime pas les gens avec deux langues dans la bouche.
Courir derrière le vent,Infinitif + préposition + nom,Poursuivre quelque chose d’inutile ou irréalisable,Faire des efforts vains,B2,"philosophique, quotidien","poétique, critique",Racine dans les traditions orales kongo et swahili,kuʁiʁ dɛʁjɛʁ lə vɑ̃,Tu veux la convaincre ? Tu cours derrière le vent.,Ils pensent qu’ils vont gagner comme ça ? Ils courent derrière le vent.,"Parfois, l’amour c’est comme courir derrière le vent."
C’est un roi sans royaume,Phrase nominale figurative,Quelqu’un avec un titre sans pouvoir réel,Il n’a aucun pouvoir réel,C1,"politique, satire, littérature","ironique, littéraire",Référence satirique à des figures politiques en RDC,sɛ‿t‿ɛ̃ ʁwa sɑ̃ ʁwajom,Le directeur ? Un roi sans royaume !,Il parle comme un roi sans royaume.,"C’est un roi sans royaume, tout le monde le sait."
Donner un coup de tête au destin,Verbe + groupe nominal + complément,Prendre son avenir en main avec audace,Changer son destin soi-même,C2,"motivation, littérature, jeunesse","poétique, inspirant",Origine urbaine influencée par les récits de résilience à Kinshasa,dɔne ɛ̃ ku də tɛt‿o dɛstɛ̃,Il a donné un coup de tête au destin et a tout changé.,"Quand elle est partie étudier, elle a frappé le destin de plein fouet.","Donne un coup de tête au destin, frère !"
La bouche parle mais le cœur pleure,Phrase parallèle avec contraste,Quelqu’un dit le contraire de ce qu’il ressent,Il cache sa tristesse,B2,"famille, émotions, chansons","poétique, triste",Fréquent dans les chansons populaires kinois,la buʃ paʁl mɛ lə kœʁ plœʁ,"Il sourit, mais la bouche parle et le cœur pleure.","Tu vois son rire ? La bouche parle, le cœur pleure.","C’est souvent comme ça ici, la bouche parle mais le cœur pleure."
Faire danser le pagne,Verbe + objet direct,"Danser énergiquement, souvent avec fierté",Danser avec vigueur,A2,"fêtes, danse, quotidien","familier, joyeux",Expression liée aux danses traditionnelles avec pagnes colorés,fɛʁ dɑ̃se lə paɲ,Elle est montée sur scène et a fait danser le pagne.,"Ce soir, on fait danser le pagne au quartier !",Même mamie a fait danser le pagne comme avant.
