Idiom (Fula (Pulaar)),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Fula (Pulaar))",First Example Sentence,Second Example Sentence,Third Example Sentence
Ko honɗun njabbii e ndiyam,"Fixed clause, indicative mood",To get into trouble unexpectedly or face sudden difficulties,To encounter an unforeseen problem,B2,"Daily speech, humor, storytelling","Colloquial, ironic",Originates from herding metaphors—stepping into unexpected water or mud,ko hoːnɗun ɲabbii e ndijam,"O wi’i ɗum ko mi njabbii e ndiyam, so mi waɗi haaɓɓude makko.","Mi njabbii e ndiyam jooni, ɗum waɗi ɗum ko mi waɗi laaɓude kala.",Ɗum waɗi ɗum ko o njabbii e ndiyam haa mi waɗi waɗde.
Hakkunde mawnde e ndiyanɗe,Prepositional phrase,Between two difficult choices,To be stuck between two bad options,C1,"Philosophical discussion, reflection","Formal, poetic",Traditional proverb meaning 'between rock and hard place',hakːunde mawnde e ndijanːɗe,Ɗum waɗi ɗum ko hakkunde mawnde e ndiyanɗe haa mi waɗi waɗde.,Mi waɗi ɗum ko hakkunde mawnde e ndiyanɗe ngam laawol ngal.,Ɗum waɗi ɗum ko o waɗi e hakkunde mawnde e ndiyanɗe e dow jam.
Ko fii njaara ko fuu,"Clause, affirmative tense",Everything has its place or value,Every person or thing has a purpose,A2,"Proverbs, moral teaching","Neutral, wise",Common Pulaar proverb from Fouta Toro,ko fiː nʤaːɾa ko fuː,"Ko fii njaara ko fuu, ɗum waɗi ɗum ko miijooɓe waɗi.",Mi waɗi ɗum ko fii njaara ko fuu e dow laawol ngal.,Ɗum waɗi ɗum ko fii njaara ko fuu haa no feewi.
Ɗum waɗi ɗum ko gite ngurndan,"Fixed clause, descriptive form",To be extremely lazy or avoid work,To refuse to do one's duties,B1,"Family, humor, daily life","Colloquial, humorous",Derived from village imagery about idleness,ɗum waːɗi ɗum ko gitɛ nguɾndan,O wi’i ɗum ko gite ngurndan haa ɗum waɗi waɗde ɗum.,Mi waɗi ɗum ko gite ngurndan e ndee laawol ngal.,Ɗum waɗi ɗum ko gite ngurndan haa waɗi waɗde ɗum.
Ko no ɓuri no laamu,Fixed comparative clause,Respect outweighs wealth,Being respected is better than being rich,C2,"Moral teaching, elders' speech","Formal, didactic",Ancient proverb from Fuuta Jaloo,ko no ɓuɾi no laːmu,"Ko no ɓuri no laamu, ɗum waɗi ɗum ko waɗi laawol ngal.",Ɗum waɗi ɗum ko no ɓuri no laamu e ndiyanɗe.,Mi waɗi ɗum ko no ɓuri no laamu e dow ndiyanɗe ɗum.
Ɗum waɗi ɗum ko haala e waɗi,"Clause, habitual tense",Talk is cheap; actions speak louder,Words alone mean nothing without deeds,B2,"Workplace, advice, leadership","Formal, assertive",Modern Pulaar rephrasing of ancient Arabic influence proverb,ɗum waːɗi ɗum ko haːla e waːɗi,Ɗum waɗi ɗum ko haala e waɗi haa waɗi ɗum.,Mi waɗi ɗum ko haala e waɗi e dow golle ngal.,Ɗum waɗi ɗum ko haala e waɗi e ndee laawol ngal.
Ɗum waɗi ɗum ko ɗum yaha ɗum,Reciprocal reflexive construction,What goes around comes around,Actions have consequences,B2,"Social commentary, elders' speech","Colloquial, moralistic",Derived from Fula moral oral traditions,ɗum waːɗi ɗum ko ɗum jaha ɗum,Ɗum waɗi ɗum ko ɗum yaha ɗum e dow jam.,Mi waɗi ɗum ko ɗum yaha ɗum haa mi waɗi waɗde.,"O wi’i ɗum ko ɗum yaha ɗum, ɗum waɗi ɗum ko ɗum miijooɓe waɗi."
Ko ɗum heɓi ka jamaa,"Clause, perfect tense",To achieve social recognition or success,To gain respect and position in the community,B1,"Politics, social life","Formal, respectful",Refers to achieving recognition in community gatherings,ko ɗum hebi ka ʤaːmaː,Ɗum waɗi ɗum ko ɗum heɓi ka jamaa haa no feewi.,Mi waɗi ɗum ko ɗum heɓi ka jamaa e dow golle ngal.,Ɗum waɗi ɗum ko ɗum heɓi ka jamaa ngam ɗum waɗi ɗum.
Ɗum waɗi ɗum ko nguru maa njowii,"Fixed clause, conditional",To miss an opportunity one created,To be the cause of one's own downfall,C1,"Advice, humor, life lessons","Ironic, proverbial",Common proverb from Fouta Djallon; literally: 'your own drum betrayed you',ɗum waːɗi ɗum ko nguɾu maː ɲoːwiː,Mi waɗi ɗum ko nguru maa njowii haa ɗum waɗi waɗde.,Ɗum waɗi ɗum ko nguru maa njowii e dow ndiyanɗe.,O wi’i ɗum ko nguru maa njowii haa ɗum waɗi ɗum.
Ko ɗum woni ɗum moƴƴi e kala,"Clause, emphatic construction",All is well; everything will be fine,It’s going to be okay,A2,"Reassurance, daily conversation","Colloquial, comforting",Modern expression from youth speech around Fuuta Toro,ko ɗum woni ɗum moʎʎi e kala,Ɗum waɗi ɗum ko ɗum woni ɗum moƴƴi e kala haa mi waɗi waɗde.,Mi waɗi ɗum ko ɗum woni ɗum moƴƴi e kala e ndee laawol ngal.,Ɗum waɗi ɗum ko ɗum woni ɗum moƴƴi e kala haa no feewi.
