Idiom (Northern Sotho),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Northern Sotho)",First Example Sentence,Second Example Sentence,Third Example Sentence
Ngwana yo o sa llang o swarwa ke botshego.,Fixed clause; declarative; subject–relative clause structure.,A person who does not speak up will not get help.,"If you do not ask for help, no one will help you.",B1,"Daily speech, advice, family, moral teaching.","Colloquial, proverbial, instructive.",Traditional Northern Sotho proverb emphasizing self-advocacy.,ŋwana jɔ ɔ sa ɬaŋ ɔ sʷarʷa ke bʊt͡ʃʰɛɣɔ,"Mma o mpotše gore ngwana yo o sa llang o swarwa ke botshego, ke swanetše go bolela ka mathata a ka.",Bana ba tshwanetse go tseba gore ngwana yo o sa llang o swarwa ke botshego.,"Ge o khutsa, batho ba tla nagana gore o lokile — ngwana yo o sa llang o swarwa ke botshego."
Tau ya hloka seboka e a hlotšwa.,Passive clause; subject + auxiliary + passive verb.,A person without support will fail.,Teamwork is necessary for success.,B2,"Workplace, politics, leadership, teamwork.","Proverbial, formal, moral.",Ancient Sotho proverb referring to lions hunting in groups.,taʊ ja ɬɔka sɛbɔka e a ɬot͡ʃʷa,Re swanetše go šoma mmogo hobane tau ya hloka seboka e a hlotšwa.,"Matsatsing a lehono, kgwebo e hloka tšhomišano; tau ya hloka seboka e a hlotšwa.",Batswadi ba ruta bana gore tau ya hloka seboka e a hlotšwa.
Pelo e bose ke lerumo la go hlaba mong wa yona.,Complex metaphorical clause with possessive phrase.,Jealousy or hatred harms the person who feels it.,Bitterness hurts the one who holds it.,C1,"Moral teaching, family, relationships, literature.","Philosophical, poetic, proverbial.",Traditional moral wisdom emphasizing emotional control.,pɛlɔ e bɔsɛ ke lɛrʊmɔ la ɣʊ ɬaba mʊŋ wa jɔna,"Mohlologadi o gopola mantšu ao, pelo e bose ke lerumo la go hlaba mong wa yona.",Ga o swanela go tswara lehufa; pelo e bose ke lerumo la go hlaba mong wa yona.,Thuto ya setšo e ruta bana gore pelo e bose ke lerumo la go hlaba mong wa yona.
Mokgobo wa mollo o tsebja ka mosi.,Fixed clause; passive metaphorical construction.,Actions reveal a person’s character.,A person is known by their deeds.,B2,"Moral teaching, education, family, religion.","Proverbial, formal.",Rooted in traditional communal observation of behavior.,mʊk͡ʰɡɔbɔ wa mʊllɔ ɔ t͡sʼɛbja ka mʊsi,Batho ba tla go tseba ka ditiro tša gago; mokgobo wa mollo o tsebja ka mosi.,Mokgobo wa mollo o tsebja ka mosi — ditiro di bolela kudu go feta mantšu.,"Ge o dira gabotse, batho ba a go hlompha; mokgobo wa mollo o tsebja ka mosi."
Pitsi e kgolo e hlwa e na le dikgala.,Declarative clause with nominal predicate.,Even the great have flaws.,Nobody is perfect.,B2,"Humor, humility, politics, family, workplace.","Colloquial, ironic.",Common rural saying from Limpopo; references horse breeding.,pit͡si e kʼɡɔlɔ e ɬʷa e na le dikʼɡala,"Le ge e le mogolo, o ka dira diphošo; pitsi e kgolo e hlwa e na le dikgala.",Mošomi yo mogolo o dirile phoso; ke nnete gore pitsi e kgolo e hlwa e na le dikgala.,Mohlomphegi o tshega a re pitsi e kgolo e hlwa e na le dikgala.
"Mosegare ga o robale, o ruta manong.",Complex conditional-like proverb.,"If you neglect your duties, others will take advantage.",Neglect leads to loss.,C1,"Workplace, agriculture, moral teaching.","Proverbial, instructive.",Agricultural metaphor; day workers must stay alert.,mʊsɛɡarɛ ɣa ɔ rʊbalɛ ɔ rʊta manʊŋ,"Tšea mošomo wa gago ka tlhokomelo; mosegare ga o robale, o ruta manong.","Mošomi yo o sa šomeng o lahlegelwa ke ditšhelete; mosegare ga o robale, o ruta manong.","Batswadi ba ruta bana ba bona gore mosegare ga o robale, o ruta manong."
Metsi a tšhuma a hlatswa ditšhila.,Metaphorical declarative clause.,Truth cleanses misunderstanding.,Honesty clears confusion.,B2,"Conflict resolution, family, social harmony.","Formal, poetic.",Rural water symbolism; water purifies.,mɛt͡si a t͡ʃʰʊma a ɬat͡sʷa dit͡ʃʰʰila,"Ge re bolela nnete, re aga tshepho; metsi a tšhuma a hlatswa ditšhila.",Ba ile ba rarolla kgohlano ka nnete; metsi a tšhuma a hlatswa ditšhila.,Thuto ya setšo e ruta bana gore metsi a tšhuma a hlatswa ditšhila.
Lehlanya le lebagane le meetse.,Declarative; metaphorical comparison.,A reckless person faces danger head-on.,Foolishness leads to trouble.,C1,"Sarcasm, warning, humor.","Ironic, humorous.",From Sotho oral storytelling; depicts impulsive behavior.,lɛɬaɲa lɛ lɛbaɣanɛ lɛ mɛt͡sʼɛ,O tšwela pele le bothata bjoo; lehlanya le lebagane le meetse.,Batswadi ba mo gopotša gore lehlanya le lebagane le meetse.,Ka gae re bolela ka yena re re lehlanya le lebagane le meetse.
Lefifi le tloga ka lesedi.,Fixed declarative structure with metaphorical contrast.,Hard times are followed by better ones.,After hardship comes relief.,B1,"Encouragement, hope, religion, motivation.","Poetic, uplifting.",Used in religious and cultural contexts symbolizing hope.,lɛfifɪ lɛ t͡ʰlɔɡa ka lɛsɛdi,Ga go yo o swanetšego go lahla tshepo; lefifi le tloga ka lesedi.,Ngaka e šomišitše maipolelo ao; lefifi le tloga ka lesedi.,Ba be ba nyamile eupša bjale ba tshepile; lefifi le tloga ka lesedi.
Mogwera wa nnete o bonagala ka mathata.,Declarative clause with relative phrase.,True friendship is proven in difficult times.,A true friend helps during hardship.,A2,"Friendship, morality, family, advice.","Colloquial, moral.",Pan-Sotho proverb about loyalty and community.,mʊɣʷɛra wa n͡nɛtʼɛ ɔ bɔnagaːla ka matʰata,Ke leboga thušo ya gago; mogwera wa nnete o bonagala ka mathata.,Mošomi yo o nthušitše ge ke be ke le bothateng; mogwera wa nnete o bonagala ka mathata.,Re ithuta gore mogwera wa nnete o bonagala ka mathata.
