Idiom (Gulf Arabic),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Gulf Arabic)",First Example Sentence,Second Example Sentence,Third Example Sentence
يبلها جمعة مباركة,Fixed phrase with nominal predicate,Used to imply something is outdated or rarely done,It hasn't been done in a long time,B1,"daily speech, humor","colloquial, humorous",Common Gulf expression reflecting traditional Friday greetings,jibˈlaː d͡ʒumʕa mubaːraka,ها السيارة يبلها جمعة مباركة من كثر ما ماشت.,ثوبك القديم؟ يبلها جمعة مباركة!,الدوام؟ يبلها جمعة مباركة!
ما له خلق,Verbal phrase with negation and nominal predicate,Describes someone being irritable or not in the mood,He doesn't feel like it / He's in a bad mood,A2,"daily speech, family",colloquial,Widely used in Gulf to express emotional states,maː lah χoːlɡ,لا تكلمه، اليوم ما له خلق.,أنا ما لي خلق أطلع اليوم.,ما لها خلق ترد على أحد الحين.
يخرب بيتك,Verbal phrase in subjunctive construction,"An expression of surprise, affection, or mild scolding depending on tone",Oh my God / You're unbelievable,B2,"daily speech, sarcasm, humor","colloquial, sarcastic, ironic",Originally a curse but often used affectionately in modern Gulf speech,jixrab beːtik,يخرب بيتك شلون سويت كذا؟,يخرب بيتك، ضحكتني!,يخرب بيتك، هذا اللي قدرت عليه؟
فص ملح وذاب,Idiom with metaphorical noun phrase and verb,Someone or something disappeared suddenly and completely,Vanished without a trace,C1,"daily speech, storytelling","literary, poetic",Traditional metaphor across the Arab world,faṣ milḥ u ðaːb,من يوم راح وهو فص ملح وذاب.,أخذ الفلوس وفص ملح وذاب.,وين جوالك؟ فص ملح وذاب!
رجله على رجله,Prepositional phrase with nominal repetition,Someone being overly relaxed or lazy,He's just sitting around doing nothing,B1,"family, workplace","colloquial, critical",Common Gulf critique of idleness,rid͡ʒlih ʕala rid͡ʒlih,الكل يشتغل وهو رجله على رجله.,رجله على رجله وما يحرك ساكن.,رجله على رجله، ما يحس بالمسؤولية.
مثل اللي يرقّع الثوب بثوب,"Simile with verbal metaphor, clause structure",Trying to fix a problem with another problem,Solving one issue by creating another,C2,"daily speech, wisdom","proverbial, ironic",Traditional Gulf wisdom conveyed through clothing metaphors,mitʃil illi jiraggaʕ itˤtˤoːb bi tˤtˤoːb,تصرفه مثل اللي يرقّع الثوب بثوب.,سدد دينه بدين ثاني؟ مثل اللي يرقّع الثوب بثوب.,مشاكله تزيد لأنه مثل اللي يرقّع الثوب بثوب.
خيط ورا خيط,Repetitive noun phrase with coordination,Things happening continuously one after another,One thing after another,B2,"daily speech, stress",colloquial,Derived from sewing metaphor indicating non-stop events,χeːtˤ waraː χeːtˤ,الهموم جاية خيط ورا خيط.,مشاكله خيط ورا خيط.,كل يوم صاير له شي، خيط ورا خيط.
يطبها عميان,Verbal clause with metaphorical subject,Someone jumping into something blindly or recklessly,He rushed in without thinking,B2,"daily speech, cautionary","colloquial, critical",Traditional Gulf cautionary metaphor about rash decisions,jiṭˤibha ʕamjaːn,دايم يطبها عميان بدون ما يسأل.,راح للمشروع وطبها عميان.,لا تطبها عميان مثل العادة!
الزين ما يكمل,Nominal clause with negation,Nothing perfect exists; everything has flaws,Perfection doesn’t exist,B1,"daily speech, relationships","colloquial, philosophical",Common expression reflecting realistic outlook,izzeːn maː jikmil,حلو بس عصبي، الزين ما يكمل.,حتى السيارة الجديدة فيها عيب، الزين ما يكمل.,ما في أحد كامل، الزين ما يكمل.
عنده خبر بس ساكت,Clause with present tense verb and coordinated structure,He knows more than he’s saying,He's hiding what he knows,B2,"daily speech, family, workplace","colloquial, speculative",Commonly used in family or community settings,ʕindah χabar bas saːkit,كلنا حاسين إنه عنده خبر بس ساكت.,هو ما تكلم، بس شكله عنده خبر بس ساكت.,ليش ساكت؟ أكيد عنده خبر بس ساكت.
