Idiom (Czech),Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Czech)",First Example Sentence,Second Example Sentence,Third Example Sentence
Mít máslo na hlavě,Infinitive verb phrase with prepositional noun phrase,To be guilty of something; to have a guilty conscience,Být vinen / mít pocit viny,B2,"Daily speech, humor, workplace","Colloquial, ironic","Derived from a tale where butter would melt in the sun, exposing the guilty",[miːt ˈmaslo na ˈɦlavjɛ],"Ten politik má máslo na hlavě, proto se vyhýbá otázkám.","Když se mu řeklo pravdu, bylo vidět, že má máslo na hlavě.","Nezapomeň, kdo má máslo na hlavě, neměl by chodit na slunce."
Být za vodou,Infinitive verb with prepositional phrase,To be financially secure or out of trouble,Být v bezpečné finanční situaci,B1,"Daily speech, economy, lifestyle",Colloquial,Implies crossing difficult terrain or river to safety,[biːt za ˈvodou̯],"Od té doby, co vyhrál v loterii, je za vodou.","Jakmile splatíme hypotéku, budeme za vodou.","Myslí si, že je za vodou, ale dluhy ještě neskončily."
Jít do tuhého,Infinitive verb phrase with preposition and adjective in neuter singular,To get serious or difficult; the situation is intensifying,Začíná být vážně / obtížně,C1,"Politics, sports, crisis situations","Neutral, serious",Used in military and dramatic contexts,[jiːt do ˈtuɦɛɦo],"V debatě to začalo jít do tuhého, když přišlo na ekonomiku.","Když se rozbil motor, šlo do tuhého.","Začalo jít do tuhého, jakmile padlo první rozhodnutí."
Dát někomu košem,Perfective verb phrase with dative object,To reject someone (often romantically),Odmítnout někoho,B1,"Daily speech, romance, humor","Colloquial, humorous",From a courtship custom of giving a basket as rejection,[daːt ˈɲɛkomu ˈkoʃɛm],Lucie mu dala košem a šla domů sama.,"Nechci mu dát košem, ale nejsem si jistá.",Dát někomu košem není nikdy jednoduché.
Držet basu,Infinitive verb with noun in accusative,"To support someone, usually in mischief or lies",Krýt někoho / být spolupachatel,B2,"Daily speech, humor, workplace","Colloquial, ironic","From music, implies harmonizing or going along",[ˈdr̩ʒɛt ˈbasu],"Musíš mi držet basu, jinak máme průšvih.","Kluci vždycky drželi basu, i když šlo o hlouposti.","Radši se drž basu, než abys to zkazil."
Mít hlavu v oblacích,Infinitive verb phrase with noun phrase in locative,"To be a daydreamer, not grounded in reality",Být zasněný / mimo realitu,A2,"Daily speech, education, family","Colloquial, neutral",Common across Slavic cultures symbolizing imagination,[miːt ˈɦlavu v ˈoblat͡siːx],"Petr má pořád hlavu v oblacích, místo aby studoval.",Někdy je dobré mít hlavu v oblacích a snít.,"Učitelka mu řekla, že má hlavu v oblacích."
Věšet bulíky na nos,Infinitive verb phrase with accusative and prepositional phrase,To lie or deceive someone,Lhát / klamat někoho,B2,"Daily speech, politics, family","Colloquial, ironic",Folk expression implying manipulation,[ˈvjɛʃɛt ˈbulɪki na nos],"Přestaň mi věšet bulíky na nos, já ti to nevěřím.",V kampani nám politici věší bulíky na nos.,Děti se snažily věšet bulíky na nos rodičům.
Jít s kůží na trh,Infinitive verb phrase with noun phrase in accusative and locative,To take a risk; expose oneself to judgment or harm,Rizikovat / být otevřený kritice,C1,"Politics, workplace, personal growth","Neutral, formal",Medieval markets where animal skins were publicly sold,[jiːt s kuːʒiː na tr̩x],Při tom projevu šel opravdu s kůží na trh.,"Když podáš stížnost, jdeš s kůží na trh.","Neboj se jít s kůží na trh, stojí to za to."
Nemít všech pět pohromadě,Negated infinitive verb phrase with numeral noun phrase,To be mentally unstable or foolish,Být blázen / chovat se divně,B1,"Daily speech, humor, sarcasm","Colloquial, humorous",Folk idiom implying missing mental faculties,[ˈnɛmɪt ˈfʃɛx pjɛt ˈpoɦromadjɛ],On snad nemá všech pět pohromadě!,"Tohle rozhodnutí ukazuje, že nemají všech pět pohromadě.","Když začal zpívat v tramvaji, lidi si mysleli, že nemá všech pět pohromadě."
Mít něco v malíku,Infinitive verb phrase with accusative object and prepositional phrase,To master or fully understand something,Být v něčem dobrý / mít znalosti,A2,"Education, workplace, sports","Colloquial, confident",Implying complete control (as if in one’s little finger),[miːt ˈɲɛt͡so v ˈmalɪku],"Matiku má v malíku, nic ho nepřekvapí.","Když máš jazyk v malíku, otevře se ti svět.",Po tolika trénincích má fotbal úplně v malíku.
