Idiom (Asháninka),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Asháninka)",First Example Sentence,Second Example Sentence,Third Example Sentence
Kametsa asaiki,Fixed evaluative predicate: adjective/adverbial kametsa plus existential-stative verb asaiki; used as a compact ethical formula.,"To live well in balance with family, community, river, forest, and everyday obligations.",Aisaiki kametsa jero akemisantaje atiripe.,A2,daily speech; family advice; community meetings; teaching; cultural explanation,"colloquial, respectful, affirmative","Grounded in Asháninka ideas of good living, reciprocity, territory, and respectful coexistence with living surroundings.",[kametsa asaiki],"Ikantake acharine: kametsa asaiki, pamenaje nija jero inchato.",Nampitsiki atiripe ikobake kametsa asaiki.,"Jananeki ikemisantaje ñantsi irashi iriri, kametsa asaiki."
Ñantsi saikatsi kotsiroki,Nominal clause with locative metaphor: noun ñantsi plus stative saikatsi plus locative-marked noun kotsiroki.,Speech can cut or harm; words must be handled carefully.,"Pinkante ñantsi kametsa, te pinkisakotero atiri.",B1,conflict resolution; family advice; politics; sarcasm; public speech,"serious, cautionary, mildly poetic",Evokes the machete or knife as an everyday forest and household tool whose usefulness depends on careful handling.,[ɲantsi saikatsi kotsiɾoki],Acharine ikantake ñantsi saikatsi kotsiroki aririka atiri ikisakotake pashini.,"Pikenkeshireero paita pinkantaje, ñantsi saikatsi kotsiroki.","Nampitsiki te ikantabetaro kisaantsi, okantiro irirori ñantsi saikatsi kotsiroki."
Pakitsa yameniro tampia,Agentive finite clause: animal subject pakitsa plus transitive visual verb yameniro plus object tampia.,A wise person observes signs before acting; planning comes before movement.,Pamenaje kametsa paita pinkantaje.,B1,travel; leadership; hunting; workplace planning; advice to youth,"proverbial, practical, respectful","Draws on observing birds and weather before river travel, hunting, gardening, or walking through forest paths.",[pakitsa jameniɾo tampia],"Aririka nonjate Eneki, nokantaje pakitsa yameniro tampia.",Pamenaje kitaiteri; pakitsa yameniro tampia te ijatabetari.,"Yotatsiri shirampari ikenkeshireaka, pakitsa yameniro tampia."
Maniti te ikantasanotiro irashi,Negative finite clause: animal subject maniti plus negative particle te and intensified speech predicate ikantasanotiro.,Real strength does not need loud boasting; quiet competence is respected.,"Atiri yotatsiri yantaje, te ikantabetaro.",B2,humor; leadership; rivalry; elder advice; workplace behavior,"ironic, restrained, admiring",Uses the jaguar as a symbol of powerful presence that is recognized without self-praise.,[maniti te ikantasanotiɾo iɾaʃi],"Ikantake iriri: maniti te ikantasanotiro irashi, ari pinkantaje paita pantiri.",Te pinkantabetaro osheki; maniti te ikantasanotiro irashi.,"Shirampari yantake kametsa jero isaikake, maniti te ikantasanotiro irashi."
"Nija ojata, ñantsi opiyaji",Balanced biclausal proverb: intransitive movement clause followed by return clause; parallel noun-subject structure.,What is said travels and eventually comes back; speech has consequences.,"Paita pikantake, opiyaji pashini atiripeki.",B2,rumor; accountability; community politics; storytelling; moral instruction,"proverbial, warning, reflective","Reflects river movement as a model for social circulation of news, memory, and obligation.",[niha ohata ɲantsi opijahi],"Nija ojata, ñantsi opiyaji, ikantake jeba aririka apatotake atiripe.","Te pinkantatsiri kisaantsi, nija ojata, ñantsi opiyaji.","Okemaji tsinane paita ikantake pashini, nija ojata, ñantsi opiyaji."
Inchato otsipata tampia,Personified finite clause: inanimate natural subject inchato with accompaniment verb otsipata and object tampia.,Endurance requires flexibility; one can stand firm while moving with pressure.,Pisaiki katsini jero pikemisantaje pashini.,B1,family advice; conflict mediation; ecological teaching; hardship; poetry,"poetic, consoling, reflective",Comes from forest observation: trees survive storms by bending without losing their roots.,[intʃato otsipata tampia],"Ari pinkenkeshirempa, inchato otsipata tampia.","Okenkeshireaka tsinane aririka ikisakotiro pashini, inchato otsipata tampia.",Jananeki ikemisantaje acharine: inchato otsipata tampia.
Shima te okenkeshireero kireeki,Negative personified clause: animal noun shima plus te and cognitive verb okenkeshireero with object kireeki.,"Not every value is money; do not let cash replace food, water, kinship, or territory.",Te okantapitsate kireeki; timatsi pashini kametsa.,C1,economic discussion; land defense; family priorities; satire; environmental talk,"ironic, critical, cultural",Contrasts market money with river food and subsistence knowledge central to daily life.,[ʃima te okenkeʃiɾeeɾo kiɾeeki],"Aririka ikobake osheki kireeki, ikantake acharine shima te okenkeshireero kireeki.",Nija jero shima otsonkatakari pankotsi; shima te okenkeshireero kireeki.,"Te pamanero kipatsi irashi kireeki, shima te okenkeshireero kireeki."
Otsiti yameniro kaniri,Agentive finite clause: animal subject otsiti plus transitive verb yameniro and food noun object kaniri.,Protect what sustains the household; pay attention to basic responsibilities.,Pamenaje kametsa paita otsonkatasanotiri pankotsi.,A2,home; gardening; child guidance; humor; household planning,"warm, humorous, practical","Refers to household dogs, manioc foodways, and the daily care of planted or stored food.",[otsiti jameniɾo kaniɾi],"Iriniro okantake jananeki: otsiti yameniro kaniri, ari pamenaje pankotsi.","Te pijate apaniro pashini, otsiti yameniro kaniri.",Apatotake noshaninka jero ikantake otsiti yameniro kaniri.
Kipatsi okemisantiro oijataantsi,Personified transitive clause: inanimate subject kipatsi with auditory/cognitive verb okemisantiro and nominalized object oijataantsi.,"Actions leave traces; the land remembers movement, work, and damage.","Paita pantake oka, omonkarataji pashini kitaiteri.",C1,land use; environmental ethics; historical memory; community law; elder speech,"solemn, literary, ecological","Links territory, paths, footprints, and collective memory of work, defense, and past violence.",[kipatsi okemisantiɾo oihataantsi],"Kipatsi okemisantiro oijataantsi, te ompeyakotero paita yantake atiri.",Acharine ikantake kipatsi okemisantiro oijataantsi aririka ijataje jananeki.,"Pamenaje otsapaki, kipatsi okemisantiro oijataantsi."
Tampia te oshiyitiri kenkeshire,Negative metaphorical clause: natural-force subject tampia plus te and motion/causative predicate oshiyitiri with abstract object kenkeshire.,"A steady mind cannot be carried away by noise, pressure, or gossip.","Atiri ikenkeshireaka katsini, te pashini iñaanatero.",C2,leadership; conflict; grief; spiritual reflection; formal counsel,"philosophical, poetic, elevated","Built on the contrast between visible wind and invisible thought, emphasizing inner composure.",[tampia te oʃijitiɾi kenkeʃiɾe],Te pinkemisantabetaro kisaantsi; tampia te oshiyitiri kenkeshire.,"Jeba ikenkeshireaka katsini, tampia te oshiyitiri kenkeshire.","Aririka okantakotiri osheki atiri, nokantaje tampia te oshiyitiri kenkeshire."
