Idiom,Syntactic Structure,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin,Phonetic Transcription,First Example Sentence,Second Example Sentence,Third Example Sentence
Anar de bòlit,Locució verbal pronominal fixa,"Estar molt ocupat o aclaparat, sovint sense saber per on començar",Estar molt atrafegat o enfeinat,B1,"vida quotidiana, feina, informalitat","col·loquial, informal",Catalunya central; fa referència a l'agitació com si hom fos una pilota (bòlit) rebotant,[əˈna ðə ˈbɔ.lit],Avui a l’oficina anem tots de bòlit perquè tenim una entrega important.,"Amb tants exàmens, la Clara va tot el dia de bòlit.","Des que van néixer els bessons, van de bòlit tota l’estona."
Bufar i fer ampolles,Oració coordinada comparativa fixa,Fer una cosa molt fàcilment,És molt fàcil,A2,"quotidià, humorístic, conversa","col·loquial, humorístic",Popular catalana; la metàfora prové del fet infantil de bufar ampolles de sabó,[buˈfa  i fəɾ əmˈpo.ʎəs],"Aquest exercici és bufar i fer ampolles, no tens excusa.","Per a en Martí, muntar aquest moble va ser bufar i fer ampolles.",Cuinar aquesta recepta és bufar i fer ampolles si segueixes les instruccions.
Fer-ne cinc cèntims,Locució verbal amb pronom feble,Fer un resum breu d’una situació o esdeveniment,Fer un petit resum,B2,"feina, tertúlies, mitjans, relats","neutral, semi-formal",Basat en l’antiga moneda de cinc cèntims com a metàfora d’una petita quantitat,[ˈfeɾ.nə siŋ ˈsɛn.tims],Pots fer-me’n cinc cèntims del que es va dir a la reunió?,Només li va fer cinc cèntims del que va passar al viatge.,"Abans d’entrar al debat, us en faré cinc cèntims."
"Qui dia passa, any empeny","Refrany complet, oració subordinada condicional",Conformar-se i continuar vivint dia a dia,"Sobreviure, continuar malgrat tot",B1,"popular, resignació, saviesa rural","proverbi, irònic, filosòfic",Saviesa popular catalana transmesa oralment; refrany de resignació,[ki ˈdi.ə ˈpa.sə ˈaɲ əmˈpeɲ],"Ara no hi podem fer res… qui dia passa, any empeny.","Sense feina fixa però anem tirant: qui dia passa, any empeny.","Amb aquesta calor ni es pensa… qui dia passa, any empeny!"
Estar com una cabra,Similitud amb verb copulatiu,Estar boig o actuar de manera molt extravagant,Actuar de forma molt estranya o esbojarrada,B2,"humor, família, amics","col·loquial, humorístic",Present en moltes llengües romàniques; en català reforçat per ús rural,[əsˈtaɾ ˈkɔm u.nə ˈka.βɾə],Vol saltar des del terrat? Està com una cabra!,"Sempre fa bromes estranyes, aquest noi està com una cabra.",Ballar amb un paraigua sota la pluja… estàs com una cabra!
Tocar el dos,Locució verbal intransitiva,"Marxar ràpidament, sovint d’amagat o sense avisar","Fugir, marxar",B2,"feina, problemes, evasió","col·loquial, irònic","Origen incert, pot referir-se al número del tren o combinació de cartes",[tuˈkaɾ əl ˈdos],"Quan va veure la policia, va tocar el dos.",Estava fart de tot i va tocar el dos sense dir res.,"No em vinguis amb històries, toca el dos!"
Fotre el camp,Locució verbal vulgar,Marxar amb urgència o menyspreu,Anar-se’n de forma brusca,C1,"enfado, discussió, vulgar","vulgar, agressiu",Derivat de l’ús de ‘fotre’ amb valor d’insult o acció brusca,[ˈfo.tɾə ɾəl ˈkam],Fotre el camp d’aquí abans que perdi la paciència!,"Quan li van parlar malament, va fotre el camp.","Si no t’agrada, fots el camp!"
Tenir fums,Locució verbal amb complement directe,Tenir una actitud prepotent o arrogant,Actuar amb superioritat,B2,"treball, societat, caràcter","irònic, col·loquial",Referència metafòrica als fums que surten del cap; vanitat,[təˈni ˈfums],"Des que el van ascendir, té molts fums.",No et pensis que ets millor: tens fums i prou!,Els artistes sovint tenen fums si tenen èxit.
No dir ni piu,Negació absoluta amb verb dir,"No dir res, quedar-se completament callat",No dir ni una paraula,A2,"quotidià, nens, discreció","col·loquial, simpàtic",Onomatopeia del so petit (piu) com el d’un pollet,[nu ˈdiɾ ni ˈpiw],"Quan van preguntar-li, no va dir ni piu.",La nena estava tan espantada que no deia ni piu.,"Quan va entrar el professor, ningú va dir ni piu."
Treure foc pels queixals,Locució verbal figurada amb verb de moviment,"Estar molt enfadat, rabiós",Enfadar-se molt,C1,"enfado, expressió emocional forta","poètic, expressiu, col·loquial",Imatge hiperbòlica; com si el foc literalment sortís de la boca per ràbia,[ˈtɾɛw.ɾə ˈfɔk pəls kəˈʃals],"Quan li van trencar el cotxe, treia foc pels queixals.","Amb tanta injustícia, molts treuen foc pels queixals.",El pare va treure foc pels queixals quan ho va saber.
