Idiom (Estonian),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Estonian)",First Example Sentence,Second Example Sentence,Third Example Sentence
Ajab pada,"3. p isikulause, verbi fraas",Räägib jama või valetab teadlikult,Räägib ebatõtt või mõttetusi,B1,"igapäevane kõne, huumor","kõnekeelne, irooniline","Tulnud vanast rahvauskumusest, kus pada kees ilmaasjata kui keegi lollust rääkis",[ˈɑ.jɑb ˈpɑ.dɑ],Ära usu teda – ta ajab pada juba pool tundi.,"Kui keegi hakkab rääkima tulnukatest Tallinna vanalinnas, siis see on selge pada ajamine.","Juku jutt oli nii uskumatu, et kõik arvasid, et ta lihtsalt ajab pada."
Käi peedist pesumasin,"Imperatiivne fraas, fikseeritud sõnajärg",Mine ära; jäta mind rahule (tihti irooniliselt),Lahku või lõpeta see jutt,C1,"huumor, sõprade vahel, noortesläng","irooniline, kõnekeelne, humoorikas","Noortekultuuri släng, populaarne 2000ndatel",[kæi ˈpeː.dist ˈpe.su.mɑ.sin],"Kui sa veel kord mu jäätist puudutad, siis käi peedist pesumasin!","Ta viskas nalja, aga ma vastasin talle: 'Käi peedist pesumasin!'",Käi peedist pesumasin – ma ei hakka su salatiteooriaid kuulama.
Nagu kass kõndimas mööda klaasi,"Võrdlus, metafoorne fraas",Liigub või käitub väga ebakindlalt ja ettevaatlikult,On ebalev või ebakindel oma tegevuses,B2,"kirjandus, tööalane olukord, psühholoogia","kirjanduslik, metafoorne",Võrdlus tuleneb loomade liikumismustrist siledatel pindadel,[ˈnɑ.gu ˈkɑsː ˈkɤn.dɪ.mɑs ˈmøː.dɑ ˈklɑː.si],Ta lähenes probleemile nagu kass kõndimas mööda klaasi – aeglaselt ja äärmise ettevaatusega.,Kõnelused kulgesid nagu kass klaasil – iga sõna võis kõik rikkuda.,"Peeter kõndis uude kontorisse nagu kass mööda klaasi, kartes eksida."
Kaks vasakut kätt,Nimisõna fraas,"Väga kohmakas või oskamatu, eriti käelistes tegevustes",Ei oska hästi käsitööd või mehaanilisi töid teha,A2,"igapäevane kõne, töö, kodused tegevused","kõnekeelne, naljakas","Rahvakeelne väljend, mida kasutatakse juba aastakümneid",[kɑks ˈvɑ.sɑ.kut kætː],Ma ei saa seda kappi kokku – mul on kaks vasakut kätt.,"Vanaisa naeris ja ütles, et mul on ikka kaks vasakut kätt.","Remont pole minu teema, sest mul on kaks vasakut kätt."
Paneb punast,"Verbifraas, 3. p, aktiiva",Häbeneb või tunneb piinlikkust,Tunneb end piinlikult,B1,"igapäevane, kool, perekond","kõnekeelne, neutraalne",Tuleb näoilme muutusest piinlikkuse korral,[ˈpɑ.nep ˈpu.nɑst],"Kui õpetaja teda kiitis, pani ta punast.","Ta pani punast, kui kogu klass vaatas tema poole.","Mari paneb alati punast, kui keegi talle komplimendi teeb."
Raha nagu raba,"Võrdlus, liitsõnafraas",Väga palju raha,On väga rikas,B2,"majandus, kõnekeel","kõnekeelne, hüperboolne",Rahvapärane võrdlus loodusliku küllusega,[ˈrɑ.hɑ ˈnɑ.gu ˈrɑ.bɑ],Tal on raha nagu raba – ostab iga kuu uue auto.,Pärast lotovõitu oli neil raha nagu raba.,"See firma teenib nii palju, et neil on raha nagu raba."
Paneb tina,"Verbifraas, 3. p, släng",Tarvitab alkoholi liialt,Joob tugevalt alkoholi,C1,"noortesläng, meelelahutus, huumor","kõnekeelne, irooniline","Slängisõna, populaarne 1990ndatest alates",[ˈpɑ.nep ˈti.nɑ],Jaan paneb reedel jälle tina – nagu alati.,"Kui pidu algas, hakkas Kalle kohe tina panema.",Nad panid nädalavahetusel tina ja ärkasid metsas.
Teeb sääsest elevandi,"Fikseeritud fraas, 3. p, võrdlus",Üle dramatiseerib või liialdab väikese probleemiga,Liialdab tühise asjaga,B1,"perekond, töö, konfliktid","kõnekeelne, kriitiline","Rahvusvaheline väljend, kohandatud eesti kultuuris",[teːb ˈsæː.sest ˈe.le.vɑn.di],Emale ei meeldinud tolm laual – jälle tegi sääsest elevandi.,"Iga kord, kui ma hilinen, teeb õpetaja sääsest elevandi.","Mari teeb alati sääsest elevandi, kui supis pole piisavalt soola."
Suu on lukus,"Fikseeritud fraas, 3. p","Ei räägi, hoiab saladust või on vait",Ei räägi või ei ütle midagi,A2,"sõpruskond, töö, salastatus",neutraalne,Rahvapärane väljend lukustamise metafoorina,[suː on ˈlu.kus],"Räägi ära, mida sa tead! – Ei, suu on lukus.","Sain teada saladuse, aga mul on suu lukus.","Kui boss küsis, kes hilines, olid kõigil suud lukus."
Lööb käega,"Verbifraas, 3. p","Loobub pingutamast, annab alla","Annab alla, ei viitsi enam",B2,"töö, õpingud, sport",neutraalne,Metafoorne väljend seotud loobumise liigutusega,[løːb ˈkæː.gɑ],"Kui töö ei sujunud, lõi ta käega ja lahkus.",Ma ei jõudnud enam parandada – lõin käega.,Eksamil läks halvasti ja ta lihtsalt lõi käega.
