Idiom (Malvi),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Malvi)",First Example Sentence,Second Example Sentence,Third Example Sentence
अक्कल को ढाँढो,Fixed metaphorical noun phrase; genitive construction with masculine singular head noun.,A foolish or extremely naive person who repeatedly fails to understand simple matters.,वो मनख समझदार नी है।,B1,daily speech; family teasing; village humor; mild criticism; storytelling,colloquial; humorous; mildly mocking,"Draws on agrarian Malwa imagery where ढाँढो evokes a working animal, used humorously for dullness or stubborn lack of judgment.",[ək.kəl ko ɖʱãː.ɖʱo],"रमेश फिर कागद उलटो भर आयो; लोग बोले, “अक्कल को ढाँढो है, पहले पढ़ी तो लेतो।”","इतनी समझावणी पाछे भी थूं वही भूल करी, अक्कल को ढाँढो बन्यो फेरतो है।","बा बालक नी, अक्कल को ढाँढो है; काम करवा सूं पहिले खेलन भाग जावे है।"
ढपोर शंख,Fixed compound nominal idiom functioning as a predicate noun or epithet.,A person who makes grand promises or boasts loudly but delivers nothing substantial.,"वो घणो वादो करे, पण काम नी करे।",B2,politics; workplace complaints; marketplace talk; satire; informal debate,colloquial; sarcastic; critical,Linked in Malwa oral explanation to a story of a shell that only promises desired things but never gives them.,[ɖʱə.poːr ʃəŋkʰ],"गाँव को नया मुखिया ढपोर शंख निकळ्यो; सभा में बोल्यो घणो, काम एक नी कर्यो।","सेठ जी रोज तनखा बढ़ावण की बात करे, पण मजदूरां ने अब वो ढपोर शंख लागे है।","थारे वादां पे भरोसो नी, पाछली वार भी तू ढपोर शंख साबित थयो।"
ओछी पूँजी ने अजवाँ में हाथ,Elliptical proverb-like clause; adjective+noun subject with conjunctive particle and locative complement.,"Trying to spend, invest, or act beyond one’s actual means or capacity.","जितनी औकात है, इतनोज खर्च करजो।",B2,business; household budgeting; weddings; agriculture; advice,colloquial; cautionary; practical,Reflects Malwa bazaar and household thrift culture; small capital reaching into costly spice or luxury territory becomes a warning against overreach.,[oː.t͡ʃʰi puːn.d͡ʒi ne əd͡ʒ.ʋãː meː haːtʰ],छोटकी दूकान पे महल जत्तो खर्च कर दियो; ओछी पूँजी ने अजवाँ में हाथ हो गयो।,ब्याव में उधार लई ने बैंड बुलावसो तो ओछी पूँजी ने अजवाँ में हाथ कहलाय।,"खेती में बीज जत्तो पैसा नी, और ट्रैक्टर नया लेण चली; ओछी पूँजी ने अजवाँ में हाथ है।"
"घर में पड़े फाँका, बाबूजी फरे बाँका",Rhymed balanced proverb; locative clause plus contrastive habitual clause.,Maintaining a showy public image while the household is actually struggling.,"घर की हालत खराब है, पण बाहर दिखावो करे है।",C1,family talk; social satire; village gossip; financial advice; humor,colloquial; ironic; satirical,"Comes from Malwa’s social prestige culture, where outward dress and swagger may hide food scarcity or debt inside the home.",[ɡʱər meː pəɽeː pʰãː.ka | baː.bu.d͡ʒi pʰə.reː bãː.ka],"घर में पड़े फाँका, बाबूजी फरे बाँका; उधार की पगड़ी बाँधी ने चौपाल पे इतरावे है।","छोरा की फीस बाकी है, और वो नया कोट सिवायो; घर में पड़े फाँका, बाबूजी फरे बाँका।","बाजार में मिठाई बाँटे, घर पे दाल नी; म्हारी काकी बोली, घर में पड़े फाँका, बाबूजी फरे बाँका।"
चोरी को माल मोरी में,Condensed nominal-locative proverb; possessed noun phrase plus locative postpositional phrase.,Dishonestly gained wealth disappears quickly and brings no lasting benefit.,गलत रीत सूं कमायेल धन टिकतो नी।,B2,ethics; family warning; legal talk; folk teaching; moral storytelling,colloquial; moralizing; cautionary,Uses the domestic image of dirty water flowing into a drain to express the folk belief that corrupt gains are wasted.,[t͡ʃoː.ri ko maːl moː.ri meː],"चोरी को माल मोरी में, रात भर जुआ खेली ने सब रुपया उड़ाई दियो।","जमीन का कागद झूठो बनायो, पण केस में सब गयो; चोरी को माल मोरी में।","बेईमानी सूं कमाई चीज घर में टिके नी, दादा कहे, चोरी को माल मोरी में।"
"बोयो पेड़ बबूल को, तो आम काँ से होय",Conditional-causal proverb; perfective participial clause followed by rhetorical question.,Bad actions cannot produce good results; outcomes follow the nature of one’s deeds.,"जैसो काम करसो, वैसो फल मिलसी।",B1,moral education; parenting; agriculture; dispute resolution; school talk,colloquial; didactic; proverbial,"Rooted in Malwa’s farming worldview, comparing moral consequence to the predictable fruit of a planted tree.",[boː.jo peːɽ bə.buːl ko | to aːm kãː seː hoːj],"बोयो पेड़ बबूल को, तो आम काँ से होय; दिन भर आलस करसी तो फसल कदी नी आवे।","तू साथी ने धोको देसी और भरोसो माँगसी? बोयो पेड़ बबूल को, तो आम काँ से होय।","मास्टरजी बोला, नकल करोगा तो ज्ञान नी आवे; बोयो पेड़ बबूल को, तो आम काँ से होय।"
नींद बेची ने उजरको मोल लेनो,Serial-verb infinitival idiom; perfective converb plus object-complement verb phrase.,"To invite trouble deliberately by giving up peace, safety, or rest.",बिना जरूरत आफत अपने माथे लेणो।,C1,legal disputes; risky business; family warnings; politics; crisis advice,colloquial; cautionary; vivid,"Contrasts precious sleep with purchased उजरो/उजरको, a vivid folk image for disturbance, trouble, or unnecessary hardship.",[niːnd beː.t͡ʃi ne ud͡ʒ.ər.ko moːl leː.no],"बिना सोच्या मुकदमे में कूदी पड़्यो, नींद बेची ने उजरको मोल ले लियो।",शांत खेत छोड़ के झगड़ालू साझेदारी करसी तो नींद बेची ने उजरको मोल लेसी।,"म्हें थने कहूँ, रात की बात दिन में मत फैलाव; नींद बेची ने उजरको मोल लेवणो नी।"
कटी आंगली पे नी मूते,Fixed negative finite clause; locative body-part phrase plus negated habitual verb.,Someone is so unhelpful that they will not assist even in a small emergency.,वो संकट में भी मदद नी करे।,C1,family conflict; neighbor relations; workplace complaint; sarcasm; crisis narration,colloquial; sharp; sarcastic; mildly vulgar body-reference,"Connected to a rural belief that urine could stop bleeding from a cut, turning refusal of even that folk remedy into an image of extreme non-cooperation.",[kə.ʈi aːŋ.ɡə.li peː niː muː.ʈe],"पड़ोसी संकट में पड़्यो तो भी वो कटी आंगली पे नी मूते, बस बहाना बनावतो रह्यो।",उका भरोसे काम मत राखजो; जरूरत पड़े तो कटी आंगली पे नी मूते।,"मेला में थैलो खो गयो, पण साथी कटी आंगली पे नी मूते जत्तो भी साथ नी दियो।"
पूछबा वालो कदी नी डोटाए,Relative-participial subject plus negated habitual verb; generic gnomic sentence.,One who asks questions or seeks guidance does not go astray.,सलाह पूछोगा तो भूल कम होसी।,A2,travel; schooling; apprenticeship; elder advice; customer service,colloquial; encouraging; practical,"Reflects older travel habits in Malwa, where directions were learned by asking at lanes, wells, markets, and crossroads.",[puːt͡ʃʰ.baː ʋaː.lo kə.di niː ɖoː.ʈaː.e],पूछबा वालो कदी नी डोटाए; थूं चौराहा पे बुजुर्गां सूं रस्तो पूछ ले।,"नवो काम सीखण में संकोच मत कर, पूछबा वालो कदी नी डोटाए।","इंदौर की गली पहली वार आवे तो पानवाले ने पूछजो, पूछबा वालो कदी नी डोटाए।"
महादेवजी का औगण तो नांदियो ही जाने,Possessive noun phrase with focus particle; finite epistemic clause expressing insider knowledge.,Only someone close to a person truly knows that person’s flaws or hidden habits.,नजदीक रहण वालो ही असल कमी जाणे।,C2,family discussion; literary speech; character judgment; satire; reflective commentary,proverbial; culturally resonant; reflective; mildly ironic,"Uses the devotional image of Mahadev and Nandi, familiar across Malwa’s temple culture, to express intimate knowledge through sacred companionship.",[mə.haː.deːʋ.d͡ʒi ka oː.ɡəɳ to nãː.di.jo hiː d͡ʒaː.ne],महादेवजी का औगण तो नांदियो ही जाने; घर की बात बाहर वालो कईं समझे।,"गाँव वालां ने सेठ सीधो लागे, पण मुनीम जाणे; महादेवजी का औगण तो नांदियो ही जाने।","मंच पे नेता मीठो बोले, पण संग चलण वालां ने मालम; महादेवजी का औगण तो नांदियो ही जाने।"
