Idiom (Basque),Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Basque)",First Example Sentence,Second Example Sentence,Third Example Sentence
Burua galdu,Transitive verb phrase; 'burua' (noun) + 'galdu' (verb),To lose control emotionally or mentally,Egoera emozionala galdu,B2,"Daily speech, stress, anger",Colloquial,Widespread usage across all Basque regions; reflects intense emotional states,[buˈɾu.a ɡalˈdu],Atzo laneko presioarekin burua galdu nuen.,Eztabaidan burua galtzen duen jendearekin nekatuta nago.,Ez du zentzurik burua galtzeak egoera honetan.
Hatzik hatz ez ukitu,"Negative clause, fixed structure with emphasis",To not do anything at all,Ezer ez egin,B1,"Daily speech, complaint, sarcasm","Colloquial, ironic",Heavily used in Bizkaia and Gipuzkoa,[aʦik aʦ esuˈkitu],Egun osoa etxean egon da hatzik hatz ez ukitu gabe.,Ikasleek hatzik hatz ez ukitu eta gero kexatzen dira.,"Hatzik hatz ez ukitu duzunez, lan guztia nik egin dut."
Aho bete hortz geratu,Reflexive verb phrase; passive structure with intransitive verb,"To be left speechless, surprised",Harrituta geratu,B2,"Daily speech, surprise, humor","Colloquial, humorous",Used broadly across all dialects,[a.o βe.te oɾʦ ɡe.ɾa.tu],"Zer esan zuen entzutean, aho bete hortz geratu nintzen.",Aho bete hortz geratu dira albistea jakin dutenean.,Halako ustekabearekin aho bete hortz uzten duzu beti.
Txakur zaharrari trikimailu berriak ezin irakatsi,Negative sentence with dative construction,You can't teach an old dog new tricks,Ohitura zaharrak aldatzea zaila da,C1,"Wisdom, workplace, social critique","Proverbial, literary",Old proverb; rural roots,[ʧa.kuɾ sa.ʝa.ɾa.ɾi tɾi.ki.mai.lu βe.ri.jak e.sin i.ɾa.katʃi],"Txakur zaharrari trikimailu berriak ezin irakatsi, eta bera berean jarraitzen du.",Horregatik ez du berrikuntzarik onartzen: txakur zaharra da.,"Aholkulariak saiatu arren, ezinezkoa da: trikimailu berriak ez zaizkio sartzen."
Gatz eta piper,Coordinated noun phrase; elliptical expression,"Charm, liveliness, spirit",Bizitasuna edo grazia,B1,"Literature, daily speech, compliments","Poetic, literary",Traditional metaphor likening spice to character,[ɡaʦ e.ta pi.peɾ],Zure antzezpenak gatz eta piper du beti.,Festetan gatz eta piper falta zen aurten.,"Gatz eta piperdun haurra da, beti mugimenduan."
Zakurra eta oiloa elkarrekin,Fixed subject clause,Two opposites together in conflict or tension,"Ez datoz bat, elkarrekin ez dute ondo funtzionatzen",C1,"Politics, social life, family disputes","Ironic, metaphorical",Pastoral imagery reflecting natural conflict,[sa.ku.ra e.ta o.i.lo.a el.ka.re.kin],Bi politikari horiek zakurra eta oiloa elkarrekin dira.,Elkarrekin lan egitea zakurra eta oiloa bezalakoa da.,"Bikote hori zakurra eta oiloa da, egunero haserre."
Zuloan sartuta bezala,Comparative clause with adverbial phrase,To feel cornered or shy,Lotsatuta edo isolatuta egon,A2,"Children, school, personal emotions",Colloquial,Universal rural imagery; hiding in a burrow,[ʦu.lo.an saɾ.tu.ta be.ʃa.la],"Klasean galdetu diotenean, zuloan sartuta bezala geratu da.",Ez zen ezer esan: zuloan sartuta bezala zegoen.,Jende artean beti dago zuloan sartuta bezala.
Buruarekin pareta jo,Instrumental noun + verb phrase,To be stubborn despite obstacles,Etsitu gabe saiatu,B2,"Workplace, resilience, sports",Colloquial,Common metaphor of futile persistence,[bu.ɾu.a.ɾe.kin pa.ɾe.ta ʝo],"Plan hori ez da aterako, buruarekin pareta jotzea da.","Berriro saiatu da, buruarekin pareta jo arte.",Batzuek ez dute amore ematen: buruarekin pareta jotzen jarraitzen dute.
"Hamaika buru, hamaika aburu",Proverbial expression with coordination,Each person has their own opinion,Pertsona bakoitzak bere iritzia du,B1,"Debate, politics, family",Proverbial,Deeply rooted in Basque social values of independence,[a.ma.i.ka bu.ɾu a.ma.i.ka a.bu.ɾu],"Asanbladan beti gertatzen da: hamaika buru, hamaika aburu.","Hamaika buru, hamaika aburu: ezinezkoa da adostea.","Eztabaida amaigabea da: hamaika buru, hamaika aburu."
Sua piztu gabe erre,Infinitive construction with negative prefix,To achieve something with little effort,Lan handirik gabe emaitza lortu,C1,"Workplace, irony, praise",Ironic,Basque cooking metaphor; used in Bizkaia,[su.a pis.tu ɡa.βe e.re],"Proiektua sua piztu gabe erre dute, ikaragarri ondo.",Berak beti sua piztu gabe erretzen du: talentua du.,Ez dut ulertzen nola hain azkar egin duen: sua piztu gabe erre du.
