Idiom (Guere),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Guere)",First Example Sentence,Second Example Sentence,Third Example Sentence
Zɩ 'bhle se -nɩ 'kpɔn tɩ.,Fixed negative proverb clause; elder noun phrase as subject + negative stative predicate + locative complement.,"Advice from elders may be ignored at first, but it remains valuable and often becomes useful later.",Zɩ a 'wlu 'je 'tɩ kpaa.,B2,family advice; youth correction; dispute mediation; village meetings,respectful; proverbial; cautionary,"Elder-council speech associated with Guiglo and Duékoué family mediation; foregrounds age, memory, and communal responsibility.",[zɩ́ ɓlè sè nɩ̀ kpɔ́n tɩ̀],"Mɔ nɛ ao -saaɛ, zɩ 'bhle se -nɩ 'kpɔn tɩ, 'wlu zɩ a -tɩ.","Kɔfi dɩ sɔɔ, ka zɩ 'bhle se -nɩ 'kpɔn tɩ 'nynɩ ɛ.","Ɛ -wɛe gbla -dho, zɩ 'bhle se -nɩ 'kpɔn tɩ, ao 'de dɩ."
"Nyi 'wlu -kɔɔ, pirogɩ se 'dho -tɩ.",Conditional proverb; temporal subordinate clause + negative main clause with inanimate subject.,"When danger is evident, a wise person stops arguing and takes action.","Nɛ -gbo dɩ, ao ke 'tɩ kpaa.",C1,travel warnings; political advice; farming decisions; conflict avoidance,serious; admonitory; pragmatic,River-crossing imagery linked to forest routes and market movement around western Ivorian waterways.,[ɲí wlù kɔ́ː piɾoɡɩ̀ sè dʰò tɩ̀],"Nyi 'wlu -kɔɔ, pirogɩ se 'dho -tɩ, -bo ke gbla nɛ.","Ao 'je tai -saa, nyi 'wlu -kɔɔ, pirogɩ se 'dho -tɩ.","Mɛ nɛ -gbo 'nynɩ, nyi 'wlu -kɔɔ, pirogɩ se 'dho -tɩ."
"Gɔɔ 'klɔɔ 'ʋn, ɛ se 'gbɔn 'nɩ.",Metaphorical animal proverb; locative noun phrase + negative reflexive-like predicate.,A person’s real character cannot stay hidden forever.,Nɛ a 'sia se 'pɛ nɩ.,B2,character judgment; leadership critique; family talk; storytelling,colloquial; ironic; evaluative,Forest-animal imagery drawing on leopard symbolism in western forest communities.,[ɡɔ́ː klɔ́ː ʊ̀n ɛ̀ sè ɡ͡bɔ́n nɩ̀],"Gɔɔ 'klɔɔ 'ʋn, ɛ se 'gbɔn 'nɩ, yɛɛ dɩ nɛ a 'sia.","Ao -nyɩ mɛ -kea, gɔɔ 'klɔɔ 'ʋn, ɛ se 'gbɔn 'nɩ.","Tɔɔ 'wlu nɛ -bo, gɔɔ 'klɔɔ 'ʋn, ɛ se 'gbɔn 'nɩ."
"'Dho 'tɩ -kpaa, 'saa se 'nɩ.",Compact fixed clause; nominalized body-part subject + negative predicate + path noun complement.,A steady and patient person does not lose the way to a goal.,"Nɛ -dɔɔ 'de -saa nʋɛ, ɛ 'je 'tɩ.",B1,work ethic; apprenticeship; farming; school encouragement,encouraging; practical; proverbial,"Path imagery associated with long forest walks, apprenticeship, and persistence in rural labor.",[dʱò tɩ́ kpáː sáː sè nɩ̀],"'Dho 'tɩ -kpaa, 'saa se 'nɩ, -bo ke 'blʋa kɛ.","Ma 'nynɩ nɛ 'dho 'tɩ -kpaa, 'saa se 'nɩ.","Ɛ 'je dho-dho, 'dho 'tɩ -kpaa, 'saa se 'nɩ."
"Kɔ 'bɔɔ nɛ a 'nynɩ, -wɛe a 'wlu se nɩ.",Causal metaphor clause; possessed heart noun phrase + evidential consequence clause.,Resentment inside someone eventually appears in their speech.,"Nɛ kɔ -gbo, ɛ 'wlu -gbo.",C1,marriage disputes; negotiation; family reconciliation; workplace tension,reflective; diagnostic; mildly critical,"Draws on heart-and-speech imagery common in counselling, apology, and reconciliation settings.",[kɔ́ bɔ́ː nɛ̀ á ɲɩ́nɩ̀ wɛ́ː á wlù sè nɩ̀],"Kɔ 'bɔɔ nɛ a 'nynɩ, -wɛe a 'wlu se nɩ, nɛɛ -tɩ.","Ɛ 'wlu -gbo kpɛ, kɔ 'bɔɔ nɛ a 'nynɩ, -wɛe a 'wlu se nɩ.","Ao gbla dɩ; kɔ 'bɔɔ nɛ a 'nynɩ, -wɛe a 'wlu se nɩ."
"'Jru 'dɔe -gbo, gbɛɛ se 'kpɔn kɛ.",Temporal proverb; time noun phrase + negated evaluative predicate with object noun.,"In difficult times, people should not despise small sources of help.","Nɛ -gbo 'de, 'nyɩ kpaa nɛ 'dɔe.",B2,poverty; crisis support; mutual aid; humility,humble; moralizing; warm,"Night-fire imagery related to household fires, scarcity, and shared survival in village compounds.",[dʒɾú dɔ́è ɡ͡bò ɡbɛ́ː sè kpɔ́n kɛ̀],"'Jru 'dɔe -gbo, gbɛɛ se 'kpɔn kɛ, -bo 'nyɩ ma.","Mɛɛ 'dɩɛ se -dho, 'jru 'dɔe -gbo, gbɛɛ se 'kpɔn kɛ.","Ao -wɛe ma 'nyɩ, 'jru 'dɔe -gbo, gbɛɛ se 'kpɔn kɛ."
"Taa 'de kɛɛ, 'bhle 'de -tɩ.",Parallel proverb; repeated locative verb frame with two coordinated subjects.,"Alcohol, excitement, or celebration can loosen people’s speech and reveal secrets.","Nɛ taa -dho, ɛ 'wlu -dho.",C1,celebrations; humor; caution before public speech; social gatherings,humorous; cautionary; slightly ironic,Palm-wine and public-palaver imagery associated with festive gatherings and market-day talk.,[táː dè kɛ́ː ɓlè dè tɩ̀],"Taa 'de kɛɛ, 'bhle 'de -tɩ; ao se 'wlu kpɔn 'ʋn.","Kpaao -fɛɛn 'de, taa 'de kɛɛ, 'bhle 'de -tɩ.","Ɛ 'wlu kɛ, ka zɩ 'nynɩ taa 'de kɛɛ, 'bhle 'de -tɩ."
"Mɛ 'nyɩ -ble, 'gbla se -ble nɩ.",Elliptical comparison clause; body-part noun subject + contrasted negative predicate.,"Fairness requires sharing benefits, not letting one side enjoy everything.",Nɛɛ 'nyɩ kɛɛkpɛ 'de 'tɩ kpaa.,B1,family sharing; market fairness; community work; resource distribution,colloquial; justice-oriented; firm,Eye-and-mouth imagery used to criticize unequal sharing in household and cooperative work.,[mɛ́ ɲɩ́ blè ɡ͡blà sè blè nɩ̀],"Mɛ 'nyɩ -ble, 'gbla se -ble nɩ, -bo 'nyɩ yɛɛ kɛɛkpɛ.","Ao -nyɩ kaka kpɩ, mɛ 'nyɩ -ble, 'gbla se -ble nɩ.","Mɛ 'nyɩ -ble, 'gbla se -ble nɩ, zɩ dɩ kpa wɔn."
"Kpa 'dɩ nɛ -yɔ, -bo -sea 'nɩ.",Agentive proverb; relative clause with hand noun subject + negative result predicate.,Anyone involved in a messy action leaves traces and shares responsibility.,"Nɛ ke -gbo, ɛ 'de -gbo 'ʋn.",C2,accountability; legal mediation; politics; moral instruction,stern; forensic; accusatory,Palm-nut and farm-labor imagery linked to visible evidence after communal work or wrongdoing.,[k͡pá dɩ́ nɛ̀ jɔ̀ bò sèa nɩ̀],"Kpa 'dɩ nɛ -yɔ, -bo -sea 'nɩ, ao 'de ɛ 'ʋn.","Mɔ 'wlu dɩ kɛ, kpa 'dɩ nɛ -yɔ, -bo -sea 'nɩ.","Kpa 'dɩ nɛ -yɔ, -bo -sea 'nɩ; yɛɛ se 'gbɔn kɛ."
"'Saa 'dian -kea, gbla 'dian se -kea.",Antithetical proverb; parallel noun phrases with contrastive negative predicate.,"Paths may become overgrown, but spoken words keep travelling and cannot be fully buried.","Nɛ 'wlu 'de, ɛ dho mɔ 'ʋn.",C2,rumor; public reputation; diplomacy; literature; warning against careless speech,poetic; philosophical; cautionary,"Road-and-mouth imagery reflecting oral transmission, reputation, and the authority of spoken testimony.",[sáː dián kèa ɡ͡blà dián sè kèa],"'Saa 'dian -kea, gbla 'dian se -kea, ao 'wlu 'tɩ kpaa.","Ɛɛ 'wlu 'ʋn -dho, 'saa 'dian -kea, gbla 'dian se -kea.","Zɩ dɩ nɔɔ -bo, 'saa 'dian -kea, gbla 'dian se -kea."
