Idiom (Turkmen),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Turkmen)",First Example Sentence,Second Example Sentence,Third Example Sentence
Gözüniň ýagyny iýmek,Reflexive idiomatic verb phrase; object with possessive suffix,To cherish or love someone deeply; to value someone immensely,Birini gaty söýmek ýa-da sylamak,B2,"Family, affection, daily speech","Colloquial, warm, affectionate","Originates from a poetic image of one’s eyes producing ‘oil,’ representing deep love and care in Turkmen poetry",[ɡøˈzʏnɪɲ jɑˈɣɯnɯ iˈjmek],Ejesi oglunyň gözüniň ýagyny iýýärdi.,"Ol çagalaryna şeýle mähir bilen seredýär welin, gözüniň ýagyny iýýär diýip bolar.",Atasy agtygynyň gözüniň ýagyny iýýärdi.
Ýagy üstüne ýag goşmak,Verbal phrase with postpositional construction,To make a bad situation worse; to worsen something unnecessarily,Bir ýagdaýy hasam erbetleşdirmek,C1,"Workplace, conflict, sarcasm","Ironic, sarcastic, colloquial",Derived from traditional Turkmen cooking idioms; implies unnecessary excess,[jɑˈɣɯ ʏsˈtyne jɑˈɣ ɡoʃˈmɑk],"Ýalňyşyny boýun almak ýerine, ýagy üstüne ýag goşdy.","Ol aýdany bilen ýagdaýy düzeltmän, diňe ýagy üstüne ýag goşdy.","Işde bolan dawa barada aýdyp, ýagy üstüne ýag goşma."
Agzyndan bal damýar,Fixed descriptive clause; third-person present tense,To speak very sweetly or charmingly,"Gowy, ýakymly gürlemek",B1,"Compliment, social setting, humor","Colloquial, humorous",Turkmen oral tradition associates ‘bal’ (honey) with kindness and eloquence,[ɑɣzɯnˈdɑn bɑl dɑmˈjɑr],"Ol gepleýärkä, agzyndan bal damýar.","Gyzlaryň öňünde gepleýärkä, agzyndan bal damýar.",Gowy gürrüň edýän adamlaryň agzyndan bal damýar diýýärler.
"Elini ýuwup, agzyny süpürmek",Compound verb phrase; idiomatic sequential construction,To claim credit for someone else’s work,Biriniň işiniň netijesini özüne almak,C1,"Politics, workplace, sarcasm","Sarcastic, critical, formal",Rooted in Turkmen hospitality rituals; washing hands after a feast symbolized partaking without contribution,[eˈlinɪ juˈwʊp ɑɣzɯˈnɯ sʏpʏrˈmek],"Işi biz etdik, emma ol elini ýuwup, agzyny süpürdi.","Başga biriniň zähmetine elini ýuwup, agzyny süpürmek dogry däl.","Ol hemişe elini ýuwup, agzyny süpürýär."
Başyna bela salmak,Verbal phrase with postpositional object,To get oneself into trouble,Özüne kynçylyk döredýän ýagdaý döretmek,B2,"Everyday life, warnings","Neutral, cautionary",Traditional saying implying spiritual and physical misfortune ‘on one’s head’,[bɑʃɯˈnɑ beˈlɑ sɑlˈmɑk],Ol gereksiz gürrüň bilen başyna bela saldy.,"Eger şeýle hereket etseň, başyňa bela salar.",Başyna bela salmaz ýaly oýlanyşsyz iş etme.
Dilini dişläp durmak,Reflexive idiomatic clause,To refrain from speaking; to hold one’s tongue,Bir zat aýtmakdan saklanmak,C1,"Social caution, politics, workplace","Cautious, formal, ironic",Derived from the physical act of biting one’s tongue to avoid speaking in anger,[diˈlinɪ diʃˈlɛp duɾˈmɑk],"Ol gahary gelse-de, dilini dişläp durdy.",Käbir ýagdaýlarda dilini dişläp durmak gowudyr.,"Men onuň gürrüňine jogap berjek boldum, soň dilimi dişläp durdum."
Ýüregine ot düşmek,Idiomatic intransitive construction; metaphorical noun-verb pairing,To feel deep sorrow or emotional pain,Gaty gynanmak,B2,"Emotion, tragedy, literature","Poetic, emotional",Ancient Turkic metaphor linking the heart (‘ýürek’) and fire as emotional imagery,[jyˈregɪnɛ ot dyʃˈmɛk],Habar gelen badyna onuň ýüregine ot düşdi.,Ýüregine ot düşen adamyň ýüzünden belli bolýar.,"Ýüregime ot düşdi, näme etjegimi bilmedim."
"Gapydan çykyp, derwezeden girmegiň",Complex clause with contrastive verbal pair,To contradict oneself or act inconsistently,Özüne garşy hereket etmek,C1,"Politics, irony, debate","Ironical, sarcastic",Refers to traditional Turkmen compound houses with separate entrances; symbolizes inconsistency,[ɡɑpɯˈdɑn tʃɯˈqɯp derʋeˈzeden ɡirˈmɛɡɪn],"Ol bir aýdýar, soň başga edýär — gapydan çykyp, derwezeden girýär.","Sözünde durmady, gapydan çykyp, derwezeden girdi.","Gapydan çykyp, derwezeden girýän adamlara ynanmak kyn."
Barmagyny agzyna salmak,Idiomatic action phrase with reflexive nuance,To be astonished or amazed,Haýran galmak,B1,"Amazement, humor, storytelling","Colloquial, vivid",Based on a traditional gesture of surprise in Turkmen villages,[bɑɾmɑˈɣɯnɯ ɑɣzɯˈnɑ sɑlˈmɑk],"Ol gürrüňi eşidip, barmagyny agzyna saldy.",Barmagyny agzyna salmadyk adam galmady.,"Şeýle täsin zat görüp, hemmeler barmagyny agzyna saldy."
Ýel ýörän ýol bilen gitmek,Poetic verbal phrase; metaphorical expression,To follow a doomed or futile path,Netijesi ýok ýoly saýlamak,C2,"Literary, philosophical, political discourse","Poetic, formal, reflective",Rooted in Turkmen epic poetry; symbolizes futility and fate,[jel jøˈræn jol biˈlæn ɡitˈmɛk],Ýel ýörän ýol bilen gitmek gowulyk getirmez.,"Ol ýel ýörän ýol bilen gitdi, netijesi hem şo boldy.",Ýel ýörän ýol bilen giden adamlar yzlaryna seredýärler.
