Idiom (Ingrian),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Ingrian)",First Example Sentence,Second Example Sentence,Third Example Sentence
Süän männöö jäähä,Fixed metaphorical clause: noun subject + intransitive verb in present/past agreement + illative noun; allows tense variation.,"To become suddenly frightened, shocked, or emotionally frozen.",Pelästüä kovasti tai tulla hyvin levottomaks.,B1,family talk; warnings; memories; storytelling; sudden news,colloquial; vivid; sympathetic,"Uses cold and ice imagery familiar in northern Finnic rural life around winter, rivers, and unsafe travel.",[ˈsyæn ˈmænːøː ˈjæːhæ],"Kun uutinen tuli joelt, ämmän süän männi jäähä, eikä hää heti puhunu.","Miun süän männöö jäähä, jos lapsi ei palaa pimeän eellä kottii.",Älä huuva niin kovaa; nuoremman süän männöö jäähä.
Suu pittää panna lukkoo,Modal verbal phrase: object noun + modal verb pittää + infinitive panna + illative/locative metaphor; object may take possessive context.,"To keep silent, especially to protect a secret or avoid harmful speech.",Olla hiljaa ja olla kertomatta asiaa muille.,A2,secrets; village gossip; family matters; workplace discretion,colloquial; practical; mildly humorous,Reflects village-community norms where spoken news traveled quickly and discretion protected households.,[suː ˈpitːæː ˈpɑnːɑ ˈlukːoː],"Suu pittää panna lukkoo, ku pereen asia ei kuulu kylälle.","Seppä tiesi hinnan, mutta pani suun lukkoo toril.","Miä panen suun lukkoo, ennen ku sanon liikaa vihas."
Olla kahen tuulen väliz,Copular predicate phrase: infinitive/copula + genitive numeral phrase + noun + inessive postpositional noun; supports person and tense inflection.,"To be caught between two pressures, loyalties, choices, or opinions.",Olla epävarma kahen eri vaihtoehon tai ryhmän väliz.,B2,politics; family decisions; workplace negotiations; migration choices,neutral; reflective; slightly poetic,"Wind imagery fits coastal and lakeside Ingria, where weather and direction shaped travel, fishing, and field work.",[ˈolːɑ ˈkɑhen ˈtuːlen ˈvæliz],Nuori opettaja on kahen tuulen väliz: jäävväänkö kylää vai männäkkö kaupunkii.,"Hää seisoi kahen tuulen väliz, ku vanhat ja nuoret tahtoivat eri tietä.",Yritykses johtaja oli kahen tuulen väliz ennen sopimusta.
"Silmä näkköö, käzi ei yllä","Balanced coordinate proverb: subject + present verb, subject + negative auxiliary + lexical verb; parallel clause structure.",Something is desired or visible but remains out of reach or beyond one’s ability.,"Asia näyttää maholliselt, mutta sitä ei voi saaha tai tehä.",B1,shopping; childhood; ambition; envy; practical advice,colloquial; proverbial; gently ironic,Body-part parallelism is common in Finnic-style proverbial speech and suits oral teaching.,[ˈsilmæ ˈnækːøː ˈkæzi ei ˈylːæ],"Lapsel silmä näkköö, käzi ei yllä, ku kukka kasvaa aidan takan.","Miul oli kaupas sama tunne: silmä näkköö, käzi ei yllä.","Älä lupaa liikaa, jos jo tiedät, jotta silmä näkköö, käzi ei yllä."
Ei lumi peitä vanhaa polkua,Negative proverbial clause: negative auxiliary + noun subject + finite verb + adjective-noun object; mostly fixed wording.,"Old actions, relationships, or truths cannot stay hidden forever.",Vanha asia tulee lopulta ilmi tai jää ihmisten muistoo.,B2,memory; moral lessons; local history; family stories; accusations,proverbial; serious; moralizing,"Winter landscape imagery links visible tracks, snow cover, and community memory in northern village settings.",[ei ˈlumi ˈpeitæ ˈvɑnhɑː ˈpolkuɑ],"Ei lumi peitä vanhaa polkua; kylä muistaa, kuka autto hädäs.","Kirje löytyi arkust, ja taas nähtii, ettei lumi peitä vanhaa polkua.","Kun meez kielsi tekonsa, ämmä sanoi hiljaa: ei lumi peitä vanhaa polkua."
Kantaa vettä seulaz,Verb phrase: transitive verb + partitive object + inessive instrument noun; may occur as infinitive or finite predicate.,To do useless work that cannot succeed because the method is wrong.,"Tehä turhaa työtä, joka ei anna tulosta.",B1,workplace; repairs; teaching; bureaucracy; frustration,colloquial; critical; humorous,Domestic tool imagery reflects household labor and practical rural evaluations of wasteful effort.,[ˈkɑntɑː ˈvetːæ ˈseulɑz],"Hää kantaa vettä seulaz, jos korjaa kattoa vain sanoin.",Ilman opettajaa tämä työ on ku kantaa vettä seulaz.,Miä en taho kantaa vettä seulaz; kirjuta sääntö ensin selvää.
Puhhua ku kala kuivalla maalla,Comparative simile idiom: infinitive/finite speech verb + ku-comparison + noun phrase in adessive location.,"To speak clumsily, helplessly, or without confidence in an unfamiliar situation.",Puhhua epävarmast tai kömpelöst.,B2,public speaking; school; official meetings; humor; embarrassment,colloquial; humorous; self-deprecating,"Fish and dry-land contrast draws on river, lake, and coastal livelihoods familiar to Ingrian communities.",[ˈpuhːuɑ ku ˈkɑlɑ ˈkuivɑlːɑ ˈmɑːlːɑ],"Kun minult kysyttii laista, miä puhuin ku kala kuivalla maalla.","Poika osaa laulut, mutta vieraitten eez puhuu ku kala kuivalla maalla.",Älä pelkää kokkousta; muutoin siä puhut ku kala kuivalla maalla.
Leipä ei tule laiskan kätee,Negative gnomic clause: noun subject + negative auxiliary + motion verb + genitive/adjectival possessor + illative noun.,"Good results, livelihood, or skill require effort; laziness brings nothing.",Tuloksen saamiseks pitää tehä työtä.,A2,education; family advice; workplace discipline; farming; language study,proverbial; instructive; plain,"Bread imagery reflects agrarian labor, household subsistence, and moral teaching through food metaphors.",[ˈleipæ ei ˈtule ˈlɑiskɑn ˈkæteː],"Leipä ei tule laiskan kätee, sanoi izä, ja vei pojan pellolle.","Jos tahot osata ižoran keelt, muista: leipä ei tule laiskan kätee.","Työpaikal kaikki tietää, ettei leipä tule laiskan kätee."
Korppi istuu mielel,Metaphorical existential clause: animal noun subject + intransitive posture verb + adessive mental-state noun; accepts possessive/dative context.,"To feel gloomy, suspicious, brooding, or weighed down by dark thoughts.","Olla surullinen, epäluuloinen tai synkkämielinen.",C1,literature; personal emotion; weather talk; sarcasm; storytelling,poetic; darkly humorous; expressive,The raven/crow figure echoes northern forest imagery and folk associations of dark birds with omens and worry.,[ˈkorpːi ˈistuː ˈmielel],"Tänäpään hänel korppi istuu mielel, sillä sanoma oli raskas.","Kun sade jatkuu viikon, kyläl korppi istuu mielel.",Älä anna korpin istua mielel; lähme joelle ja puhumma.
Jokea ei panna säkkii,Negative impersonal/passive-style clause: partitive noun object/fronted topic + negative auxiliary + passive verb + illative noun.,"An obvious truth, large event, or shared feeling cannot be hidden or controlled.",Selvää ja suurta asiaa ei voi salata.,C2,politics; public scandals; family secrets; journalism; moral commentary,proverbial; ironic; forceful,River imagery fits the waterways of Ingria and frames truth as something too large and moving to contain.,[ˈjokeɑ ei ˈpɑnːɑ ˈsækːiː],Jokea ei panna säkkii; kylä saa tietää suuren uutisen.,"Kun totuus on kaikkien silmissä, jokea ei panna säkkii.","Kirjuta asia auki, sillä jokea ei panna säkkii."
