Idiom (Kabyle),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Kabyle)",First Example Sentence,Second Example Sentence,Third Example Sentence
Iṭṭef adrar ɣef waman,"Fixed clause, verb-object-prepositional phrase",To attempt something impossible or contradictory,To try to do something that cannot be done,C1,"Daily speech, irony, workplace","Colloquial, ironic",Mountain imagery; common across Kabyle regions,[iʈʈef ædˤræɾ ɣef wæmænn],"Yella-d yebɣa ad iselkem-d kra, iṭṭef adrar ɣef waman!","Iṭṭef adrar ɣef waman, ur yezmir ara i d-yenna.","Abrid-agi iṭṭef adrar ɣef waman, xas yebɣa tḥemmleḍ."
Aḍeḥya d tigejdit n yimeṭṭawen,Noun phrase with metaphorical apposition,A foolish person with power is dangerous,Power in the hands of a fool is harmful,C2,"Politics, sarcasm, literature","Literary, sarcastic",Proverbial across central Kabylia,[ɑðæħjæ d tiɡæʒdit n jimæʈʈawɛn],"Ur ẓer ara, aḍeḥya d tigejdit n yimeṭṭawen, ad ttruɣ-d.","Iḥekmen ɣef lwela, d tigejdit n yimeṭṭawen.","Tamsaḥt tettwasrun, d aḍeḥya yebɣa yimeslayen."
Yekkes abrid seg usekkur,Verb-object-prepositional phrase,To get away with something dishonestly or undeservedly,To escape with undeserved gain,B2,"Politics, workplace, sarcasm","Colloquial, ironic",Moral lesson; peasant imagery,[jækkæs æbɾid sæɡ ʊsækːuɾ],"Yekkes abrid seg usekkur, ur iḥemmleḍ ula yisem.","Yura-d akk, yekkes abrid seg usekkur!","Nekkni nḥemmel ad nexdem, mačči ad nekks abrid seg usekkur."
Asirem d azemur i d-yeggi,Clause with subject-predicate,Hope is the last thing that leaves a person,Hope is the final thing a person loses,B1,"Daily speech, family, literature","Poetic, inspirational",Cultural emphasis on patience and hope,[æsɪɾɛm d æzɛmʊɾ i d jæɡɡi],"Ula ma ur yezmir, asirem d azemur i d-yeggi.","Asirem i yella di wul-iw, d azemur i d-yeggi.","Ur tefrak ara, asirem d azemur i d-yeggi."
Ifeḍ aẓuɣer s tigejdit n tfuct,Clause with object metaphor,To solve a small problem with excessive effort,Overkill solution for a minor issue,C1,"Workplace, sarcasm, humor","Ironic, humorous",Rural metaphor: shooting a fly with a cannon,[ifæð æʒʊɣæɾ s tiɡæʒdit n tfʊct],"Ifeḍ aẓuɣer s tigejdit n tfuct, ur tzemreḍ ara ad d-nul.","Ad yečča-d kra, ifeḍ aẓuɣer s tigejdit n tfuct.",Mačči d wakk iḥemmleɣ – ifeḍ aẓuɣer s tigejdit n tfuct!
Yewweḍ awal s tafeɣt,Verb-object-prepositional metaphor,To speak harshly or directly without tact,To speak bluntly,B2,"Daily speech, workplace, argument","Colloquial, critical",Fire as metaphor for harsh speech,[jæwːæð æwæl s tæfæɣt],"Yewweḍ awal s tafeɣt, ur iḥemmleḍ amkan n udiwenni.","Awal-is yufa-d, yewweḍ-it s tafeɣt.","Ulac asefru, yewweḍ awal s tafeɣt!"
Afus ur yettwassel ara ɣef ubrid,Negative reflexive passive clause,Help was not delivered on time,Help came too late or not at all,B1,"Daily speech, tragedy, politics","Formal, somber",Travelers left behind without aid,[ɑfʊs ʊɾ jættwæssæl ɑɾɑ ɣæf ʊbɾɪd],"Afus ur yettwassel ara ɣef ubrid, tella-d taɣiwant.","Wur nessin, afus ur yettwassel ara ɣef ubrid.","Ad yeggi tura, afus ur yettwassel ara ɣef ubrid."
Ulac-it di ṭṭafa,Existential negation clause,Completely lacking common sense or decency,Has no sense at all,A2,"Family, humor, daily life","Colloquial, humorous",Used widely in informal village settings,[ʊlæʃ ɪt di ʈːɑfæ],"Ulac-it di ṭṭafa, ay d-amekkan!","Aḥemmleɣ awal-nni, ulac-it di ṭṭafa.","Ay aqcic, ulac-it di ṭṭafa."
Iṭṭfeɣ ur yesɛi ara,Negative perfective verb clause,Someone left without saying goodbye or completing their duty,Left abruptly or irresponsibly,B2,"Workplace, family, criticism","Colloquial, critical",Departure without farewell as taboo,[iʈːfɛɣ ʊɾ jɛsʕi ɑɾɑ],"Iṭṭfeɣ ur yesɛi ara, yufa-d tameṭṭut.","Mačči am wakka, iṭṭfeɣ ur yesɛi ara.","Abrid tura d arrac, iṭṭfeɣ ur yesɛi ara."
Yeḥsem i ṭṭeḥma,Verb-object phrase with reflexive sense,To feel shame or be embarrassed for one's behavior,To be ashamed of oneself,A2,"Family, moral teaching, daily speech","Colloquial, moral",Moral upbringing in Kabyle homes,[jæħsɛm i ʈːæħmæ],"Yeḥsem i ṭṭeḥma, ulac asefru ɣef wakka.","Yufa-d awal, yeḥsem i ṭṭeḥma.","Tzemreḍ ad t-twaliḍ, yeḥsem i ṭṭeḥma."
