Idiom (Láadan),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Láadan)",First Example Sentence,Second Example Sentence,Third Example Sentence
Bíi hal mehal neth sho neme,"Fixed clause, declarative sentence",To speak kindly when one is secretly angry; to hide true feelings behind politeness.,To pretend to be kind while being upset.,C1,"Daily speech, irony, relationships","Colloquial, ironic",Traditional Láadan proverb teaching emotional honesty; often used among elders in village councils.,/biː hiːl meːhɑl neθ ʃoː neːme/,"Bíi hal mehal neth sho neme wa, be ril neth le.","Béé hal le wa neth sho neme, neme neth le ril.","Báa hal le mehal sho neme, wa neth ril le?"
Bíi neme dóoth le,"Verb phrase, indicative mood",To work tirelessly or with great dedication.,To work very hard.,B2,"Workplace, literature, motivation","Formal, literary",Refers to the ancient Láadan belief that one's actions shape their essence ('dóoth' = soul).,/biː neːme doːθ leː/,Bíi neme dóoth le wa dóoth neme.,"Béé neme dóoth le, ril hal neme wa.","Bíi ril neme dóoth le wa, dóoth le neme hal."
Bíi hal sho neme wa,"Declarative clause, present tense",To speak without thinking; to be impulsive in speech.,To say something thoughtlessly.,B1,"Daily conversation, humor, scolding","Colloquial, humorous",Popular among mothers teaching restraint in speech to children.,/biː hiːl ʃoː neːme waː/,"Bíi hal sho neme wa, ril le neth neme.","Béé hal sho neme, dóoth le ril.","Bíi ril hal sho neme wa, neme le ril hal."
Bíi neth hal le wa,"Declarative clause, reflexive structure",To deceive oneself or live in denial.,To ignore reality or truth.,C1,"Psychology, self-reflection, literature","Philosophical, reflective",Ancient Láadan teaching from storytellers about facing truth with clarity.,/biː neθ hiːl leː waː/,"Bíi neth hal le wa, ril neth le hal neme.","Béé neth hal le wa, wa ril neme dóoth.","Bíi ril neth hal le wa, neme hal ril."
Bíi mehal dóoth wa,"Fixed clause, passive structure",To find peace after hardship.,To feel peace after a struggle.,B2,"Spirituality, mourning, reflection","Poetic, solemn",Linked to Láadan ceremonies of renewal after mourning.,/biː meːhɑl doːθ waː/,"Bíi mehal dóoth wa, dóoth ril hal.","Béé mehal dóoth le, ril neme hal.","Bíi ril mehal dóoth wa, wa neme dóoth."
Bíi hal neme dóoth sho wa,"Compound clause, subjunctive tone",To speak from the heart; to be sincere.,To express true feelings honestly.,B1,"Emotional expression, family, romance","Warm, intimate",Common expression in love poetry and family discourse.,/biː hiːl neːme doːθ ʃoː waː/,"Bíi hal neme dóoth sho wa, ril mehal le.","Béé hal neme dóoth sho, wa ril hal le.","Bíi ril hal neme dóoth sho wa, neme le dóoth."
Bíi hal le neme dóoth wa,"Declarative clause, progressive aspect","To teach through one’s actions, not words.",To lead by example.,B2,"Education, leadership, mentorship","Proverbial, moral",Common in Láadan teaching traditions and mentorship sayings.,/biː hiːl leː neːme doːθ waː/,"Bíi hal le neme dóoth wa, ril le neth neme.","Béé hal le neme dóoth wa, wa hal ril neth.","Bíi ril hal le neme dóoth wa, neth le hal dóoth."
Bíi neme hal sho dóoth wa,"Complex clause, causative form",To make peace through truth-telling.,To resolve conflict by being honest.,C1,"Politics, family, mediation","Formal, moral",Used in Láadan peace rituals; represents harmony through openness.,/biː neːme hiːl ʃoː doːθ waː/,"Bíi neme hal sho dóoth wa, wa ril neth le.","Béé neme hal sho dóoth wa, dóoth le neme.","Bíi ril neme hal sho dóoth wa, ril hal dóoth le."
Bíi hal le wa dóoth neme,"Passive voice, declarative",To be remembered through one’s words.,To leave a lasting impression through speech.,C2,"Literature, public speaking, remembrance","Formal, poetic",Used in Láadan literature to honor poets and speakers.,/biː hiːl leː waː doːθ neːme/,"Bíi hal le wa dóoth neme, ril hal le neme.","Béé hal le wa dóoth neme, dóoth ril hal.","Bíi ril hal le wa dóoth neme, ril dóoth hal le."
Bíi neth dóoth sho wa,"Declarative clause, conditional tone","To forgive completely, letting go of resentment.",To truly forgive someone.,B2,"Family, spirituality, community","Gentle, empathetic",Ancient Láadan healing idiom used in reconciliation rituals.,/biː neθ doːθ ʃoː waː/,"Bíi neth dóoth sho wa, ril neme hal.","Béé neth dóoth sho, wa hal ril neme.","Bíi ril neth dóoth sho wa, ril hal dóoth."
