Idiom (Old East Slavic),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Old East Slavic)",First Example Sentence,Second Example Sentence,Third Example Sentence
волка ноги кормять,пословичное простое предложение; подлежащее в род. ед. ч. + им. мн. ч. + глагол наст. вр. 3 мн.,"жизнь и удача зависят от движения, труда и собственной расторопности.",человѣкъ добываеть нужное дѣломъ и хождениемъ.,B1,"путь, торговля, ратное дѣло, ремесло, наставление молодымъ","народное, поучительное, слегка суровое","образъ волка изъ лѣсной и охотничьей среды Руси; применимъ къ купцамъ, дружинникамъ и посыльнымъ.",[ˈvolkɑ ˈnoɡʲi ˈkormʲatʲ],"Не лѣнися, брате: волка ноги кормять, а сѣдящему хлѣбъ самъ не придеть.","Купець рече отроку: волка ноги кормять, иди на торгъ до свѣта.",Воевода не любяше праздности и молвяше дружинѣ: волка ноги кормять.
"не все то злато, еже блестить",отрицательная копулятивная пословица; местоименное подлежащее + именное сказуемое + относительная придаточная часть,внешний блескъ не доказываетъ истинной цѣнности или честности.,не всякая красивая вещь есть добра и полезна.,B2,"торговля, судъ, выборъ союзника, семейный совѣтъ, нравоучение","книжно-народное, осторожное, нравственное",связано съ торговыми рынками и христианскимъ противопоставлениемъ наружной славы внутренней правдѣ.,[nʲe ˈfsʲe to ˈzlato ˈjɛʒe blʲesˈtʲitʲ],"Не хвали мужа по ризѣ, ибо не все то злато, еже блестить.","Князь видѣ даръ великъ, но старецъ рече: не все то злато, еже блестить.","На торгу купи съ разумомъ: не все то злато, еже блестить предъ очима."
яко горохъ о стѣну,сравнительный оборотъ; союзъ яко + существительное им. ед. + предложно-падежная группа,слова или увѣщания не производятъ никакого дѣйствия на упрямаго человѣка.,"ему говорять напрасно, онъ не слушаетъ.",B1,"семья, учение, судъ, монастырское наставление, жалоба","разговорное, укоризненное, образное","домашний образъ сухого гороха, ударяющаго въ стену и отскакивающаго безъ пользы.",[ˈjako ˈɡorox o ˈstʲɛnu],"Глаголю ему о мирѣ, а ему то яко горохъ о стѣну.","Мати учаше сына кротости, но слово бѣ яко горохъ о стѣну.","Послы много молвиша, князю же ихъ рѣчь бысть яко горохъ о стѣну."
изъ огня да въ полымя,эллиптический предложный оборотъ движения; изъ + род. пад. и въ + вин. пад.,избавиться отъ одной бѣды и немедленно попасть въ худшую или такую же тяжкую.,онъ вышелъ изъ одной опасности и попалъ въ другую.,B2,"ратные повѣсти, путешествие, политика, семейныя несчастия, судебныя споры","народно-книжное, драматическое, тревожное","огонь и полымя — устойчивые образы пожара, войны и наказания въ средневѣковой словесности.",[iz oɡˈnʲa da v poˈlɨmʲa],"Бѣжахомъ отъ половецъ, а придохомъ изъ огня да въ полымя.","Должникъ избѣже бирича, но впаде къ лихоимцу: изъ огня да въ полымя.","Не спѣши къ худому совѣтнику, да не идеши изъ огня да въ полымя."
"луче синица въ руцѣ, нежели журавль въ небеси",сравнительная пословица; сравнительная частица + именная группа + предложный оборотъ + сравнительный союзъ,"лучше имѣть малую, но вѣрную пользу, чѣмъ ждать большой, но сомнительной.","лучше принять надежное малое, чемъ рисковать ради ненадежнаго большаго.",B1,"торгъ, бракъ, княжеский совѣтъ, земледѣлие, бытовой выборъ","народное, практическое, наставительное",птичьи образы охоты и сельскаго опыта; журавль символизируетъ далекую и трудную добычу.,[ˈlut͡ʃe sʲiˈnʲit͡sa v ruˈt͡sʲe ˈnʲɛʒelʲi ˈʒuravlʲ v nʲeˈbʲesi],"Возьми плату нынѣ, купче: луче синица въ руцѣ, нежели журавль въ небеси.","Отець рече дщери: луче синица въ руцѣ, нежели журавль въ небеси.","Старѣйшины избраша миръ малъ, помянувше: луче синица въ руцѣ, нежели журавль въ небеси."
"слово не воробии: вылетить, не имеши",двучастная пословица; именное отрицательное суждение + асиндетическая придаточная послѣдствия,"сказанное слово нельзя легко вернуть, поэтому надо говорить осторожно.",сказанную рѣчь трудно исправить.,B2,"совѣтъ, судъ, дипломатия, семейная ссора, монастырское поучение","народное, осторожное, морализующее","воробей какъ быстро улетающая птица; образъ связанъ съ устной культурой, честью и публичной рѣчью.",[ˈslovo nʲe voroˈbʲiji ˈvɨlʲetʲitʲ nʲe ˈimeʃi],"Молви тихо предъ судомъ: слово не воробии, вылетить, не имеши.","Княгиня удержаше гнѣвъ, ведая, яко слово не воробии: вылетить, не имеши.","Отрокъ покаяся послѣ брани, но старецъ рече: слово не воробии, вылетить, не имеши."
"не копай ямы иному, самъ въ ню впадеши",отрицательный императивъ + дательный объектъ + следственное главное предложение съ будущимъ значениемъ,"зло, замышленное противъ другого, часто возвращается къ самому виновнику.","не вреди другому, потому что самъ можешь пострадать.",B2,"моральное наставление, политика, судъ, родовыя распри, церковная проповѣдь","поучительное, библейски окрашенное, строгое",мотивъ возмездия известенъ въ библейской и летописной традиции; яма — образъ западни.,[nʲe koˈpaj ˈjamɨ ˈinomu sam v nʲu vpaˈdeʃi],"Не копай ямы иному, самъ въ ню впадеши, рече игуменъ клеветнику.","Бояринъ хитрость творяше брату, но людие шептаху: не копай ямы иному, самъ въ ню впадеши.","Кто лжу ставить на ближняго, тому слово: не копай ямы иному, самъ въ ню впадеши."
"что посѣеши, то и пожьнеши",соотносительная придаточная конструкция; вопросительно-относительное местоимение + будущее 2 ед. + указательное соотнесение,поступки приводятъ къ соответствующимъ послѣдствиямъ.,"каковы дѣла человѣка, таковы будутъ и ихъ послѣдствия.",B1,"земледѣлие, воспитание, церковная мораль, судъ, политическое предупреждение","книжно-народное, нравственное, ясное",аграрная метафора сѣва и жатвы; созвучна христианскимъ представлениямъ о воздаянии.,[t͡ʃto poˈsʲɛjeʃi to i poʒˈnʲeʃi],"Не дивися бѣдѣ своей: что посѣеши, то и пожьнеши.","Отець учаше сына милости, глаголя: что посѣеши, то и пожьнеши.","Князь миръ творяше съ градомъ, ведая, яко что посѣеши, то и пожьнеши."
одинъ въ полѣ не воинъ,номинативная пословица; числительное-субстантивированное подлежащее + локативный оборотъ + отрицательное именное сказуемое,одному трудно совершить большое дѣло безъ поддержки общины или дружины.,для трудного дѣла нужна помощь другихъ людей.,A2,"война, общинная работа, строительство, политика, семейный совѣтъ","народное, прямое, объединяющее",отсылаетъ къ военной дружинной культуре и зависимости выживания отъ общинной поддержки.,[oˈdin v poˈlʲɛ nʲe ˈvoin],"Не ходи самъ на стражу, брате: одинъ въ полѣ не воинъ.","Мостъ не поставиши единъ, понеже одинъ въ полѣ не воинъ.",Посадникъ созва люди на дѣло и рече: одинъ въ полѣ не воинъ.
"тише ѣдеши, далѣ будеши",сравнительно-условная пословица безъ союза; сравнительная наречная форма + глаголъ 2 ед. + сравнительная наречная форма + будущее,"осторожность и терпѣние ведутъ къ лучшему результату, чемъ поспѣшность.","дѣлай медленно и разумно, тогда достигнешь большего.",A2,"дорога, учение, ремесло, управление, семейное наставление","народное, спокойное, наставительное",порождено дорожнымъ и коннымъ опытомъ: поспѣшный путь опасенъ для путника и коня.,[ˈtʲiʃe ˈjedeʃi daˈlʲɛ ˈbudeʃi],"Не гони коня въ грязи: тише ѣдеши, далѣ будеши.","Писець не спѣша творяше книгу, рекъ: тише ѣдеши, далѣ будеши.","Мудрый купець не суетится на торгу, ибо тише ѣдеши, далѣ будеши."
