Idiom (Hiligaynon),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Hiligaynon)",First Example Sentence,Second Example Sentence,Third Example Sentence
"Ang nagahulat, nagadaog","Fixed clause, indicative mood",Patience and perseverance lead to success.,Ang tawo nga mapainubuson kag mapailubon nagabaton sang maayong resulta.,B1,"Daily speech, family advice, moral lesson","Colloquial, proverbial",Traditional Hiligaynon proverb reflecting patience and diligence.,aŋ na.ga.hu.lat na.ga.da.oɡ,"Ang lola ko permi nagasiling, ‘Ang nagahulat, nagadaog.’","Ginsiling niya sa iya kaugalingon, ‘Ang nagahulat, nagadaog, indi magdali.’",Ginapahayag sini nga indi kinahanglan magpadalos-dalos sa desisyon.
Daw sa tubig lang nagahampang,Clause with comparative simile marker 'daw',Doing something lightly or carelessly without concern for consequence.,Wala naga-seryoso sa ginahimo.,B2,"Workplace humor, social commentary, informal conversation","Colloquial, humorous","Originates from fishing communities describing shallow, easy effort.",daw sa tu.biɡ laŋ na.ga.ham.paŋ,Daw sa tubig lang nagahampang ang mga trabahante subong.,Ginasiling nila nga ang mga politiko daw sa tubig lang nagahampang.,Daw sa tubig lang nagahampang ang iya paminsaron sa proyekto.
Tikalon nga wala sang ikatikal,Nominal phrase with attributive adjective and negation,Someone boastful despite lacking true ability or wealth.,Tawo nga nagapanghambog bisan wala man sang ikapanghambog.,C1,"Politics, workplace gossip, satire","Ironic, sarcastic",Common in Iloilo City for mocking arrogance without merit.,ti.ka.lon ŋa wa.la saŋ i.ka.ti.kal,"Siya gid ya tikalon nga wala sang ikatikal, bisan indi man maayo ang trabaho.",Tikalon nga wala sang ikatikal—amo na siya permi sa opisina.,Ginahuray nila nga ang mayor daw tikalon nga wala sang ikatikal.
"Gintagaan sang kusog, ginamit sa kalautan","Passive clause, perfective aspect",Someone misusing their talent or power for wrongdoing.,Tawo nga nagagamit sang abilidad para sa malain nga tinutuyo.,C2,"Politics, religion, morality discussions","Formal, moralistic","Biblical or religious tone, often used in sermons or moral discourse.",gin.ta.ga.an saŋ ku.soɡ gi.na.mit sa ka.lau.tan,"Gintagaan sang kusog, ginamit sa kalautan—ang kasubo sang isa ka lider.","Ang pari nagsiling, ‘Gintagaan sang kusog, ginamit sa kalautan.’",Gina-remind sini nga dapat gamiton ang gahum sa maayo.
Daw bulan sa kabudlay,Comparative idiom with metaphorical imagery,A person admired from afar but difficult to reach or understand.,Tawo nga ginahangaan pero indi masyado kilala o malapit.,B2,"Romance, literature, admiration","Poetic, literary",Rooted in poetic expressions likening beauty to the moon’s distance.,daw bu.lan sa ka.bud.lay,"Siya daw bulan sa kabudlay, indi maabot sang akon kamot.","Ang ginahigugma ko daw bulan sa kabudlay, permi lang sa damgo.",Ginasiling nila nga daw bulan sa kabudlay ang iya katahum.
Ginatago sa alingit sang adlaw,"Passive, figurative, complex prepositional clause",To hide something in plain sight or deny what is obvious.,Ginatago ang butang bisan klaro nga makita.,C1,"Politics, secrets, satire, social critique","Ironic, formal",Old idiom referring to concealing truth despite its obviousness.,gi.na.ta.go sa ʔa.li.ŋit saŋ a.dlaw,Ginatago sa alingit sang adlaw ang kamatuoran sang kaso.,"Ang iya sala ginatago sa alingit sang adlaw, pero nahibaluan man.",Daw indi ka gid makapugong magpaminsar nga ginatago sa alingit sang adlaw ang tanan.
May uyat sa bulawan,"Nominal clause, stative construction",Someone very lucky or naturally successful.,Tawo nga permi maayo ang kapalaran.,A2,"Luck, gambling, success stories","Colloquial, superstitious",Folk expression linked to traditional beliefs about fortune.,maj u.jat sa bu.la.wan,Siya daw may uyat sa bulawan—permí daog sa sugal.,"Ang bata nga na-promote, may uyat gid sa bulawan.",Ang mga tawo nagasiling nga ang iya negosyo nagasanyog kay may uyat sa bulawan.
Ginapakaon sang luha,"Passive, aspectual progressive structure",To suffer silently from emotional pain.,Nagabatyag sang kasubo pero indi nagapakita.,C1,"Tragedy, romance, emotional reflection","Poetic, melancholic",Originates from poetic laments symbolizing sorrow and resilience.,gi.na.pa.ka.on saŋ lu.ha,Ginapakaon sang luha ang akon tagipusuon subong nga gab-i.,Ang balo daw ginapakaon sang luha kada adlaw.,Indi mabudlay makita nga ginapakaon sang luha ang iya katawhay.
"Indi tanan nga nagangisi, malipay-on","Complex clause, contrastive conjunction",Not everyone who smiles is truly happy.,May mga tawo nga nagapangisi pero masakit sa sulod.,B1,"Daily reflection, advice, social empathy","Colloquial, proverbial",Traditional moral insight common in Visayan households.,in.di ta.nan ŋa na.ga.ŋi.si ma.li.paj.on,"Indi tanan nga nagangisi, malipay-on, gani indi maghusga dayon.","Siya nagasiling nga indi tanan nga nagangisi, malipay-on, kag sakto siya.",Ginasugid ini sang mga tigulang para magpahimakas sa kabataan.
Ang kabuhi daw balud sang dagat,"Comparative metaphor, declarative clause","Life is full of ups and downs, like ocean waves.",Ang kabuhi may mga panahon sang kalipay kag kasubo.,A2,"Life philosophy, teaching, literature","Poetic, reflective",Maritime imagery central to Visayan poetic tradition.,aŋ ka.bu.hi daw ba.lud saŋ da.ɡat,Ang kabuhi daw balud sang dagat—indi permi kalma.,Ginasiling sang manunulat nga ang kabuhi daw balud sang dagat.,"Bisan may problema, ang kabuhi daw balud sang dagat—padayon lang."
