Idiom (Cham),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Cham)",First Example Sentence,Second Example Sentence,Third Example Sentence
Mon ghorer agun jola,Noun phrase + genitive marker + noun; metaphorical fixed clause,To feel deep inner anger or emotional turmoil,Khobor paiya khub rosh hoise,B2,"Family conflict, politics, personal betrayal","Colloquial, emotional",Fire imagery common in hill agrarian life symbolizing uncontrolled force,/mon ɡʱoɾeɾ aɡun dʒola/,Tar kotha shuniya amar mon ghorer agun jola hoilo.,Gram sabhat onyay dekhia mon ghorer agun jola uthil.,Bhaior obhab dekhi tar mon ghorer agun jola ase.
Chokh diya pani pora,Verb phrase; body-part subject construction,To cry due to sadness or overwhelming emotion,Kande ase,A2,"Daily speech, storytelling, family moments","Neutral, descriptive",Water symbolism reflecting monsoon-heavy landscape,/tʃokʰ dija pani poɾa/,Mayer kotha mone poriya chokh diya pani pora lagil.,Bidai belat tar chokh diya pani poril.,Dukhor golpo shuniya sobar chokh diya pani pora asil.
Matha gorom hoa,Adjective predicate construction,To become angry quickly,Rosh koriya kotha koilo,B1,"Humor, argument, daily conversation",Colloquial,Heat metaphor linked to tropical climate experience,/matʰa ɡoɾom hoa/,Choto kothat matha gorom hoa dorkar nai.,Tar matha gorom hoiya sabar loge jhogra koril.,Kaj fail hoiya matha gorom hoilo.
Buk bhori anondo,Noun phrase intensifier structure,To feel deep joy and pride,Khushi lagse,B2,"Festivals, achievement, literature","Poetic, positive",Chest as symbolic seat of emotion in Chakma oral poetry,/buk bʱoɾi anondo/,Bizu parbone buk bhori anondo paisilam.,Cheler safollo dekhi buk bhori anondo hoilo.,Gram unnoyon dekhia sabar buk bhori anondo ase.
Muk rakha kora,Verb phrase; honor-preservation metaphor,To preserve dignity or reputation,Ijjot rokkha kora,C1,"Politics, family honor, negotiations","Formal, serious",Honor-based social norms in hill communities,/muk ɾakʰa koɾa/,Tar baba muk rakha kora jonne chup thakil.,Sabhar shamne muk rakha kora khub dorkar.,Chukti maniya tara muk rakha koril.
Somoy nodir panir moto,Simile construction using comparative particle,Time flows quickly and cannot be stopped,Somoy druto jai,B2,"Literature, reflection, speeches",Poetic,Reference to Kaptai river flow symbolism,/somoj nodiɾ paniɾ moto/,Bachor gula somoy nodir panir moto boiya jai.,Jibon somoy nodir panir moto chole.,"Chinta kor, somoy nodir panir moto haraiya jai."
Haat dhori dara,Imperative-support metaphor phrase,To stand in support of someone,Sahajjo kora,B1,"Friendship, activism, solidarity",Encouraging,Communal cooperation in jhum cultivation,/haːt dʱoɾi daɾa/,Bondhur kothin somoy haat dhori dara.,Gram unnoyone sobai haat dhori dara lagbo.,Tar pashe haat dhori dara amra jitbo.
Paharor rasta moto kothin,Comparative simile structure,Extremely difficult or challenging,Khub osubidha ase,B2,"Education, life struggles, humor",Descriptive,Mountain travel hardship in Rangamati region,/paharoɾ ɾasta moto kotʰin/,Porikkha paharor rasta moto kothin hoilo.,Tar jibon paharor rasta moto kothin asil.,Ei kaj paharor rasta moto kothin lage.
Mon diya kora,Verb phrase with instrumental emphasis,To do something with full attention and sincerity,Monojog diya kora,A2,"Education, advice, parenting","Neutral, instructional",Emphasis on diligence in traditional learning,/mon dija koɾa/,Kaj mon diya kora lage.,Porasona mon diya kora hoile safollo asibo.,Se kaj mon diya koril.
Chokhor agun jola,Noun phrase metaphor; body-part possessive construction,To glare with anger or intense determination,Rosh bhora chokh diya takai ase,C1,"Conflict, political speech, dramatic narrative","Intense, dramatic",Fire-eye imagery in oral heroic tales,/tʃokʰoɾ aɡun dʒola/,Onyay dekhi tar chokhor agun jola uthil.,Netar chokhor agun jola dekhi sobai chup hoilo.,Tar chokhor agun jola takani bhoyonkor asil.
