Idiom (Albanian),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Albanian)",First Example Sentence,Second Example Sentence,Third Example Sentence
I ra në kokë,Përfshirje e kallëzores me foljen 'ra' + një ndihmëz ndijor,"Vendosi papritur të bëjë diçka, zakonisht e papritur dhe me kokëfortësi.",Vendosi të bëjë diçka pa ndikuar nga të tjerët.,B2,"Bisedë e përditshme, familje, kokëfortësi",Colloquial,"Përdorur gjerësisht në Shqipëri, me rrënjë në kontekstin familjar rural.",[i ɾa nə kɔkə],"Pa folur me askënd, i ra në kokë të largohej nga puna.","Kur i ra në kokë të blinte makinë, nuk e ndalte dot askush.",I ra në kokë të shiste shtëpinë dhe e bëri pa u menduar dy herë.
I zuri belaja,Përdorim i pasivizuar me strukturë predikative,Ndodhet në një situatë shumë të vështirë apo problematike.,Hyri në telashe të mëdha.,B1,"Bisedë e përditshme, gazetari, humor","Colloquial, Ironic",Shprehje e zakonshme urbane dhe rurale në të gjitha trevat shqiptare.,[i zuɾi bɛlaja],E zuri belaja sapo u përfshi në atë aferë financiare.,Mos shko atje se do të zërë belaja!,"Pasi u kap duke kopjuar, e zuri belaja me profesorin."
S’ka lezet,Pohon mungesën e vlerës ose hijeshisë; përdorim mohor me foljen 'ka',"Diçka është e papërshtatshme, e mërzitshme ose jo e këndshme.",Nuk është e përshtatshme ose e kënaqshme.,A2,"Bisedë e përditshme, rini, etikë sociale",Colloquial,Përdorim popullor në kontekste shoqërore të rinisë.,[ska lɛzɛt],"Të shkosh pa ftesë në dasmë, s’ka lezet.","Të qeshësh në varrim, s’ka lezet fare.","Të mos ndihmosh një plak në rrugë, s’ka lezet."
E mori lumi,Përdorimi metaforik i formës së kaluar me foljen 'mori',"Diçka doli nga kontrolli, përfundoi keq.",Situata u përkeqësua shumë.,C1,"Humor, media, bisedë familjare","Ironic, Poetic","Shprehje tradicionale shqiptare, me imazh nga përmbytjet natyrore.",[ɛ mɔɾi lumi],Financat e tij u morën lumi pas divorcit.,"Kur nisi të gënjejë, e mori lumi fare.",Plani për pushime u mori lumi me ato reshje.
Bën namin,Formë e tashme me foljen ‘bën’ dhe emrin ‘nam’,"Krijon bujë, përhapet për diçka shumë pozitive ose negative.",Bëhet shumë i njohur për diçka.,B2,"Rrjete sociale, muzikë, politikë","Colloquial, Sarcastic",Fjalë arabe e përthithur në shqipen urbane që nënkupton famë ekstreme.,[bən namin],Kënga e re e atij artisti bëri namin!,Në TikTok bën namin për recetat e tij.,Bëri namin me gafën në debat.
Ka mish për top,Konstruktion nominal metaforik,Ka njerëz që mund të përdoren për qëllime të rrezikshme.,Ka njerëz që mund të sakrifikohen.,C2,"Politikë, luftë, histori","Formal, Tragjik",Përdorim historik që lidhet me rekrutimin në luftë.,[ka miʃ pəɾ tɔp],Qeveria thoshte se kishte mjaft mish për top.,"Në luftë, të rinjtë u kthyen në mish për top.",Media kritikoi përdorimin e qytetarëve si mish për top.
Ia fut kot,Formë foljore me përemër vetor dhe përdorim idiomatik të ‘fut’,"Flet ose vepron pa menduar, pa kuptim.",Flet pa sens.,B1,"Rini, rrjete sociale, humor","Colloquial, Humorous",Shprehje moderne urbane me përdorim të gjerë në dialogët rinorë.,[ia fut kɔt],Ia fut kot kur thotë se e ka parë UFO.,"Po ia fut kot për ekonominë, nuk kupton asgjë.",Në komentet e tij gjithmonë ia fut kot.
Ka vajtur për dhjamë qeni,Ndërtim negativ figurativ,"Ka humbur pa vlerë, është shpenzuar kot.",U bë dëm pa dobi.,C1,"Literaturë, humor i zi, biseda familjare","Ironic, Colloquial",Shprehje me origjinë nga koha e varfërisë ku çdo send kishte vlerë.,[ka vajtuɾ pəɾ ðjamə cɛni],Tërë mundi i tij ka vajtur për dhjamë qeni.,"Paratë që dha për atë kurs, vajtën për dhjamë qeni.",Librat pa lexuar janë vajtur për dhjamë qeni.
I futi një të qeshur,Ndërtim verbal me përdorim intensifikues,Qeshi shumë me të madhe.,Qeshi fort.,A2,"Familje, rini, bisedë spontane","Colloquial, Humorous",Shprehje e zakonshme në gjuhën e përditshme.,[i futi ɲə tə cɛʃuɾ],"Kur dëgjoi barcaletën, i futi një të qeshur që e dëgjoi gjithë lagjja.",I futi një të qeshur në mes të orës dhe s’u ndal dot.,"Sa e pa foton, i futi një të qeshur."
E bëri detin kos,Metaforë e zgjeruar në formë veprimi,E bëri një situatë shumë të vështirë të duket e lehtë.,E minimizoi një vështirësi të madhe.,C2,"Literaturë, retorikë, politikë","Poetic, Formal",Metaforë poetike me rrënjë në traditën shqiptare të rrëfimit.,[ɛ bəɾi dɛtin kɔs],"Në fjalimin e tij, e bëri detin kos për skandalin.",Gazetari e bëri detin kos kur foli për krizën.,E bëri detin kos sikur s’kishte ndodhur asgjë.
