Idiom (Louisiana Creole),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–A2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Louisiana Creole)",First Example Sentence,Second Example Sentence,Third Example Sentence
Pa vann po bef-la avan ou trapé li,Fixed clause; negative imperative construction,Don’t celebrate or make plans before achieving success.,Don’t count your chickens before they hatch.,B1,"Advice, cautionary speech, daily conversation","Colloquial, proverbial",Common among Louisiana Creole hunters and traders in colonial times.,[pa van po bɛf la avɑ̃ u trape li],"Li di mo: ‘Pa vann po bef-la avan ou trapé li,’ paské mo té tro pressé.",Granpapa toujou répété sa lè nou fè plan san réfléchi.,Mo aprann pa fè sa apré mo pèdi on bon opòtinité.
Zèb lakay toujou pli vè,Fixed clause; comparative structure,People think others have it better than they do.,People are often dissatisfied with what they have.,A2,"Jealousy, relationships, social commentary","Proverbial, reflective",Adaptation of French proverb; common in rural Louisiana speech.,[zɛb lakaj tuʒu pli vɛ],"Mo kouzin kwè zèb lakay toujou pli vè, mé li pa sav difikilté yo.",Yo toujou gadé lòt moun é di zèb lakay toujou pli vè.,"Nan travay-la, moun toujou panse lòt gen pi bon pos."
Kouyon pa janmen manké nan lari,Fixed clause; negation with indefinite subject,There’s always a fool around.,There will always be someone gullible.,B2,"Humor, sarcasm, street talk","Ironic, colloquial",Street proverb from Creole-speaking New Orleans neighborhoods.,[kujɔ̃ pa ʒamɛ mɑ̃ke nan laʁi],"Yo di kouyon pa janmen manké nan lari, é sa vré!",Toujou ni on moun ki ka kwè tout sa yo tande.,"Kouyon pa janmen manké nan lari, mé yo toujou ri apré."
"Dlo dòmi, pa dòmi anba li",Fixed clause; imperative and subordinate clause,Don’t underestimate calm situations; danger may be hidden.,Stay cautious even when things seem peaceful.,C1,"Wisdom, warning, family advice","Proverbial, poetic",Derived from river metaphors in plantation-era Louisiana.,[dlo dɔmi pa dɔmi ɑ̃ba li],"Granmanman té toujou di: ‘Dlo dòmi, pa dòmi anba li.’","Li sanblé kalm, mé dlo dòmi, pa dòmi anba li.","Sa sé on bon konsèy pou lavi: dlo dòmi, pa dòmi anba li."
Pèsonn pa pli gran pas bondyé,Declarative clause with comparative structure,No one is greater than God.,God is above everyone.,A2,"Religion, moral speech, family setting","Religious, formal",Common expression in Catholic Creole communities of Louisiana.,[pɛsɔ̃ pa pli gʁɑ̃ pas bɔ̃dje],Mo granmè toujou di pèsonn pa pli gran pas bondyé.,"Lè ou nan pwoblèm, sonjé pèsonn pa pli gran pas bondyé.",Yo kwè nan pawòl-la: pèsonn pa pli gran pas bondyé.
On bon zanmi sé on trésò,Simple declarative clause,A good friend is a treasure.,Good friends are valuable.,A1,"Friendship, advice, daily speech","Colloquial, affectionate",Widely used in Creole oral traditions across Louisiana parishes.,[ɔ̃ bɔ̃ zami se ɔ̃ tʁezo],"Yo toujou di on bon zanmi sé on trésò, é mo kwè sa.","Li montré mo sa, paské li toujou la pou mo.","On bon zanmi sé on trésò, mé sé pa fasil pou jwenn yo."
"Kouté, pa tann, sé sa ki fè moun pèdi tèt yo",Compound clause with infinitive and negative imperative,Acting before listening leads to mistakes.,Think before you act.,B1,"Advice, education, workplace","Didactic, proverbial",From oral teaching traditions in Creole-speaking schools.,[kute pa tɑ̃ se sa ki fɛ mun pɛdi tɛt jo],"Granpapa di: ‘Kouté, pa tann, sé sa ki fè moun pèdi tèt yo.’","Nou aprann nan lavi, kouté, pa tann, sé sa ki fè moun pèdi tèt yo.",Li té fè erè paské li pa kouté avan li aji.
Tan sé lajan,Declarative clause with copula,Time is valuable and should not be wasted.,Don’t waste time.,A2,"Work, business, education","Formal, concise","Adapted from English expression 'Time is money', localized in Louisiana Creole commerce.",[tɑ̃ se laʒɑ̃],Chef-la toujou di tan sé lajan pou motivé nou.,"Nan travay, mo aprann byen: tan sé lajan.","Nou pé pa pèdi tan, paské tan sé lajan."
"Sé an jou lapli, an jou soley",Parallel clause; temporal structure,Life has ups and downs.,"Sometimes good days, sometimes bad days.",B1,"Life advice, reflection, encouragement","Philosophical, poetic",Metaphor rooted in Louisiana weather and farming communities.,[se ɑ̃ ʒu lapli ɑ̃ ʒu sɔlɛj],"Li di mo, sé an jou lapli, an jou soley, é mo souri.","Nou ka aprann aksepte tout sa: sé an jou lapli, an jou soley.","Lavi sé kon sa: sé an jou lapli, an jou soley."
"Fè doubout, menm lè van ka souflé fò",Imperative with subordinate clause,Stand firm even when facing difficulties.,Stay strong through hard times.,C1,"Encouragement, leadership, literature","Inspirational, poetic",Used in resistance songs during the Louisiana Creole cultural revival.,[fɛ dubut mɛm lɛ vɑ̃ ka sufle fɔ],"Yo toujou di: fè doubout, menm lè van ka souflé fò.","Li rété fò, paské li konprann: fè doubout, menm lè van ka souflé fò.",Mo toujou sonjé pawòl sa lè lavi difisil.
