Idiom,Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,Phonetic Transcription (IPA),First Example Sentence,Second Example Sentence,Third Example Sentence
"Mit hmuh loh, thinlung hmuh",Compound clause (contrastive parallelism),True feelings are hidden even if appearances are visible,Inner feelings are not always obvious,B2,"Daily speech, relationships","Proverbial, reflective",Traditional Chin wisdom about emotional restraint,/mit hmùʔ loʔ tʰìn.lùŋ hmùʔ/,"A nih mit hmuh loh, thinlung hmuh a si ve.","Anmah nih a nuam ve, asinain thinlung hmuh lo.","Ka hmu loh i, thinlung hmuh a si."
Ka lung a nuam loh,Subject + stative verb phrase,Feeling unhappy or uneasy,I feel uncomfortable,A2,"Daily speech, emotions",Colloquial,Common emotional expression in Hakha Lai,/ka lùŋ a nuam loʔ/,Ka lung a nuam loh caah ka kal lo.,An lung a nuam loh i an chim.,Na lung a nuam loh maw?
Mit a khawh,Verb phrase (metaphorical vision),To understand clearly,To realize something,B1,"Education, discussion",Neutral,Derived from metaphor of sight as knowledge,/mit a kʰaʊ/,Ka mit a khawh zo.,An mit a khawh loh i an hngal lo.,Na mit a khawh maw?
Thinlung a phur,Subject + verb (emotion metaphor),To be deeply moved,To feel touched,B2,"Literature, relationships",Poetic,Emotion expressed as movement of heart,/tʰìn.lùŋ a pʰur/,A thinlung a phur tuk.,Ka thinlung a phur caah ka au.,An thinlung a phur ve.
Hna a tling lo,Negative verb phrase,To ignore advice,To not listen,B1,"Family, discipline",Colloquial,Common parental expression,/hna a tliŋ loʔ/,A hna a tling loh i a hrem.,Na hna a tling lo maw?,An hna a tling loh caah an buai.
Lam a hman lo,Verb phrase (path metaphor),To take the wrong approach,To act incorrectly,B2,"Workplace, advice",Neutral,Path metaphor common in Chin culture,/lam a hman loʔ/,A lam a hman loh i a sual.,Ka lam a hman loh lo.,An lam a hman loh caah an hlawh lo.
Ka lung a hngal,Subject + verb (cognition),I understand deeply,I fully grasp,B1,"Education, explanation",Neutral,Heart used as seat of understanding,/ka lùŋ a ŋal/,Ka lung a hngal zo.,Na lung a hngal maw?,An lung a hngal loh.
Mit a thleng,Verb phrase (change metaphor),To change perspective,To see differently,B2,"Discussion, learning",Reflective,Vision metaphor for change,/mit a tʰleŋ/,Ka mit a thleng zo.,An mit a thleng i an hngal thar.,Na mit a thleng maw?
Thinlung a nuam,Subject + stative verb,To feel happy,To be pleased,A1,Daily speech,Colloquial,Basic emotional expression,/tʰìn.lùŋ a nuam/,Ka thinlung a nuam.,An thinlung a nuam ve.,Na thinlung a nuam maw?
Hma a hngal lo,Negative knowledge phrase,To be unaware of the future,To not know what will happen,B2,"Philosophy, daily speech",Proverbial,Future uncertainty theme,/hma a ŋal loʔ/,Kan hma a hngal loh.,A hma a hngal loh caah a hlau.,Na hma a hngal lo maw?
