Idiom (Old Japanese),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Old Japanese)",First Example Sentence,Second Example Sentence,Third Example Sentence
言霊の幸はふ国,Genitive noun compound plus attributive verb phrase: 言霊 + の + 幸はふ + 国; formulaic nominal expression.,"Speech has sacred efficacy; words can bless, bind, harm, or stabilize a community.",善き言を言へば人も国も安し。,C1,"Court ritual, oath-taking, poetry, diplomacy, moral instruction, public speech.","Highly literary, sacred, solemn, ceremonial.",Associated with Nara-period Yamato poetic ideology and Man’yōshū-style praise of speech as spiritually potent.,/kotodama no sakipapu kuni/,言霊の幸はふ国なれば、悪しき言を口に出だすな。,大伴の長は言霊の幸はふ国を思ひて、誓ひを違へず。,祭の日、巫女は言霊の幸はふ国の大御神を称へまつる。
空蝉の世,Metaphorical genitive noun phrase: 空蝉 + の + 世; fixed nominal image.,"The human world is transient, empty, and fragile like a cicada shell.",この世は久しく留まらず移ろふ。,B2,"Elegy, Buddhist reflection, aging, love poetry, political decline, private lament.","Literary, elegiac, reflective, philosophical.",A classical poetic image of impermanence rooted in early Japanese verse and later strengthened by Buddhist discourse.,/utusemi no yo/,空蝉の世を歎きて、翁は草の庵に歌を詠みき。,富も名も空蝉の世の影なれば、心を高く持て。,空蝉の世なれど、君と逢ふ日は惜しからず。
玉の緒,Genitive compound noun: 玉 + の + 緒; metaphorical body-life expression.,Life or emotional endurance is a delicate cord that may snap.,命は細く危ふし。,B2,"Love-longing, illness, warfare, oath, grief, heroic resolve.","Poetic, intimate, grave, heightened.","Draws on ancient bead-string imagery from ornament, ritual prestige, and court poetry.",/tama no wo/,玉の緒絶えむばかりに、吾は君を恋ひわたる。,戦の庭に立ちて、ますらをは玉の緒を惜しまざりき。,母が病重く、家人は玉の緒の永からむことを祈る。
袖濡る,Intransitive verb phrase: body-part noun 袖 + verb 濡る; metonymic emotional predicate.,"To weep, grieve, or suffer longing so strongly that one’s sleeves become wet with tears.",涙多く流して悲しむ。,B1,"Love separation, bereavement, farewell scenes, exile, travel poetry.","Poetic, emotional, tender, plaintive.",A frequent classical Japanese poetic metonymy based on long sleeves absorbing tears.,/sode nuru/,君が帰らぬ夜ごとに、吾が袖は露にも涙にも濡る。,里人の別れを聞きて、若き女の袖濡れにけり。,山越ゆる使を見送り、老いたる父の袖濡る。
ぬばたまの夜,Makurakotoba-style fixed modifier: ぬばたまの + 夜; attributive poetic epithet.,"Deep black night; by extension secrecy, hidden movement, or inward thought.",夜は暗く深し。,B1,"Night travel, clandestine meetings, dreams, loneliness, seasonal poetry.","Literary, sensuous, mysterious, traditional.",A classic pillow-word image comparing night-darkness with the black seeds of hiōgi or similar dark objects in early poetry.,/nubatama no yo/,ぬばたまの夜の深けく、鹿の声のみ山に響く。,ぬばたまの夜を待ちて、使は門辺に忍び来ぬ。,ぬばたまの夜に迷ふ者は、星を仰ぎて道を知る。
あしひきの山,Makurakotoba plus noun: あしひきの + 山; fixed attributive epithet.,"A distant, arduous mountain space; by extension difficulty, remoteness, or spiritual seclusion.",山道は遠く険し。,B1,"Travel, exile, hermitage, pilgrimage, nature description, longing across distance.","Poetic, elevated, scenic, wistful.",A Nara-period poetic formula often tied to mountain imagery in Yamato and provincial verse.,/asipiki no yama/,あしひきの山を越えなば、吉野の川見えむ。,あしひきの山の木末に、朝霧静かに立つ。,あしひきの山に籠る君を思ひ、吾は夢にも逢ひぬ。
たらちねの母,Makurakotoba-style modifier plus kinship noun: たらちねの + 母; fixed epithetic phrase.,"One’s nurturing mother; by extension origin, care, indebtedness, and remembered protection.",母は子を養ひ守る人なり。,A2,"Family speech, departure, military conscription, filial reflection, homesickness.","Literary, affectionate, reverent, nostalgic.","A fixed early poetic epithet for mother, resonant in poems of travel and separation from home.",/taratine no papa/,たらちねの母が手に育ちし子は、遠き防人となりぬ。,たらちねの母を思へば、旅の飯も甘くなし。,たらちねの母の言葉は、荒き心を和らぐる。
隠り沼の下延へ,Metaphorical genitive noun phrase plus deverbal image: 隠り沼 + の + 下延へ; covert-growth metaphor.,Secret love or hidden feeling that grows beneath the surface without public disclosure.,人に知られず心の内に恋ひつづく。,C1,"Secret romance, court restraint, gossip avoidance, inner conflict, women’s voices in poetry.","Poetic, restrained, private, delicate.","Built from marsh and creeping-root imagery common in early Japanese love poetry, where concealment intensifies emotion.",/komori-numa no sita-pape/,隠り沼の下延へに、吾が恋は人に知らえず繁し。,里の噂を恐れて、娘は隠り沼の下延へに思ひつづけき。,君を待つ心は隠り沼の下延へに伸び、夜ごと眠らず。
心ゆも思はず,Adverbial ablative phrase plus negative verb: 心 + ゆ + も + 思は + ず; emphatic negative clause.,"Not by one’s true will; against intention, expectation, or inner desire.",吾が心より望みてしたることにあらず。,B2,"Apology, forced travel, political duty, broken promises, reluctant farewell.","Literary, apologetic, sober, self-defensive.",Reflects Old Japanese use of ゆ as source/ablative and emphatic negative phrasing in personal poetry.,/kokoro yu mo omopazu/,心ゆも思はず、友を責めし言ぞ悔しき。,心ゆも思はぬ道に出で立ちて、旅人は雲を見き。,心ゆも思はず別れなむとは、誰か言ひけむ。
石走る垂水,Attributive verbal compound plus noun: 石 + 走る + 垂水; dynamic landscape formula.,"A rushing force that cannot easily be stopped; swift movement, forceful emotion, or sudden change.",水は岩の上を速く流る。,C2,"Nature poetry, battle description, urgent travel, emotional intensification, ceremonial praise.","Highly poetic, vivid, energetic, elevated.","A landscape formula from early verse culture, using mountain-water imagery familiar to Nara and Yoshino poetics.",/isi-pasiru tarumi/,石走る垂水のごとく、兵の声は谷に満ちぬ。,石走る垂水を過ぎて、使の馬は駅家に至りぬ。,石走る垂水を見るに、若き心も勇み立つ。
