Idiom (Cham),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Cham)",First Example Sentence,Second Example Sentence,Third Example Sentence
नाक कट जाना,क्रियात्मक मुहावरा; सकर्मक क्रिया + संज्ञा; परिपूर्ण भूत रूप में अधिक प्रयुक्त,सार्वजनिक रूप से अपमानित हो जाना या सामाजिक सम्मान खो देना,अपमानित होना,B2,"परिवार, सामाजिक विवाद, राजनीति","सामान्य, गंभीर",भारतीय सामाजिक संरचना में ‘नाक’ सम्मान का प्रतीक मानल जाए छै,naːk kəʈ d͡ʒaːnaː,गाँव में झूठ पकड़ा गेल त ओकर नाक कट गेल।,तोहर हरकत से पूरा परिवार के नाक कट गेल।,अगर वादा पूरा नहि करब त समाज में नाक कट जाएत।
आग में घी डालना,क्रियात्मक संरचना; पूर्वसर्गीय वाक्यांश + क्रिया,पहिले से तनावपूर्ण स्थिति के अउर भड़काना,स्थिति और बिगाड़ देना,B2,"राजनीति, झगड़ा, हास्य","रूपकात्मक, चेतावनीपूर्ण","वैदिक यज्ञ परंपरा से जुड़ल, जहाँ घी अग्नि के तेज बढ़ाबै छै",aːɡ meː ɡʱiː ɖaːlnaː,ओकर बात झगड़ा में आग में घी डाल देलक।,"तू चुप रह, आग में घी मत डाल।",सोशल मीडिया अफवाह आग में घी डालै छै।
दू नाव पर पैर रखना,रूपकात्मक क्रिया वाक्यांश; संख्या + संज्ञा + परसर्ग + क्रिया,एक साथ दू विपरीत पक्ष के समर्थन करना,दुविधा में रहना,B1,"राजनीति, व्यक्तिगत संबंध","लोकप्रचलित, चेतावनीपूर्ण","नदी परिवहन संस्कृति से उत्पन्न, विशेषकर गंगा क्षेत्र",duː naːʋ pər pɛːr rəkʰnaː,तू दू नाव पर पैर रखब त डूब जइब।,ओ राजनीति में दू नाव पर पैर रखलक।,व्यापार में दू नाव पर पैर रखना खतरनाक छै।
आसमान से गिरना खजूर में अटकना,संयुक्त उपवाक्यात्मक संरचना; क्रमिक क्रिया रूप,एक मुसीबत से निकलके दोसरा में फँस जाना,एक समस्या से निकलकर दूसरी में पड़ना,C1,"दैनिक जीवन, हास्य, साहित्य",व्यंग्यात्मक,रेगिस्तानी खजूर वृक्ष संदर्भ; लोककथा आधारित,aːsmaːn se ɡirnaː kʰəd͡ʒuːr meː əʈəknaː,नौकरी छोड़के आसमान से गिरल खजूर में अटक गेल।,ओ इलाज खातिर गेल आ आसमान से गिरके खजूर में अटक गेल।,गलत फैसला लेके ओ आसमान से गिरल खजूर में अटक गेल।
कान में तेल डाल लेना,क्रियात्मक मुहावरा; संज्ञा + परसर्ग + क्रिया,जानबूझकर अनसुना करना,ध्यान न देना,B1,"परिवार, हास्य",अनौपचारिक,ग्रामीण जीवन में कान में तेल डालने की क्रिया से जुड़ल,kaːn meː teːl ɖaːl lenaː,हम बोलैत रही आ तू कान में तेल डाल लेल।,बच्चा पढ़ाई छोड़के कान में तेल डाल लेलक।,सरकार शिकायत पर कान में तेल डाल लेलक।
साँप भी मर जाए लाठी भी न टूटे,लोकोक्ति; समन्वित वाक्य संरचना,ऐसन समाधान जे सब पक्ष के नुकसान से बचाए,संतुलित समाधान निकालना,C1,"राजनीति, कूटनीति","औपचारिक, नीति-वचन",ग्रामीण रक्षा पद्धति से जुड़ल कहावत,saːp bʱiː mər d͡ʒaːe laːʈʰiː bʱiː nə ʈuːʈeː,समझौता ऐसन हो जे साँप भी मर जाए लाठी भी न टूटे।,नेता साँप भी मर जाए लाठी भी न टूटे वाला नीति अपनैलक।,परिवार में विवाद एना सुलझा जे साँप भी मर जाए लाठी भी न टूटे।
आँख के तारा,संज्ञा वाक्यांश; संबंध सूचक संरचना,बहुत प्रिय व्यक्ति,बहुत प्यारा व्यक्ति,A2,"परिवार, प्रेम, साहित्य","स्नेहपूर्ण, काव्यात्मक",भारतीय काव्य परंपरा में आँख और तारा का रूपक,ãːkʰ keː taːraː,ओ अपन दादी के आँख के तारा छै।,ई बच्चा पूरा परिवार के आँख के तारा छै।,बेटी बाप के आँख के तारा होए छै।
पानी-पानी हो जाना,पुनरुक्ति संरचना + क्रिया; भाववाचक प्रयोग,लज्जित या अत्यंत शर्मिंदा हो जाना,बहुत शर्मिंदा होना,B2,"दैनिक वार्तालाप, हास्य",अनौपचारिक,लज्जा को पसीने और पानी से जोड़ल लोक-रूपक,paːniː paːniː hoː d͡ʒaːnaː,सबके सामने गलती पकड़ा गेल त ओ पानी-पानी हो गेल।,प्रश्न के जवाब नहि दे सकल त पानी-पानी हो गेल।,स्टेज पर गिरते ही ओ पानी-पानी हो गेल।
हाथ मलना,क्रियात्मक वाक्यांश; संज्ञा + क्रिया,पछतावा करना,पछताना,B1,"दैनिक जीवन, राजनीति",सामान्य,शोक या पछतावे में हाथ मलने की शारीरिक क्रिया से उत्पन्न,haːt̪ʰ məlnaː,गलत निवेश कर के ओ हाथ मल रहल छै।,मौका गँवाके अब हाथ मलै छै।,चुनाव हारके नेता हाथ मल रहल छै।
मन में लड्डू फूटना,रूपकात्मक वाक्यांश; संज्ञा + परसर्ग + संज्ञा + क्रिया,अंदर ही अंदर बहुत खुश होना,बहुत प्रसन्न होना,B2,"हास्य, पारिवारिक वार्ता","लोकप्रचलित, हास्यपूर्ण",भारतीय मिठाई लड्डू से जुड़ल उल्लास का प्रतीक,mən meː ləɖɖuː pʰuːʈnaː,नौकरी के खबर सुनके ओकर मन में लड्डू फूटल।,पुरस्कार मिलते ही मन में लड्डू फूट गेल।,रिश्ता तय होतै मन में लड्डू फूटे लगल।
