Idiom (Dagbani),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),Non-Idiomatic Equivalent (Plain Rephrasing),CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,Phonetic Transcription (IPA),First Example Sentence,Second Example Sentence,Third Example Sentence
Kuɣu kpema ka o yuli,Fixed clause; nominal subject + adjectival modifier + subordinate clause,Someone is extremely patient and slow to react despite pressure.,O pam ka o di nyɛla ka o wum,B2,"Daily speech, family advice, leadership discussions","Proverbial, respectful",Reflects Dagbon cultural praise of patience in chiefs and elders,/kuɣu kpɛma ka o jʊli/,"Abdulai kuɣu kpema ka o yuli, hali ka ti yɛli pam pam o pu nyɛ.","N pu bɔri o, kuɣu kpema ka o yuli ka o nyɛ zaaŋ.","Yɛlɛ la daa pam, ka o kuɣu kpema ka o yuli ka o chɛ."
Zugu kpema la di pam,Nominal clause; head noun + adjectival modifier + copular construction,Wisdom outweighs physical strength.,Nyɛla kpema ka pam di shɛli,C1,"Politics, elder counsel, dispute resolution","Authoritative, philosophical",Common in Dagbon chieftaincy discourse,/zʊɣu kpɛma la di pam/,Yɛlɛ la nyɛ shɛli ka zugu kpema la di pam.,"Ti daa bɔri, ka kpema yɛli ka zugu kpema la di pam.",O pam ka o wum ka zugu kpema la di pam.
Nyiɣisi niŋ zugu la,Verb phrase; reflexive imagery with body-part metaphor,To overthink or worry excessively.,O be yɛli ka o wum pam pam,B1,"Daily speech, youth conversations",Colloquial,Derived from imagery of scratching one’s head in confusion,/ɲiɣisi niŋ zʊɣu la/,Fo pu nyiɣisi niŋ zugu la hali zaaŋ.,N daa nyiɣisi niŋ zugu la ka n pu wum.,O be nyiɣisi niŋ zugu la ka o chɛ.
Yuli ka o tiŋa,Conditional clause; verb + subordinating particle,His reputation has collapsed.,O yuli daa pahi,C2,"Politics, social commentary","Ironic, critical",Used historically when nobles lost honor,/jʊli ka o tiŋa/,"Ka o daa yɛli la pam, yuli ka o tiŋa.",Ti wum la ka yuli ka o tiŋa zaaŋ ni.,O bɔri ka yuli ka o tiŋa hali kpema.
Biɛla la nyɛ pam,Nominal phrase; diminutive noun + evaluative predicate,Small beginnings can be powerful.,Shɛli kpema yi biɛla ni,B2,"Motivation, education, entrepreneurship","Encouraging, poetic",Common among traders in Tamale markets,/biɛla la ɲɛ pam/,Fo pu nyɛ biɛla la nyɛ pam.,N daa mali ka biɛla la nyɛ pam.,O yɛli kpema la ka biɛla la nyɛ pam.
O ti pam ka o nyɛ,Compound clause; verb + complement clause,He pretends to understand.,O pu wum la sahi,B1,"Humor, sarcasm, peer talk",Sarcastic,Often used jokingly among students,/o ti pam ka o ɲɛ/,Fo ti pam ka fo nyɛ ka fo pu wum la.,O daa ti pam ka o nyɛ hali sukuu ni.,Ti yɛli la ka o ti pam ka o nyɛ.
Tiŋa la di zaaŋ,Fixed nominal clause; noun + copular construction,The situation has completely ended.,Yɛlɛ la gbani,B2,"Conflict resolution, storytelling","Final, declarative",Rooted in storytelling traditions of Dagbon,/tiŋa la di zaːŋ/,"Ka o daa chɛ la, tiŋa la di zaaŋ.",Ti pam ka tiŋa la di zaaŋ hali kpema.,O yɛli ka tiŋa la di zaaŋ zaaŋ ni.
O yɛli niŋ zugu kpema,Verb phrase; metaphorical head reference,He speaks arrogantly or boastfully.,O yɛli ka o di kpema,C1,"Politics, debate, satire","Critical, ironic",Linked to cultural warnings against pride,/o jɛli niŋ zʊɣu kpɛma/,O yɛli niŋ zugu kpema hali ka kpema wum.,Fo pu yɛli niŋ zugu kpema ni.,O daa yɛli niŋ zugu kpema ka o bɔri.
N pu wum ka o yɛli,Negative clause; negation particle + verb + complement clause,I do not trust what he says.,N pu sihim o yɛlɛ la,A2,"Daily conversation, disagreement","Neutral, cautious",Common everyday expression in Tamale households,/n pu wum ka o jɛli/,N pu wum ka o yɛli hali kpema.,Ti pu wum ka o yɛli la zaaŋ ni.,M pu wum ka o yɛli ka o ti pam.
Zugu la gbani,Nominal clause; body-part noun + stative verb,The matter is settled or resolved.,Yɛlɛ la gbani pam pam,B1,"Family meetings, mediation","Calm, reconciliatory",Used traditionally during mediation by elders,/zʊɣu la ɡbani/,"Ka ti daa mali la, zugu la gbani.",O yɛli ka zugu la gbani zaaŋ ni.,Ti pam ka zugu la gbani hali kpema.
