Idiom (Mooré),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Mooré)",First Example Sentence,Second Example Sentence,Third Example Sentence
Wẽnd na maan zũ-noogo.,Fixed optative blessing clause: divine subject + future/volitive auxiliary + verb phrase; nominal compound zũ-noogo functions as outcome complement.,"May things end well; may someone be protected, especially after danger, uncertainty, travel, illness, or a difficult errand.",Yɛlã na n pʋg n sõma.,A2,"greetings, farewells, travel, illness recovery, family speech, religiously colored politeness","polite, warm, prayerful, everyday",Common blessing formula tied to the central role of Wẽnd in Mossi social etiquette and the value placed on safe return and communal well-being.,/wẽ́nd ná mã̀ːn zṹː nɔ́ːɡʊ̀/,"Fʋ sẽn na n kẽng Ziniaré, Wẽnd na maan zũ-noogo.","A ra lebga yir ne laafi, tɩ baaba yeel-a: Wẽnd maan zũ-noogo.","Biigã sẽn pʋs n wa, ma yeela tɩ Wẽnd na maan zũ-noogo."
Noor ka tɩɩg ye.,Negative equative proverb-like clause: noun subject + negative marker + nominal predicate; compact fixed expression.,"Speech is not a tree; words can move quickly and should not be trusted as something fixed, silent, or harmless.","Gomdã tõe n yɩɩga, bɩ f tõog n gũus noorã.",B1,"advice, gossip, family disputes, workplace confidentiality, political talk","colloquial, cautionary, slightly ironic","Reflects oral-society caution around reputation, testimony, and public speech in compounds, markets, and neighborhood gatherings.",/nɔ́ːr ká tɪ́ːɡ jé/,"Da gom yel-kãngã ne pʋ-peelem ye, noor ka tɩɩg ye.","Yir pʋgẽ ninsaal bãmb n wʋmda fãa, noor ka tɩɩg ye.","A sẽn da yeel kom-biisã, a yãame tɩ noor ka tɩɩg ye."
Kũum ka tar toogo ye.,Negative possession clause: abstract noun subject + negative existential/possessive construction + object noun.,"Death has no shame or respect for status; mortality reaches everyone regardless of wealth, age, or rank.",Ned fãa tõe n kʋʋme.,B2,"condolences, moral reflection, funerals, elder speech, religious discussion","solemn, philosophical, respectful","Draws on communal funeral discourse and the Mossi understanding that lineage, title, and wealth do not exempt anyone from destiny.",/kũ̀ːm ká táɾ tóːɡʊ̀ jé/,"Naabã sẽn kʋʋmã, d fãa yãa tɩ kũum ka tar toogo ye.","Da sɩnga n yõka f meng ye, kũum ka tar toogo ye.","Pagã wilga biisã tɩ kũum ka tar toogo ye, bɩ b yõod yam."
Biiga ka yãa a ma sũuri ye.,Negative perception clause with kinship possessor: child subject + negative verb + possessed abstract body-emotion noun.,"A child cannot fully understand a parent’s hidden worry, sacrifice, or emotional burden.",Biiga ka bãnga a ma sẽn tagsdã fãa ye.,B2,"family advice, parenting, storytelling, conflict mediation, elder-child instruction","affectionate, instructive, reflective","Rooted in extended-family life where maternal care, food provision, and silent sacrifice are culturally respected but not always spoken openly.",/bíːɡà ká jã́ː à má sṹːɾì jé/,"Fʋ sẽn nong sukuu bala, biiga ka yãa a ma sũuri ye.","A ma tʋmda yʋng ne zaabr, la biiga ka yãa a ma sũuri ye.","Sã n lebga kãsem, f na n bãnga tɩ biiga ka yãa a ma sũuri ye."
Yam yɩɩda ligdi.,Comparative equative clause: abstract noun subject + comparative verb + concrete noun; elliptical proverb form.,Wisdom is more valuable than money; good judgment can protect a person where wealth cannot.,Bãngr ne tagsgo sõma yɩɩda arzɛka.,B1,"education, business, youth mentoring, dispute resolution, leadership advice","proverbial, respectful, didactic","Reflects elder-centered education in Moogo, where experience, measured speech, and practical intelligence are valued above display of wealth.",/jám jɪ́ːdà líɡdì/,Da maan ned ne ligdi bala ye; yam yɩɩda ligdi.,"Tʋʋmdã pʋgẽ, sẽn tar yam na n kõ sor sẽn tar ligdi.",Kãsemã yeela kom-biisã tɩ yam yɩɩda ligdi.
"Pʋgdb sãn teeme sida, biiga teeme yõodgo.",Conditional biclausal proverb: subordinate sãn-clause + main clause; kinship subjects encode reciprocal social obligation.,"When relationships or social alliances change, dependent roles and joking obligations also change; adapt to the new social order.","Sã ninsaalã zemsgo lebge, bɩ f me lebg f tʋʋmã.",C1,"kinship, joking relationships, marriage, clan relations, anthropology, elder discourse","cultural, proverbial, mildly humorous","Associated with Mossi kinship and joking-relationship norms, where affinal changes can reshape who may joke, tease, or claim obligations.",/pʊ̀ɡdb sã́n téːmè sídà bíːɡà téːmè jṍːdɡò/,"Pʋgdbã sãn teeme sida, biiga teeme yõodgo, bɩ da zãag f meng ye.","A yeela ne wãnd tɩ pʋgdb sãn teeme sida, biiga teeme yõodgo.","Yel-kãngã ka yelle bala ye; pʋgdb sãn teeme sida, biiga teeme yõodgo."
Zĩig sẽn ka tar zãabre ka kõ toogo ye.,Relative-clause subject plus negative main predicate: place + relative modifier + negated verb phrase.,"A place or situation without effort, struggle, or preparation gives no lasting benefit.","Tʋʋmd ka be, yõod me ka be ye.",B2,"work ethic, farming, school, apprenticeship, entrepreneurship, motivational speech","proverbial, firm, encouraging","Echoes agrarian Mossi experience: fields, rains, and harvests reward patient labor more than quick comfort.",/zĩ́ːɡ sẽ́n ká táɾ zã́ːbɾè ká kṍ tóːɡʊ̀ jé/,"F sẽn dat rɩɩb sõma, zĩig sẽn ka tar zãabre ka kõ toogo ye.","Sukuudã pʋgẽ, zĩig sẽn ka tar zãabre ka kõ toogo ye.","Raoogã tagsame tɩ zĩig sẽn ka tar zãabre ka kõ toogo ye, bɩ a tʋm."
"Gomde n yita noorẽ, la paama tɩɩm yʋʋmẽ.",Coordinated clause with contrastive temporal imagery: verbal noun subject + source phrase + delayed-result clause.,A word spoken quickly can have consequences much later; careless speech may return after a long time.,Gomdã tõe n wa ne yelle wʋsg n looge.,C1,"politics, legal testimony, family conflict, social media, diplomacy","poetic, warning, serious","Reflects the prestige of restrained speech before elders and chiefs, where a public statement can create long-term obligation or conflict.",/ɡómde n jíta nɔ́ːrẽ́ lá páːma tɪ́ːm jʊ́ːmẽ́/,"Da zãag n gom ye, gomde n yita noorẽ, la paama tɩɩm yʋʋmẽ.","A noorã sẽn yɩɩg la woto, a bãnga tɩ gomde n yita noorẽ, la paama tɩɩm yʋʋmẽ.","Tẽngã sẽn wʋm yel-kãngã, gomde n yita noorẽ, la paama tɩɩm yʋʋmẽ."
Sũur sẽn pʋʋsdã ka bʋgs ye.,Relative-clause subject with negated stative predicate: heart + relative verb + negative adjective-like complement.,A heart that has forgiven is not heavy; forgiveness lightens anger and restores social peace.,"Sã f yafa nedã, f sũurã na n yɩ noogo.",B2,"reconciliation, family mediation, friendship, religious teaching, community peacebuilding","gentle, moral, restorative","Matches communal conflict-resolution values in households and neighborhoods, where public peace often matters more than private victory.",/sṹːɾ sẽ́n pʊ́ːsdã̀ ká bʊ́ɡs jé/,"Yafa f zu-sobã, sũur sẽn pʋʋsdã ka bʋgs ye.",Pagã yeela a biigã tɩ sũur sẽn pʋʋsdã ka bʋgs ye.,"D sẽn pʋʋs taaba, d yãa tɩ sũur sẽn pʋʋsdã ka bʋgs ye."
Ned ka zoe a sãab ye.,Negative transitive clause with possessed metaphorical object: human subject + negative verb + possessive noun phrase.,"A person cannot escape the consequences of their own actions, history, or reputation.",Ned ka tõe n bas a tʋʋma sẽn maana ye.,C1,"moral commentary, politics, family correction, public reputation, accountability","colloquial, ironic, sharp","Uses the body-shadow image familiar in Sahelian everyday experience: wherever a person walks in the sun, their trace follows them.",/néd ká zóe à sã́ːb jé/,"A sẽn da maan yel-wẽnã, ned ka zoe a sãab ye.","Politikã pʋgẽ, ned ka zoe a sãab ye, tɩ tẽngã n wʋmda fãa.","A gomda ne pa-peelem, la ned ka zoe a sãab ye."
