Idiom (Galician),Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Galician)",First Example Sentence,Second Example Sentence,Third Example Sentence
Mexar fóra do testo,Verbo pronominal + preposición (forma fixa),Excederse ou facer algo sen medida nin criterio,Exaxerar ou pasarse de listo,C1,"Humor, crítica social, vida cotiá","Coloquial, irónico",Popular na zona rural galega; relacionada coa falta de control,[meˈʃaɾ ˈfɔ.ɾɐ ðo ˈtes.to],"Cando falou daquela idea tola, estaba a mexar fóra do testo.","Sempre que intenta impoñer as súas normas, mexa fóra do testo.",Opinou sen saber nada e acabou mexando fóra do testo.
Quedar co cú ao aire,Locución verbal con estrutura pronominal,Ficar desprotexido ou en situación comprometedora,Quedar sen defensa ou sen recursos,B2,"Vida cotiá, traballo, política","Coloquial, sarcástico",Relacionado co humor popular e a vulnerabilidade,[keˈðaɾ ko ˈku aʊ̯ ˈaj.ɾe],"Se contas todo, imos quedar co cú ao aire.",Fixeron recortes e deixaron aos traballadores co cú ao aire.,"Non te fíes del, que xa deixou moita xente co cú ao aire."
Atar os cans con longanizas,Frase verbal hipotética,Vivir en abundancia irreal ou fantasiosa,Ter máis recursos dos que realmente se teñen,C1,"Ironía, política, economía","Iónico, literario",Adaptación galega dunha expresión peninsular; reflicte fantasía,[aˈtaɾ ɔs ˈkans kɔn lɔn.ɡaˈni.θas],Na súa campaña prometen atar os cans con longanizas.,Pensaban que co préstamo poderían atar os cans con longanizas.,Aquel plan era coma atar os cans con longanizas.
Non dar feito,Perífrase verbal negativa con infinitivo,Non conseguir rematar algo,Estar saturado de traballo,B1,"Vida cotiá, traballo",Coloquial,Moi común no galego falado en todo o país,[nõn ˈdaɾ ˈfej.to],Hoxe estou tan liado que non dou feito.,"Con tantos encargos, non damos feito.",Non dei feito co traballo da fin de semana.
Ir o carro diante dos bois,Oración subordinada comparativa,Facer algo fóra da orde lóxica,Adiantarse aos feitos,B2,"Educación, traballo, familia","Coloquial, ilustrativo",Proverbio de raíz agrícola galega,[iɾ o ˈka.ro ðjãnˈte ðɔs ˈbɔjs],"Non podedes aprobar sen estudar, iso é ir o carro diante dos bois.","Se compras todo antes de ter cartos, vas o carro diante dos bois.",O teu plan parece ir o carro diante dos bois.
Ficar coa boca aberta,Locución verbal con adxectivo,Quedar moi sorprendido ou abraiado,Sorprenderse moito,A2,"Vida cotiá, familia, educación",Coloquial,Expresión común en toda Galicia para expresar sorpresa,[fiˈkaɾ ˈko.a ˈβɔ.kɐ aˈβɛɾ.ta],Quedei coa boca aberta cando vin o prezo.,Os nenos ficaron coa boca aberta coa maxia.,Ficarás coa boca aberta cando escoites iso.
Chover sobre mollado,Infinitivo con preposición (locución verbal),Repetir unha situación negativa xa coñecida,Volver a ter problemas ou malas novas,B1,"Política, sociedade, humor","Coloquial, metafórico",Proverbio relacionado co clima galego,[ʃoˈβeɾ ˈsɔ.βɾe moˈʎa.ðo],"Despedírono outra vez, xa é chover sobre mollado.","Con outra crise, parece que chove sobre mollado.",As súas desculpas son chover sobre mollado.
Ter moita cara,Locución verbal + substantivo,Ser descarado ou aproveitarse dos demais,Actuar con descaro ou sen vergoña,B1,"Vida cotiá, traballo, crítica",Coloquial,Popular en contextos urbanos e familiares,[teɾ ˈmoj.tɐ ˈka.ɾa],Ese tipo ten moita cara pedíndoche iso.,Tiveste moita cara para non pagar.,Sempre lle botan en cara que ten moita cara.
"A palabras loucas, orellas xordas","Proverbio sentencioso, coordinación comparativa",Non facer caso a cousas sen sentido,Ignorar comentarios inxustificados,C1,"Literatura, consello, vida cotiá","Sentencioso, poético",Sabedoría popular galega con matiz moralizante,[a paˈla.βɾas ˈlɔw.kas oˈɾe.ʎas ˈʃɔɾ.ðas],"Non lle respondas, a palabras loucas, orellas xordas.","Sempre aplico o dito: a palabras loucas, orellas xordas.","Coas súas mentiras, mellor aplicar orellas xordas."
Falar polos cóbados,Verbo + adverbio con estrutura idiomática fixa,"Falar moitísimo, sen parar",Falar en exceso,A2,"Vida cotiá, humor, familia","Coloquial, divertido","Expresión viva en toda Galicia, especialmente en contornos familiares",[faˈlaɾ ˈpɔ.lɔs ˈkɔ.βa.ðɔs],Miña avoa fala polos cóbados cando conta historias.,Falas polos cóbados cando estás nervioso.,Xa está el falando polos cóbados outra vez.
