Idiom (Armenian),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Armenian)",First Example Sentence,Second Example Sentence,Third Example Sentence
Ջուրից չոր դուրս գալ,"Բառացի արտահայտություն, անցյալ ժամանակում օգտագործվող բարդ բայական կառուցվածք",Փրկվել անհաջողությունից կամ վտանգից առանց վնաս կրելու,Անխափան անցնել դժվար իրավիճակ,B2,"Աշխատանք, առօրյա խոսք, պատմվածքներ","Առօրյա, երբեմն հեգնական","Տարածված է ողջ Հայաստանի տարածքում, պատմականորեն կապված է ջրհեղեղներից փրկվելու պատկերացումների հետ",d͡ʒuɾit͡sʰ t͡ʃʰoɾ duɾs ɡaˈl,Նա բոլոր քննություններից ջուրից չոր դուրս եկավ։,Մրցույթի ընթացքում ջուրից չոր դուրս գալը շատերի մոտ անհնար էր։,"Չնայած բոլոր խնդիրներին, ընկերությունն ի վերջո ջուրից չոր դուրս եկավ։"
Կատուն իր մկանն է երազում,"Հաստատուն ասույթ, համեմատական կառուցվածք, ներկայում օգտագործվում հիմնականում փոխաբերական իմաստով",Ցանկանալ անհասանելի բան կամ երազել մեծ ցանկությամբ,"Շատ ուզել մի բան, որը չունես",C1,"Հումոր, առօրյա խոսք, ընտանիք","Հումորային, երբեմն հեգնական",Առնչվում է գյուղական կյանքում կատվի վարքագծին,kɑˈtun iɾ mɑˈkʰɑn ɛ jeɾɑˈzum,Սարգիսը նոր մեքենա է ուզում՝ կատուն իր մկանն է երազում։,"Դու դեռ տուն չունես, իսկ արդեն լողավազանի մասին ես խոսում՝ կատուն իր մկանն է երազում։",Երեխան իր հերթական խաղալիքն է ուզում՝ կատուն իր մկանն է երազում։
Խոսքը կոկորդին է կպել,"Հաստատուն բառակապակցություն, հաճախ օգտագործվում անցյալում կամ ներկայում","Ուզել խոսել, բայց չկարողանալ հուզմունքից կամ վախից",Հուզմունքից խոսել չկարողանալ,B2,"Զրույց, լուրերի փոխանցում, գրականություն",Բացասական զգացմունքներով հագեցած,Պատկերավոր խոսքի ավանդույթներից՝ կոկորդի խեղդող զգացում,χosˈkʰə kokoɾˈdin ɛ kəˈpɛl,"Նրա խոսքը կոկորդին էր կպել, երբ պատմում էր կորուստի մասին։","Խոսքը կոկորդին էր կպել, նա միայն լուռ նայում էր։","Հուզվել էր այնքան, որ խոսքը կոկորդին էր կպել։"
Ճիշտ կեսին հարվածել,"Բառացի բայով արտահայտություն, անցյալ կամ ապառնի ժամանակներում",Ճիշտ ենթադրել կամ ճշգրիտ ասել որևէ բան,"Ճշգրիտ ասել, ճիշտ հասկանալ",B1,"Քննարկում, խաղեր, վերլուծություն","Ջերմ, երբեմն զվարճալի",Կապվում է նետաձգության և նշանառության ավանդույթների հետ,ʧʰiʃt kɛˈsin hɑɾbɑˈtɛl,"Արա՛մ, դու ճիշտ կեսին հարվածեցիր։",Նրա վերլուծությունը պարզապես ճիշտ կեսին հարվածել էր։,Խաղի հարցին ճիշտ կեսին հարվածեց ու ստացավ միավոր։
Ձայնդ կտրի՛ր,Բառացի բայային հրամայական ձև,"Լռել անհապաղ, խոսել դադարեցնել","Լռիր, մի խոսիր",A2,"Ընտանիք, վեճ, դպրոց","Ազդեցիկ, երբեմն կոպիտ",Տարածված է մանկավարժական ու ընտանեկան միջավայրերում,d͡zɑjnd kəˈtʰɾiɾ,"Ձայնդ կտրի՛ր, էլի՛, հերիք ա աղմկես։",Ուսուցչուհին ձայնդ կտրի՛ր ասաց աշակերտին։,Մայրը ձայնդ կտրի՛ր ասաց՝ նյարդայնացած։
Աչքից ընկնել,"Անանց բայ, տարածված է բոլոր ժամանակներում",Կորցնել հարգանք կամ հեղինակություն որևէ մեկի աչքում,Արժեզրկվել մարդու գնահատման մեջ,B2,"Մարդկային հարաբերություններ, աշխատանք","Առօրյա, երբեմն տխուր",Արտահայտությունը եկել է մարդկային աչքի սիմվոլիկ կերպարից՝ որպես դիտարկման ու հարգանքի աղբյուր,ɑˈt͡ʃʰkʰit͡sʰ əŋkʰˈnɛl,"Նա աչքից ընկավ, երբ խոստումը չկատարեց։","Ցավալի էր տեսնել, թե ինչպես է ընկնում բոլորի աչքից։",Մի սխալով կարելի է աչքից ընկնել։
Կրակը թափել գլխին,"Բարդ բայական կառուցվածք, բացասական դաշնակցության դերում",Դժբախտություն բերել կամ խնդիր ստեղծել մեկի համար,Խնդիր ստեղծել մեկի վրա,C1,"Ընտանիք, պատմվածք, վեճ","Բացասական, զգացմունքային",Հին գյուղական պատկերացումներ՝ կապված կրակի աղետաբեր ուժի հետ,kɾɑˈkə tʰɑˈpʰɛl ɡəɫˈpin,"Հասմիկը այնպես արեց, որ բոլորն ասացին՝ կրակը թափեց գլխիս։",Նրա անզգուշ քայլը կրակը թափեց ողջ ընտանիքի գլխին։,"Մի խոսքով, նա նորից կրակը թափեց ընկերոջ գլխին։"
Թև տալ,"Անձնավորված բայ, կարող է դառնալ բարդ բայական ժամանակներում","Խրախուսել, հույս կամ ուժ տալ մեկին","Խրախուսել, աջակցել",B1,"Ուսում, աշխատանք, ծնողություն","Ճշմարիտ, ջերմ",Թևերը խորհրդանշում են թռիչք և ազատություն հայ մշակույթում,tʰɛv tɑl,Դասախոսը թև տվեց ուսանողին՝ գովելով աշխատանքը։,Մայրը միշտ թև է տալիս երեխաներին իրենց նպատակների համար։,Նրա աջակցությունը թև տվեց ինձ նորից փորձել։
Տանձի պես ընկնել,"Համեմատական բայական արտահայտություն, հիմնականում անցյալ ձևով","Անսպասելի, կտրուկ վայր ընկնել (հոգեպես կամ ֆիզիկապես)",Կտրուկ անկում ապրել,B2,"Սպորտ, վեճ, հասարակական միջավայր","Ցավակցող, երբեմն ծաղրական",Մշակութային համեմատություն՝ կապված գյուղական կյանքում տանձի ծանրության հետ,tɑnˈzi pɛs əŋkˈnɛl,Ֆուտբոլիստը տանձի պես ընկավ գետնին։,Դու չպետք է բաց թողնեիր զգուշությունը՝ տանձի պես ընկա։,Աշխատանքը թողնելուց հետո նա տնտեսապես տանձի պես ընկավ։
Բանը բանից անցել է,"Հաստատուն նախադասություն, անցյալ բարդ ժամանակի կառուցվածք",Արդեն ուշ է որևէ բան փոխելու համար,Ուշ է ինչ-որ բան փոխելու,C1,"Քաղաքականություն, վեճ, զղջում","Դրամատիկ, որոշ դեպքերում հեգնական",Արտահայտությունը օգտագործվել է դասական գրականության մեջ՝ ցույց տալու համար անդառնալիությունը,ˈbɑnə ˈbɑnit͡sʰ ɑnt͡sʰˈjɛl ɛ,"Հիմա արդեն բանը բանից անցել է, չես կարող վերադարձնել։","Դուք ուշացումով եք դիմել, բանը բանից անցել է։","Նա փորձեց արդարանալ, բայց բանը բանից անցել էր։"
