Idiom (Jinghpaw),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Jinghpaw)",First Example Sentence,Second Example Sentence,Third Example Sentence
"Aga lai yang hka tai, Ajum lai yang sha n mai.","Balanced conditional proverb; two parallel clauses with lai yang expressing excess or overdoing, followed by consequence clauses.","Careless or excessive speech causes trouble, just as over-fermentation spoils food; moderation and verbal restraint are wise.",Ga tsun shaga ai shaloi sadi let tsun ra ai.,B2,Family advice; conflict mediation; public speech; humor; community meetings,"Proverbial, cautionary, colloquial-formal",Traditional Jinghpaw speech wisdom using a food/fermentation image familiar in village and household life.,/a.ɡa lai jaŋ kʰa tai | a.dʑum lai jaŋ ʃa n̩ mai/,"Makau grup hta ninghkring n lu yang, aga lai yang hka tai, ajum lai yang sha n mai ngu tsun chye ra ai.","Num ningnan ni ga hkum lai hkra, sara gaw aga lai yang hka tai, ajum lai yang sha n mai ngu sadi jaw ai.","Buga up hkang hta ga law law tsun ai majaw manghkang byin wa ai shaloi, duwa wa dai ga malai hpe bai shadum ai."
"Dayauk da chyik, Lanyau myaw chik.",Elliptical paired clause with repeated compact verb-final rhythm; proverb compresses a cooperative action into two short clauses.,"Even small contributions matter; when many people help a little, a large task can be completed.",Masha ni jawm galaw yang bungli kaba mung ngut wa lu ai.,B1,Community work; team encouragement; school activities; workplace cooperation,"Colloquial, encouraging, lightly humorous",Traditional communal-labor proverb drawing on small creatures and small acts as images of collective strength.,/da.jauk da tɕik | la.ɲau mjaw tɕik/,"Shat shadu ai bungli hta marai langai mi sha n galaw lu, dayauk da chyik, lanyau myaw chik re.","Jinghpaw sharin hpung hta anhte yawng yawm yawm garum yang, dayauk da chyik, lanyau myaw chik.","Kayin gaw kachyi sha rai tim, dayauk da chyik, lanyau myaw chik ngu ai hte maren, shi a garum ai gaw ahkyak ai."
"Hka garai n kaba yang, mahkrai htan ra ai.",Temporal conditional clause followed by obligation phrase; n kaba yang marks action before a situation becomes serious.,Solve a problem early while it is still manageable; prevention is easier than emergency repair.,Manghkang kaba n byin shi yang shawng galaw shangut ra ai.,B1,Planning; health advice; project management; farming; household maintenance,"Practical, advisory, semi-formal","River and bridge imagery reflects highland travel, rainy-season risk, and the value of timely preparation.",/kʰa ɡa.rai n̩ ka.ba jaŋ | ma.kʰrai tʰan ra ai/,"Project hpe hpang de n da u; hka garai n kaba yang, mahkrai htan ra ai.","Ana n kaba shi yang hkamja lam hpe makawp maga u, hka garai n kaba yang, mahkrai htan ra ai.","Nta gawng n hkyem shi yang shatsawm u ngu, wa gaw hka garai n kaba yang, mahkrai htan ra ai ngu tsun ai."
"Hpunau myit hkrum hpyen n shang, Wuloi wula myit hkrum sharaw n dang.",Parallel compound proverb; repeated myit hkrum frames coordinated subjects and negated result clauses.,"Unity protects people from danger; a family, village, or group that agrees internally is hard to defeat.",Masha ni myit hkrum mangrum nga yang makawp maga lu ai.,C1,Politics; family unity; village leadership; conflict resolution; organizational culture,"Elevated proverbial, solemn, motivational",Kinship and animal imagery encode a social ethic of solidarity across Jinghpaw-speaking communities.,/pʰu.nau mjit kʰrum pʰjen n̩ ʃaŋ | wu.loi wu.la mjit kʰrum ʃa.raw n̩ daŋ/,"Manau poi hpe galaw na matu hpunau myit hkrum hpyen n shang, wuloi wula myit hkrum sharaw n dang ngu myit hkrum ga.",Company kata myit n hkrum yang bungli hkrat wa na; hpunau myit hkrum hpyen n shang ngu ai hpe matsing da ga.,"Buga masha ni myit hkrum wa ai majaw, hpunau myit hkrum hpyen n shang, wuloi wula myit hkrum sharaw n dang ngu ai gaw teng ai."
Hpyen wa a kumhpa gaw hkrit hpa re.,Possessive noun phrase plus topic marker gaw and equative predicate re; compact cautionary statement.,A gift or favor from an enemy may be dangerous; hidden motives must be examined before accepting benefits.,Hpyen wa kaw na lu ai hpe sadi maja let hkap la ra ai.,C1,Politics; negotiations; business; family disputes; strategic advice,"Serious, suspicious, cautionary, sometimes ironic","Conflict-era wisdom about alliances, gifts, and obligation; often applicable to dealings with rivals.",/pʰjen wa a kum.pʰa ɡaw kʰrit pʰa re/,"Hpyen wa a kumhpa gaw hkrit hpa re majaw, dai hkap la na lam hpe n kam hkum la ai.","Bungli hpe jahten ai masha kaw na garum lu yang mung, hpyen wa a kumhpa gaw hkrit hpa re ngu dum ra ai.","Dai ndai kumhpa n re, hpyen wa a kumhpa gaw hkrit hpa re ngu nna, shi gaw laika hpe shawng hti ai."
Lagawn e lu ai gaw yup; Yup e lu ai gaw ngak; Ngak e lu ai gaw hkaw; Hkaw e lu ai gaw htung; Htung e lu ai gaw du u.,"Cumulative chain proverb; each clause turns the previous result into the next topic, forming a moral cause-and-effect sequence.","Small laziness can grow into serious decline; neglected habits may lead to weakness, illness, or ruin.",Lagawn hkum byin; shakut let hkamja ai lam hpe makawp maga ra ai.,C2,Child guidance; moral teaching; health; work discipline; religious or literary speech,"Didactic, rhythmic, traditional, severe",A long-form household teaching proverb that uses repetition to warn children and youth against idleness.,/la.ɡawn e lu ai ɡaw jup | jup e lu ai ɡaw ŋak | ŋak e lu ai ɡaw kʰaw | kʰaw e lu ai ɡaw tʰuŋ | tʰuŋ e lu ai ɡaw du u/,"Ma ni hpe sharin shaga shaloi, lagawn e lu ai gaw yup; yup e lu ai gaw ngak ngu ai hpe n-gun jaw ai.",Nhtoi shagu bungli n galaw ai gaw lagawn e lu ai gaw yup ngu ai zawn hpang de jamjau du wa ai.,"Shinggyim prat hta lagawn hpe n lu shalawng, lagawn e lu ai gaw yup; yup e lu ai gaw ngak; ngak e lu ai gaw hkaw ngu sadi jaw ai."
"Marai masum myit hkrum yang, Panglai nawng pyi htawk dang ai.",Conditional unity clause followed by hyperbolic result; marai masum sets a small group against an immense object.,A few people with a shared mind can accomplish what seems impossible.,Myit hkrum yang bungli yak ai mung awng dang lu ai.,B2,Teamwork; leadership; education; activism; family planning,"Motivational, proverbial, optimistic",The image of draining a vast lake or sea emphasizes collective resolve in oral wisdom and community labor.,/ma.rai ma.sum mjit kʰrum jaŋ | paŋ.lai nawŋ pji tʰawk daŋ ai/,"Team masum sha nga tim, marai masum myit hkrum yang, panglai nawng pyi htawk dang ai.","Sharin hpung hta myit hkrum wa yang, marai masum myit hkrum yang, panglai nawng pyi htawk dang ai ngu hkap yin ai.",Myit n hkrum yang aloi bungli mung yak wa ai; myit hkrum yang panglai nawng pyi htawk dang ai.
"Masha garum ai hpe matsing da u, Tinang garum ai hpe malap da u.",Double imperative proverb; object-marked clauses contrast remembering others' help with forgetting one's own help.,"Be grateful for help received, but do not boast about help you gave.",Chyeju hpe matsing da nna tinang a garum ai hpe n shadawng ra ai.,B2,Ethics; family instruction; workplace humility; friendship; community service,"Moral, gentle, respectful, proverbial",A gratitude-and-humility saying associated with reciprocity norms in close-knit Kachin/Jinghpaw social life.,/ma.ʃa ɡa.rum ai pʰe mat.siŋ da u | ti.naŋ ɡa.rum ai pʰe ma.lap da u/,"Chyeju dum ai myit nga na matu, masha garum ai hpe matsing da u, tinang garum ai hpe malap da u.","Shi gaw shingran kaja rai nna, masha garum ai hpe matsing da u, tinang garum ai hpe malap da u ngu ai hpe prat hta jai lang ai.",Nang a sharin laika hta garum ya ai masha ni hpe malap hkum; masha garum ai hpe matsing da u.
"Matsan nngai ngu hkum hkrap, Lu nngai ngu hkum kadap.","Negative imperative pair; hkum prohibits emotional extremes, balancing complaint and boasting.",Do not merely lament poverty or boast of wealth; keep humility and work steadily.,"A matsan hpe hkrap hkum, a lu su hpe arawng hkum mala; shakut ra ai.",B2,Moral advice; economic hardship; youth guidance; marketplace talk; sermons,"Sober, ethical, corrective, proverbial",A social-balance proverb warning against both despair and arrogance in changing economic conditions.,/mat.san n̩.ŋai ŋu kʰum kʰrap | lu n̩.ŋai ŋu kʰum ka.dap/,"Matsan nngai ngu hkum hkrap, lu nngai ngu hkum kadap ngu ai gaw kaji kaja de shakut na matu n-gun jaw ai.","Bazaar hta ja law law lu ai shaloi mung, lu nngai ngu hkum kadap ngu nna, shi n jawng ai.","Nta hta jamjau nga tim, matsan nngai ngu hkum hkrap ngu ai hte maren, anhte hkum hkrit hkum ra ai."
"Myit yang mang ai, galaw yang dang ai","Antithetical conditional pair; myit yang contrasts with galaw yang, ending in opposing result predicates.","Thinking without action creates confusion, while doing the work reveals the solution and leads to success.",Myit sha n nga ai; galaw shakut yang mahtai lu ai.,A2,Student motivation; work coaching; project starts; everyday encouragement,"Plain, encouraging, widely usable, proverbial","Action-oriented oral wisdom emphasizing practical effort over hesitation; useful in learning, farming, and work.",/mjit jaŋ maŋ ai | ɡa.law jaŋ daŋ ai/,Research hpe myit sha myit nga yang mang ai; galaw yang dang ai.,"Nang project hpe hpang na matu n hkrit u, myit yang mang ai, galaw yang dang ai.","Shinggyim hkumga hta mung, myit yang mang ai, galaw yang dang ai ngu ai gaw ahkyak ai."
