Idiom (Luba-Kasai),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Luba-Kasai)",First Example Sentence,Second Example Sentence,Third Example Sentence
Kushiya nkuadi ku mutu,Fixed infinitival verb phrase with object complement; figurative transitive construction built on kushiya plus locative body-part phrase.,To keep a grudge or a heavy worry in one’s mind instead of speaking openly.,Kupeta dibanza dia bululu mu mutshima ne mu meji.,B2,family disputes; reconciliation talks; community mediation; advice from elders,colloquial; cautionary; emotionally serious,"Linked to family-palaver traditions where unresolved resentment is described as a burden carried on the head, a visible place of load-bearing in daily life.",[kuʃija ŋkʷadi ku mutu],"Kadi kuikala ushiyi nkuadi ku mutu, ambila mamu malu aku bimpe.",Bantu ba mu dibota bakenza disambila bua kabayi bashiya nkuadi ku mutu.,Mukulu wakamba ne: muntu udi ushiyi nkuadi ku mutu kena upeta ditalala.
Moyo udi udia mutshima,Subject–verb–object clause with personified abstract noun; progressive aspect marking on verb udia.,"Anxiety, envy, or fear is quietly consuming someone from within.",Udi ne tshikondo tshia bowa anyi tshia lulengu lua munda.,C1,emotional counseling; family observation; literature; jealousy; private worry,poetic; reflective; slightly dramatic,"Draws on the Luba-Kasai view of mutshima as the center of feeling, conscience, courage, and relational balance.",[mojo udi udia mutʃima],"Kubanga mukaji wende wakaya, moyo udi udia mutshima wa Kalala butuku ne muinshi.","Mwana udi useka, kadi moyo udi udia mutshima chifukwa cha malu a kalasa.","Paakumona mukanda wa musangu eu, moyo wakadi udia mutshima wende bikole."
Kufika muinshi mua dibue,Infinitival motion verb phrase with locative prepositional complement; metaphorical place expression.,To reach the hidden truth or the root cause of a difficult matter.,Kumanya tshisamba tshia malu anyi ntuadijilu wa kanyinganyinga.,B2,investigation; problem-solving; family councils; workplace review; teaching,neutral; analytical; wisdom-oriented,References stones used as markers or coverings; what lies under the stone is not immediately visible and must be uncovered carefully.,[kufika muinʃi mwa dibwe],Tudi ne bua kufika muinshi mua dibue tuetu bonso tuetuikale ne bushuwa.,Mulombodi kena ufua moyo to ne afike muinshi mua dibue mu mudimu eu.,"Bikalayi tumona bipendu bia bantu, katuena tufiki muinshi mua dibue."
Kuyoya mu mukila wa nzolu,Infinitival verb phrase with locative complement; animal-body metaphor with possessive noun phrase.,"To follow a powerful person too closely, depending on their influence instead of acting independently.",Kulonda muntu wa bukole bua kupeta dianyisha anyi bujitu.,C1,politics; workplace hierarchy; patronage; satire; social commentary,ironic; critical; humorous,The elephant symbolizes strength and status; walking by its tail suggests dependence on borrowed power and risky proximity.,[kujoja mu mukila wa nzolu],"Mu tshisalu tshia politiki, badi bangi bayoya mu mukila wa nzolu.",Tatu wakamuseka ne udi uyoya mu mukila wa nzolu panzubu wa bakokeshi.,Muntu udi uyoya mu mukila wa nzolu kena umanya buimpe buandi.
Malu adi ne mino,Nominal subject plus existential verb phrase; personification with plural noun and possessed body part.,"A situation is dangerous, delicate, or likely to hurt someone if handled carelessly.",Malu aa adi makole ne adi mua kuleta tshinyangu.,B1,warnings; legal disputes; business negotiations; family conflicts,colloquial; cautionary; vivid,"Uses teeth as a familiar image of harm, warning listeners that a matter can bite like a living creature.",[malu adi ne mino],"Kadi kuela tshisumbu mu nsangilu eu, malu adi ne mino.","Badi balombangana bua budimi bua bakulu, malu adi ne mino penyi.",Mulongeshi wakambila bana ne malu a maluisha adi ne mino.
Kukanda mayi mu lubila,Infinitival transitive verb phrase with locative complement; action metaphor involving water and a deep/long passage.,"To waste effort, resources, or advice where it will not produce results.",Kuenza mudimu anyi kupesha dianyisha pa tshintu tshidi katshiena ntema.,B2,work planning; teaching; parenting; business; advice,colloquial; pragmatic; mildly sarcastic,"Evokes the futility of pouring valuable water into a place where it disappears, reflecting the practical value of water in household life.",[kukanda maji mu lubila],"Kubuela mu mudimu kawena mua kupangila, nku kukanda mayi mu lubila.",Mamu wakamba ne kumulaya musangu yonso kudi kukanda mayi mu lubila.,"Bikale bena mudimu kabena bumvua, mayele etu adi akandibua mu lubila."
Dimi didi dibuela ku meji kumpala,Subject–progressive verb–locative complement clause; body-part subject with temporal adverbial.,Someone speaks before thinking and may cause trouble through careless words.,Udi wamba malu kabidi kayi abanza bimpe.,B1,youth guidance; family correction; public speaking; conflict prevention,admonishing; colloquial; instructive,"Reflects communal emphasis on measured speech, respect, and listening before responding in councils and family gatherings.",[dimi didi dibwela ku medʒi kumpala],"Dimi diaku didi dibuela ku meji kumpala, nanku wakapanga bena nsangilu.","Mulunda wanyi udi ne mutshima muimpe, kadi dimi diandi didi dibuela ku meji kumpala.","Mu diku, bakulu badi balaya bana bua dimi kadibueli ku meji kumpala."
Kudia tshia ku mesu,Infinitival verb phrase with object complement; visual perception metaphor lexicalized as idiom.,To judge by appearance only without understanding the deeper reality.,Kutangila tshintu pa mesu mpamba kayi umanya bushuwa buadi.,B2,marketplace; relationships; moral teaching; product reviews; social judgment,colloquial; moralizing; practical,"Connects seeing and eating to hasty judgment, warning against being deceived by surfaces in trade and social life.",[kudia tʃia ku mesu],"Kadi kudia tshia ku mesu, nzubu eu udi ukenza malu a bungi.","Bamvuala badi bapesha muntu bujitu, kadi kudia tshia ku mesu kudi kupambuisha.","Mu tshisalu, muntu udi udia tshia ku mesu upanga kushala ne lukasa."
Kusomba pa mukuna wa lupemba,Infinitival stative verb phrase with locative prepositional complement; symbolic object phrase.,To live or act with fragile prestige that can vanish quickly under pressure.,Kuikala ne bujitu budi kabuyi bukole anyi kabuyi buimana.,C2,literature; politics; social criticism; leadership; ceremonial speech,literary; poetic; critical,"Lupemba, white ritual chalk/clay associated with purity, honor, and ceremony, suggests prestige that is bright yet easily disturbed.",[kusomba pa mukuna wa lupemba],Mulombodi udi ulaya malu kayi uenza udi usomba pa mukuna wa lupemba.,"Bujitu buakapeta mu nsangilu buakadi buimpe, kadi wakasomba pa mukuna wa lupemba.","Mu mukanda wa mufundi, mfumu wakadi usomba pa mukuna wa lupemba."
Kukuba lukasa ku malu adi alala,Infinitival transitive verb phrase with object clause; causative/agitative metaphor using lukasa as acceleration.,To revive a settled conflict or provoke a problem that had calmed down.,Kuvudija kanyinganyinga kakadi kashidi katalala.,C1,family peacekeeping; politics; online arguments; mediation; gossip,critical; cautionary; socially corrective,"Grounded in reconciliation culture: once a matter has slept, disturbing it is seen as socially dangerous and disrespectful.",[kukuba lukasa ku malu adi alala],"Kadi kukuba lukasa ku malu adi alala, dibota diakatala kale ditalala.","Mu nsangilu, mukulu wakamupuekesha bua wakakuba lukasa ku malu adi alala.",Meyi a pa nzubu a pa mukanda wa intaneti adi akuba lukasa ku malu adi alala.
