Idiom (Bolivian Spanish),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Bolivian Spanish)",First Example Sentence,Second Example Sentence,Third Example Sentence
Estar con la cabeza en la Luna,Locución verbal; estructura fija con verbo 'estar' y complemento preposicional,"Estar distraído o desconectado de la realidad, sin prestar atención a lo que ocurre alrededor.",Estar distraído,B1,"Conversación diaria, escuela, familia",Coloquial,"De uso común en Bolivia, influenciado por expresiones panhispánicas pero muy frecuentes en Santa Cruz",[esˈtaɾ kon la kaˈβesa en la ˈluna],"¡Ey! ¡Presta atención, que estás con la cabeza en la Luna otra vez!",Mi hijo siempre está con la cabeza en la Luna cuando le hablo de tareas.,"No podés manejar si vas con la cabeza en la Luna, es peligroso."
Meter la pata,Verbo transitivo con objeto directo; locución verbal,"Cometer un error, especialmente uno socialmente incómodo o inoportuno.",Cometer un error,A2,"Conversación diaria, familia, trabajo",Coloquial,"Usado en toda Bolivia, posible origen de analogía con animales que pisan donde no deben",[meˈteɾ la ˈpata],Metí la pata al contarle el secreto a Carla.,"No queríamos meter la pata, así que fuimos con cuidado.","Cada vez que habla en público, mete la pata de alguna forma."
Quedarse en la calle,Verbo pronominal en voz pasiva; locución verbal,Perder el empleo o quedarse sin recursos económicos o sin hogar.,Perder todo o no tener nada,B2,"Sociedad, economía, política","Coloquial, serio","Expresión con fuerte peso económico, común en relatos urbanos de Bolivia",[keˈðaɾse en la ˈkaʝe],"Si no pagan este mes, me quedo en la calle.","Después del incendio, muchos vecinos se quedaron en la calle.","Quedarse en la calle no es solo una metáfora para algunos, es real."
Estar al horno,Locución verbal; estructura fija con verbo 'estar' y preposición,"Estar en una situación complicada, sin salida fácil.",Estar en problemas,B1,"Juventud, callejero, humor","Coloquial, irónico","Adoptado del lunfardo rioplatense, popularizado por jóvenes cruceños",[esˈtaɾ al ˈoɾno],"¡Uy! Si no estudio hoy, estoy al horno con el examen.","Cuando me vieron con esa pinta, supe que estaba al horno.","Con esa multa, ya estamos al horno, hermano."
Tirar la toalla,Locución verbal; estructura fija con verbo transitivo,Rendirse o abandonar un esfuerzo,Rendirse,B2,"Deporte, motivación, vida cotidiana","Coloquial, deportivo","Tomado del boxeo, ampliamente difundido en contextos motivacionales en Bolivia",[tiˈɾaɾ la toˈaʝa],"No voy a tirar la toalla ahora, estoy tan cerca de lograrlo.","Después de tantas entrevistas fallidas, casi tiró la toalla.","No tirés la toalla, todavía podés ganar."
Estar fregado,Locución verbal; participio como adjetivo,Estar en una mala situación o en aprietos,Estar en problemas,A2,"Familia, amistad, callejero",Coloquial,"Muy usado en Bolivia, variante de 'estar jodido' pero menos vulgar",[esˈtaɾ fɾeˈɣaðo],"Si no llegás a tiempo, estás fregado con tu mamá.",¡Uy! Estamos fregados si llueve hoy.,"Cuando perdió el trabajo, supo que estaba fregado."
Buscarle la quinta pata al gato,Locución verbal compleja; construcción interrogativa fija,Complicar algo innecesariamente o buscar problemas donde no hay,Complicar algo sin motivo,C1,"Debate, ironía, relaciones","Coloquial, irónico","Usado ampliamente en el Cono Sur, popular en Bolivia especialmente en Cochabamba y Santa Cruz",[busˈkaɾle la ˈkinta ˈpata al ˈɣato],"No le busqués la quinta pata al gato, todo está claro.","Siempre le buscás la quinta pata al gato, dejá de desconfiar tanto.",¿Otra vez con lo mismo? Le estás buscando la quinta pata al gato.
Estar hecho leña,Locución verbal; participio como adjetivo,Estar exhausto física o emocionalmente,Estar muy cansado o devastado,B2,"Trabajo, salud, vida diaria","Coloquial, descriptivo","Expresión común en Bolivia, vinculada a la cultura campesina (leña como símbolo de desgaste)",[esˈtaɾ ˈetʃo ˈleɲa],"Después del viaje, estoy hecho leña.","No dormí nada, estoy hecho leña.",Trabajó tanto que terminó hecho leña.
Ponerle el pecho a las balas,Locución verbal con objeto directo metafórico,Enfrentar una situación difícil con valentía,Enfrentar los problemas,C1,"Política, liderazgo, familia","Literario, motivacional",Origen militar adaptado al discurso político y popular en Bolivia,[poˈneɾle el ˈpetʃo a las ˈβalas],Es tiempo de ponerle el pecho a las balas y no escapar.,"Aunque sea duro, hay que ponerle el pecho a las balas.",Mi abuela siempre le puso el pecho a las balas por nosotros.
Bailar con la más fea,Locución verbal metafórica,Tener que enfrentar la peor parte de algo o la situación más desagradable,Tener la peor parte,C2,"Literatura, crítica, humor negro","Poético, sarcástico","Muy usado en toda Latinoamérica, pero en Bolivia tiene una carga humorística marcada",[bai̯ˈlaɾ kon la mas ˈfea],Nos tocó bailar con la más fea: la auditoría.,Siempre me hacen bailar con la más fea en estos eventos.,"En cada reunión familiar, alguien tiene que bailar con la más fea."
