Idiom,Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Rioplatense Spanish)",First Example Sentence,Second Example Sentence,Third Example Sentence
Estar al horno (con papas),"Verbo copulativo + locución preposicional (coloquial, fija)",Estar en una situación muy complicada o sin salida.,Estar en problemas serios.,B2,"Conversación diaria, humor, trabajo, estudio","Coloquial, irónico","Popularizado en Buenos Aires, hace referencia humorística a estar 'cocinándose' como una comida, sin escapatoria.",[esˈtaɾ al ˈoɾno (kom ˈpapas)],"Si no termino el informe para mañana, estoy al horno con papas.","Después de faltar tres días al laburo, quedó al horno.","Con esa respuesta en el examen, estás al horno, che."
Tirar la casa por la ventana,"Verbo transitivo + sintagma preposicional (hiperbólica, fija)","Gastar mucho dinero, usualmente en una celebración.",Hacer un gasto excesivo para una ocasión especial.,B1,"Fiestas, eventos familiares, conversaciones sociales","Coloquial, festivo",De uso extendido en América Latina; en Argentina suele usarse cuando alguien celebra algo importante.,[tiˈɾaɾ la ˈkasa poɾ la βenˈtana],"Para su cumpleaños, tiraron la casa por la ventana.",Se casó y tiraron la casa por la ventana en la fiesta.,"Cuando nació el nene, los abuelos tiraron la casa por la ventana."
Más perdido que turco en la neblina,Comparación + cláusula subordinada (hiperbólica),Estar completamente desorientado o confundido.,Estar muy confundido.,C1,"Humor, sarcasmo, conversaciones informales","Coloquial, humorístico",Expresión argentina con tono humorístico; el 'turco' representa una figura extranjera arquetípica sin sentido de orientación.,[mas peɾˈdiðo ke ˈtuɾko en la neˈβlina],Estaba más perdido que turco en la neblina con ese mapa.,"En la reunión, quedó más perdido que turco en la neblina.","Cuando explicaron la consigna, estaba más perdido que turco en la neblina."
No tener pelos en la lengua,"Verbo + objeto directo + preposición (negativa, idiomática)","Hablar con franqueza, sin filtros ni rodeos.",Decir las cosas directamente.,B2,"Conversaciones personales, trabajo, política","Coloquial, directo",Muy usado en Argentina para describir personas francas o sin tacto.,[no teˈneɾ ˈpelos en la ˈleŋɡwa],"Mi abuela no tiene pelos en la lengua, te dice todo en la cara.",El jefe no tiene pelos en la lengua cuando critica.,"Juan no tiene pelos en la lengua, por eso a veces choca con los demás."
Mandarse una macana,Verbo reflexivo + sustantivo coloquial,Cometer un error o hacer algo indebido.,Hacer una tontería o equivocarse.,A2,"Familia, escuela, amigos, humor","Coloquial, suave, humorístico",Típica del español rioplatense; 'macana' es una palabra muy local.,[manˈdaɾse una maˈkana],Me mandé una macana y rompí el florero.,"¡Otra vez te mandaste una macana, nene!","Si me mando una macana, lo arreglo enseguida."
Estar hecho bolsa,Verbo copulativo + participio + sustantivo (fijo),Estar exhausto o en mal estado físico/emocional.,Estar muy cansado o destruido.,B1,"Diálogo cotidiano, salud, emociones","Coloquial, expresivo",Muy usado en el Cono Sur; 'hecho bolsa' refiere a estar destrozado como una bolsa vieja.,[esˈtaɾ ˈetʃo ˈbolsa],"Después del partido, estoy hecho bolsa.",Se ve que está hecho bolsa por la noticia.,"Volvió del trabajo hecho bolsa, pobre."
Hacerse el sota,Verbo pronominal + artículo definido + sustantivo (argot),Fingir no entender o ignorar algo deliberadamente.,Hacerse el distraído.,C1,"Conversaciones urbanas, sarcasmo, picardía","Coloquial, irónico",Argentinismo; 'sota' es una carta baja que implica hacerse el tonto.,[aˈseɾse el ˈsota],"Cuando le preguntaron por el problema, se hizo el sota.","No te hagas el sota, sabés de qué estamos hablando.",Siempre se hace el sota cuando le conviene.
Ni en pedo,Adverbio de negación + frase coloquial (enfática),De ninguna manera; rotunda negativa.,Jamás lo haría.,B2,"Juventud, redes sociales, bromas, firmeza","Muy coloquial, vulgar leve","Frecuente entre jóvenes y adultos argentinos; hace referencia a estar borracho, negando hacer algo ni siquiera en ese estado.",[ni en ˈpeðo],¿Ir a esa fiesta con él? ¡Ni en pedo!,Ni en pedo me subo a esa montaña rusa.,Ni en pedo le presto el auto otra vez.
Estar para el cachetazo,Verbo copulativo + locución preposicional + sustantivo,Estar insoportable o muy descontrolado.,Estar actuando muy mal.,C2,"Familia, humor, exageración, televisión","Coloquial, humorístico, dramático","Muy rioplatense; 'cachetazo' refiere a bofetada, usada metafóricamente.",[esˈtaɾ paɾa el katʃeˈtaso],"Hoy estás para el cachetazo, loco.",Esa actriz estaba para el cachetazo en la novela.,"Después de la semana que tuve, estoy para el cachetazo."
Buscarle la quinta pata al gato,Verbo transitivo + objeto directo (cláusula comparativa),Complicarse con detalles innecesarios.,Buscar problemas donde no hay.,C1,"Filosofía, sarcasmo, crítica, familia","Coloquial, reflexivo",Argentinismo clásico; representa obsesión con lo imposible o inexistente.,[busˈkaɾle la ˈkinta ˈpata al ˈɣato],Siempre le busca la quinta pata al gato en todo.,"No busques la quinta pata al gato, está todo claro.",Mi tía le busca la quinta pata al gato con cada decisión.
