Idiom (Minyanka),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Minyanka)",First Example Sentence,Second Example Sentence,Third Example Sentence
Wu ɲaha ya gbo.,Fixed declarative clause; possessive noun phrase + stative predicate with ya; body-part metaphor centered on ɲaha ‘face’.,"Someone looks severe, angry, proud, or emotionally closed, so others should approach carefully.","Wu ya tɔɔyɔ ni, a ma nɔhɔpiire ɲa fɔɔri.",B1,family mediation; market disagreement; community meetings; warnings to children,"colloquial, cautionary, mildly humorous",Face-based social reading is important in courtyard and market interaction; a ‘heavy face’ signals tension before words are spoken.,/wu ɲaha ja ɡbo/,"Bakari ɲaha ya gbo, pee ganha jo na kaɲɛhɛ ni wɛ.","Ma ba Fanta ɲa sisan, ma jo fɔlɔ; wu ɲaha ya gbo.",Nɔhɔcɛrɛɛ bɛɛri di ɲa na koro wu ɲaha ya gbo caŋa ki na.
Wu ɲɔ ya jɛni.,Fixed clause; possessive noun phrase + stative quality; metonymy using ɲɔ ‘mouth/speech’.,"The person speaks clearly, persuasively, and with social tact.","Wu ya jomɔ jo naŋa ni, sipya bɛɛri da wu mɛɛ.",B2,public speaking; trade negotiation; praise; storytelling; teaching,"admiring, colloquial to semi-formal",Elders and griot-like speakers are valued for speech that settles disputes and makes difficult matters understandable.,/wu ɲɔ ja dʒɛni/,Awa ɲɔ ya jɛni; a di bɛɛri fanhaɲɛhɛŋɛ fɔɔ na.,"Karamɔgɔ wu ɲɔ ya jɛni, kɔrɔgɔ bɛɛri di sɛmɛ ki mɛɛ.","Jatigi wu di jo, «Musa ɲɔ ya jɛni, a da yaha ki shɔ.»"
Funŋɔ ki ya kɔɔn ni.,Nominal idiom in a locative clause; abstract noun funŋɔ ‘inner feeling/heart’ placed inside kɔɔn ‘belly’.,"A person is hiding pain, resentment, fear, or a serious thought instead of saying it openly.",Wu ma wu jomɔ jo; a funŋɔ ya tɔɔyɔ ta.,B2,private counsel; marriage talk; grief; friendship; conflict avoidance,"intimate, reflective, poetic","In many Mande and Senufo-area speech traditions, the belly/inside is a metaphorical place for concealed emotion.",/fuŋɔ ki ja kɔɔn ni/,"Fanta di sɔrɔ, ga funŋɔ ki ya kɔɔn ni.","Ma ɲɔ ya yala, ga nɛ ɲa na funŋɔ ki ya kɔɔn ni.","Caŋa kili na, koro wu bɛ di jo na: «Ma funŋɔ ki ya kɔɔn ni wɛ?»"
Wu ɲuŋɔ ya yaha shɛ.,Fixed clause with body-part subject and motion verb; ɲuŋɔ ‘head’ acts as seat of attention.,"Someone is distracted, absent-minded, or mentally far from the present situation.",Wu ma mɛɛ fiin; wu ɲiga ya yaha wá.,B1,school; work; farming coordination; joking criticism,"colloquial, teasing",A wandering head evokes someone whose attention has gone down the road before their body follows.,/wu ɲuŋɔ ja jaha ʃɛ/,"Sira ya sɛmɛ ki kalaa, ga wu ɲuŋɔ ya yaha shɛ.","Musa, ma mɛɛ! Ma ɲuŋɔ ya yaha shɛ sugu funŋɔ ni.",Koro wu di ɲɛɛri na a ɲuŋɔ ya yaha shɛ yɛrɛ caŋa bɛɛri.
Lɔhɔ ya wolo.,Short stative clause; lɔhɔ ‘hand’ as subject with wolo ‘open’; body-part metaphor for generosity/action.,"Someone is generous, ready to share, or willing to help without being forced.",Wu ya fenɛ shɛ ni sipya wuu ni.,A2,hospitality; family support; praise; communal labor,"warm, praising, everyday speech","Sharing food, labor, and small resources is central to village and urban-neighborhood reciprocity.",/lɔhɔ ja wolo/,Aminata lɔhɔ ya wolo; a di ji ni dumuni shɛ jatigi mu.,"Wu lɔhɔ ya wolo, lee k’a pyi nɔhɔ bɛɛri ni.","Nɛ da ma tɔɔyɔ soro, bari ma lɔhɔ ya wolo caŋa bɛɛri."
Togo ya wu fe.,Possessive/existential construction; togo ‘name/reputation’ placed upon the person with fe ‘on/at’.,"The person has a visible reputation, whether honorable or notorious, that people recognize immediately.",Sipya bɛɛri ya wu tɔɔyɔ cɛ.,B1,community reputation; politics; business; moral evaluation,"neutral, can be admiring or ironic","Names carry lineage, honor, and social memory; a name ‘on’ someone means public identity has become attached to them.",/toɡo ja wu fe/,"Koutiala ni, togo ya Adama fe, bari a ya jomɔ shɔ naŋa ni.","Togo ya wu fe, ga a ganha ma yɛrɛ gbɔɔn wɛ.","Sugu funŋɔ ni, pee di jo na togo ya Fanta fe."
Saha ya wu kalan.,Personified clause; saha ‘field’ acts as teacher; experience-as-school metaphor.,Hard experience has taught someone better than advice alone could.,"Wu ya cɛ, bari keree wii di wu kalaa.",B2,agriculture; life lessons; elder advice; resilience,"proverbial, wise, rural","Agricultural work around millet, sorghum, and cotton creates strong metaphors for patience, timing, and consequence.",/saha ja wu kalan/,Saha ya wu kalan; sisan Bakari ma funŋɔ shɔ kanhama la wɛ.,"Ma ba ji caŋa cɛ wɛ, saha da ma kalan yɛrɛ ni.","Koro wu di jo na saha ya wu kalan, a bɛ ganha yaha kɔrɔgɔ wɛ."
Kɔɔn ki ya jomɔ daan.,Locative-body idiom; kɔɔn ‘belly/inside’ closes jomɔ ‘speech/word’; transitive/causative flavor.,"A person keeps a secret, restrains speech, or refuses to reveal what they know.",Wu ma mɛɛ wolo; wu ya sɔrɔ mɛɛŋɛ.,B2,secrets; diplomacy; family conflict; leadership,"discreet, serious, respectful",Keeping words inside is valued when premature speech could shame a family or damage a negotiation.,/kɔɔn ki ja dʒomɔ daan/,Jatigi kɔɔn ki ya jomɔ daan fɔɔ bɛɛri ma zhɛ wɛ.,"Nɛ cɛ na ma kɔɔn ki ya jomɔ daan, ga sisan jo nɛ mu.",Fanta ma saari jo wɛ; wu kɔɔn ki ya jomɔ daan.
Gboo ya wu tɔɔyɔ ta.,Personified natural-force clause; gboo ‘dust’ carries tɔɔyɔ ‘name/matter’; metaphor of rumor spreading.,"News, rumor, or fame has spread quickly beyond its original place.",Jomɔ ki ya shɛ yaha bɛɛri ni.,B2,gossip; market news; politics; social media analogy; reputation,"ironic, vivid, colloquial","Dust rising from roads, markets, and cattle paths gives a local image for news traveling fast through communities.",/ɡboː ja wu tɔːjɔ ta/,"Gboo ya wu tɔɔyɔ ta; caŋa kili ni, bɛɛri di mɛɛ ki cɛ.","Ma jo ŋɔmɔŋɔ ni, ga gboo ya ma tɔɔyɔ ta Koutiala ni.","Pee ganha ŋmɛɛ wɛ, bari gboo ya tɔɔyɔ ta yaha ki na."
Ji ya ɲɔ shɔ.,Short metaphorical clause; ji ‘water’ acts on ɲɔ ‘mouth’; experiential metaphor for stunned silence.,"Someone becomes speechless, embarrassed, or unable to answer because the situation overwhelms them.","Wu ma jaabi ta wɛ, a ya yɛrɛ ɲa na.",B1,surprise; shame; public questioning; humor; dispute settlement,"colloquial, slightly comic",Water cooling or covering the mouth evokes the social moment when words fail before elders or a crowd.,/dʒi ja ɲɔ ʃɔ/,"Koro wu di ɲɛɛri, ji ya Musa ɲɔ shɔ.","Ba pu ma keree ki ɲa, ji ya pee ɲɔ shɔ.","Awa ya mɛɛ kili jo naŋa ni, ji ya sipya wuu ɲɔ shɔ."
