Idiom (Western Armenian),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Western Armenian)",First Example Sentence,Second Example Sentence,Third Example Sentence
Ատամներուն վրայ հաց չմնայ,Fixed clause; subjunctive structure,"To be extremely poor, lacking even basic necessities.",To be very poor or destitute.,B2,"Daily speech, humor, literature","Colloquial, ironic",Traditional reference to bread scarcity in Ottoman Armenian communities.,[ɑˈdɑmneɾun vɾiˈɑ hɑtsʰ tʃʰməˈnɑj],"Ատամներուն վրայ հաց չմնայ, բայց դեռ գիծին կը սպասէր:","Տունը այնպէս խեղճ էր, որ ատամներուն վրայ հաց չմնայ:","Ատամներուն վրայ հաց չմնայ, բայց միշտ ժպտար:"
Մազ մը փրկուիլ,Fixed expression; infinitive construction,To narrowly escape danger.,To barely avoid a catastrophe.,B1,"Daily speech, storytelling, humor",Colloquial,Old Armenian tales emphasizing close calls.,[mɑz mə pʰəɾkʰuˈil],Մազ մը փրկուեցաւ վթարէն:,Մազ մը փրկուիլ՝ գետին չիյնալով:,Կրակէն մազ մը փրկուեցաւ:
Մեղուի պէս գործել,Simile; verb phrase,To work diligently and industriously.,To work hard.,B1,"Workplace, literature","Neutral, literary",Comparison to bees in Armenian folk poetry.,[meʁvi pes ɡoɾtʃɛl],Ան մեղուի պէս կը գործէ իր ամբողջ օրը:,Մեղուի պէս աշխատիլ կ'ուզեմ:,Մեղուի պէս գործելով տունը շուտ բարեկարգեց:
Աչք ծակել,Fixed expression; verb phrase,To attract attention due to gaudiness or extravagance.,To stand out (negatively).,B2,"Daily speech, humor, sarcasm","Colloquial, sarcastic",Refers to something visibly unpleasant.,[ɑtʃʰkʰ tsɑˈɡɛl],Անոր շապիկը աչք կը ծակէր:,Աչք ծակող գույնով ներկեցին սենեակը:,Անոր ոճը աչք կը ծակէ:
Ձայն չհանել,Fixed negation phrase; verb construction,To remain completely silent.,To say nothing.,A2,"Daily speech, family, workplace",Neutral,Traditional social etiquette in Armenian households.,[tsɑjn tʃʰɑˈnɛl],"Մարդիկ դժգոհ էին, բայց ձայն չհանեցին:",Ան ձայն չհանեց ուսուցիչին առջեւ:,Ձայն չհանելով ընդունեց որոշումը:
Կաղապարէ դուրս մտածել,Prepositional phrase; verb construction,To think outside the box.,To think creatively.,C1,"Workplace, innovation, literature","Formal, motivational",Modern education movements in diaspora communities.,[kɑʁɑpɑɾɛ tuɾs mətsɑˈtɛl],Կաղապարէ դուրս մտածելը կը պահանջէ նոր հայեցողութիւն:,Կաղապարէ դուրս մտածելով նոր լուծումներ գտան:,Նա կաղապարէ դուրս կը մտածէ իր նախագծերուն համար:
Կը շաքարացնէ օձը,Fixed expression; verb phrase,To deceitfully sweet-talk.,To flatter insincerely.,C1,"Politics, workplace, sarcasm","Sarcastic, ironic",References the serpent in folk tales.,[kə ʃɑkʰɑɾɑt͡sʰˈnɛ ɔt͡sʰə],"Ան միշտ կը շաքարացնէ օձը, բայց իր մտքին ուրիշ բան կ'ունենայ:",Կը շաքարացնէ օձը երբ նորը պիտի խնդրէ:,Քաղաքականները օձը կը շաքարացնեն ընտրութիւններուն ժամանակ:
Կիրակի օր շուկայ բանալ,Fixed clause; humorous construction,To start too late when the opportunity has passed.,To act when it's too late.,B2,"Daily speech, humor",Humorous,Reference to traditional Sunday market closures.,[kiɾɑˈki oɾ ʃuˈkʰɑj bɑˈnɑl],Կիրակի օր շուկայ բանալ՝ շատ ուշ էր արդէն:,Կիրակի օր շուկայ կը բանայ երբ խնդիր կը փորձէ լուծել:,"Ոչինչի պիտի չհասնես, կիրակի օր շուկայ բանալով:"
Իմ քունիս տակ ելար,Fixed colloquial clause,You disturbed my peace or interrupted me.,You bothered me.,A2,"Daily speech, humor","Colloquial, humorous",Expressions of annoyance common in Western Armenian family speech.,[im kʰunis tɑk jɛˈlɑɾ],Իմ քունիս տակ ելար՝ հանգիստ թողիր զիս:,Երկուքի ժամը զանգեցիր՝ իմ քունիս տակ ելար:,Միշտ իմ քունիս տակ կ'ելլես այս հարցերով:
Ջուրին մէջ լոյս փնտռել,Metaphorical fixed expression; verb phrase,To search for something impossible or unattainable.,To chase an impossible goal.,C1,"Literature, philosophy, sarcasm","Literary, ironic",Rooted in medieval Armenian poetry symbolizing futility.,[ʒuˈɾin mɛtʃ lujs pʰənˈtʰɾɛl],Ան ջուրին մէջ լոյս կը փնտրէ՝ փորձելով անհնարին նպատակներու հասնիլ:,Ջուրին մէջ լոյս փնտռելը իրեն յոյս չէր տար:,Ինքզինք ջուրին մէջ լոյս փնտռող կը զգար:
