Idiom (Swahili),Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Swahili)",First Example Sentence,Second Example Sentence,Third Example Sentence
Kupiga mbizi,"Verb phrase, intransitive","To disappear or hide temporarily, often to avoid responsibility",Kujificha au kutoweka kwa muda,B1,"Daily speech, workplace, humor","Colloquial, humorous",Common in urban centers like Dar es Salaam; evokes image of diving underwater to hide,kuˈpi.ɠa mˈbi.zi,"Mara baada ya kutajwa kwenye skendo, aliamua kupiga mbizi.","Ukiona bosi hayupo kazini bila taarifa, amepiga mbizi.","Wanafunzi walipopata matokeo mabaya, wengi walipiga mbizi shule haikuonekana tena."
Kula kona,"Verb phrase, informal imperative usage","To escape or flee quickly, often to avoid danger or trouble",Kukimbia haraka kuhepa matatizo,B2,"Daily speech, youth slang, urban life","Slang, informal","Slang from Tanzanian urban youth culture, common in hip-hop lyrics",kuˈla ˈko.na,"Polisi walipofika, vijana walikula kona.","Alichokifanya kilikuwa hatari, hakuwa na budi kula kona.","Ukiwa mtaani bila makaratasi sahihi, ni bora ukule kona ukione cha mtema kuni."
Kujikwaa na ulimi,Reflexive verb phrase,To misspeak or say something inappropriate unintentionally,Kusema kosa bila kukusudia,B2,"Family, formal speech, politics","Neutral, formal",Used metaphorically to describe speech errors like tripping over one's tongue,ku.d͡ʒiˈkʷaː a na uˈli.mi,Alijikwaa na ulimi mbele ya waandishi wa habari.,Kiongozi huyo alijikwaa na ulimi aliposema maneno ya kejeli kwa bahati mbaya.,Kujikwaa na ulimi hutokea hata kwa wataalamu wa lugha.
Kuzungusha maneno,"Verb phrase, causative",To beat around the bush or avoid giving a direct answer,Kuepuka kusema jambo moja kwa moja,B1,"Debate, politics, workplace","Formal, critical",Widespread in political commentary and business negotiations,ku.zuŋˈɡu.ʃa maˈne.no,"Akiulizwa swali gumu, huwa anazungusha maneno.","Badala ya kujibu moja kwa moja, alizungusha maneno kwa dakika kumi.","Katika majadiliano, si vizuri kuzungusha maneno sana."
Kuwa na miguu miwili,Copula + possessive phrase,"To be deceitful or untrustworthy, often romantically",Kuwa msaliti au asiye mwaminifu,C1,"Family, relationships, drama","Literary, poetic, sarcastic","Used in love poems and Swahili literature, implying secret duality",ˈku.wa na miˈɠuː miˈwi.li,"Huyu bwana ana miguu miwili, unamwona na mwingine kila siku.","Usiwe na miguu miwili, jali uaminifu wa mpenzi wako.",Mara zote waliomtaja kuwa na miguu miwili walishindwa kujieleza.
Kutoka jasho la punda,Verb phrase with genitive construction,To work extremely hard with little or no reward,Kufanya kazi ngumu bila mafanikio,C2,"Workplace, hardship, economy","Literary, ironic",References the relentless labor of donkeys; used in coastal agricultural discourse,kuˈto.ka ˈd͡ʒa.ʃo la ˈpun.da,Kwa miaka mitano alitoka jasho la punda lakini bado alikuwa maskini.,Biashara hiyo imenifanya nitoke jasho la punda bila faida yoyote.,"Kazi ya mikono ni bora, lakini usitoke jasho la punda bure."
Kuchoma mbawa,"Verb phrase, metaphorical object",To destroy someone's potential or chances,Kuharibu nafasi au ndoto ya mtu,B2,"Youth slang, jealousy, competition","Colloquial, critical",Evokes imagery of burning wings—removing ability to fly; from Swahili poetic metaphor,kuˈt͡ʃo.ma ˈmba.wa,Alichoma mbawa ya mpinzani wake kwa kumharibia sifa.,Kuna watu kazi yao ni kuchoma mbawa ya wengine kila siku.,Usimchome mbawa rafiki yako anapopata nafasi ya kufanikiwa.
Kulamba miguu,"Verb phrase, reflexive & hyperbolic",To excessively flatter or suck up to someone for personal gain,Kujipendekeza kwa kupita kiasi,C1,"Politics, workplace, satire","Ironic, sarcastic",Common in political critique and Swahili satire,kuˈlam.ba miˈɡuː,Kampeni yake ilitegemea kulamba miguu ya wakubwa.,Huwezi kuendelea kazini kama siyo mtu wa kulamba miguu.,Kila afisa mpya huanza kwa kulamba miguu ya viongozi wa juu.
Kufunga virago,Verb phrase with object,To leave permanently or to be dismissed,Kuhama au kuondoka moja kwa moja,B1,"Workplace, travel, endings","Neutral, formal",Relates to traditional travelers bundling their belongings,kuˈfʊ.ŋɡa viˈra.ɡo,"Baada ya miaka kumi kazini, alilazimika kufunga virago.",Wanakijiji walifunga virago na kuelekea mjini.,"Kampuni ilipofilisika, wafanyakazi wote walifunga virago."
Kumwaga mchele kwenye shamba la kuku,Complex clause with metaphorical imagery,To expose sensitive matters to those likely to exploit them,Kuweka siri au mali kwenye mazingira hatarishi,C2,"Cautionary tales, politics, betrayal","Poetic, proverbial",Draws from rural life; emphasizes wisdom and discretion,kuˈmwa.ɠa mˈt͡ʃe.le ˈkwen.je ˈʃam.ba la ˈku.ku,"Ukitangaza mipango yako kabla ya muda, unamwaga mchele kwenye shamba la kuku.",Waliomwamini sana walimwangusha—alikuwa kama amemwaga mchele kwenye shamba la kuku.,Siri za familia si za kumwaga mchele kwenye shamba la kuku.
