Idiom (Greenlandic),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Greenlandic)",First Example Sentence,Second Example Sentence,Third Example Sentence
Uummatit kassoq,Noun phrase (possessive structure),To be deeply in love or emotionally overwhelmed,To be emotionally moved or infatuated,B2,"Romantic speech, literature, youth slang","Poetic, colloquial",Draws on symbolism of the heart as a metaphor for love; widespread across Kalaallit Nunaat,[uːmːatit kasːɔq],Tunngavilersuutigalugu uummatit kassoq eqqarsaatersuutigaa.,Uanga eqqarsarpunga uummatit kassoq pillugu oqaluttuukkumallugu.,Uanga meeqqap nipaa tusaagakku uummatit kassoq aallartippoq.
Qallunaatut nipilik,Adjective phrase (simile construction),To speak or act in a Danish manner; implying assimilation or foreign influence,To behave like a Dane,C1,"Politics, identity discourse, sarcasm, education","Ironic, colloquial",Reflects postcolonial social tensions between Greenlandic and Danish norms,[qalunaːtut nipilik],"Ataatat oqaluppoq qallunaatut nipilik, oqaatsit qangarsuarli atorneqartartut atorpai.",Pisortaqarfik ataatsimeersuarnerani qallunaatut nipilik isummersorpoq.,Meeqqap ilinniartitsisup qallunaatut nipilik oqaasii malillugit oqaluppoq.
Niaqqunniittoq,Reflexive verb (locative + possessive),Someone who keeps ideas or feelings to themselves; an introvert or silent thinker,One who keeps thoughts in their head,B1,"Family, workplace, character description","Neutral, descriptive",Reflects value on humility and quiet observation in Greenlandic communities,[niaqːuɴːitːɔq],Inuup niaqqunniittoq upperiuminaappoq.,Arnaq taanna niaqqunniittoq oqarpoq aatsaat eqqarsareerluni.,Suliffimmi sulisut ilaat niaqqunniittoq tusaaneq ajorneqarpoq.
Qilaap tungaanut qiviartoq,Verb phrase (directional + nominalizer),"A dreamer or someone with lofty, unrealistic ambitions",An idealist or fantasizer,C1,"Literature, politics, youth commentary","Poetic, critical",Refers to upward gaze as metaphor for dreaming,[qilɑːp tunɔrnaŋʉ qiviɑʁtɔq],Qilaap tungaanut qiviartoq eqqarsarpasippoq kisianni iliuuseqanngilaq.,Meeqqat ilaat qilaap tungaanut qiviartuusartut upperiuminaappoq.,Qanoq iliorniaqarpit qilaap tungaanut qiviartuullutit?
Nerriviup ataaniittoq,Locative clause,Someone left out or excluded from decision-making,An outsider or ignored person,B2,"Workplace, family, politics","Colloquial, critical",Alludes to traditional communal meals where being under the table meant exclusion,[nɛʁiːviʊp atɑːniitːɔq],Ataqqinaammik nerriviup ataaniittoq misigaaq.,Oqaluuserisassani pingaarutilinni nerriviup ataaniittoq ilanngunneqanngilaq.,Angut taanna suliaqarnermi nerriviup ataaniittoqutillugu aalajangiisoqarpoq.
Qangattarsimalluni qasuersaarneq ajorpoq,Fixed clause (past habitual + negative present),A hard worker who never rests,Someone constantly working and never resting,C1,"Workplace, admiration, storytelling","Literary, respectful",Describes heroic or tireless figures in Inuit storytelling,[qɑŋɑtːɑʁsimɑlʊni qɑsuɛʁsɑːʁnɛq ajɔʁpɔq],Aviisip atuagassiiviani oqaluttuaraa qangattarsimalluni qasuersaarneq ajorluni sulisuusimasoq.,Anaana qangattarsimalluni qasuersaarneq ajorpoq ullut tamaasa.,Ukiup ingerlanerani qangattarsimalluni qasuersaarneq ajorpoq.
Qangatasorsuup kinguninngua,Noun phrase (possessive compound),Someone blindly following authority or trend,A follower with no initiative,B2,"Politics, media, sarcasm","Sarcastic, ironic",References planes; someone always behind but never leading,[qɑŋɑtɑsɔʁsʊp kiŋʊniŋŋʊɑ],Qangatasorsuup kinguninngua sukkasuumik malillugu ingerlavoq.,Isummersuutinik pilersitsisinnaanngilaq — qangatasorsuup kinguninnguaavoq.,Politikerit ilaat qangatasorsuup kinguninnguattut pissusilersorput.
Silarsuup tungaanut isigaartoq,Progressive clause,A person contemplating the bigger picture or the unknown,A philosopher or deep thinker,C2,"Philosophy, storytelling, literature","Literary, poetic",Draws from the Arctic horizon as metaphor for infinity,[silɑʁsʊp tunɔrnaŋʉ isijɑʁtɔq],Silarsuup tungaanut isigaartoq eqqarsarnermik ulikkaarpoq.,Qimmit qimussersuit akornanni silarsuup tungaanut isigaartoq nassaarineqarpoq.,Oqaluttuami oqaluttuaq silarsuup tungaanut isigaartumik aallartippoq.
Saniatigut qungujulasoq,Participial phrase,A silent supporter or someone who is quietly proud,Someone smiling in the background,B1,"Family, school, workplace","Warm, affectionate",Used in community gatherings to describe proud observers,[sɑniɑtʊq quŋʊjulɑsɔq],Ataata sanaatigut qungujulasoq inuusuttup angusarissaarnermigut nuannaarpoq.,Inuiaqatigiinni suliap naammassinera saniatigut qungujulasumik misigineqarpoq.,Meeqqat atuarfiani ilinniartitsisoq saniatigut qungujulasuuvoq.
Allunaasamik oqimaatsumik nassartoq,Noun phrase with metaphorical object,A person burdened by emotional weight or past trauma,Someone carrying emotional weight,C2,"Psychology, literature, trauma discussions","Serious, poetic",Draws from marine rope as a symbol of heavy psychological load,[ɑlːʊnɑːsɑmik ɔqimɑːtsʊmik nɑsːɑʁtɔq],Allunaasamik oqimaatsumik nassartoq ilisarineqarpoq qisuariartarnermigut.,Oqaluttuartup oqaluttuaa allunaasamik oqimaatsumik nassartumit allaatigineqarpoq.,Misigissutsit taamaattut allunaasamik oqimaatsumik nassartumut ilaapput.
