Idiom (Javanese),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Javanese)",First Example Sentence,Second Example Sentence,Third Example Sentence
Sirahe kaya balung rambutan,Simile; fixed phrase; nominal clause,Describes someone who is extremely stubborn or hard-headed.,Wong kuwi angel dinasehati lan ora gelem kompromi.,C1,"daily speech, family, sarcasm","colloquial, humorous, sarcastic",Central Javanese expression referencing the spiny fruit to imply hardness.,[si.ra.he ka.ja ɓa.luŋ ram.bu.tan],"Bocah kuwi sirahe kaya balung rambutan, wis kapeh dinasehati tetep wae ngeyel.","Saben rembugan, Pak Joko sirahe kaya balung rambutan, ora gelem ngalah.","Sirahe kaya balung rambutan, nganti gurune dhewe kesel mulangi."
Mangan ati,Verb phrase; active voice,To feel emotionally hurt or deeply disappointed.,Krasa lara atine amarga kuciwa.,B2,"daily speech, literature, love","colloquial, poetic, emotional","Widely used across Javanese communities, referring to heart as emotional center.",[ma.ŋan ʔa.ti],Dheweke nganti mangan ati amarga janji ora ditepati.,"Yen tresnamu mung gawe aku mangan ati, luwih becik pisahan wae.",Aku wis kaping pirang-pirang mangan ati merga tingkahmu.
Mburu godhong garing,Verb phrase; metaphorical pursuit,To pursue something useless or unattainable.,Nguber perkara sing ora ana gunane.,C2,"literature, philosophy, sarcasm","literary, ironic, poetic",Originates from traditional philosophical discourse; dry leaves symbolize futility.,[m̩.bu.ru ɡɔ.dɔŋ ɡa.riŋ],Ngoyo urip mung kanggo mburu godhong garing ora ana enteke.,"Dheweke nglamar kerjaan ngono terus, kaya mburu godhong garing.","Tuwin pangarep-arepmu mung kaya mburu godhong garing, ora jelas tekanane."
Ana rembug ana rempug,Repetitive parallel structure; proverbial clause,"Where there's discussion, there's disagreement or friction.",Saben rembug mesthi ana pasulayan.,B1,"workplace, politics, family","formal, proverbial, realistic",Reflects communal negotiation culture in Javanese society.,[ʔa.nɔ rəm.buɡ ʔa.nɔ rəm.puɡ],"Rapat desa mesthi rame, ana rembug ana rempug.","Ora usah kaget nek padha debat, ana rembug ana rempug iku wis lumrah.","Yen kumpul keluarga, ana rembug ana rempug dadi panganan saben dina."
Lenga wae ora kobong,Negated verb clause; hyperbolic expression,To describe someone who is extremely calm or emotionally unbothered.,"Wong kuwi kalem banget, ora gampang nesu.",C1,"humor, workplace, literature","humorous, poetic, ironic",Hyperbole from the idea that even oil doesn't burn in their presence.,[lɛ.ŋa wa.ʔe ʔɔ.ra kɔ.bɔŋ],"Bosku kuwi lengane wae ora kobong, dicaci maki tetep mesem.","Lenga wae ora kobong, padahal kabeh wis emosi.","Ning rapat kuwi, Pak Rudi kaya lengane wae ora kobong."
Ndangak langit ora ndeleng lintang,Complex metaphorical clause,Missing what’s important while looking in the right direction.,Ndelok sing gedhe nanging ora weruh sing penting.,C2,"literature, philosophy, sarcasm","poetic, ironic, literary",Traditional Javanese astronomy metaphors—looking at sky but missing the stars.,[n̩.da.ŋaʔ la.ŋit ʔɔ.ra n̩.də.ləŋ lin.taŋ],"Ilmuwan kuwi ndangak langit ora ndeleng lintang, kakehan teori lali praktik.","Wani ngomong filsafat, nanging ndangak langit ora ndeleng lintang.","Ndangak langit ora ndeleng lintang, ngerti akeh nanging ora nglakoni."
Kaya bebek ilang induk,Simile; comparative clause,Describes someone who is confused and directionless.,Kaya wong bingung ora duwe tujuan.,A2,"daily speech, humor, education","colloquial, humorous",Comes from rural village imagery of livestock behavior.,[ka.ja ɓɛ.ɓɛʔ i.laŋ in.duʔ],"Murid anyar kuwi kaya bebek ilang induk, bingung mlebu kelas.","Nalika ketinggalan rombongan, aku kaya bebek ilang induk.","Yen mlebu mall kaping pisan, ibuku kaya bebek ilang induk."
Njingglang kaya lintang,Simile with metaphorical verb,Describes something that stands out or shines brilliantly.,Padhang banget nganti narik kawigaten.,B2,"fashion, literature, compliment","poetic, expressive",Lintang (stars) as a symbol of brilliance in Javanese cosmology.,[ɲiŋ.ɡlaŋ ka.ja lin.taŋ],Busanane njingglang kaya lintang ing langit wengi.,Wajahmu dina iki njingglang kaya lintang.,"Kalung emas kuwi njingglang kaya lintang, kabeh mata padha ndelok."
Udan tangis,Noun phrase; compound metaphor,"Heavy crying, typically due to heartbreak or grief.",Nangis banget nganti banjir air mata.,A2,"romance, family, drama","poetic, emotional",Javanese literature often equates emotional expression with natural imagery.,[ʔu.dan ta.ŋis],Wulan ngalami udan tangis sawise ditinggal kekasih.,Anake ndang udan tangis merga kangen bapake.,Film kuwi nggawe kabeh penonton udan tangis.
Ngaso kaya macan turu,Simile; behavioral metaphor,Describes a rest that hides potential energy or power.,Isthira nanging tetep waspada lan kuwat.,B1,"military, leadership, sports","strategic, metaphorical",The tiger is a classical Javanese symbol of restrained power.,[ŋa.sɔ ka.ja ma.can tu.ru],"Dheweke lagi ngaso kaya macan turu, siap mbalek kapan wae.","Pemain utama mung ndhelik, ngaso kaya macan turu.","Ngaso kaya macan turu, nyimpen tenaga kanggo rebutan pungkasan."
