Idiom,Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Kelantan-Pattani Malay)",First Example Sentence,Second Example Sentence,Third Example Sentence
Air tenang jangan disangka tiada buaya,Proverbial clause; negative imperative with metaphorical noun phrase,Don’t underestimate quiet or calm people; danger or strength may be hidden beneath gentleness.,Jangan pandang rendah orang yang nampak lemah.,B2,"Advice, social caution, politics, storytelling","Proverbial, formal, advisory",Derived from Malay coastal communities observing crocodile behavior in still waters.,[aːj tənaŋ dʒaŋan disaŋka tiada buaja],"Mak aku selalu kato, ‘air tenang jangan disangka tiada buaya’ bila nok ingatkan aku jangan leka.","Jangan dok pandai-pandai, ingat doh ‘air tenang jangan disangka tiada buaya’.","Dio nampok lembut, tapi ‘air tenang jangan disangka tiada buaya’."
Bak air dengan minyak,Comparative simile with coordinating conjunction,Two people or things that can’t get along or mix well.,Dua orang yang tak serasi.,B1,"Friendship, workplace, humor","Colloquial, sarcastic",Commonly used across the Malay Peninsula to describe incompatible pairs.,[bak aːj dəŋan miɲak],"Dua beradik tu bak air dengan minyak, asyik nok gado jah.","Mu tahu doh, kito dua ni bak air dengan minyak, takleh lama-lama sebumbung.","Bos baru tu ngan staf lame bak air dengan minyak, tiap hari ado hal."
Lapar mata,Noun phrase; metaphorical compound,Desiring things you don’t really need; greed based on appearance.,Suka benda sebab nampak lawa walaupun tak perlu.,A2,"Shopping, daily life, humor","Colloquial, humorous","Refers to impulsive buying behavior, especially during festive markets.",[lapaʔ mata],"Aku ni lapar mata betul, tengok kasut lawa terus beli.",Mak maroh sebab aku lapar mata kat pasar malam.,"Dio beli barang tak guna, lapar mata jah tu."
"Masuk telinga kanan, keluar telinga kiri",Coordinated clause with directional metaphor,Not listening or ignoring advice.,Tak ambik peduli nasihat orang.,B1,"Parenting, education, workplace","Colloquial, scolding",Common Southeast Asian metaphor for selective hearing.,[masuʔ təliŋa kanan kəluaʔ təliŋa kəri],"Aku nasihat dio hari-hari, tapi masuk telinga kanan keluar telinga kiri.","Anok aku ni dok reti dengo, masuk telinga kanan keluar telinga kiri jah.","Kalau mu nok berjayo, jangan jadi jenis masuk telinga kanan keluar telinga kiri."
Macam tikus baiki labu,Simile clause with idiomatic subject,Trying to fix something but making it worse.,Buat sesuatu tanpa ilmu sampai rosak lagi teruk.,B2,"Workplace, humor, storytelling","Humorous, moralistic",Originates from Malay folktales teaching humility and skill.,[matʃam tikus baiki labu],"Dio nok baiki kipah, last-last jadi macam tikus baiki labu.","Jangan dok pandai-pandai, nanti jadi macam tikus baiki labu.","Aku cuba repair motor tu, tapi hasilnya... tikus baiki labu doh."
Besar kepala,Adjectival noun phrase; metaphorical idiom,Arrogant or proud person.,"Sombong, takbur.",A2,"Daily life, criticism, workplace","Colloquial, critical",Common Southeast Asian metaphor connecting pride with inflated head imagery.,[bəsar kəpala],"Sejak dio naik pangkat, makin besar kepala.","Budok tu baru menang sikit, dah besar kepala doh.","Aku tak suka orang besar kepala, rasa dok selesa nak sembang."
Gigit jari,Verb phrase; reflexive imagery idiom,Feeling regret or disappointment.,Menyesal sebab terlepas peluang.,A2,"Business, romance, daily life","Colloquial, reflective",Refers to Malay expressive gestures of regret or loss.,[giɡiʔ dʒari],"Tak beli masa murah dulu, sekarang gigit jari la.","Aku tengok orang lain menang, aku gigit jari jah.","Kalau mu tak usaha, nanti gigit jari sendiri."
Jangan cepat melatah,Imperative clause; negation with reflexive verb,Don’t react impulsively or emotionally.,Jangan cepat marah atau terkejut.,B1,"Advice, social interactions, leadership","Advisory, polite",Refers to traditional Malay cultural value of restraint.,[dʒaŋan tʃəpat məlatah],"Dengar dulu, jangan cepat melatah.","Orang tegur sikit terus melatah, dok molek lagu tu.","Kalau mu jadi pemimpin, jangan cepat melatah."
"Harap pagar, pagar makan padi",Compound clause; irony-based proverb,Being betrayed by someone trusted.,Orang dipercayai mengkhianatkan kepercayaan.,C1,"Politics, workplace, family","Proverbial, serious",Agricultural metaphor reflecting betrayal by protectors.,[harap paɡar paɡar makan padi],"Orang kepercayaan sendiri tikam belakang, harap pagar pagar makan padi doh.",Kisah politik negara ni macam harap pagar pagar makan padi.,"Kalau orang dalam sendiri bocor rahsia, tu harap pagar pagar makan padi la."
Bagai aur dengan tebing,Simile structure; complementary relationship metaphor,Mutual cooperation and interdependence.,Saling tolong-menolong.,B2,"Community, teamwork, moral teaching","Proverbial, formal",Derived from traditional Malay riverbank imagery symbolizing unity.,[baɡai auʁ dəŋan təbiŋ],"Kito hidup ni keno bagai aur dengan tebing, baru kuat.",Projek ni berjayo sebab kito kerja bagai aur dengan tebing.,"Dalam keluarga, penting doh bagai aur dengan tebing."
