Idiom (Xavante),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Xavante)",First Example Sentence,Second Example Sentence,Third Example Sentence
Wai’õ no’o tehi hãhãdu dzadzu,Fixed clause with post-verbal particle; declarative idiomatic form,To speak bravely without fear or hesitation,To speak openly or confidently,C1,"Leadership, public speaking, storytelling","Formal, poetic",Derived from traditional oratory ceremonies among Xavante elders,[waiˈʔõ noʔo ˈtehi hãˈhãdu dzaˈdzu],A’ra wai’õ no’o tehi hãhãdu dzadzu hãhãre a’wẽ dzadzu.,Tehi wai’õ no’o hãhãdu dzadzu wa’ra mãhãdu.,Hãhãdu wai’õ no’o tehi dzadzu dzadzu wa’ra a’wẽ.
Za’õ wa’ra tehi mãhãre aiwa dzadzu,Subordinate clause expressing condition; metaphorical use of motion verb,To leave a place or situation without looking back; to move on,To let go and move forward,B2,"Life lessons, personal growth, family discussions","Colloquial, reflective",Connected to Xavante migration stories symbolizing resilience and renewal,[zaʔõ waʔra ˈtehi mãˈhãre aiˈwa dzaˈdzu],Za’õ wa’ra tehi mãhãre aiwa dzadzu tehi hãhã.,A’ra za’õ wa’ra tehi mãhãre hãhãre wa’ra dzadzu.,"Tehi za’õ wa’ra mãhãre dzadzu, aiwa hãhãdu."
Tsiwadzõre mãhãdu dzadzu hãhãre,Reflexive phrase using perfective aspect marker,To learn a hard lesson; to understand through experience,To gain wisdom through mistakes,C1,"Moral tales, education, advice","Philosophical, moralistic",Refers to community teaching through observation and reflection,[tsiˈwadzõɾe mãˈhãdu dzaˈdzu hãˈhãre],Tsiwadzõre mãhãdu dzadzu hãhãre tehi a’wẽ wa’ra.,A’ra tsiwadzõre mãhãdu dzadzu hãhãre hãtẽ wa’ra dzadzu.,Hãhãre tsiwadzõre mãhãdu dzadzu tehi wa’ra.
A’wẽ tehi dzadzu no’o tsadanha,Nominalized clause; predicate emphasizing possession,To act as if one owns everything; arrogance or overconfidence,To behave arrogantly,B2,"Politics, social commentary, satire","Ironic, sarcastic",Critique of chiefs or outsiders acting superior,[aʔwẽ ˈtehi dzaˈdzu noʔo tsaˈdanha],A’wẽ tehi dzadzu no’o tsadanha hãhã wa’ra.,Tehi a’wẽ dzadzu no’o tsadanha mãhãdu.,Hãhãdu a’wẽ dzadzu no’o tsadanha tehi dzadzu.
Wadzõre tehi ba’ra hãhãdu dzadzu,Simple declarative clause with idiomatic verb phrase,To tell half the truth; to be deceptive,To lie or mislead,C1,"Debates, arguments, politics","Colloquial, critical",Commonly used in political and village discussions,[wadˈzõɾe ˈtehi baʔra hãˈhãdu dzaˈdzu],Wadzõre tehi ba’ra hãhãdu dzadzu tehi wa’ra.,Tehi wadzõre ba’ra hãhãdu dzadzu a’wẽ mãhãdu.,A’wẽ wadzõre tehi ba’ra hãhãdu dzadzu dzadzu.
Daburédu tehi hãhã dzadzu no’o,Verbal phrase with final particle; habitual aspect,To work tirelessly or with persistence,To be hardworking,B1,"Workplace, family praise, daily life","Positive, colloquial",Traditional value of diligence and cooperation in Xavante community life,[dabuˈɾedu ˈtehi hãˈhã dzaˈdzu noʔo],Daburédu tehi hãhã dzadzu no’o tehi wa’ra.,Hãhãdu daburédu tehi dzadzu no’o a’wẽ.,Tehi daburédu hãhã dzadzu no’o mãhãdu.
Hãhãdu tehi aiwadzu dzadzu mãhã,Verbal clause with progressive aspect,To gossip excessively; to talk without restraint,To gossip,B1,"Social gatherings, humor, satire","Humorous, informal",Relates to communal life where speech is central to relationships,[hãˈhãdu ˈtehi aiˈwadzu dzaˈdzu mãˈhã],Hãhãdu tehi aiwadzu dzadzu mãhã wa’ra.,Tehi hãhãdu aiwadzu dzadzu mãhãdu.,Hãhãdu aiwadzu dzadzu mãhã tehi a’wẽ.
Tehi dzadzu za’õ wa’ra mãhã,Fixed idiomatic clause with adverbial component,To vanish suddenly; to disappear without a trace,To disappear suddenly,B2,"Folklore, supernatural stories, everyday speech","Narrative, colloquial",Drawn from Xavante myths about spirits and disappearing figures,[ˈtehi dzaˈdzu zaʔõ waʔra mãˈhã],Tehi dzadzu za’õ wa’ra mãhã tehi hãhã.,Hãhãdu tehi dzadzu za’õ wa’ra mãhãdu.,A’wẽ tehi dzadzu za’õ wa’ra mãhã wa’ra.
Aiwadzu tehi za’õ hãhãre dzadzu,Complex verb phrase with particle marking mood,To act generously without expecting return,To give selflessly,C1,"Ceremonial speech, community life, storytelling","Formal, moralistic",Represents Xavante communal ethic of reciprocity and generosity,[aiˈwadzu ˈtehi zaʔõ hãˈhãɾe dzaˈdzu],Aiwadzu tehi za’õ hãhãre dzadzu tehi wa’ra.,Tehi aiwadzu za’õ hãhãre dzadzu mãhãdu.,Hãhãdu aiwadzu tehi za’õ hãhãre dzadzu dzadzu.
Wamnhöri tehi wa’ra dzadzu hãhã,Declarative clause with final particle hãhã emphasizing continuity,To act in harmony with others; to cooperate peacefully,To work together peacefully,B2,"Community work, education, teamwork","Positive, communal",Emphasizes Xavante value of collective work (‘mutirão’) and peace,[wamnˈhøɾi ˈtehi waʔra dzaˈdzu hãˈhã],Wamnhöri tehi wa’ra dzadzu hãhã tehi a’wẽ.,Hãhãdu wamnhöri tehi wa’ra dzadzu mãhãdu.,A’ra wamnhöri tehi wa’ra dzadzu hãhã wa’ra.
