Idiom (Taiwanese Hokkien),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Taiwanese Hokkien)",First Example Sentence,Second Example Sentence,Third Example Sentence
sió tshuí-á kah tuā ê hîⁿ,Simile with particle 'kah' (like); noun phrase,A small entity challenging a much larger one,A weaker party challenging a stronger one,C1,"Politics, storytelling, sarcasm","Colloquial, ironic","Evokes David vs Goliath idea, often used in local political commentary",[sió tsʰuɪ˨˩ a˦ kaʔ tuɑ˧˥ e˧ hĩ˧],"I sió tshuí-á kah tuā ê hîⁿ, bô sái tī kong-hôe kap in káng.","Lí m̄-thang hiah hông--ê, hō͘ lâng kóng lí sió tshuí-á kah tuā ê hîⁿ.","Hit ê kongsi sió tshuí-á kah tuā ê hîⁿ, án-ne mā iánn hó bē lâu."
tāu-tshí beh tsuí,Verb-verb construction,Trying to cover up a lie with more lies,To use deception to cover up previous deception,B2,"Daily speech, family, workplace","Colloquial, ironic",Common in traditional family and moral teachings,[tɑu˧ tsʰi˨˩ beʔ tsui˦],"Lí tāu-tshí beh tsuí, kám m̄ tsai piah--ê siánn-mih?",Tāu-tshí beh tsuí hō͘ sū kap gū ê khì lóng sán.,"I tī hō͘-lâng lóng tāu-tshí beh tsuí, bē hō͘ lâng sióng-sin."
kám-á tshut lāi-á,"Noun-verb idiom, metaphorical subject",An unexpected result or outlier,Something surprising or unusual comes out,B1,"Daily speech, humor, gossip","Colloquial, humorous",From traditional village storytelling involving animals,[kam˧ aʔ tsʰut˥ lai˧ aʔ],"Hit ê tshut-bān sióng kám-á tshut lāi-á, lâng lóng sio--ê.","Góa bē-sái sióng, hit ê lîn-á kám-á tshut lāi-á--ê!","Tī guá lâng tiong i sī kám-á tshut lāi-á, bē hō͘ lâng thiann."
kāng-khu tshut thô͘,Verb-verb idiom,To reveal one's true feelings or intentions,To show your real emotions or purpose,B2,"Interpersonal relationships, literature, psychology",Neutral,Found in romantic and dramatic folk narratives,[kaŋ˧ kʰu˧ tsʰut˥ tʰo˨],I kāng-khu tshut thô͘ tō hō͘ guá kóng siánn-mih tsin-tsiú ê.,"Bô kāng-khu tshut thô͘, guá bē hō͘ lí thang--ê tshut-bān.","Tī tsí tīng i tsuí tō kāng-khu tshut thô͘, hó chhiú hō͘ guá tsìng."
phah bē tshut só͘,Verb phrase with negation,Hopeless case; beyond repair or effort,"No matter what, it won't work",B1,"Workplace, school, scolding","Colloquial, harsh",Refers to old tools that cannot be fixed,[pʰaʔ beʔ tsʰut˥ so˨],"Hit ê lâng phah bē tshut só͘, kā i kong mā bô bat--ê.","Guá lóng siūnn sī phah bē tshut só͘, tsò m̄ tī--ah.","I chia̍h phah bē tshut só͘, tsí pái tsin tán-sim."
tńg-á tē thih-á,Compound noun with metaphorical contrast,Big and small differences exist within the same group,There are disparities even among the similar,C1,"Philosophical, workplace, family","Poetic, reflective",Old proverb comparing siblings or objects from the same batch,[tŋ˧ aʔ te˧ tʰiʔ aʔ],"Tńg-á tē thih-á, mā sī tī chit ê pē lâng chhōe khì bô tshing.","Guá mā sī sió-lâng, tńg-á tē thih-á, kám bē sī tshòng--ê?","I kā guá piáu--ê tńg-á tē thih-á, bô tsiah koh khòaⁿ bē hiah."
piah-sái kā khah kah-khí,Causative clause with resultative verb construction,To exert effort until breaking point,Push someone too hard or overwork,B2,"Workplace, family, stress, criticism","Colloquial, critical","Common in rural labor settings, used as cautionary phrase",[piah˥ sai˨ kaʔ kʰaʔ kɑʔ kʰi˧],"Lí bē-thang piah-sái kā khah kah-khí, i sī tsin u-sîn ê lâng.","Tī tōa-gia̍h piah-sái kā khah kah-khí, guá sī tsiaⁿ bē tiàm--ê.",Piah-sái kā khah kah-khí sī m̄ hō͘ iánn tshòng--ê kāng.
tsuí-bīn bô tī tshù,Nominal clause with locative negation,Someone is flashy or elegant but lacks substance or foundation,"All appearance, no stability or home",C2,"Fashion, gossip, literature","Poetic, critical",Critique of superficiality from literature and folk drama,[tsui˧ bin˥ bo˧ ti˨ tsʰu˧],"Tsúi-bīn bô tī tshù, guá mā bē ài kah hit--ê lâng thang.","Lí chhōe hit ê, mā sī tsuí-bīn bô tī tshù, tsin khòaⁿ bô tio̍h.","I lâu-tshuì kā tsuí-bīn bô tī tshù, bē tīng--ê tshut-bān."
siâu-kháu tsò pêng-iû,Verb-object clause,To pretend friendliness with ulterior motives,Fake friendship for selfish gain,C1,"Politics, workplace, family conflicts","Ironic, sarcastic",Used in folklore involving betrayal or deception,[sjau˧ kʰau˧ tso˥ peŋ˧ iu˧],"Siâu-kháu tsò pêng-iû, guá mā bē hō͘ lí bē hòng--ê.","I tsin siâu-kháu tsò pêng-iû, bē sái tō tīng--ê.","Hit ê lâng siâu-kháu tsò pêng-iû, tsò-sî sī beh lâi sîⁿ."
"thâu tshut khì, bô tshut ê",Contrastive clause with elliptical second phrase,"All talk, no substance",Talks a lot but produces nothing,B2,"Workplace, debate, public speaking","Ironic, critical",Popular in 1980s political rallies,[tʰau˧ tsʰut˥ kʰi˧ | bo˧ tsʰut˥ e˧],"I thâu tshut khì, bô tshut ê, guá chia̍h lóng bē sái.","Thâu tshut khì, bô tshut ê sī tōa tāi-piⁿ ê hō͘-lâng.","Guá hó sī tshun-miâ, m̄ hō͘ thâu tshut khì, bô tshut ê lâng kiò."
