Idiom (Romanian),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Romanian)",First Example Sentence,Second Example Sentence,Third Example Sentence
a face din țânțar armăsar,"expresie fixă, verb tranzitiv reflexiv",a exagera o problemă minoră,a exagera ceva nesemnificativ,B1,"viață de zi cu zi, familie, muncă","colocvial, ironic","uz panromânesc, popularizat în proverbe rurale",[a ˈfa.t͡ʃe din ˈt͡sɨn.t͡sar ar.məˈsar],"Nu mai face din țânțar armăsar, e doar o zgârietură pe mașină!","Când vine vorba de ordine, mama face din țânțar armăsar.",Șeful iar a făcut din țânțar armăsar pentru cinci minute întârziere.
a bate apa-n piuă,"expresie fixă, verb tranzitiv idiomatic",a vorbi mult fără rezultat,a discuta inutil sau repetitiv,B2,"politică, mass-media, conversații lungi","colocvial, ironic",derivat din obiceiul tradițional de a spăla rufele cu bătătoarea,[a ˈba.te ˈa.paŋ ˈpju.ə],Iar batem apa-n piuă despre buget fără să luăm o decizie.,"Degeaba i-am explicat, e ca și cum aș bate apa-n piuă.",Politicienii bat apa-n piuă în fiecare campanie electorală.
a avea pitici pe creier,"expresie fixă, structură posesivă idiomatică",a avea idei sau comportamente ciudate,a fi puțin excentric sau obsedat,C1,"umor, psihologie, relații personale","colocvial, umoristic",apărută în argoul urban post-comunist,[a aˈve.a piˈtit͡ʃʲ pe ˈkre.je̯r],Cred că are pitici pe creier cu ordinea asta obsesivă.,Toți avem câte un pitic pe creier din când în când.,"Nu-i lua în serios ideea cu hologramele, are pitici pe creier."
a tăia frunză la câini,"expresie fixă, verb tranzitiv idiomatic","a nu face nimic util, a pierde vremea",a sta degeaba,B2,"muncă, critică socială","colocvial, critic","proveniență rurală, satiră față de lene",[a təˈja ˈfrun.zə la kɨjn],Nu poți sta toată ziua și tăia frunză la câini!,Un salariu pentru cine taie frunză la câini? Glumești!,Tăiam frunză la câini în loc să mă apuc de licență.
a se da mare,"verb reflexiv idiomatic, construcție pronominală",a se lăuda sau a poza în superior,a se comporta arogant,A2,"școală, adolescenți, social media","colocvial, ușor ironic",popularizat în cultura urbană modernă,[a se da ˈma.re],"Se dă mare cu noul telefon, dar nici nu-l știe folosi.",Ion mereu se dă mare la petreceri.,"Nu te mai da mare, că nu ești singurul cu diplomă."
cu capul în nori,locuțiune prepozițională + complement,a fi distras sau visător,a nu fi atent la realitate,A2,"școală, conversații informale","neutru, colocvial","tradiție poetică, întâlnită în literatura populară",[ku ˈka.pul ɨn ˈnorʲ],Elevul era cu capul în nori în mijlocul lecției.,"Când visezi așa mult, ai mereu capul în nori.",Mă plimbam pe stradă cu capul în nori și n-am văzut groapa.
a scoate castanele din foc cu mâna altuia,"propoziție complexă, construcție figurativă",a profita de altcineva pentru a-și atinge scopul,a folosi pe cineva în scop personal,C1,"politică, strategie, manipulare","formal, literar, sarcastic",traducere dintr-un proverb francez din secolul XVII,[a ˈsko.a.te kasˈta.ne.le din fok ku ˈmɨ.na ˈal.tu.ja],"L-a pus să protesteze, dar el voia doar să scoată castanele din foc cu mâna altuia.",Șeful mereu își scoate castanele din foc cu mâna altuia.,Am învățat să nu mai fiu omul cu castanele altuia.
"nu-i nici cal, nici măgar","propoziție negativă, construcție comparativă",nu are identitate clară sau scop definit,"este neclar, ambiguu",B2,"critică, artă, tehnologie","colocvial, ironic","folclor tradițional, adesea folosit în satiră",[nuj niʃ kal niʃ məˈɡar],"Proiectul ăsta nu-i nici cal, nici măgar.","A făcut o combinație ciudată, nici cal, nici măgar.","Rezultatul final era confuz, nici cal, nici măgar."
a-i merge ca pe roate,"verb impersonal, construcție idiomatică","a merge foarte bine, fără probleme",a decurge ușor și cu succes,B1,"muncă, studii, relații","pozitiv, neutru",metaforă mecanică din epoca industrială,[aj ˈmer.d͡ʒe ka pe ˈro.a.te],Noua firmă îi merge ca pe roate.,Totul ne merge ca pe roate în ultima vreme.,"De când s-a mutat, viața îi merge ca pe roate."
a umbla cu cioara vopsită,"expresie fixă, construcție cu complement direct",a încerca să păcălești pe cineva cu aparențe false,a minți sau a înșela cu intenție,C1,"publicitate, afaceri, relații","colocvial, sarcastic","tradiție populară, metaforă vizuală folosită în glume și satire",[a umˈbla ku ˈt͡ʃjo.ra vopˈsi.tə],Vine iar cu cioara vopsită să ne vândă nimicuri scumpe.,Publicitatea aia umblă cu cioara vopsită.,"Când a încercat să mă convingă, parcă umbla cu cioara vopsită."
