Idiom (Guoyu),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Guoyu)",First Example Sentence,Second Example Sentence,Third Example Sentence
畫蛇添足,四字固定動賓結構成語,比喻做了多餘的事情，反而破壞原本的效果。,做了不必要的補充而造成負面影響,B2,日常對話、教育、職場評論,中性、勸誡性,源自《戰國策》，描述有人在畫完蛇後又替蛇加腳。,xwâ˥˩ ʂɤ˧ tʰjɛn˥ tsu˨˩˦,你已經把簡報整理得很完整了，再加入那些動畫效果只是畫蛇添足。,這篇文章本來很有說服力，但最後那段情緒化發言反而有些畫蛇添足。,她擔心大家看不懂，結果解釋太多，反而有點畫蛇添足。
對牛彈琴,四字固定述賓結構成語,比喻對無法理解的人講深奧道理，白費力氣。,跟不懂的人解釋複雜內容,B2,教育、諷刺、社交場合,諷刺、幽默,出自漢代典故，形容對象缺乏理解能力。,tweɪ˥˩ njoʊ˧˥ tʰan˧ tɕʰin˧˥,你跟完全不懂程式的人談演算法，根本就是對牛彈琴。,他花了半小時分析古典音樂結構，但聽眾似乎覺得像在對牛彈琴。,有時候在網路上認真辯論，真的會讓人有對牛彈琴的感覺。
半途而廢,四字固定偏正式成語,形容事情做到一半就放棄。,中途放棄,B1,學習、工作、勵志場合,中性、批評性,源自古代勸學故事，強調持之以恆的重要。,pan˥˩ tʰu˧ aɚ˧˥ feɪ˥˩,他學了三個月的鋼琴就半途而廢，實在有點可惜。,如果每次遇到困難都半途而廢，就很難真正進步。,這個研究計畫投入了大量資源，現在放棄等於半途而廢。
一箭雙鵰,四字固定數量成語,比喻一次行動同時達成兩個目標。,同時完成兩件事情,B1,商業、日常規劃、媒體評論,正面、稱讚性,來自古代射箭故事，象徵高超技巧與效率。,i˥ tɕjɛn˥ ʂwɑŋ˥ tjɑʊ˥,公司推出新的會員制度，希望能一箭雙鵰，同時提升銷售與品牌忠誠度。,她利用通勤時間聽有聲書，既能放鬆又能學習，真是一箭雙鵰。,這次合作案不但降低成本，還成功拓展市場，可說是一箭雙鵰。
井底之蛙,四字偏正式名詞成語,比喻見識狹窄、眼界有限的人。,缺乏見識的人,B2,教育、政治評論、社會觀察,批評性、文學性,出自《莊子》，描述井中青蛙無法理解大海的廣闊。,tɕiŋ˨˩˦ ti˨˩˦ ʈʂɻ̩˥ wɑ˥,如果從不接觸外面的世界，很容易變成井底之蛙。,他一直以為自己的經驗最權威，卻沒發現自己其實像井底之蛙。,多閱讀不同觀點，才能避免成為井底之蛙。
雪中送炭,四字連動式成語,比喻在別人最困難的時候提供幫助。,在困難時給予協助,B1,人際關係、公益、新聞報導,正面、溫暖,古代寒冬中送炭取暖的意象演變而來。,ɕyɛ˨˩˦ ʈʂʊŋ˥ sʊŋ˥ tʰan˥˩,我失業最困難的那段時間，他願意借錢給我，真的像雪中送炭。,這項補助方案對偏鄉醫療資源而言無疑是雪中送炭。,當大家都不願幫忙時，她的支持顯得格外雪中送炭。
火上加油,四字連動式成語,比喻讓原本緊張或糟糕的情況更加惡化。,讓情況變得更嚴重,B1,衝突、新聞、家庭對話,負面、警告性,由火焰因添加燃料而變大的形象引申而來。,xwɔ˨˩˦ ʂɑŋ˥ tɕjɑ˥ joʊ˧˥,兩個人已經吵得很激烈了，你現在插話只會火上加油。,媒體的不實報導讓原本緊張的局勢更加火上加油。,他明知道對方心情不好，還故意開玩笑，根本是在火上加油。
騎虎難下,四字主謂式成語,比喻事情發展到難以停止或退出的地步。,進退兩難，無法輕易停止,C1,政治、商業決策、社會評論,正式、壓力感,源自古代寓言，描述騎在老虎背上無法安全下來。,tɕʰi˧˥ xu˨˩˦ nan˧˥ ɕjɑ˥˩,公司已經投入大量資金，現在取消計畫恐怕會騎虎難下。,他當初誇下海口，如今事情失控，只能騎虎難下地繼續撐著。,政策推出後引發爭議，政府現在顯得有些騎虎難下。
亡羊補牢,四字連動式成語,比喻出了問題後及時補救，仍然不算太晚。,事後立刻改正錯誤,B2,教育、企業管理、自我反省,勸誡性、正面,出自《戰國策》，描述羊跑掉後修補羊圈。,wɑŋ˧˥ jɑŋ˧˥ pu˨˩˦ lɑʊ˧˥,雖然系統已經被入侵，但現在加強資安措施還算亡羊補牢。,他以前不重視健康，最近開始規律運動，也算是亡羊補牢。,專案延誤之後，團隊立刻重新分工，希望能亡羊補牢。
雞同鴨講,四字主謂式俗語成語,形容雙方溝通困難，彼此無法理解。,彼此聽不懂對方的意思,B1,日常對話、跨文化交流、幽默場合,口語、幽默,臺灣與華語地區常見俗語，以不同動物無法溝通作比喻。,tɕi˥ tʰʊŋ˧˥ jɑ˥ tɕjɑŋ˨˩˦,他們兩個討論半天還是沒有共識，簡直像雞同鴨講。,跨部門合作時，如果專業術語差太多，很容易變成雞同鴨講。,我第一次學法律時，聽教授上課完全像在雞同鴨講。
