Idiom (Haida),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Haida)",First Example Sentence,Second Example Sentence,Third Example Sentence
Hl k’íidaang sán uu,Fixed clause; verb phrase with adverbial intensifier,To act with courage or determination,To be brave or strong-willed,B1,"Daily speech, moral stories, teaching","Colloquial, respectful",Derived from ancient Haida warrior expressions praising bravery in facing storms or conflict,/ɬ kʼiː.taŋ san ʔuː/,Díi uu hl k’íidaang sán uu nang k’íidaang.,Tláan uu gíidang hl k’íidaang sán uu dáng uu.,Hl gáagang uu díi hl k’íidaang sán uu hláa.
Tlíijang uu hl gáagang,Verb phrase with aspect marker; fixed idiomatic use,To miss an opportunity or act too late,To be late or unprepared,B2,"Everyday conversation, humor, workplace advice","Ironic, informal",Based on canoe travel — literally meaning ‘the canoe has already gone’,/tɬiː.dʒaŋ ʔuː ɬ ɡaː.ɡaŋ/,Dáng uu hl gáagang uu tlíijang uu hl gáagang.,Hláa uu díi uu hl gáagang tlíijang uu.,Tláan uu hl gíidang uu tlíijang uu hl gáagang.
Yáahl uu hl sahláang,Fixed expression; noun + verb phrase,To tell tall tales or exaggerate,To exaggerate or boast,B2,"Humor, storytelling, informal settings","Humorous, ironic","Derived from Raven stories in Haida mythology, where Raven often lies or embellishes",/jaːɬ ʔuː ɬ saːɬaːŋ/,Díi uu hl gíidang Yáahl uu hl sahláang.,Tláan uu hl gáagang uu Yáahl uu hl sahláang dáng.,Hl sahláang uu Yáahl uu díi uu hl gíidang.
Hl gáagang uu asgáng gudáang,Compound clause; idiomatic metaphor,To speak wisely or thoughtfully,To give wise advice,C1,"Elders’ speech, ceremonial dialogue","Formal, poetic",Refers to traditional oratory among Haida chiefs and elders,/ɬ ɡaː.ɡaŋ ʔuː as.gaŋ ɡu.daːŋ/,Gúudang uu hl gáagang uu asgáng gudáang.,Tláan uu díi uu hl gáagang uu asgáng gudáang.,Hláa uu díi uu hl gáagang uu asgáng gudáang dáng.
Tláan uu hl gíidang íitl’aagang,Verb phrase with perfect aspect; fixed idiomatic pattern,To be lucky or fortunate,To have good luck,A2,"Daily speech, friendly exchanges","Colloquial, light-hearted",Linked to Haida gambling expressions involving luck and chance,/tɬaːn ʔuː ɬ ɡiː.daŋ ʔiːtɬʼaː.gaŋ/,Tláan uu hl gíidang íitl’aagang dáng uu.,Hláa uu díi uu tl’áng gíidang íitl’aagang.,Díi uu hl gáagang tláan uu hl gíidang íitl’aagang.
Hl k’íidaang uu taawáay uu,Verb phrase with object noun; fixed idiomatic expression,To be stubborn or unyielding,To be hard-headed or persistent,B2,"Family, humor, interpersonal communication","Humorous, mildly critical","From the metaphor of a seal’s tough skin, representing stubbornness",/ɬ kʼiː.taŋ ʔuː taː.waːj ʔuː/,Díi uu hl k’íidaang uu taawáay uu dáng.,Tláan uu hl gáagang taawáay uu díi uu.,Hláa uu hl sahláang uu taawáay uu.
Díi uu hl sahláang k’áagang,Verb phrase; metaphorical reflexive structure,To regret one’s actions or words,To feel remorse,C1,"Reflection, storytelling, moral teaching","Poetic, reflective",Rooted in stories emphasizing self-awareness and humility,/diː ʔuː ɬ saːɬaːŋ kʼaː.gaŋ/,Díi uu hl sahláang k’áagang gúudang uu.,Hl gáagang uu díi uu hl sahláang k’áagang dáng uu.,Tláan uu hl sahláang k’áagang hláa uu.
Hl gáagang uu yáahl uu,Fixed idiom; noun phrase construction,To deceive playfully or trick someone,To tease or fool someone,B1,"Humor, everyday conversation, youth slang","Ironic, humorous",References Raven’s trickster role in Haida stories,/ɬ ɡaː.ɡaŋ ʔuː jaːɬ ʔuː/,Yáahl uu hl gáagang uu dáng uu.,Díi uu hl gáagang uu yáahl uu hláa.,Tláan uu hl gáagang uu yáahl uu dáng.
Tláan uu hláa díi uu gíidang,Verb phrase with adverbial emphasis,To be deeply grateful or thankful,To give sincere thanks,A2,"Ceremonial speech, formal thanks","Formal, respectful",Common in potlatch or ceremonial thank-you speeches,/tɬaːn ʔuː ɬaː diː ʔuː ɡiː.daŋ/,Tláan uu hláa díi uu gíidang dáng uu.,Díi uu hláa tláan uu hl gíidang.,Hl gáagang uu tláan uu hláa díi uu gíidang.
Hl sahláang uu yáahl hl gíidang,Clause with embedded subject; fixed idiomatic pattern,To speak mischievously or make witty remarks,To joke or banter,B2,"Humor, youth, informal talk","Colloquial, witty",Linked to playful dialogue in Haida feasts or gatherings,/ɬ saːɬaːŋ ʔuː jaːɬ ɬ ɡiː.daŋ/,Hl sahláang uu yáahl hl gíidang dáng uu.,Díi uu hl sahláang uu yáahl hl gíidang.,Yáahl uu hl gíidang díi uu hl sahláang.
