Idiom (Dhivehi),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Dhivehi)",First Example Sentence,Second Example Sentence,Third Example Sentence
ހައްލަ ކޮށް ގޮތް ނުވަތަ ރަނގަޅުގެ ހަވާލު,"Fixed clause, nominal phrase",Speaking unnecessarily or revealing secrets without being asked.,Talking too much or disclosing things unasked.,C1,"daily speech, humor, workplace","colloquial, ironic",Common among elders in Malé to criticize loose talkers,/halːa koɦ goθ nuʋaθa ɾaŋgaɭuge haʋaːlu/,އެ އަންހެން ހައްލަ ކޮށް ގޮތް ނުވަތަ ރަނގަޅުގެ ހަވާލު ކަން އެހެންވެ.,މަޖިލިސްތަކަށް ބެލެނީ މިތަނުގެ މީހަކާ ހައްލަ ކޮށް ގޮތް ނުވަތަ ރަނގަޅުގެ ހަވާލު.,ގަނޑު ބަލައި އަންހެން ހައްލަ ކޮށް ގޮތް ނުވަތަ ރަނގަޅުގެ ހަވާލު ލާއިރު ހުރިހަމަ.
އެއް ލައި ގޮތް ކުރި,"Verb phrase, imperative construction",To decide quickly or simplify a complex issue.,Make a quick decision or simplify the problem.,B2,"daily speech, workplace, family","colloquial, pragmatic",Used widely across atolls for informal decisions,/eh ləi goθ kuri/,އެ ބައްދަލު ކަމަށް އެއް ލައި ގޮތް ކުރަން ކުރެވެ.,ކޯޓުގައި ފަށަށް އެއް ލައި ގޮތް ކުރަން އެދި.,މާލެއިން ބޭއްވި ސައްދޫކޮށް އެއް ލައި ގޮތް ކުރަން ހުރި.
ހިތާ ކޯރު ދޭ,"Verb phrase, causative",To distract or mislead someone intentionally.,To mislead or divert attention.,C1,"politics, media, debate","colloquial, sarcastic",Often used in political commentary,/hitaː koːru d̪eː/,އެއީ ސަވާލުގެ ޖުމުލަތް ހިތާ ކޯރު ދަނީ.,ޕާޓީ އަށް ފެންނަ މަސައްކަތަށް ހިތާ ކޯރު ދުވެގެން.,އެ ކަމަށް ގެންގިނަ ބަޔާން ހިތާ ކޯރު ދެއްވި.
ލައިވެރި ކަމަށް ނުދިޔަ,"Fixed clause, negative form",Something that is bound to fail from the start.,A doomed task or inevitable failure.,B2,"planning, workplace, personal","colloquial, pessimistic",Common in project planning discourse,/laiʋeɾi kamah nud̪iɐ/,މި ޕްރޮޖެކްޓް ލައިވެރި ކަމަށް ނުދިޔަ އެހެންވެ.,ނަތީޖާ ނުގެންނަން ކަމަށް ލައިވެރި ކަމަށް ނުދިޔަ.,ހުސްކުރަނީ ހަދިޔާ އަދި ލައިވެރި ކަމަށް ނުދިޔަ.
ބައެއް އެޅުން,"Fixed clause, metaphorical phrase",To blindly follow someone else's idea or lead.,Follow someone without critical thinking.,A2,"daily life, criticism, youth","colloquial, critical",Derived from traditional fishing customs,/baːeh eɭun/,ހުސްކުރަން ނުބައެއް އެޅުން ކުރެވޭ.,މި މީހަކަށް ހަމަޖެހޭނެއްޖެ ބައެއް އެޅުން ކޮށް.,ގުޅުން އަނެއް ބައެއް އެޅުން ނުވާ ފަހު ކޮށް.
ނައިރު އެޅުން ނުވަތަ,Negative verb phrase,Not letting go of an issue or grudge.,Holding onto a problem or resentment.,C2,"interpersonal conflict, literature","poetic, serious",Used in island poetry and song lyrics,/naiɾu eɭun nuʋaθa/,އެއީ އާދައިގައި ނައިރު އެޅުން ނުވަތަ މީހަކަށް.,މާލެގެ ސިޔާސީން ނައިރު އެޅުން ނުވާ އިތުރުކޮށް ކުރަން.,ނަމާ ދިނުމާ ހެޔޮ ނައިރު އެޅުން ނުވާ އިން ނޫން.
އިން ނޫން ހަމަ އިތުރު,Conjoined clause,Nothing new or surprising.,Same old thing.,B1,"casual speech, family, workplace","colloquial, neutral",Used often in public reaction to recurring events,/in nun hama it̪uɾu/,އެއީ އިން ނޫން ހަމަ އިތުރު ހަމައެކު.,ނަމަވެސް އިން ނޫން ހަމަ އިތުރު އެހެން.,ގޮތް ފަހުގައި ބައިވެރިކޮށް އިން ނޫން ހަމަ އިތުރު.
މަންޒާ ހުރި ހަރުދަ,Noun phrase with descriptive clause,An unreliable person or source.,Someone who can’t be trusted.,B2,"social settings, gossip, personal relationships","colloquial, humorous",Drawn from the image of floating sea debris in island culture,/mand̪zaː huɾi haɾud̪a/,މި މީހަކީ މަންޒާ ހުރި ހަރުދަ ކަމެއް ނޫން.,ބެލެވުމަށް ފެންނަ ބަލާން މަންޒާ ހުރި ހަރުދަ ކޮށް.,އެއީ ކާމިޔާބުކޮށް މަންޒާ ހުރި ހަރުދަ އަށް ބައިވެރިކޮށް.
ފިޔަވެރި ބޮޑު ދަން,Descriptive nominal clause,To make a big fuss or exaggerate something minor.,Blowing things out of proportion.,C1,"media, personal conversations, social media","colloquial, sarcastic",Rooted in island expressions of dramatic gossip,/fijaveɾi bod̪u d̪an/,މި ކަމަށް ފިޔަވެރި ބޮޑު ދަން ނުވާ.,އެ ގޮތްގައި ކަމެއް ނެތް ކަމެއް ފިޔަވެރި ބޮޑު ދަން ކޮށް.,މިތަނު ވަކި މާލެގެ ސޯޝަލް މީޑިއާއިން ފިޔަވެރި ބޮޑު ދަން ކުރި.
