Idiom,Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,Phonetic Transcription (IPA),First Example Sentence,Second Example Sentence,Third Example Sentence
estar hecho leña,estar + participio + sustantivo,"Estar exhausto, dañado o muy deteriorado física o emocionalmente.",Estar muy cansado o mal.,B1,"diario, trabajo, salud, informal",coloquial,"Proviene de la imagen de la leña quemada o rota, común en zonas rurales nicaragüenses.",[esˈtaɾ ˈetʃo ˈleɲa],"Después de la jornada en el campo, estaba hecho leña.","Mi carro está hecho leña, tengo que llevarlo al taller.","Después de la fiesta, todos estábamos hechos leña."
sacar las uñas,verbo + artículo definido + sustantivo plural,Mostrar agresividad o defenderse con firmeza.,Actuar con agresividad o firmeza.,B2,"familia, conflicto, humor, diario","coloquial, irónico",Asociado al gesto felino de sacar las uñas cuando se siente amenazado.,[saˈkaɾ las ˈuɲas],"Cuando la criticaron, sacó las uñas sin pensarlo.","Juan siempre parece tranquilo, pero si lo provocás, saca las uñas.",La profe sacó las uñas cuando nadie hizo la tarea.
andar con la cara larga,verbo + preposición + artículo definido + sustantivo + adjetivo,"Estar triste, molesto o desanimado.",Estar de mal ánimo.,A2,"diario, familia, escuela",coloquial,Imagen de alguien alargando la cara en gesto de tristeza o molestia.,[anˈdaɾ kon la ˈkaɾa ˈlaɾɣa],Desde la mañana anda con la cara larga.,¿Y vos por qué andás con la cara larga?,"No le hables, que anda con la cara larga desde ayer."
más perdido que turco en la neblina,comparativo + participio + cláusula subordinada,Estar completamente desorientado o confundido.,Estar muy confundido o desubicado.,C1,"humor, diario, política","coloquial, humorístico","Origen incierto, usado para exagerar la confusión; común en Centroamérica.",[mas peɾˈðiðo ke ˈtuɾko en la neˈβlina],"En la reunión, estaba más perdido que turco en la neblina.","Cuando le hablaron de impuestos, se puso más perdido que turco en la neblina.",El nuevo en la oficina anda más perdido que turco en la neblina.
tirar la casa por la ventana,verbo + objeto directo + preposición + artículo + sustantivo,Gastar mucho dinero o hacer algo con gran derroche.,Celebrar en grande o gastar mucho.,B2,"celebración, familia, eventos, humor",coloquial,Relacionado con fiestas tradicionales donde se sacaban muebles para hacer espacio.,[tiˈɾaɾ la ˈkasa poɾ la βenˈtana],"Para su boda, tiraron la casa por la ventana.","Cada diciembre, mi tía tira la casa por la ventana.","En la graduación, vamos a tirar la casa por la ventana."
se le corrió el champú,pronombre + pronombre reflexivo + verbo + artículo definido + sustantivo,"Actuar de forma irracional, perder la cordura momentáneamente.",Se volvió loco por un momento.,C1,"humor, salud mental, familiar","coloquial, humorístico",Asociación jocosa con la imagen del champú corriendo por la cabeza afectando el juicio.,[se le koˈrio el tʃamˈpu],"Cuando gritó en medio del mercado, parecía que se le había corrido el champú.","No le hagás caso, se le corrió el champú por un rato.",Dicen que anoche se le corrió el champú viendo la novela.
comer mierda y no invitar,verbo + sustantivo vulgar + conjunción + verbo infinitivo,Tener actitudes negativas o groseras sin compartirlas o avisar.,Comportarse mal sin razón aparente.,C2,"humor, conflicto, sarcasmo","vulgar, sarcástico",Expresión fuerte muy usada en situaciones de enojo o reproche.,[koˈmeɾ ˈmjeɾða i no inβiˈtaɾ],Hoy amaneciste comiendo mierda y no invitaste.,"Siempre que está de malas, anda comiendo mierda y no invita.",Dejá de comer mierda y hablá claro.
ponerse las pilas,verbo reflexivo + artículo definido + sustantivo plural,Empezar a actuar con energía o responsabilidad.,"Activarse, empezar a trabajar en serio.",A2,"trabajo, estudio, familia, motivación",coloquial,Referencia moderna al uso de pilas (baterías) como símbolo de energía.,[poˈneɾse las ˈpilas],Tenés que ponerte las pilas si querés pasar el examen.,Ya es hora de que se pongan las pilas con el proyecto.,"Cuando vio que iba tarde, se puso las pilas."
estar en la luna de Valencia,verbo + preposición + artículo definido + sustantivo + preposición + sustantivo propio,"Estar distraído, desconectado de la realidad.",No estar prestando atención.,B2,"clase, trabajo, relaciones sociales","coloquial, literario",Valencia se usaba históricamente para referirse a lugares lejanos o ilusorios.,[esˈtaɾ en la ˈluna ðe βaˈlensja],Siempre estás en la luna de Valencia cuando te hablo.,"Lo llamé tres veces y nada, andaba en la luna de Valencia.","Mi hermanita vive en la luna de Valencia, soñando despierta."
no tener pelos en la lengua,verbo + infinitivo + sustantivo plural + preposición + artículo definido + sustantivo,"Hablar con franqueza, sin reservas.",Hablar claro y directo.,B1,"familia, política, crítica, entrevistas","coloquial, directo",La lengua sin obstáculos (pelos) representa una comunicación directa.,[no teˈneɾ ˈpelos en la ˈleŋɡwa],"Doña Clara no tiene pelos en la lengua, te dice lo que piensa.",A mí me gusta la gente sin pelos en la lengua.,"Cuando habló del jefe, se notó que no tenía pelos en la lengua."
