Idiom (Dan),Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Dan)",First Example Sentence,Second Example Sentence,Third Example Sentence
Bàá kɛ̀ ɓàn yà.,Fixed verbal clause; subject + completive aspect + object metaphor,To act recklessly without considering consequences,To behave carelessly,B2,"Daily speech, family correction, community disputes","Colloquial, cautionary",Refers to hunters firing arrows blindly in forest tradition,ɓàː kɛ̀ ɓàn jà,"Í bàá kɛ̀ ɓàn yà, gɔ̀ɔ̀n dɔ̀ lɔ́.","À bàá kɛ̀ ɓàn yà yé, mɛ́ zɔ̀ɔ̀ lɔ́.","Bàá kɛ̀ ɓàn yà nà, ɓɛ̀ kɔ́."
Kɔ́ɔ̀ zà ɓɛ̀.,Nominal metaphor; noun phrase with emphatic particle,A person who pretends to be strong but is fragile,Someone who is secretly weak,B1,"Humor, teasing among peers","Ironic, playful",Derived from clay pots that look solid but crack easily,kɔ́ː zà ɓɛ̀,"À kɔ́ɔ̀ zà ɓɛ̀ yé, dɔ̀ kɛ́ mɛ́.","Í kɔ́ɔ̀ zà ɓɛ̀, gɔ̀n lɔ̀.","Kɔ́ɔ̀ zà ɓɛ̀ nà, mɛ́ yé."
Mɛ́ lɔ̀ zɔ̀ɔ̀ kɔ́.,Verb phrase with intensifier; habitual aspect,To hold a grudge silently,To remain resentful,C1,"Family conflict, politics","Serious, reflective",Linked to traditional silence during village mediation,mɛ́ lɔ̀ zɔ̀ː kɔ́,"À mɛ́ lɔ̀ zɔ̀ɔ̀ kɔ́ yé, gɔ̀n kɛ̀.","Í mɛ́ lɔ̀ zɔ̀ɔ̀ kɔ́ nà, mɔ̀ lɔ́.","Mɛ́ lɔ̀ zɔ̀ɔ̀ kɔ́ yé, ɓɛ̀ dɔ̀."
Zà kɛ̀ gɔ̀n ɓà.,Verb clause; imperative-derived metaphorical structure,To rush into trouble knowingly,To knowingly take a risk,B2,"Advice, warning speeches",Cautionary,Evokes stepping into thorn bushes during farming,zà kɛ̀ gɔ̀n ɓà,Í zà kɛ̀ gɔ̀n ɓà yé.,"À zà kɛ̀ gɔ̀n ɓà nà, mɛ́ lɔ̀.","Zà kɛ̀ gɔ̀n ɓà, ɓɛ̀ kɔ́."
Yé ɓɛ̀ lɔ̀ kɔ́.,Copular construction; subject + copula + metaphorical complement,Things are not as they seem,Appearances can be deceiving,B1,"Storytelling, moral lessons","Proverbial, reflective",Used in folktales involving trickster figures,jé ɓɛ̀ lɔ̀ kɔ́,"Yé ɓɛ̀ lɔ̀ kɔ́ yé, mɛ́ dɔ̀.",À kɛ́ yé ɓɛ̀ lɔ̀ kɔ́.,"Í mɛ́, yé ɓɛ̀ lɔ̀ kɔ́."
Dɔ̀ ɓàn kɔ́ɔ̀.,Noun-verb fixed phrase,A blessing hidden in hardship,Something good emerging from difficulty,C1,"Religious speech, motivational talks","Poetic, formal",Rooted in initiation narratives in Dan communities,dɔ̀ ɓàn kɔ́ː,"Dɔ̀ ɓàn kɔ́ɔ̀ yé, gɔ̀n mɛ́.",À lɔ̀ dɔ̀ ɓàn kɔ́ɔ̀.,Í mɛ́ dɔ̀ ɓàn kɔ́ɔ̀ yé.
Kɛ̀ yà zɔ̀ɔ̀.,Verb phrase with progressive nuance,To exaggerate a story,To overstate facts,A2,"Humor, gossip",Colloquial,Associated with evening storytelling traditions,kɛ̀ jà zɔ̀ː,Í kɛ̀ yà zɔ̀ɔ̀ yé.,"À kɛ̀ yà zɔ̀ɔ̀ nà, mɛ́ lɔ̀.","Kɛ̀ yà zɔ̀ɔ̀, ɓɛ̀ dɔ̀."
Mɔ̀ kɔ́ lɔ̀ ɓɛ̀.,Compound clause; metaphorical predicate,To lose one's honor publicly,To be publicly disgraced,C2,"Politics, leadership disputes","Formal, serious",Linked to village council proceedings,mɔ̀ kɔ́ lɔ̀ ɓɛ̀,À mɔ̀ kɔ́ lɔ̀ ɓɛ̀ yé.,Í mɔ̀ kɔ́ lɔ̀ ɓɛ̀ nà.,"Mɔ̀ kɔ́ lɔ̀ ɓɛ̀, gɔ̀n lɔ̀."
Gɔ̀n yé kɔ́ɔ̀.,Nominal predicate structure,Time will reveal the truth,The truth will eventually come out,B2,"Conflict mediation, reassurance",Proverbial,Traditional arbitration sayings in Dan villages,gɔ̀n jé kɔ́ː,"Gɔ̀n yé kɔ́ɔ̀ yé, mɛ́ lɔ̀.","Í dɔ̀, gɔ̀n yé kɔ́ɔ̀.",À kɛ́ gɔ̀n yé kɔ́ɔ̀.
ɓƐ̀ zà lɔ̀ mɛ́.,Subject + verb + object metaphor,To betray trust quietly,To secretly betray someone,C1,"Family, politics, moral teaching","Serious, accusatory",Refers to secret alliances in historical clan conflicts,ɓɛ̀ zà lɔ̀ mɛ́,À ɓɛ̀ zà lɔ̀ mɛ́ yé.,"Í ɓɛ̀ zà lɔ̀ mɛ́ nà, gɔ̀n lɔ̀.","ɓɛ̀ zà lɔ̀ mɛ́, mɛ́ dɔ̀."
