Idiom (Singlish),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),Non-Idiomatic Equivalent (Plain Rephrasing),CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Singlish)",First Example Sentence,Second Example Sentence,Third Example Sentence
act blur like sotong,Simile-based verb phrase with comparative particle 'like',Pretending to be ignorant or unaware to avoid responsibility or confrontation,Feign ignorance,B1,"daily speech, workplace, humor","colloquial, ironic",Derived from local seafood imagery; the squid (sotong) metaphor humorously implies confusion or deliberate cluelessness in Singaporean slang,/æk blə laɪk ˈsɔtɒŋ/,"Eh don't act blur like sotong lah, you know the deadline already.",Every meeting he act blur like sotong so people don't ask him do extra work.,She saw the mistake but still act blur like sotong during discussion.
kiasu until cannot,Intensified adjective phrase using Hokkien loanword 'kiasu',Extremely afraid of losing out or missing opportunities,Very competitive or overly afraid of losing,B1,"daily speech, school, workplace","colloquial, humorous",From Hokkien 'kia su' meaning fear of losing; widely associated with Singapore culture,/kiːˈɑsu ənˈtɪl kəˈnɒt/,"That guy queue two hours for free tote bag, really kiasu until cannot.","My colleague kiasu until cannot, every training also must sign up first.","She submit the assignment one week early, kiasu until cannot."
steady lah,Predicate adjective with discourse particle 'lah',"Expression indicating approval, reliability, or impressive ability",Very reliable or impressive,A2,"daily speech, praise, friendship","colloquial, positive",Influenced by English adjective 'steady' but reinterpreted in Singlish with pragmatic particle,/ˈstɛdi la/,"You help me fix the computer so fast, steady lah bro.","His presentation today really steady lah, everyone clap.","The new intern solve the bug in ten minutes, steady lah."
talk big big,Reduplicated verb phrase expressing exaggeration,Boasting or making grand claims without evidence,Exaggerate or brag,B2,"humor, criticism, workplace","colloquial, sarcastic","Reduplication common in Singlish for emphasis, reflecting Malay and Chinese linguistic influence",/tɔːk bɪg bɪg/,He always talk big big but the project still not done.,During meeting she talk big big about strategy but never execute.,"Don't talk big big first, later cannot deliver very paiseh."
kaypoh,Single lexical borrowing functioning as adjective or noun,Being overly curious or interfering in others' matters,Nosy or overly inquisitive,A2,"family, neighborhood gossip, humor","colloquial, teasing","Borrowed from Hokkien 'kay poh', widely used across Singapore",/kaɪˈpɔ/,Why you so kaypoh about their argument yesterday?,"My auntie downstairs very kaypoh, every day ask people question.","Don't kaypoh lah, that issue not our business."
cannot tahan,Negative modal verb phrase with Malay borrowing 'tahan',Unable to endure something unpleasant any longer,Cannot tolerate it anymore,A2,"daily speech, complaints","colloquial, expressive",Malay word 'tahan' meaning endure integrated into Singlish grammar,/kəˈnɒt taˈhan/,The heat today really cannot tahan.,He keep complaining until everyone cannot tahan already.,"This queue so long, I really cannot tahan waiting."
arrowed to do something,Passive construction using metaphorical verb,Being assigned or forced to take responsibility unwillingly,Assigned a task unwillingly,B2,"workplace, school, humor","colloquial, ironic",Singapore office slang referring to someone being metaphorically 'shot' with responsibility,/ˈærəʊd tə duː ˈsʌmθɪŋ/,During the meeting I kena arrowed to organize the event.,The manager arrowed him to handle the difficult client.,Somehow I always get arrowed to write the report.
bo jio,Elliptical phrase from Hokkien,Complaint that someone was not invited,You didn't invite me,A1,"friendship, social media, humor","colloquial, playful","Hokkien phrase meaning 'didn't call/invite', popularized in Singapore youth slang",/bo dʒiɔ/,"You all go makan without me, bo jio ah?",They watch movie yesterday but bo jio me.,Next time got gathering don't bo jio ok.
sabo,Verb borrowed from English 'sabotage' shortened,To deliberately cause trouble or embarrassment for someone,Undermine someone intentionally,B1,"friendship, workplace humor","colloquial, teasing",Local clipped borrowing from 'sabotage' used humorously in Singapore English,/ˈsæboʊ/,You sabo me during presentation by asking that question.,My friend sabo me by telling everyone my old nickname.,Don't sabo your teammate like that lah.
shiok,Single adjective functioning as exclamation,"Feeling extremely satisfied, pleased, or delighted",Very enjoyable or satisfying,A1,"food, leisure, praise","colloquial, enthusiastic",Malay origin word meaning pleasure or deliciousness widely adopted in Singlish,/ʃiːɔk/,"This durian really shiok, creamy and sweet.",After long run drink cold water damn shiok.,The massage yesterday super shiok.
