Idiom (Irish Gaelic),Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Irish Gaelic)",First Example Sentence,Second Example Sentence,Third Example Sentence
Níl ann ach caint na ngrást,Negative existential clause with definite noun phrase,It's all just empty talk,Níl ann ach focal folamh,B2,"Politics, sarcasm, public discourse","Ironic, colloquial","Used to mock exaggerated or insincere praise, with religious undertones",nʲiːlʲ anʲ əx kaɲtʲ n̪ˠə ɡɾˠɑːstʲ,"Geallann siad rudaí móra, ach níl ann ach caint na ngrást.","Bhí a óráid álainn ach, dar liom, níl ann ach caint na ngrást.",Ná bí ag brath air – níl ann ach caint na ngrást.
Bheith i mbéal an phobail,Infinitival construction with prepositional phrase and genitive,To be widely talked about,Tá daoine ag caint faoi,B1,"Media, gossip, public life","Neutral, descriptive","Refers to being 'in the mouth of the people', an age-old metaphor",vʲɛh ɪ mʲeːl̪ˠ ənʲ fˠɔbˠəlʲ,Tá sé i mbéal an phobail ó fógraíodh an scéal.,"Nuair a scaoileadh an nuacht, bhí siad go léir i mbéal an phobail.",Bhí a ainm i mbéal an phobail ar feadh na seachtaine.
Tarraingt na gcos,Verbal noun phrase with possessive article,Dragging one’s feet; delaying,Ag cur moille go hintinneach,B2,"Workplace, criticism, negotiation","Neutral, sometimes critical",Used especially in legal or bureaucratic settings,ˈt̪ˠaɾˠɪŋʲtʲ n̪ˠə ɡɔs,Tá siad ag tarraingt na gcos ar an gcinneadh sin.,Tarraingt na gcos atá á dhéanamh acu – níl dul amú air sin.,Ní maith liom an tarraingt na gcos san oifig seo.
Ag cur na tine faoin gceist,Progressive construction with verbal noun and prepositional object,To provoke or escalate a situation,Ag déanamh rudaí níos measa d’aon ghnó,C1,"Politics, debate, argument","Ironic, metaphorical",Rooted in fire metaphors common to Irish storytelling,əɟ kʊɾʲ n̪ˠə ˈtʲɪnʲə fˠiːnʲ ɟɛʃtʲ,Is cosúil go bhfuil siad ag cur na tine faoin gceist sin arís.,Ní gá cur na tine faoin gceist a dhéanamh – bí réasúnach.,Ag cur na tine faoin gceist is ea é gach uair a labhraíonn sé.
Mar a chéile dá chéile,Comparative correlative phrase,Same old story; all alike,Níl mórán difríochta eatarthu,A2,"Daily speech, indifference","Colloquial, dismissive",Common phrase in Irish homes and schools,mˠɑɾʲ ə ˈçeːlʲə d̪ˠɑː ˈçeːlʲə,Fiú má athraíonn tú é – mar a chéile dá chéile a bheas sé.,"Na polaiteoirí? Mar a chéile dá chéile, is dóigh liom.",Níl mórán suime agam ann – mar a chéile dá chéile.
I ndiaidh na hoíche,Prepositional phrase with perfective implication,After everything’s said and done,Nuair a bhíonn gach rud thart,B2,"Reflection, closure, literature","Poetic, philosophical",Draws on Irish traditions of nighttime storytelling,ɪ nʲiə ˈn̪ˠə hiːhʲə,"I ndiaidh na hoíche, thuig sí gur amhlaidh a bhí sé i gcónaí.",Beidh sé i ndiaidh na hoíche sula dtuigfidh siad an scéal go fírinneach.,"Ní raibh freagra ag aon duine – i ndiaidh na hoíche, b’fhearr tost."
Ag dul ó thuaidh,Progressive clause with directional prepositional phrase,Going badly; falling apart,Tá cúrsaí ag dul in olcas,B1,"Work, plans, critique","Colloquial, ironic","Originally a directional phrase, now metaphorical",əɟ d̪ˠʊlʲ oː huːi,Is cosúil go bhfuil an tionscadal sin ag dul ó thuaidh.,"Thosaigh sé go maith, ach ansin d’fhág siad é ag dul ó thuaidh.",Tá mo chuid pleananna go léir ag dul ó thuaidh an tseachtain seo.
Níl sé as an bpoll fós,Negative clause with existential metaphor,Not out of trouble yet,Tá fadhbanna fós aige,B2,"Life commentary, reflection, critique","Colloquial, metaphorical",Visual metaphor for hardship,nʲiːlʲ ʃeː as ənʲ bˠɔl̪ˠ foːs,"Tá rudaí ag feabhsú, ach níl sé as an bpoll fós.","Bhí sé i gcruachás fada – níl sé as an bpoll fós, faraor.",Ná déan dearmad – níl sé as an bpoll fós go hiomlán.
I lár na coise tinne,Prepositional locative phrase with genitive,In the worst of it,I gcroílár na faidhbe,C1,"Crisis, illness, news, politics","Dramatic, serious",Evokes traditional rural imagery,ɪ l̪ˠɑːɾˠ n̪ˠə ˈkʊʃə tʲɪnʲə,Tá sí i lár na coise tinne le cúram agus strus.,Is i lár na coise tinne atá muid leis an bpaindéim seo.,Ní raibh fhios agam go raibh sé chomh dona – i lár na coise tinne atá sé.
Ag baint den phreab,Progressive construction with idiomatic verbal noun,Doing something hastily or recklessly,Ag gníomhú gan smaoineamh,B2,"Work, judgment, social commentary","Colloquial, critical",Derived from quick movement or spurt imagery,əɟ bʲaɲtʲ dʲɛnʲ fˠɾʲab,D’éirigh sé agus thosaigh sé ag baint den phreab – gan machnamh ar bith.,Ní hé sin an cur chuige ceart – ag baint den phreab atá tú.,Bhí sé ag baint den phreab nuair a rinne sé an cinneadh sin.
