Idiom (Old Turkic),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Old Turkic)",First Example Sentence,Second Example Sentence,Third Example Sentence
𐰽𐰀𐰉𐰃:𐰋𐰃𐰼,"Nominal possessive phrase plus numeral predicate; fixed elliptical clause, literally 'his/her word is one'.","A person or group is reliable, consistent, and united in speech or intention.",𐰽𐰀𐰉𐰃:𐰚𐰀𐰼𐱅𐰇,B1,"council speech, diplomacy, family trust, leadership praise","neutral, respectful, political",Reflects steppe council culture where unity of counsel and oath-like speech marked loyalty among retainers.,/sabɯ bir/,𐰋𐰀𐰏𐰠𐰀𐰼:𐰴𐰆𐰺𐰆𐰞𐱃𐰖𐰴𐰀:𐰚𐰀𐰠𐱅𐰃:𐰽𐰀𐰉𐰃:𐰋𐰃𐰼:𐰼𐱅𐰃:,𐰉𐰃𐰔:𐱅𐰭𐰼𐰃:𐰚𐰇𐰲𐰃𐰤:𐰖𐰆𐰺𐰃𐰑𐰢𐰔:𐰋𐰆𐰑𐰣:𐰽𐰀𐰉𐰃:𐰋𐰃𐰼:,𐰖𐰍𐰃:𐰃𐰲𐰼𐰀:𐰢𐰀𐰭𐰇:𐰚𐰀𐰼𐱅𐰇:𐰀𐰼:𐰽𐰀𐰉𐰃:𐰋𐰃𐰼:𐰋𐰆𐰞𐱃𐰃:
𐰚𐰇𐰭𐰠𐰃:𐰴𐰆𐱃𐰞𐰆𐰍,Possessive noun phrase with adjectival predicate; fixed descriptive expression.,"Someone is hopeful, glad-hearted, or inwardly fortunate despite hardship.",𐰚𐰇𐰭𐰠𐰃:𐰚𐰀𐰍,A2,"encouragement, family speech, praise, travel","warm, poetic, colloquial-literary","Links inner disposition with qut, the sacred fortune or mandate often associated with rulers and prosperity.",/kyŋli qutluɣ/,𐰴𐰃𐰽:𐰚𐰀𐰠𐱅𐰃:𐰖𐰆𐰞:𐰽𐰆𐰍𐰆𐰴:𐰼𐱅𐰃:𐰚𐰇𐰭𐰠𐰃:𐰴𐰆𐱃𐰞𐰆𐰍:𐰴𐰞𐱃𐰃:,𐰀𐰼:𐰖𐰆𐰴𐰽𐰆𐰞:𐰼𐱅𐰃:𐰚𐰇𐰭𐰠𐰃:𐰴𐰆𐱃𐰞𐰆𐰍:𐰇𐰲𐰤:𐰃𐱀:𐰴𐰃𐰞𐱃𐰃:,𐰴𐰣:𐰋𐰆𐰑𐰣𐰴𐰀:𐰖𐰀𐰢𐰀:𐰽𐰀𐰉:𐱅𐰀𐰓𐰃:𐰚𐰇𐰭𐰠𐰃:𐰴𐰆𐱃𐰞𐰆𐰍:𐰋𐰆𐰞𐰣:
𐰃𐰲𐰃:𐰀𐰆𐰺𐰃,Possessive body-part noun plus stative verb/adjective; metaphorical clause.,"To feel deep grief, worry, resentment, or inner pain.",𐰴𐰀𐰑𐰍𐰆𐰺𐱃𐰃,B1,"lament, personal loss, politics, exile, family","emotional, literary, solemn",Body-internal metaphors are common in Turkic expression; grief is located in the inner body or heart-mind.,/it͡ʃi aɣrɯ/,𐰴𐰣𐰃𐰣:𐰴𐰆𐰑𐱃𐰆𐰴:𐰇𐰲𐰤:𐰋𐰆𐰑𐰣𐰃𐰭:𐰃𐰲𐰃:𐰀𐰆𐰺𐰃:,𐰀𐰣𐰀:𐰆𐰍𐰞𐰃𐰣:𐰃𐰔𐱅𐰀𐰓𐰃:𐰚𐰀𐰠𐰢𐰀𐰑𐰃:𐰃𐰲𐰃:𐰀𐰆𐰺𐰃:𐰋𐰆𐰞𐱃𐰃:,𐰋𐰀𐰏:𐰖𐰞𐰍𐰣:𐰽𐰀𐰉:𐰀𐱁𐰃𐱅𐰃:𐰃𐰲𐰃:𐰀𐰆𐰺𐰃:𐰘𐱅𐰃:
𐰚𐰇𐰔𐰃:𐰴𐰺𐰍𐰆,Possessive noun phrase with adjectival predicate; figurative sensory metaphor.,"Someone is ignorant, unaware, or unable to understand what is evident.",𐰋𐰃𐰠𐰢𐰀𐰔,B2,"warning, criticism, teaching, political counsel, sarcasm","critical, ironic, admonishing",Sight as knowledge is a widespread Turkic metaphor; blindness marks failure to perceive danger or truth.,/kyzi qarɣu/,𐰖𐰍𐰃:𐰖𐰆𐰞𐰴𐰀:𐰚𐰀𐰠𐱅𐰃:𐰋𐰃𐰠𐰏𐰀:𐰖𐰆𐰴:𐰚𐰇𐰔𐰃:𐰴𐰺𐰍𐰆:𐰼𐱅𐰃:,𐰽𐰀𐰉:𐰀𐱁𐰃𐱅𐰢𐰀𐰓𐰃:𐰚𐰇𐰔𐰃:𐰴𐰺𐰍𐰆:𐰚𐰃𐱀𐰃:𐰢𐰃𐱀:,𐰋𐰆:𐰃𐱀𐰃𐰏:𐰚𐰇𐰼𐰢𐰀𐰏𐰠𐰃:𐰚𐰇𐰔𐰃:𐰴𐰺𐰍𐰆:𐰀𐰼:𐰚𐰃𐰢:
𐰴𐰆𐰞𐰃:𐰇𐰔𐰤,Possessive body-part noun plus intransitive verb; completed-event metaphor.,"To lose power, agency, or practical ability to act.",𐰚𐰇𐰲𐰃:𐰖𐰆𐰴:𐰋𐰆𐰞𐱃𐰃,B2,"war, governance, economic loss, workplace metaphor","grave, political, descriptive","The hand symbolizes command, possession, craft, and military capacity in many early Turkic contexts.",/qolɯ yzyn/,𐰽𐰇:𐱅𐰀𐰏𐰢𐰀𐰓𐰃:𐰋𐰀𐰏𐰃𐰭:𐰴𐰆𐰞𐰃:𐰇𐰔𐰤:𐰋𐰆𐰞𐱃𐰃:,𐰀𐰠𐱃𐰆𐰣:𐰖𐰆𐰴:𐰃𐱀:𐰴𐰃𐰞𐰍𐰠𐰃:𐰴𐰆𐰞𐰃:𐰇𐰔𐰤:𐰼𐱅𐰃:,𐰴𐰣:𐰘𐰃𐰼𐰃𐰤:𐰖𐰃𐱅𐰃𐰼𐱅𐰃:𐰴𐰆𐰞𐰃:𐰇𐰔𐰤:𐰴𐰞𐱃𐰃:
𐰖𐰇𐰔𐰃:𐰖𐰺𐰆𐰴,Possessive noun phrase plus adjective; evaluative metaphorical predicate.,"Someone is honored, unashamed, successful, or socially vindicated.",𐰀𐰑𐰍𐰆:𐰀𐱅:𐰋𐰆𐰞𐱃𐰃,A2,"praise, victory, public reputation, family honor","positive, poetic, formal","Light and face imagery connects prestige, public standing, and visible honor in steppe elite speech.",/jyzi jaruq/,𐰀𐰼:𐰖𐰍𐰃𐰴𐰀:𐱅𐰀𐰏𐱅𐰃:𐰖𐰇𐰔𐰃:𐰖𐰺𐰆𐰴:𐰋𐰆𐰞𐱃𐰃:,𐰴𐰃𐰔:𐰋𐰃𐰠𐰏𐰀:𐰽𐰀𐰉:𐱅𐰀𐰓𐰃:𐰖𐰇𐰔𐰃:𐰖𐰺𐰆𐰴:𐰼𐱅𐰃:,𐰋𐰆𐰑𐰣:𐰃𐱀:𐰴𐰃𐰞𐱃𐰃:𐰀𐱅𐰃:𐰚𐰀𐰭:𐰖𐰇𐰔𐰃:𐰖𐰺𐰆𐰴:
𐰃𐰚𐰃:𐰋𐰀𐱁𐰞𐰃𐰍:𐰽𐰀𐰉,Numeral plus adjectival nominal compound; metaphorical noun phrase.,"Ambiguous, double-dealing, or contradictory speech.",𐰖𐰞𐰍𐰣:𐰖𐰢𐰀:𐰃𐰚𐰃𐰠𐰃𐰏:𐰽𐰀𐰉,C1,"politics, diplomacy, accusation, satire, legal testimony","sarcastic, critical, political",Counsel and oath mattered in tribal diplomacy; divided speech signals danger and broken trust.,/iki baʃlɯɣ sab/,𐰀𐰠𐰲𐰃:𐰃𐰚𐰃:𐰋𐰀𐱁𐰞𐰃𐰍:𐰽𐰀𐰉:𐱅𐰀𐰓𐰃:𐰋𐰀𐰏𐰠𐰀𐰼:𐰽𐰀𐰴𐰃𐰣𐱃𐰃:,𐰃𐰚𐰃:𐰋𐰀𐱁𐰞𐰃𐰍:𐰽𐰀𐰉:𐰀𐱁𐰃𐱅𐰃𐰯:𐰴𐰣:𐰖𐰺𐰞𐰃𐰍:𐰋𐰀𐰼𐰢𐰀𐰓𐰃:,𐰋𐰆:𐰽𐰀𐰉:𐰃𐰚𐰃:𐰋𐰀𐱁𐰞𐰃𐰍:𐰼𐰢𐰃𐱀:𐰚𐰃𐱀𐰃:𐰃𐰤𐰀𐰣𐰢𐰀𐰔:
𐰖𐰆𐰞𐰃:𐰇𐰔𐰇𐰠𐱅𐰃,Possessive noun plus passive/inchoative verbal predicate; eventive metaphor.,"A plan, journey, lineage, communication, or opportunity is cut off.",𐰃𐱀:𐱅𐰇𐰚𐰀𐰓𐰃,B2,"travel, politics, trade, family separation, lament","somber, narrative, historical","Roads were lifelines of migration, tribute, trade, and military movement across Inner Asia.",/jolɯ yzyldi/,𐰚𐰀𐰼𐰤:𐰚𐰀𐰠𐱅𐰃:𐰽𐰆𐰉:𐰃𐰑𐰃:𐰖𐰆𐰞𐰃:𐰇𐰔𐰇𐰠𐱅𐰃:,𐰀𐰠𐰲𐰃:𐰖𐰆𐰞𐰴𐰀:𐰲𐰃𐰴𐱃𐰃:𐰖𐰍𐰃:𐰚𐰀𐰠𐱅𐰃:𐰖𐰆𐰞𐰃:𐰇𐰔𐰇𐰠𐱅𐰃:,𐰆𐰍𐰞𐰃:𐰃𐰠𐰏𐰀𐰼𐰇:𐰋𐰀𐰺𐱃𐰃:𐰀𐱅𐰀:𐰖𐰆𐰞𐰃:𐰇𐰔𐰇𐰠𐱅𐰃:𐱅𐰀𐰓𐰃:
𐰀𐱅𐰃:𐰇𐰏𐰼𐰀:𐰴𐰆𐰯𐱃𐰃,Possessive noun plus locative/adverbial phrase and intransitive verb; fame-as-rising metaphor.,Someone’s reputation rises widely and becomes known before the person arrives.,𐰀𐱅𐰃:𐰚𐰀𐰭:𐰋𐰃𐰠𐰃𐰤𐱅𐰃,C1,"heroic narrative, diplomacy, public reputation, literature","elevated, poetic, heroic",Name and fame are central in inscriptional remembrance; to preserve a name is to preserve political and ancestral legitimacy.,/atɯ ygræ quptɯ/,𐰋𐰃𐰠𐰏𐰀:𐰀𐰼:𐰚𐰀𐰠𐰢𐰀𐰑𐰃:𐰀𐱅𐰃:𐰇𐰏𐰼𐰀:𐰴𐰆𐰯𐱃𐰃:,𐱃𐰆𐰣𐰖𐰆𐰴𐰆𐰴:𐰽𐰀𐰉𐰃:𐰇𐰲𐰤:𐰀𐱅𐰃:𐰇𐰏𐰼𐰀:𐰴𐰆𐰯𐱃𐰃:,𐰆𐰞:𐰽𐰇:𐰋𐰀𐱁𐰞𐰀𐰑𐰃:𐰘𐰃𐰼:𐰀𐱁𐰃𐰯:𐰀𐱅𐰃:𐰇𐰏𐰼𐰀:𐰴𐰆𐰯𐱃𐰃:
𐰖𐰇𐰼𐰀𐰚𐰃:𐰚𐰇𐰲𐰠𐰇𐰏,Possessive body-part noun plus adjective; fixed evaluative predicate.,"A person is brave, steadfast, and mentally resilient.",𐰴𐰆𐰺𐰴𐰢𐰀𐰔:𐰀𐰼,A2,"battle, encouragement, child praise, leadership, hardship","positive, heroic, motivational",Courage and internal strength are tied to warrior ethos and communal survival in steppe society.,/jyræki kyt͡ʃlyg/,𐰖𐰍𐰃:𐰚𐰀𐰠𐱅𐰃:𐰀𐰼:𐰴𐰆𐰺𐰴𐰢𐰀𐰑𐰃:𐰖𐰇𐰼𐰀𐰚𐰃:𐰚𐰇𐰲𐰠𐰇𐰏:𐰼𐱅𐰃:,𐰚𐰃𐰲𐰃𐰏:𐰆𐰍𐰞𐰣:𐰽𐰆𐰍𐰆𐰴:𐰖𐰆𐰞𐰴𐰀:𐰋𐰀𐰺𐱃𐰃:𐰖𐰇𐰼𐰀𐰚𐰃:𐰚𐰇𐰲𐰠𐰇𐰏:,𐰴𐰣:𐰚𐰃𐱀𐰃𐰏:𐰚𐰇𐰼𐰇𐰯:𐰖𐰇𐰼𐰀𐰚𐰃:𐰚𐰇𐰲𐰠𐰇𐰏:𐱅𐰀𐰓𐰃:
