Idiom (Occitan),Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Occitan)",First Example Sentence,Second Example Sentence,Third Example Sentence
Pecaire de ieu!,Exclamative clause with prepositional phrase,"An expression of resignation, pity, or helplessness, like 'Oh dear me!'",Ai pas cap de poder sus aquò.,B2,"daily speech, literature, rural conversations","colloquial, emotional, poetic",Common in Gascony and Languedoc; medieval religious influence (from Latin peccare),[peˈkajɾe ðe ˈjew],Pecaire de ieu! Ai perdut lo tren encara un còp.,Es tròp tard... pecaire de ieu!,"Pecaire de ieu, degun m’escota pas."
Aver la cabeça de molon,Verbal phrase with idiomatic noun complement,To be scatterbrained or easily distracted,Es pas concentrat.,B1,"humor, education, daily speech","colloquial, humorous","Derived from Occitan comparison to soft, crumbled bread ('molon')",[aˈβeɾ la kaˈβeso ðe muˈlun],Oblida tot... a la cabeça de molon aqueste drollet!,Ai pas pres las claus? Aviái encara la cabeça de molon.,"Quand parla, sembla qu’a la cabeça de molon."
Se’n fotre coma d’una braga vièlha,Reflexive verb + comparative prepositional clause,To not care at all,Li fa pas res.,C1,"sarcasm, casual speech, social media","colloquial, vulgar, ironic",Braga vièlha = old underpants; humorous rustic imagery,[seⁿ ˈfutɾe ˈkumɔ ˈdynɔ ˈβɾagɔ ˈbjɛʎɔ],Se’n fot coma d’una braga vièlha d’aquela situacion.,Tòrna pas? Se’n fot coma d’una braga vièlha.,E ieu? Se’n fot coma d’una braga vièlha!
Tirar lo clau del tap,Infinitive + object + partitive clause,To die,Es mòrt.,C2,"humor, rural talk, literature","poetic, ironic, euphemistic",Imagery of a cork stopper in wine barrel (Gascony origin),[tiˈɾaɾ lu ˈklaw del ˈtap],Ai sabut que tirèt lo clau del tap ièr.,"Après totas aquelas annadas, fin finala tirèt lo clau del tap.",Lo vesin a tirat lo clau del tap.
Far petar la lenga,Verbal idiom with causative verb and noun object,To gossip or chat excessively,Parla tròp.,B2,"daily speech, workplace, family","colloquial, familiar",Imagery of tongue snapping or making noise; common across southern Occitan,[faɾ peˈtaɾ la ˈleŋgɔ],Las vesinas fan petar la lenga cada matin.,Es totjorn aquí a far petar la lenga!,Arrèsta de far petar la lenga e ajuda-me!
Es pas nat pan per manjar,Negative clause with existential and metaphorical noun,He/she is no good; completely useless,Servís a res.,B2,"daily speech, rural speech, criticism","colloquial, pejorative, rustic",Common in Béarn and Gascony; metaphor of worthless bread,[es pas ˈnat ˈpan peɾ manˈdʒa],Aquel ajudant? Es pas nat pan per manjar.,Me'n fau pas fisança: es pas nat pan per manjar.,Es clar qu’es pas nat pan per manjar dins aqueste afar.
Aver la man freja,Verbal phrase with definite noun + adjective,"To be unlucky, especially in love or games",A pas de chança.,B1,"daily speech, games, romance","colloquial, neutral",Popular in Languedoc; contrast with 'la man cauda' (lucky),[aˈβeɾ la ˈmaⁿ ˈfɾɛʒɔ],Lo Pau a totjorn la man freja al jòc.,Aver la man freja fa perdre cada còp.,"E encara perdèt! Aviá la man freja, segur."
Charrar coma un molin,Simile with comparative phrase and verbal construction,"To talk excessively, like a chatterbox",Parla sens s’arrestar.,A2,"family, humor, education","colloquial, humorous",Imagery of watermills’ constant sound; widespread in southern Occitania,[ʃaˈraɾ ˈkumɔ œⁿ muˈliⁿ],Lo drollet charrava coma un molin pendent tota la serada.,Charras coma un molin! Arrèsta un pauc.,Ai pas pogut dire un mot: charrava coma un molin.
Espelir lo sorelh amb lo cuol,Idiomatic clause with humorous vulgar inversion,To wake up very late or in a disorganized state,S’es levat tròp tard.,C1,"humor, sarcasm, youth slang","vulgar, ironic, rural",Known in Limousin and Quercy; references waking up disoriented,[espeˈliɾ lu suˈɾɛʎ am lu ˈkwɔl],Espeliguèt lo sorelh amb lo cuol aqueste matin.,"Espelir lo sorelh amb lo cuol, es pas seriós!",Totjorn en retard... espelís lo sorelh amb lo cuol cada jorn.
A ploja de pèiras,Impersonal construction with metaphorical noun phrase,It's raining very heavily,Plòu fòrça.,A2,"daily speech, weather talk","colloquial, expressive",Folkloric hyperbole; used throughout Occitania,[a ˈpludʒɔ de ˈpɛjɾɔs],"Dins la montanha, a plojat de pèiras tota la nuèch.",A ploja de pèiras! Pren un para-pluèja.,Plòu tan fòrt... sembla que plòga de pèiras!
