Idiom (Zapotec),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–A2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Zapotec)",First Example Sentence,Second Example Sentence,Third Example Sentence,CEFR Level (A1–B1),CEFR Level (A2–B2),CEFR Level (A2–B1),CEFR Level (B1–C1),CEFR Level (B1–B2),CEFR Level (B2–C1)
Guendaróo lidxi’ biaani’,"Fixed clause, active voice",To enjoy or celebrate good fortune joyfully,Be happy about success,A2,"Daily speech, celebrations, community gatherings","Colloquial, joyful",Traditional Zapotec expression referring to communal happiness after harvests,[ɡwen.da.ˈɾo li.d͡ʒi βja.niʔ],Ridxi’ guxhi’ ni guendaróo lidxi’ biaani’ chi guirá xten.,Bene guxhi xten chi guendaróo lidxi’ biaani’ nixten xten.,Ca bene guxhi’ xten chi guendaróo lidxi’ biaani’.,,,,,,
Xquidxe’ riña xquidxe’,"Reduplicated structure, comparative idiom","Person to person, implying fair exchange or mutual respect",Treat others equally,,"Ethical discussions, family advice, community meetings","Colloquial, moralizing",Based on Zapotec social norms emphasizing reciprocity and fairness,[ʃki.d͡ʒe ɾi.ɲa ʃki.d͡ʒe],Nixten guxhi’ xten chi xquidxe’ riña xquidxe’.,Ridxi’ guxhi xten chi bene xquidxe’ riña xquidxe’.,Ca bene guxhi chi guxhi xquidxe’ riña xquidxe’ xten.,B1,,,,,
Biaani’ ni guxhi guirá,"Nominal clause, idiomatic inversion",A false joy or deceptive happiness,Pretend to be happy,,"Irony, social critique, storytelling","Ironic, sarcastic",Reflects the Zapotec moral concept of sincerity (guendaróo) versus pretense,[βja.niʔ ni ɡuʃi ɡwi.ɾa],Ridxi’ guxhi’ xten chi biaani’ ni guxhi guirá xten.,Bene guxhi xten chi ca biaani’ ni guxhi guirá.,Nixten guxhi’ xten chi guxhi biaani’ ni guxhi guirá.,,B2,,,,
Guirá ca guxhi’ ni gúnda,"Subordinate clause, reflexive structure",To act without thinking,Be reckless or impulsive,,"Admonishment, parenting, conversation","Colloquial, reproachful",Refers to the cultural value of thoughtful speech and action,[ɡwi.ɾa ka ɡuʃi ni ɡun.da],Nixten guxhi’ xten chi guirá ca guxhi’ ni gúnda xten.,Ca bene xten chi guirá ca guxhi’ ni gúnda xten.,Bene guxhi xten chi guirá ca guxhi’ ni gúnda.,,,B1,,,
Guxhii’ ti lidxiña xten biaani’,"Complex predicate, idiomatic complement",To make peace or restore harmony,Reconcile or make peace,,"Community affairs, friendship, politics","Formal, communal",Reflects communal reconciliation practices in Zapotec governance,[ɡuʃi ti li.d͡ʒi.ɲa ʃten βja.niʔ],Ridxi’ guxhi xten chi guxhii’ ti lidxiña xten biaani’.,Nixten guxhi xten chi guxhii’ ti lidxiña xten biaani’.,Ca bene guxhi xten chi guxhii’ ti lidxiña xten biaani’.,,B2,,,,
Biaani’ guxhi ni lidxiña,Inverted nominal phrase,To hide sadness behind a smile,Pretend to be fine,,"Literature, poetry, emotion, introspection","Poetic, melancholic",Reflects poetic imagery in Zapotec oral traditions about emotional restraint,[βja.niʔ ɡuʃi ni li.d͡ʒi.ɲa],Nixten guxhi’ xten chi biaani’ guxhi ni lidxiña xten.,Ca bene guxhi xten chi biaani’ guxhi ni lidxiña xten.,Ridxi’ guxhi xten chi biaani’ guxhi ni lidxiña.,,,,C1,,
Gúnda chi xten ni guxhi’,Causative structure,To start trouble or provoke conflict,Cause problems,,"Politics, arguments, gossip","Colloquial, critical",Refers to stirring trouble in community discussions or assemblies,[ɡun.da tʃi ʃten ni ɡuʃiʔ],Bene guxhi xten chi gúnda chi xten ni guxhi’.,Nixten guxhi xten chi gúnda chi xten ni guxhi’.,Ridxi’ guxhi xten chi gúnda chi xten ni guxhi’.,,,B1,,,
Ca bene xten chi biaani’,Conditional clause,Things aren’t as good as they seem,Appearances can deceive,,"Proverbs, storytelling, social caution","Proverbial, reflective",Draws on Zapotec wisdom sayings about humility and discernment,[ka βe.ne ʃten tʃi βja.niʔ],Nixten guxhi xten chi ca bene xten chi biaani’.,Bene guxhi xten chi ca bene xten chi biaani’.,Ca bene guxhi xten chi ca bene xten chi biaani’.,,,,,B2,
Guendaróo ca guxhi xten chi biaani’,Complex verb phrase,To act kindly from the heart,Do something sincerely,,"Ethics, teaching, spirituality","Formal, benevolent",Reflects moral importance of genuine giving (guendaróo) in Zapotec culture,[ɡwen.da.ɾo ka ɡuʃi ʃten tʃi βja.niʔ],Ridxi’ guxhi xten chi guendaróo ca guxhi xten chi biaani’.,Bene guxhi xten chi guendaróo ca guxhi xten chi biaani’.,Nixten guxhi xten chi guendaróo ca guxhi xten chi biaani’.,,B2,,,,
Xten guxhi’ ni guxhi lidxiña,Elliptical structure,A secret shared between trusted people,Private matter,,"Friendship, gossip, family","Colloquial, intimate",Refers to the sacredness of trust in Zapotec kinship networks,[ʃten ɡuʃiʔ ni ɡuʃi li.d͡ʒi.ɲa],Nixten guxhi xten chi xten guxhi’ ni guxhi lidxiña.,Ridxi’ guxhi xten chi xten guxhi’ ni guxhi lidxiña.,Bene guxhi xten chi xten guxhi’ ni guxhi lidxiña.,,,,,,C1
