Idiom (Macedonian),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Macedonian)",First Example Sentence,Second Example Sentence,Third Example Sentence
Му ја врти водата,Фразеолошка конструкција со личен заменик и сврзничка фраза,"Го манипулира некого на фин начин, го убедува со измама.",Го убедува нечесно.,C1,"секојдневен говор, политика, иронија","колоквијален, ироничен",Стар израз од руралниот говор – поврзан со мелење на жито и насочување на вода за воденици.,[mu ja ˈvrti ˈvɔdata],Тој секогаш му ја врти водата на шефот за да го добие она што го сака.,Политичарите знаат добро како да му ја вртат водата на народот.,Не му дозволувај да ти ја врти водата со убави зборови.
Си ја гледа својата работа,Рефлексивна глаголска фраза со посесивен заменик,"Не се меша во туѓи работи, се грижи за своите обврски.",Се занимава со своите работи.,B1,"секојдневен говор, семејство, работно место","неутрален, секојдневен",Типичен македонски морален израз кој ја истакнува вредноста на ненамешаност.,[si ja ˈɡleda ˈsvojata ˈrabota],Најдобро е секој да си ја гледа својата работа.,Таа не сака конфликти и секогаш си ја гледа својата работа.,Му рече да си ја гледа својата работа и си замина.
Падна му круната,"Фразеолошки израз во перфект, со именка и глагол во трето лице","Се понижил или изгубил статус, чест или гордост.",Го изгуби угледот.,B2,"сарказам, хумор, семејни разговори","ироничен, разговорен",Поврзано со монархиската симболика; користено во народни песни и шеги.,[ˈpadna mu ˈkrunata],"А што, му падна круната ако изми садови?","Кога мораше да замоли, му падна круната.",Му падна круната откако го казнија на работа.
Го фати за збор,Глаголска фраза со директен објект,Го држи некого одговорен за кажаното.,Го држи за одговорен.,B2,"работно место, формални средби","формален, неутрален",Израз со правна и морална конотација; чест во народните изреки.,[ɡo ˈfati za ˈzbɔr],"Рече дека ќе помогне, и јас го фатив за збор.",Таа го фати за збор дека ќе ја однесе на одмор.,Не ветувај нешто ако не можеш да го исполниш — ќе те фатат за збор.
Се качи на коњ,Глаголска фраза во перфект со рефлексивен глагол,"Стана арогантен, се возгорде.",Се однесува горделиво.,B2,"иронија, разговор, семејство","ироничен, разговорен",Потекнува од селска сатира каде „качењето на коњ“ означува престиж.,[se ˈkatʃi na ˈkɔnʲ],"Откако го унапредија, се качи на коњ.",Не зборува веќе со нас — се качи на коњ.,Се качи на коњ кога доби малку пофалби.
Ќе го јаде стапот,Фразеолошка конструкција во идно време,Ќе биде казнет или укорен.,Ќе биде казнет.,B1,"семејство, работа, хумор","колоквијален, шеговит",Потекнува од стар воспитен израз каде „стапот“ симболизира дисциплина.,[cɛ ɡo ˈjadɛ ˈstapɔt],"Ако не учи, ќе го јаде стапот.",Шефот ќе се налути – ќе го јаде стапот.,Тој знае дека ќе го јаде стапот ако повторно задоцни.
Го удри шлаканица од животот,Сложена глаголска фраза со метафоричен објект,Доживеал тежок животен удар или поука.,Доживеал нешто болно и поучно.,C1,"литература, психологија, секојдневен говор","литерарен, емоционален",Модерен поетски израз често користен во медиуми и песни.,[ɡo ˈudri ʃlaˈkanitsa ɔd ʒiˈvɔtɔt],"По разводот, го удри шлаканица од животот.",Го удри шлаканица од животот и сега размислува поинаку.,Секој барем еднаш го удира шлаканица од животот.
Го фати ѓаволот за опашка,Сложена фраза со именка во фигуративна смисла,Влегол во големи проблеми.,Има сериозни проблеми.,C1,"сарказам, политика, секојдневие","саркастичен, разговорен",Израз поврзан со религиозни и фолклорни претстави за ѓаволот.,[ɡo ˈfati ˈɟavɔlɔt za ɔˈpaʃka],"Кога ги потпиша тие документи, го фати ѓаволот за опашка.",Го фати ѓаволот за опашка со тие долгови.,Сите го предупредуваа дека ќе го фати ѓаволот за опашка.
Си ги изми рацете,Рефлексивна глаголска фраза со множински објект,Се ослободи од одговорност.,Не презеде одговорност.,B2,"политика, семејство, религија","неутрален, ироничен",Библиска алузија на Понтиј Пилат; широко прифатен израз.,[si ɡi ˈizmi ˈratsɛtɛ],"Кога почна проблемот, сите си ги измија рацете.",Тој си ги изми рацете со тоа што молчеше.,Не можеш да си ги измиеш рацете од оваа ситуација.
Има путер на глава,Фразеолошка конструкција со именка во метафоричка функција,"Е виновен, направил нешто срамно или лошо.",Е виновен.,B2,"секојдневен говор, хумор, медиуми","колоквијален, шеговит",Современ израз превземен преку контакт со англиски јазик („have butter on one’s head“).,[ˈima ˈputɛr na ˈɡlava],Не зборува многу – има путер на глава.,Сите знаат дека има путер на глава поради таа работа.,Го фатија лажејќи – очигледно има путер на глава.
