Idiom (Classical Armenian),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Classical Armenian)",First Example Sentence,Second Example Sentence,Third Example Sentence
Ջուրը գլխէն անցած է,Անձնական արտահայտութիւն՝ անցեալ դերբայով՝ բարդ նախադասութիւն,Վիճակը անկառավարելի է կամ շատ ուշ է ինչ-որ բան փրկելու համար։,Բանն այլեւս չի կարելի ուղղել։,B2,"Աշխատանք, անձնական կեանք, քաղաքականութիւն","Խօսակցական, երբեմն հեգնական","Աւանդական՝ օգտագործուած վաղ միջնադարից ի վեր, ջրի խորհրդանշական իմաստով՝ փորձութեան չափանիշ։",ˈʤuɾə ʁəlˈpʰɛn ɑnˈtsʰɑts ɛ,Արդէն ուշ է փորձել՝ ջուրը գլխէն անցած է։,Կառավարութեան համար ջուրը գլխէն անցած է՝ ժողովուրդը բարկացած է։,"Երբ ամէն ինչ խառնուեցաւ, հասկացայ՝ ջուրը գլխէն անցած է։"
Աչք մը ջուրին վրայ,Բայային կառուցուածք՝ հոլովական կապով՝ նախադասական արտահայտութիւն,Մշտական հսկողութիւն կամ զգուշութիւն պահել։,Զգոյշ լինել։,B1,"Ընտանիք, աշխատանք, պաշտպանութիւն","Խօսակցական, երբեմն սիրոյց",Ծագում ունի հին ձկնորսական պատմութիւններից՝ ջուրի վրայ աչք դնել՝ վտանգ կանխելու նպատակով։,ˈɑʧʰkʰ mə ʤuˈɾin vɾɑj,Աչք մը ջուրին վրայ դիր՝ ձկները չփախչին։,"Միշտ աչք մը ջուրին վրայ ունեցիր, զի չկորսուիս։",Ան միշտ աչք մը ջուրին վրայ ունի՝ բան մը չկորսուի։
Գլուխը պատով է տալիս,Բայային արտահայտութիւն՝ գոյականով լրացումով,Անօգուտ կամ անխելք բան անել համառութեամբ։,Համառել անիմաստ բանի մէջ։,B2,"Աշխատանք, ընտանեկան վիճաբանութիւն","Խօսակցական, հեգնական",Ճարտարապետական պատկեր՝ միջնադարեան հայկական քաղաքային արտահայտութիւն։,ɡlʊˈxə ˈpɑtov ɛ tɑˈlis,Ան միշտ գլուխը պատով է տալիս՝ չի փոխուիր։,Գլուխը պատով տալով՝ ոչինչ չհասաւ։,Զուր է՝ գլուխդ պատով մի՛ տուր։
Արիւնը ջուր չէ,Բայային նախադասութիւն՝ ժխտական կապով,"Աղբիւրը կամ ազգական կապը միշտ կարեւոր է, որքան էլ դժուար լինի։",Աղբիւրը չի մոռացուիր։,B1,"Ընտանիք, բարոյականութիւն, ժառանգութիւն","Լուրջ, բարոյական",Հին ընտանիքային ասոյթ՝ գենէոլոգիական գիտակցութեան նշան։,ɑˈɾjunə ʤuɾ ʧʰɛ,Մի՛ մոռնար՝ արիւնը ջուր չէ։,Արիւնը ջուր չէ՝ եղբայրդ է։,Զարմանալի չէ՝ արիւնը ջուր չէ։
Քարը տեղէն շարժեց,Անցեալ դերբայային կառուցուածք՝ գործող բայով,Կատարեց անհնարին բան։,Խիստ դժուար բան յաջողեցաւ։,C1,"Քաղաքականութիւն, գործարարութիւն, պատմութիւն","Հերոսական, գրական",Աղբիւրը ազգային դիւցազնավէպերում է՝ քար շարժելը հզօր ուժի խորհրդանիշ։,ˈkʰɑɾə teˈʁen ʃɑɾˈʒetsʰ,Ան իսկապէս քարը տեղէն շարժեց։,Աշոտ արքան քարը տեղէն շարժեց՝ երկիրը փրկեց։,Անոր խիզախութեամբ՝ քարը տեղէն շարժեց։
Արեւը շողաց իր դէմքին,Բարդ բայային կառուցուածք՝ դէմք լրացմամբ,Նրա բախտը բացուեց կամ ժպտաց։,Բախտաւոր դարձաւ։,B2,"Կենցաղ, ուրախութիւն, պոեզիա","Պոետական, խորհրդանշական",Պատկերային արտահայտութիւն՝ արեւի պաշտամունքային խորհրդով։,ɑˈɾɛvə ʃoˈʁɑtsʰ iɾ dɛmˈkʰin,Երբ որդին ծնաւ՝ արեւը շողաց իր դէմքին։,Նոր աշխատանքի մասին լսելուն՝ արեւը շողաց իր դէմքին։,Արեւը շողաց իր դէմքին՝ բախտը փոխուեց։
Լաւն իր տեղը կը բռնէ,Հաստատական բայային նախադասութիւն՝ ներկա ժամանակով,Արժանի մարդը կամ բանն իր արժանի տեղը կը ստանայ։,Արժանաւորութիւնը միշտ երեւան կու գայ։,B2,"Կրթութիւն, աշխատանք, բարոյախօսութիւն","Խորհրդաւոր, խրատական",Հին խրատական գրականութիւնից՝ արժանիքի գաղափարի դրսեւորում։,lɑvn iɾ teˈʁə kə bəɾˈnɛ,Մի՛ վախնար՝ լաւն իր տեղը կը բռնէ։,Անոր աշխատանքը գնահատուեց՝ լաւն իր տեղը կը բռնէ։,Ժամանակը ցոյց կու տայ՝ լաւն իր տեղը կը բռնէ։
Ճամբան բաց է,Բայային արտահայտութիւն՝ ներկա ժամանակով,Կարող է ազատօրէն գնալ կամ որոշում կայացնել։,Կարող էք ազատ ընտրել։,A2,"Խօսակցական, ընտանիք, հումոր","Խօսակցական, հեգնական",Աղբիւրը կենցաղային լեզուից՝ ճամբան՝ ազատութեան խորհրդանիշ։,ʤɑmˈbɑn bɑtsʰ ɛ,Չես ուզեր մնալ՝ ճամբան բաց է։,Ճամբան բաց է՝ կարող ես հեռանալ։,Անոր համար միշտ ճամբան բաց է։
Աչքէն վար թափեց,Անցեալ դերբայային արտահայտութիւն՝ անձնական հոլովով,Կտրեց վստահութիւնը կամ հաւատը մէկու նկատմամբ։,Անհաւատ դարձաւ նրա հանդէպ։,B2,"Ընտանիք, բարեկամութիւն, հեգնանք","Խօսակցական, հեգնական",Հին ժողովրդական բառակապակցութիւն՝ տեսողական պատկերով՝ հիասթափութեան խորհրդանիշ։,ˈɑʧʰkʰɛn vɑɾ tʰɑˈpʰetsʰ,Երբ խաբեց՝ աչքէն վար թափեց։,Աչքէն վար թափեց՝ այլեւս չի վստահիր։,Անոր վարքէն՝ բոլորի աչքէն վար թափեց։
Աշխարհին մէջ մէկ պէս չէ,Բարդ նախադասութիւն՝ ժխտական կապով,"Կեանքը փոփոխական է, ոչինչ մշտական չէ։",Ամէն բան փոփոխական է։,C1,"Փիլիսոփայական, խրատական","Գրական, խոհական",Հին իմաստասիրական արտահայտութիւն՝ ժամանակի անցողիկութեան խորհրդով։,ɑʃχɑˈɾin mɛʧʰ mɛkʰ pɛs ʧʰɛ,Մի՛ մոռնար՝ աշխարհին մէջ մէկ պէս չէ։,"Աշխարհին մէջ մէկ պէս չէ՝ այսօր ուրախ ենք, վաղը՝ տխուր։",Աշխարհին մէջ մէկ պէս չէ՝ ամէն բան կը փոխուի։
