Idiom (Cham),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),Non-Idiomatic Equivalent (Plain Rephrasing),CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Cham)",First Example Sentence,Second Example Sentence,Third Example Sentence
دل ءَ گرگ بیت,Copular clause (Noun + postposition + predicate adjective/nominal),To become suddenly brave or emotionally hardened in a difficult situation.,جرأت مند بیت یا دلیر بیت,B2,"Daily speech, tribal honor discussions, political rhetoric","Colloquial, metaphorical, slightly heroic",Reflects pastoral imagery of wolves in Brahui tribal regions symbolizing courage and survival.,d̪il ə gərg beːt̪,جنگ ءَ وقت او دل ءَ گرگ بیت و همه حیران ماندگ۔,تو هم دل ءَ گرگ بیت اگر حق ءَ دفاع کنگے۔,سختی ءَ روزگار انسان دل ءَ گرگ بیت۔
چشم ءَ خاک بیت,Nominal clause with metaphorical predicate,To feel deep shame or regret after wrongdoing.,شرمندہ بیت,B1,"Family disputes, moral storytelling, social correction","Colloquial, moralistic",Derived from desert imagery where dust in the eyes obscures clarity and honor.,t͡ʃaʃm ə xɑːk beːt̪,دروغ گوٹگ، بعد ءَ چشم ءَ خاک بیت۔,بچہ کار بد کنگت و چشم ءَ خاک بیت۔,او فهم کنگت کہ غلطی کنگت، چشم ءَ خاک بیت۔
زبان ءَ شیر انت,Equative clause (Noun + copula),To speak persuasively or charmingly.,خوب سخن کنگت,A2,"Marriage negotiations, trade, humor","Poetic, complimentary",Honey imagery common in Brahui oral poetry symbolizing sweetness of speech.,zəbaːn ə ʃiːr ɑnt̪,او بازار ءَ زبان ءَ شیر انت و مشتری جذب کنگت۔,دیوان ءَ شاعر زبان ءَ شیر انت۔,اگر زبان ءَ شیر انت، دل هم نرم بیت۔
سر ءَ آسمان روتگ,Verb phrase (Head + postposition + motion verb past form),To become extremely proud or arrogant.,بسیار مغرور بیت,B2,"Politics, satire, interpersonal criticism","Ironic, sarcastic",Mountainous imagery reflecting exaggerated elevation of self.,sər ə ɑːsmaːn roːt̪əg,چند تعریف شنوتگ، سر ءَ آسمان روتگ۔,قدرت داتگ، او سر ءَ آسمان روتگ۔,پیروزی بعد ءَ بعضی سر ءَ آسمان روتگ۔
دست ءَ کوتاه انت,Nominal phrase + copula,"To lack power, resources, or ability to act.",توان نہ انت,B1,"Economic hardship, governance, daily complaint","Neutral, pragmatic",Symbolizes inability to reach or grasp opportunities.,d̪ast̪ ə koːt̪aːh ɑnt̪,من دست ءَ کوتاه انت، کمک کنگ نہ توانگاں۔,حکومت دست ءَ کوتاه انت ءَ وقت بحران۔,او خواهش دارت، ولی دست ءَ کوتاه انت۔
گوش ءَ بند کنگت,Verb phrase (Object + postposition + verb),To deliberately ignore advice or warnings.,توجه نہ کنگت,B1,"Family advice, social criticism","Colloquial, admonishing",Rooted in oral advisory traditions of elders in Brahui clans.,goːʃ ə bənd̪ kəŋt̪,او نصیحت شنوتگ نہ، گوش ءَ بند کنگت۔,اگر گوش ءَ بند کنگے، مشکل بیت۔,جوان گوش ءَ بند کنگت و تجربه نادارت۔
وقت ءَ تیر انت,Equative clause metaphor,Time passes quickly and cannot be stopped.,وقت سریع گذرت,A2,"Education, advice, poetry","Poetic, reflective",Inspired by archery traditions among tribal warriors.,wəqt̪ ə t̪iːr ɑnt̪,جوانی وقت ءَ تیر انت، قدر دانگ۔,سال نو آتگ، وقت ءَ تیر انت۔,فرصت کم انت، وقت ءَ تیر انت۔
دل ءَ سنگ بیت,Copular metaphorical clause,To become emotionally cold or unfeeling.,بی‌احساس بیت,B2,"Tragedy narratives, social criticism","Serious, dramatic",Stone symbolism common in mountainous Brahui landscapes.,d̪il ə səŋg beːt̪,زیاد ظلم دیدگ، دل ءَ سنگ بیت۔,او فریاد شنوتگ نہ، دل ءَ سنگ بیت۔,اگر شفقت نہ انت، دل ءَ سنگ بیت۔
چہرہ ءَ گل بیت,Nominal metaphor + copula,To look radiant with happiness.,بسیار خوشحال و روشن انت,A2,"Weddings, celebrations, poetry","Poetic, affectionate",Floral imagery deeply embedded in Brahui wedding songs.,t͡ʃeːhra ə gʊl beːt̪,عروس چہرہ ءَ گل بیت۔,خبر خوش شنوتگ، چہرہ ءَ گل بیت۔,او کامیاب بوت، چہرہ ءَ گل بیت۔
پا ءَ زنجیر انت,Nominal phrase + copula,To be trapped or restricted by obligations.,مجبور انت,B2,"Family responsibility, social commentary","Serious, metaphorical",Historical imagery from tribal captivity metaphors.,paː ə zənd͡ʒiːr ɑnt̪,کار بسیار انت، پا ءَ زنجیر انت۔,او قرض دارت، پا ءَ زنجیر انت۔,وظیفه سخت انت، پا ءَ زنجیر انت۔
