Idiom (Welsh),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Welsh)",First Example Sentence,Second Example Sentence,Third Example Sentence
Cachu hwch,Fixed nominal phrase,A complete mess or disaster; something gone terribly wrong.,An unsuccessful or disorganized situation.,B2,"Daily speech, humor, complaints","Colloquial, humorous","Rural expression linked to the mess left by pigs, especially sows (hwch).",[ˈkɑːχɨ̞ ˈhuːχ],"Roedd y cyngerdd yn gachu hwch – dim sain, dim goleuadau.","Wnaethon ni drio coginio gyda'n gilydd, ond daeth e'n gachu hwch.",Mae'r adroddiad yma'n gachu hwch o'r dechrau i'r diwedd.
Fel y ffliw yn mynd,Simile with prepositional structure,Spreading rapidly like wildfire or contagion.,Spreading very quickly.,B1,"Health, news, gossip, media",Colloquial,Based on the frequent seasonal spread of flu in Welsh communities.,[vɛl ə ˈfɬɪuː ɨn ˈmɨn],Mae’r stori honno’n mynd fel y ffliw yn mynd ar y cyfryngau cymdeithasol.,Roedd y clefyd yn lledaenu fel y ffliw yn mynd ymhlith y pentrefwyr.,Mae'r fideo yna wedi mynd fel y ffliw yn mynd ers bore.
Ail-fyw'r hen gloch,Infinitive phrase with definite article,To bring up or revive old news or complaints.,To repeat old stories or issues.,C1,"Family, arguments, politics","Formal, literary, ironic",Relates to the sound of bells that keep ringing unnecessarily – possibly linked to chapel bells.,[aɪl ˈvɪu r heːn ˈklɔχ],Pam ail-fyw'r hen gloch pan wnaethon ni ddatrys hynny eisoes?,Mae'r darllediad yn ail-fyw'r hen gloch o'r etholiadau diwethaf.,Roedd y cyfarfod llawn ail-fyw'r hen gloch a dim datrysiadau newydd.
Pigo'r bwgan,Verb phrase with definite object,To provoke a sensitive issue or person intentionally.,To stir up trouble or controversy.,B2,"Politics, workplace, sarcasm","Ironic, informal",Refers to teasing a scarecrow (bwgan) — an empty threat or symbolic figure.,[ˈpɪɡɔr ˈbuːɡan],Peidiwch â pigo’r bwgan os nad wyt ti'n barod am y canlyniadau.,Mae'r golygydd yn pigo’r bwgan eto gyda'r erthygl newydd honno.,Roedd hi’n benderfynol o bigo’r bwgan yn y cyfarfod staff.
Rhedeg fel cath i gythraul,Simile with prepositional phrase,To flee or move very quickly out of fear.,To run away very fast.,B1,"Humor, danger, children, everyday","Colloquial, humorous",Traditional image of a cat fleeing from chaos or danger; rooted in Welsh storytelling.,[ˈr̥ɛdɛɡ vɛl ˈkaːθ i ˈkəθrai̯l],"Pan welodd y plentyn y neidr, fe redodd fel cath i gythraul!",Roedd e’n hwyr i’r trên a redodd fel cath i gythraul i’r orsaf.,Fe gollodd ei nerf a rhedegodd fel cath i gythraul o'r cyfweliad.
Codi twrw am ddim byd,Verbal phrase with prepositional object,To make a fuss about nothing.,To complain unnecessarily.,A2,"Home, parenting, arguments",Colloquial,Common in parenting and village life — making unnecessary noise.,[ˈkɔdi ˈtʊruː am ðɪm biːd],"Stopia, Mam – ti’n codi twrw am ddim byd eto!",Mae’r rheolwr yn codi twrw am ddim byd o hyd.,Rydym ni wedi clywed digon arno’n codi twrw am ddim byd.
Mwy o dwp na’r gath ddu,Comparative clause with article,Exceptionally foolish or clueless.,Very silly or lacking understanding.,B2,"Jokes, school, informal insult","Sarcastic, colloquial",Folkloric belief that a black cat brings mischief; ironic reversal.,[ˈmuːi ɔ ˈdɪp naːr ˈɡaːθ ðiː],Paid â gwrando arno – mae’n fwy o dwp na’r gath ddu.,"Roedd ei syniad mor hurt, yn fwy o dwp na’r gath ddu.",Wnes i chwerthin – roedd hi’n actio fel mwy o dwp na’r gath ddu!
Yn sownd fel teisen yn y tun,Simile using passive imagery,Completely stuck or unable to move.,Stuck and unable to proceed.,B1,"Workplace, home, humor","Colloquial, humorous",Relates to failed baking attempts – a cake stuck in its tin.,[ən saʊnd vɛl ˈtɛɪsɛn ən ə ˈtɨn],Roedd y car yn sownd fel teisen yn y tun ar y ffordd wledig.,Rwy’n sownd fel teisen yn y tun gyda’r aseiniad yma!,Mi arhosodd y lifft yn sownd fel teisen yn y tun.
Yn ysu am sgwrs,Prepositional phrase with infinitive desire,Craving or eager for a conversation.,Wanting to talk.,A2,"Social, elderly, loneliness","Gentle, warm",Common in rural and older communities where conversation is valued.,[ən ˈəsɨ am ˈskʊrs],Roedd y dyn hŷn yn ysu am sgwrs ar ôl diwrnod tawel.,Dw i’n ysu am sgwrs ar ôl gweithio’n unig drwy’r dydd.,Fe alwodd hi draw gan ei bod hi’n ysu am sgwrs.
Troi'r byd ben i waered,Infinitive phrase with prepositional inversion,To turn everything upside-down; to cause disruption.,To cause upheaval or disruption.,C1,"Politics, literature, war, revolution","Poetic, dramatic",Biblical and bardic influence; seen in religious and poetic contexts.,[trɔi r biːd bɛn i ˈwaɪrɛd],Fe drodd y newyddion y byd ben i waered dros nos.,Mae’r cyfreithiau newydd yma’n troi’r byd ben i waered.,Roedd y protestiadau’n troi’r byd ben i waered yn y brifddinas.
