Idiom,Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,IPA (Cham),First Example Sentence,Second Example Sentence,Third Example Sentence
Ауыҙыңа бал да май,Теләктең-оптатив формалағы фразеологик теләк конструкцияһы,"Берәйһенә яҡшы теләк, хуплау йәки рәхмәт белдереү","Һиңә ҙур рәхмәт, яҡшы һүҙҙәр әйтәһең",B1,"Көндәлек аралашыу, рәхмәт белдереү, дуҫтар араһы","Коллоквиаль, йылы тон",Башҡорт халҡының бал һәм майҙы муллыҡ символы итеп күреүенә бәйле,/ɑʊ̯ɯˈðɯŋɑ bɑl dɑ mɑj/,— Мин һиңә ярҙам итермен. — Ауыҙыңа бал да май!,"Һинең изге ниәтең бар, ауыҙыңа бал да май.","Имтиханды уңышлы тапшырһаң, ауыҙыңа бал да май."
"Ете ҡат үлсә, бер ҡат киҫ",Императив формаһында парлы ҡылым конструкцияһы,Ҡарар ҡабул итер алдынан яҡшы уйларға кәрәк,Ашыҡмайынса уйлап эш ит,B2,"Ғаилә кәңәштәре, эшлекле мөхит, тәрбиә","Мәҡәл, нейтраль-өйрәтеүсе",Күсмә тормошта һаҡлыҡ мөһим булған осорҙан килгән,/jete qɑt ylˈsæ ber qɑt kis/,"Ололар һәр саҡ: ете ҡат үлсә, бер ҡат киҫ, тип әйтә.","Проект башлар алдынан ете ҡат үлсә, бер ҡат киҫ.","Бизнес ҡарарында ете ҡат үлсә, бер ҡат киҫ ҡағиҙәһе мөһим."
Теше тешкә теймәй,"Кире ҡағылышлы һөйләм, хәрәкәтһеҙлек белдергән конструкция",Ҡурҡыуҙан йәки һыуыҡтан ҡалтырау,Бик ныҡ ҡалтырау,B1,"Көндәлек һөйләшеү, һүрәтләү",Коллоквиаль,Ҡышҡы һалҡын климатҡа бәйле образлы әйтем,/teˈʃe teʃˈkæ tejˈmæj/,"Сыҡҡас, уның теше тешкә теймәне.",Ҡурҡыуҙан теше тешкә теймәй ине.,Һалҡында балаларҙың теше тешкә теймәне.
Ҡул ҡаушырып ултырыу,Герундив конструкциялы фразеологизм,"Эшһеҙ, пассив ҡалыу",Бер нәмә лә эшләмәү,B2,"Социаль тәнҡит, эш урыны",Нейтраль йәки тәнҡитле,Башҡорттарҙа хеҙмәт һөйөү традицияһына бәйле,/qul qɑʊ̯ʃɯˈrɯp ulˈtɯrʊ/,Ҡул ҡаушырып ултырыуҙан файҙа юҡ.,Ул ярҙам итер урынына ҡул ҡаушырып ултырҙы.,Бындай хәлдә ҡул ҡаушырып ултырырға ярамай.
Балыҡ башынан серей,Һөйләм формаһындағы мәҡәл,Проблема етәксенән башлана,Ғәйеп башлыҡта,C1,"Сәйәсәт, йәмәғәт фекере","Мәҡәл, тәнҡитле",Балыҡсылыҡ менән бәйле халыҡ тәжрибәһе,/bɑˈlɯq bɑʃɯˈnɑn seˈrej/,"Ойошмала тәртип юҡ, балыҡ башынан серей.","Хакимлыҡта проблемалар бар, балыҡ башынан серей, тиҙәр.","Мәктәптәге буталышҡа ҡарап, балыҡ башынан серей тигән һүҙ иҫкә төшә."
Сабыр иткән — мораҙына еткән,Парлы рифмалы мәҡәл конструкцияһы,Сабырлыҡ уңышҡа килтерә,Түҙем кеше маҡсатына ирешә,B2,"Тәрбиә, әҙәбиәт, мотивация","Поэтик, мәҡәл",Башҡорт ауыҙ-тел ижады,/sɑˈbɯr itˈkæn moˈrɑðɯnɑ jetˈkæn/,"Олатайым һәр саҡ: сабыр иткән — мораҙына еткән, ти торғайны.",Һынауҙарҙа сабыр иткән — мораҙына еткән.,"Ул ауырлыҡтарға ҡарамай, сабыр иткән — мораҙына еткән."
Ут менән уйнама,Тыйыу мәғәнәһендәге императив конструкция,Хәүефле эшкә тотонма,Ҡурҡыныс эш эшләмә,A2,"Көндәлек һөйләшеү, ата-әсә кәңәше","Коллоквиаль, иҫкәртеүсе","Утты изге лә, хәүефле лә көс тип ҡабул итеү",/ut meˈnæn ujˈnɑmɑ/,Был эштә ут менән уйнама.,"Балаларға: ут менән уйнама, тип киҫәттеләр.","Һин хәүефле һүҙҙәр әйтәһең, ут менән уйнама."
Күҙ күргәнде ҡул эшләй,Сәбәп-һөҙөмтәле һөйләм,Күргән тәжрибә эшкә йоғонто яһай,Кеше күргәненә ҡарап эшләй,C1,"Әҙәбиәт, фәлсәфә, мәҙәниәт","Поэтик, әҙәби",Халыҡ педагогикаһы традицияһы,/kyð kʏrˈgændæ qul æʃˈlæj/,Оҫталыҡта күҙ күргәнде ҡул эшләй.,Бала ата-әсәһенән күргәнде ҡабатлай: күҙ күргәнде ҡул эшләй.,Һөнәрҙә күҙ күргәнде ҡул эшләй тигән һүҙ дөрөҫ.
Ауыҙынан ел алыу,"Фразеологик һүҙбәйләнеш, метафора",Һүҙҙәрҙе кире алыу,Әйткәнен юҡҡа сығарыу,C2,"Сәйәсәт, бәхәс, публицистика","Ироник, тәнҡитле",Елде бушлыҡ символы итеп ҡулланыуҙан,/ɑʊ̯ɯðɯˈnɑn jel ɑˈlɯʊ̯/,Сығышынан һуң ул ауыҙынан ел алды.,"Һүҙҙәрен үҙгәртеп, ауыҙынан ел алырға мәжбүр булды.","Журналист һорағас, ул ауыҙынан ел алды."
"Йөҙ һум аҡсаң булғансы, йөҙ дуҫың булһын",Ҡаршылыҡлы сағыштырыу мәҡәле,Дуҫлыҡ аҡсанан ҡиммәтерәк,Дуҫтар аҡсанан мөһимерәк,B2,"Ғаилә, дуҫлыҡ, тәрбиә","Мәҡәл, позитив",Башҡорт йәмғиәтендә коллективизм традицияһы,/jøð hum ɑqˈsɑŋ bulˈɣɑnsɯ jøð duˈsɯŋ bulˈhɯn/,"Олатайым: йөҙ һум аҡсаң булғансы, йөҙ дуҫың булһын, ти ине.","Ауыр саҡта аҡса түгел, дуҫ кәрәк — йөҙ һум аҡсаң булғансы, йөҙ дуҫың булһын.","Байлыҡ ваҡытлы, ә дуҫлыҡ мәңгелек: йөҙ һум аҡсаң булғансы, йөҙ дуҫың булһын."
