Idiom (Finnish),Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Finnish)",First Example Sentence,Second Example Sentence,Third Example Sentence
Vetää herne nenään,"Verbipohjainen, refleksiivinen ilmaisu",Suututtaa tai loukkaantua helposti jostain pienestä,Suututtaa jostain vähäpätöisestä asiasta,B1,"Päivittäinen puhe, huumori","Puhekieli, humoristinen","Suomalainen kansanomainen ilmaus, todennäköisesti kehittynyt arjen arkisista sanonnoista",ˈʋetæː ˈherne ˈnenæːn,"Se veti herneen nenään, kun unohdin vastata viestiin heti.","Älä nyt vedä hernettä nenään, se oli vain vitsi.","Naapurikin veti herneen nenään, kun lapset leikkivät liian äänekkäästi."
Olla puulla päähän lyöty,"Passiivimuotoinen sanonta, perfekti",Olla täysin yllättynyt tai hämmentynyt,Hämmästyä kovasti,B2,"Päivittäinen puhe, työpaikka","Neutraali, kuvainnollinen","Peräisin maaseutukulttuurista, kuvaa konkreettista reaktiota iskuun",ˈolːɑ ˈpuːlːɑ ˈpæːhæːn ˈlyø̯ty,"Olin aivan puulla päähän lyöty, kun kuulin uutiset.",Hän näytti siltä kuin olisi ollut puulla päähän lyöty.,"Tuomio tuli niin yllättäen, että olimme kaikki kuin puulla päähän lyötyjä."
Mennä överiksi,"Intransitiivinen verbirakenne, puhekieli",Ylireagoida tai liioitella,Liioitella tilannetta,B2,"Päivittäinen puhe, nuoriso, sosiaalinen media","Puhekieli, nuorekas","Lainasana ruotsista 'över', yleistynyt puhekielessä 2000-luvulla",ˈmennæ ˈøʋeriski,Se juhla meni vähän överiksi.,Älä nyt mene ihan överiksi sen palautteen kanssa.,"Meidän pitää varoa, ettei tämä mene överiksi."
Nähdä punaista,"Verbipohjainen, transitiivinen, aspektuaalisesti täydellinen",Suutua erittäin voimakkaasti,Raivostua,C1,"Tunteiden ilmaiseminen, kirjallisuus","Kuvainnollinen, intensiivinen",Metafora härkätaisteluista ja värien symboliikasta,ˈnæh.dæ ˈpunɑistɑ,"Hän näki ihan punaista, kun kuuli uutiset.",Jo pelkkä ajatus sai minut näkemään punaista.,"Isä näki punaista, kun auto oli kolhittu."
Pistää haisemaan,"Verbipohjainen, idiomaattinen käyttö, aktiivimuoto",Aloittaa toiminta energisesti tai juhlia kunnolla,Antaa mennä kunnolla,B1,"Juhliminen, nuoriso, arkikieli","Puhekieli, humoristinen",Vahva kuva kielessä: hajun voima vertauskuvana intensiteetille,ˈpistæː ˈhɑisemɑːn,Tänään pistetään haisemaan!,Ne kyllä pistivät haisemaan viime viikonloppuna.,"Jos tehdään, niin tehdään kunnolla – pistetään haisemaan!"
Ottaa lusikka kauniiseen käteen,"Verbipohjainen, idiomirakenne, refleksiivinen sävy",Myöntyä tilanteeseen tai ryhtyä vastuullisesti toimeen,Hyväksyä tilanne ja toimia asianmukaisesti,C1,"Työpaikka, arki, kirjallisuus","Neutraali, kehotuksellinen",Ilmaus pohjautuu vanhaan kotikielen kuvaannollisuuteen ja arvoihin,ˈottɑː ˈlusikkɑ ˈkɑu̯niːseːn ˈkæːteːn,Nyt on aika ottaa lusikka kauniiseen käteen ja hoitaa asia kunnolla.,"Hän ei voinut enää kieltää vastuuta, vaan otti lusikan kauniiseen käteen.",Lopulta koko tiimi otti lusikan kauniiseen käteen ja sai projektin valmiiksi.
Ei olla kartalla,"Negatiivinen verbirakenne, olla-verbi + adverbiaali",Ei ymmärrä tai ole perillä asiasta,Ei tiedä mitä tapahtuu,A2,"Arki, työpaikka, koulumaailma","Puhekieli, humoristinen",Kartta metaforana tiedon tai tilanteen hallinnasta,ˈei ˈolːɑ ˈkɑrtɑlːɑ,"Olin ihan pihalla, enkä ollut kartalla mistään.","Tuntuu, että pomo ei ole ihan kartalla tästä projektista.","Jos ei ole kartalla, kannattaa kysyä neuvoa."
Juosta pää kolmantena jalkana,"Verbipohjainen ilmaisu, hyperbolinen lisäys",Olla erittäin kiireinen,Kiirehtiä kovasti,B1,"Arki, työ, huumori","Puhekieli, humoristinen","Hyperbolinen ilmaus, kielikuvan korostus liiallisesta kiireestä",ˈjuostɑ ˈpæː ˈkolmɑntænɑ ˈjɑlkɑnɑ,Juoksin pää kolmantena jalkana ehtiäkseni junaan.,Me ollaan menty koko viikko pää kolmantena jalkana.,"Hän tuli töihin taas pää kolmantena jalkana, kuten aina maanantaisin."
Vesi kielellä,"Adverbiaali-ilmaus, olotilaa kuvaava",Odottaa innolla tai himoitsee jotakin,Himoita tai odottaa halukkaasti jotakin,B2,"Ruoka, toiveet, arki","Kuvainnollinen, kansanomainen",Biologinen reaktio (syljeneritys) käännetty kielikuvaksi,ˈʋesi ˈkie̯lelːæ,Katselin leivoksia vesi kielellä.,Lapset odottivat synttärikakkua vesi kielellä.,Olen vesi kielellä ajatuksesta lomamatkasta.
Pala kurkussa,"Substantiivifraasi, olotilan metafora","Tunnepurkaus, usein suru tai liikutus",Olla liikuttunut tai kyynelissä,C1,"Tunteet, kirjallisuus, elämäntapahtumat","Runollinen, emotionaalinen",Kuvaa kehon fyysistä tunnetta liikutuksen yhteydessä,ˈpɑlɑ ˈkurkusːɑ,Puhuin vanhemmistani pala kurkussa.,"Hänellä oli pala kurkussa, kun hän hyvästeli ystävänsä.","Koko sali oli hiljaa, pala kurkussa."
